HCH_012_253_000184	崇禎改元，忠賢遺黨有欲用王化貞，寬高，出胡嘉棟者，國觀力持不可。
HCH_012_253_000185	奉命祭北鎮醫無閭，還言關內外營伍虛耗、將吏侵克之弊，因薦大將滿桂才。
HCH_012_253_000186	帝褒以忠讜，令指將吏侵克者名，列上副將王應暉等六人，詔俱屬之吏。
HCH_012_253_000187	陜西盜起，偕鄉人仕於朝者，請設防速剿，並追論故巡撫喬應甲納賄縱盜罪。
HCH_012_253_000188	削應甲籍，籍其贓。
HCH_012_253_000189	國觀先附忠賢，至是大治忠賢黨，為南京御史袁耀然所劾。
HCH_012_253_000190	國觀懼，且虞掛察典，思所以撓之，乃劾吏科都給事中沈惟炳、兵科給事中許譽卿，言：「兩人主盟東林，與瞿式耜掌握枚卜。文華召對，陛下惡章允儒妄言，嚴旨處分。譽卿乃持一疏授惟炳，使同官劉斯珣邀臣列名，臣拒不應，遂使耀然劾臣。臣自立有品，不入東林，遂罹其害。今朝局惟論東林異同向背，借崔、魏為題，報仇傾陷。今又把持京察，而式耜以被斥之人，久居郭外，遙制察典，舉朝無敢言。」
HCH_012_253_000191	末詆耀然賄劉鴻訓得御史。
HCH_012_253_000192	帝雖以撓察典責之，國觀卒免察。
HCH_012_253_000193	然清議不容，旋以終養去。
HCH_012_253_000194	三年秋，用御史陳其猷薦，起兵科都給事中。
HCH_012_253_000195	遭母憂，服闋，起禮科都給事中，遷太常少卿。
HCH_012_253_000196	九年，擢左僉都御史。
HCH_012_253_000197	明年八月，拜禮部左侍郎兼東閣大學士，入參機務。
HCH_012_253_000198	國觀為人陰鷙谿刻，不學少文。
HCH_012_253_000199	溫體仁因其素仇東林，密薦於帝，遂超擢大用之。
HCH_012_253_000200	十一年六月，進禮部尚書。
HCH_012_253_000201	其冬，首輔劉宇亮出督師，國觀與楊嗣昌比，構罷宇亮。
HCH_012_253_000202	明年二月代其位。
HCH_012_253_000203	敘剿寇功，加太子太保、戶部尚書，進文淵閣；敘城守功，加少保、吏部尚書，進武英殿。
HCH_012_253_000204	先為首輔者，體仁最當帝意，居位久。
HCH_012_253_000205	及張至發、孔貞運、劉宇亮繼之，皆非帝意所屬，故旋罷去。
HCH_012_253_000206	國觀得誌，一踵體仁所為，導帝以深刻，而才智彌不及，操守亦弗如。
HCH_012_253_000207	帝初頗信響之，久而覺其奸，遂及於禍。
HCH_012_253_000208	始帝燕見國觀，語及朝士貪婪。
HCH_012_253_000209	國觀對曰：「使廠衛得人，安敢如是。」
HCH_012_253_000210	東廠太監王德化在側，汗流沾背，於是專察其陰事。
HCH_012_253_000211	國觀任中書王陛彥，而惡中書周國興、楊余洪，以漏詔旨、招權利劾之，並下詔獄。
HCH_012_253_000212	兩人老矣，斃廷杖下，其家人密緝國觀通賄事，報東廠。
HCH_012_253_000213	而國觀前匿史褷所寄銀，周、楊兩家又誘褷蒼頭首告。
HCH_012_253_000214	由是諸事悉上聞，帝意漸移。
HCH_012_253_000215	史褷者，清苑人。
HCH_012_253_000216	為御史無行，善結納中官，為王永光死黨。
HCH_012_253_000217	巡按淮、揚，括庫中贓罰銀十餘萬入己橐。
HCH_012_253_000218	攝巡鹽，又掩取前官張錫命貯庫銀二十餘萬。
HCH_012_253_000219	及以少卿家居，檢討楊士聰劾吏部尚書田唯嘉納周汝弼金八千推延綏巡撫，褷居間，並發褷盜鹽課事。
HCH_012_253_000220	褷得旨自陳，遂訐士聰，而鹽課則請敕淮、揚監督中官楊顯名核奏。
HCH_012_253_000221	俄而錫命子沆訐褷，給事中劉焜芳復劾褷侵盜有據。
HCH_012_253_000222	又嘗勒富人於承祖萬金，事發，則遣家人賫重貲謀於黠吏，圖改舊籍。
HCH_012_253_000223	帝乃怒，褫褷職，褷急攜數萬金入都，主國觀邸。
HCH_012_253_000224	謀既定，出疏攻焜芳及其弟炳芳、煒芳。
HCH_012_253_000225	閣臣多徇褷，擬嚴旨，帝不聽，止奪焜芳官候訊。
HCH_012_253_000226	及顯名核疏上，力為褷解，而不能諱者六萬金；褷下獄。
HCH_012_253_000227	會有兵事，獄久不結，瘐死。
HCH_012_253_000228	都人籍籍謂褷所攜貲盡為國觀有，家人證之，事大著。
HCH_012_253_000229	國觀猶力辨褷贓為黨人構陷，帝不聽。
HCH_012_253_000230	帝初憂國用不足，國觀請借助，言：「在外群僚，臣等任之；在內戚畹，非獨斷不可。」
HCH_012_253_000231	因以武清侯李國瑞為言。
HCH_012_253_000232	國瑞者，孝定太后兄孫，帝曾祖母家也。
