HCH_015_027_000096	建元初，歷寧朔將軍，臨川王前軍諮議，廬陵內史，齊郡太守，前軍將軍。
HCH_015_027_000097	靈哲所生母嘗病，靈哲躬自祈禱，夢見黃衣老公曰：「可取南山竹笋食之，疾立可愈。」
HCH_015_027_000098	靈哲驚覺，如言而疾瘳。
HCH_015_027_000099	嫡母崔氏及兄子景煥，泰始中沒虜，靈哲為布衣，不聽樂。
HCH_015_027_000100	及懷珍卒，當襲爵，靈哲固辭以兄子在虜中，存亡未測，無容越當茅土，朝廷義之。
HCH_015_027_000101	靈哲傾產私贖嫡母及景煥，累年不能得。
HCH_015_027_000102	世祖哀之，令北使告虜主，虜主送以還南，襲懷珍封爵。
HCH_015_027_000103	靈哲永明初歷護軍長史，東中郎諮議，領中直兵，出為寧朔將軍、巴西梓潼二郡太守，西陽王左軍司馬。
HCH_015_027_000104	隆昌元年，卒，年四十九。
HCH_015_027_000105	李安民，蘭陵承人也。
HCH_015_027_000106	祖嶷，衛軍參軍。
HCH_015_027_000107	父欽之，殿中將軍，補薛令。
HCH_015_027_000108	安民隨父之縣，元嘉二十七年沒虜，率部曲自拔南歸。
HCH_015_027_000109	太初逆，使安民領支軍。
HCH_015_027_000110	降義師，板建威將軍，補魯爽左軍。
HCH_015_027_000111	及爽反，安民遁還京師，除領軍行參軍，遷左衛殿中將軍。
HCH_015_027_000112	大明中，虜侵徐、兖，以安民為建威府司馬、無鹽令，除殿中將軍，領軍討漢川互螫賊。
HCH_015_027_000113	晉安王子勛反，明帝除安民武衛將軍、領水軍，補建安王司徒城局參軍，擊赭圻湖、白荻浦、獺窟，皆捷，除積射將軍、軍主。
HCH_015_027_000114	張興世據錢溪，糧盡，為賊所逼。
HCH_015_027_000115	安民率舟乘數百，越賊五城，送米與興世。
HCH_015_027_000116	偽軍主沈仲、王張引軍自<魚貴>口欲斷江，安民進軍合戰破之。
HCH_015_027_000117	又擊鵲尾、江城，皆有功。
HCH_015_027_000118	事平，明帝大會新亭，勞接諸軍主，樗蒲官賭，安民五擲皆盧，帝大驚，目安民曰：「卿面方如田，封侯狀也。」
HCH_015_027_000119	安民少時貧窶，有一人從門過，相之曰：「君后當大富貴，與天子交手共戲。」
HCH_015_027_000120	至是安民尋此人，不知所在。
HCH_015_027_000121	從張永、沈攸之討薛安都於彭城，軍敗，安民在后拒戰，還保下邳。
HCH_015_027_000122	除寧朔將軍，戍淮陽城。
HCH_015_027_000123	論<魚貴>口功，封邵武縣子，食邑四百戶。
HCH_015_027_000124	復隨吳喜、沈攸之擊虜，達睢口，戰敗，還保宿豫。
HCH_015_027_000125	淮北旣沒，明帝敕留安民戍角城。
HCH_015_027_000126	除寧朔將軍、冗從僕射。
HCH_015_027_000127	戍泗口，領舟軍緣淮游防，至壽春。
HCH_015_027_000128	虜遣偽長社公連營十餘里寇汝陰，豫州刺史劉勔擊退之。
HCH_015_027_000129	虜荊亭戍主昇乞奴棄城歸降，安民率水軍攻前，破荊亭，絕其津逕。
HCH_015_027_000130	遷寧朔將軍、冠軍司馬、廣陵太守、行南兖州事。
