HCH_012_231_000267	景王就封，止皇考一人在京。
HCH_012_231_000268	今則章服不別，名分不正。
HCH_012_231_000269	弟既憑母之寵而朝夕近幸，母又覬子之立而日夜樹功。
HCH_012_231_000270	此世宗時所無也。
HCH_012_231_000271	傳聞陛下先曾失言於皇貴妃，皇貴妃執此為信。
HCH_012_231_000272	及今不斷，蠱惑日深，剛斷日餒，事體日難。
HCH_012_231_000273	此世宗時所無也。
HCH_012_231_000274	前者有旨，不許諸司激擾，愈致遲延，非陛下預設機阱，以禦天下言者乎！
HCH_012_231_000275	使屆期無一人言及，則佯為不知，以冀其遲延。
HCH_012_231_000276	有一人言及，則禦之曰「此來激擾我也」，改遲一年。
HCH_012_231_000277	明年又一人言及，則又曰「此又來激擾我也」，又改二三年。
HCH_012_231_000278	必使天下無一人敢言而後已，庶幾依違遷就，以全其衽席昵愛之私，而曾不顧國本從此動搖，天下從此危亂。
HCH_012_231_000279	臣以為陛下之禦人至巧，而為謀則甚拙也。
HCH_012_231_000280	此等機智，不可以罔匹夫匹婦，顧欲以欺天下萬世耶！
HCH_012_231_000281	疏入，留中。
HCH_012_231_000282	時廷臣相繼爭國本，惟一本言最戇直。
HCH_012_231_000283	帝銜之。
HCH_012_231_000284	無何，杖給事中孟養浩。
HCH_012_231_000285	中旨以養浩所逞之詞根托一本，造言誣君，搖亂大典，遂斥為民。
HCH_012_231_000286	屢薦，卒不用。
HCH_012_231_000287	一本既罷歸，潛心《六經》濂、洛諸書，尤研精《易》學。
HCH_012_231_000288	與顧憲成輩分主東林講席，學者稱啟新先生。
HCH_012_231_000289	裏居二十五年，預克卒日，賦詩誌之，如期而逝。
HCH_012_231_000290	天啟初，贈太僕寺少卿。
HCH_012_231_000291	子春，字若木，萬歷三十二年進士。
HCH_012_231_000292	歷知高陽、獻二縣，征授御史。
HCH_012_231_000293	太僕少卿徐兆魁攻李三才，因痛詆顧憲成。
HCH_012_231_000294	春三疏首發其憸邪。
HCH_012_231_000295	出按湖廣，請予禮部侍郎郭正域及光祿少卿顧憲成恤典。
HCH_012_231_000296	楚宗人以訐偽王事，錮高墻者甚眾，春為訟冤，尋復請釋回故宗家屬，語甚切至。
HCH_012_231_000297	鹹寧知縣滿朝薦久系，奏請釋之，因請並釋王邦才、卞孔時。
HCH_012_231_000298	又再疏劾守備中官杜茂，且備陳采榷之害，言：「臣不忍皇上聽小人之謀，名出漢桓、唐德下，為我明基禍之主。」
HCH_012_231_000299	帝以湖廣地為福王莊田。
HCH_012_231_000300	春三疏力爭，帝降旨切責。
HCH_012_231_000301	葉向高致政去，方從哲為首輔。
HCH_012_231_000302	春抗疏言：「今天下人材則朝虛野實，貨財則野虛朝實。從哲不能救正，而第於福王則無事不曲從。臣嘗嘆皇上有為堯、舜之資，而輔佐無人。僅得王家屏、沈鯉，又俱不信用。其餘大抵庸惡陋劣，奸回冒嫉之徒，不意至從哲而風益下。臣聞從哲每向人言，輒雲內相之意，是甘為萬安、焦芳，曾趙誌臯，沈一貫之不若也。」
HCH_012_231_000303	從哲疏辨乞去。
HCH_012_231_000304	帝慰留，而責春妄言瀆奏，出為福建右參議。
HCH_012_231_000305	尋丁父艱。
HCH_012_231_000306	天啟初，起故官。
HCH_012_231_000307	召為尚寶少卿，歷遷光祿卿。
HCH_012_231_000308	五年，魏忠賢黨門克新劾春倚恃東林，父作子述，削籍歸。
HCH_012_231_000309	崇禎九年，召拜通政使。
HCH_012_231_000310	遷戶部右侍郎，歷尚書。
HCH_012_231_000311	總督倉場，條行厘弊十事。
HCH_012_231_000312	以勞瘁予告。
HCH_012_231_000313	未幾，起南京戶部尚書。
HCH_012_231_000314	疏請皇太子出閣，從之。
HCH_012_231_000315	累疏引疾，不允。
