HCH_012_047_000166	七年更定，內壝之內，東西各二壇。
HCH_012_047_000167	東四海，西四瀆。
HCH_012_047_000168	次二壇，天下山川。
HCH_012_047_000169	內壝之外，東西各設天下神祇壇一。
HCH_012_047_000170	十二年正月，合祀大祀殿。
HCH_012_047_000171	正殿三壇，上帝、皇地祇並南向。
HCH_012_047_000172	仁祖配位在東，西向。
HCH_012_047_000173	從祀十四壇。
HCH_012_047_000174	丹陛東一罈曰大明，西一罈曰夜明。
HCH_012_047_000175	兩廡壇各六：星辰二壇；次東，太歲、五嶽、四海，次西，風雲雷雨、五鎮、四瀆二壇；又次天下山川神祇二壇。
HCH_012_047_000176	俱東西向。
HCH_012_047_000177	二十一年，增修丹墀內石臺四，大明、夜明各一，星辰二。
HCH_012_047_000178	內壝外石臺二十：東十壇，北嶽、北鎮、東嶽、東鎮、東海、太歲、帝王、山川、神祇、四瀆；西十壇，北海、西嶽、西鎮、西海、中嶽、中鎮、風雲雷雨、南嶽、南鎮、南海。
HCH_012_047_000179	俱東西向。
HCH_012_047_000180	臺高三尺有奇，周以石欄，陟降爲磴道。
HCH_012_047_000181	臺上琢石鑿龕，以置神位。
HCH_012_047_000182	建文時，撤仁祖，改奉太祖配，位第一成。
HCH_012_047_000183	西向。
HCH_012_047_000184	洪熙元年，增文皇帝於太祖下。
HCH_012_047_000185	嘉靖九年，復分祀之典。
HCH_012_047_000186	圜丘則東大明，西夜明。
HCH_012_047_000187	次東，二十八宿、五星、周天星辰。
HCH_012_047_000188	次西，風雲雷雨。
HCH_012_047_000189	共四壇。
HCH_012_047_000190	方丘則東五嶽，基運、翊聖、神烈三山，西五鎮，天壽、純德二山。
HCH_012_047_000191	次東四海，次西四瀆。
HCH_012_047_000192	南北郊皆獨奉太祖配。
HCH_012_047_000193	太社稷配位別見。
HCH_012_047_000194	先農正位南向，后稷配位西向。
HCH_012_047_000195	凡神位，天地、祖宗曰：「神版」，餘曰：「神牌」。
HCH_012_047_000196	圜丘神版長二尺五寸，廣五寸，厚一寸，趺高五寸，以慄木爲之，正位題曰昊天上帝，配位題曰某祖某皇帝，並黃質金字。
HCH_012_047_000197	從祀風雲雷雨位版，赤質金字。
HCH_012_047_000198	神席，上帝用龍椅龍案，上施錦褥，配位同。
HCH_012_047_000199	從祀，位置於案，不設席。
HCH_012_047_000200	方丘正位曰皇地祇，配位及從祀，制並同圜丘。
HCH_012_047_000201	奉先殿帝后神主高尺二寸，廣四寸，趺高二寸，用木，飾以金，鏤以青字。
HCH_012_047_000202	龕高二尺，廣二尺，趺高四寸，硃漆鏤金龍鳳花版，開二窗，施紅紗，側用金銅環，內織金文綺爲藉。
HCH_012_047_000203	社稷，社玉用石，高五尺，廣五尺，上微銳。
HCH_012_047_000204	立於壇上，半在土中，近南北向；稷不用主。
HCH_012_047_000205	洪武十年，皆設木主，丹漆之。
HCH_012_047_000206	祭畢，貯於庫，仍用石主埋壇中，微露其末。
HCH_012_047_000207	後奉祖配，其位制塗金牌座，如先聖櫝用架罩。
HCH_012_047_000208	嘉靖中，藏於寢廟。
HCH_012_047_000209	帝社稷神位以木，高一尺八寸，廣三寸，硃漆質金書。
