HCH_012_219_000207	後以救吳中行、趙用賢忤居正意。
HCH_012_219_000208	時已遷侍講，抑授南京司業。
HCH_012_219_000209	未行，復以京察，謫徐州同知。
HCH_012_219_000210	居正卒之明年，用給事中馮景隆、御史孫維城薦，擢南京尚寶丞。
HCH_012_219_000211	俄召為左中允，管司業事，進祭酒。
HCH_012_219_000212	疏陳六事，多議行。
HCH_012_219_000213	以禮部右侍郎，教習庶吉士，引疾歸。
HCH_012_219_000214	詔起故官，協理詹事府，辭不赴。
HCH_012_219_000215	久之，以申時行薦，拜吏部左侍郎兼東閣大學士，與趙志臯並命。
HCH_012_219_000216	王錫爵還朝，帝適降諭三王並封，以待嫡為辭。
HCH_012_219_000217	而志臯、位遽請帝篤修交泰，早兆高禖，議者竊哂之。
HCH_012_219_000218	趙南星以考察事褫官，朝士詆錫爵者多及位。
HCH_012_219_000219	錫爵去，志臯為首輔。
HCH_012_219_000220	位與志臯相厚善。
HCH_012_219_000221	志臯衰，位精悍敢任，政事多所裁決。
HCH_012_219_000222	時黜陟權盡還吏部，政府不得侵撓。
HCH_012_219_000223	位深憾之，事多掣其肘。
HCH_012_219_000224	以故孫鑨、陳有年、孫丕揚、蔡國珍皆不安其位而去。
HCH_012_219_000225	二十四年，兩宮災，礦稅議起，位等不能沮。
HCH_012_219_000226	及奸人請稅煤炭，開臨清皇店，位與沈一貫乃執奏不可，不報。
HCH_012_219_000227	明年春，偕一貫陳經理朝鮮事宜。
HCH_012_219_000228	請於開城、平壤建置重鎮，練兵屯田，通商惠工，省中國輸輓。
HCH_012_219_000229	且擇人為長帥，分署朝鮮八道，為持久計。
HCH_012_219_000230	事下朝鮮議。
HCH_012_219_000231	其國君臣慮中國遂幷其土，疏陳非便，乃寢。
HCH_012_219_000232	頃之，日本封事壞，位力薦參政楊鎬才，請付以朝鮮軍務。
HCH_012_219_000233	鎬遭父喪，又請奪情視事，且薦邢玠為總督。
HCH_012_219_000234	帝皆從之。
HCH_012_219_000235	位已進禮部尚書，改文淵閣，以甘肅破賊叙功，加太子太保，復以延鎮功，進少保、吏部尚書，改武英殿。
HCH_012_219_000236	三殿災，志臯適在告，位偕同列請面慰，不許。
HCH_012_219_000237	乃請帝引咎頒赦，勤朝講，發章奏，躬郊廟，建皇儲，錄廢棄，容狂直，宥細過，補缺官，減織造，停礦使，徹稅監，釋繫囚。
HCH_012_219_000238	帝優詔報之，不能盡行。
HCH_012_219_000239	位又言：「臣等請停礦稅，非遽停之也，蓋欲責成撫按，使上不虧國，下不累民耳。」
HCH_012_219_000240	於是給事中張正學劾位逢迎遷就，宜斥。
HCH_012_219_000241	帝亦不省。
HCH_012_219_000242	位初官翰林，聲望甚重，朝士冀其大用。
HCH_012_219_000243	及入政府，招權示威，素望漸衰。
HCH_012_219_000244	給事中劉道亨劾位奸貪數十事。
HCH_012_219_000245	位憤，力辨，遂落道亨三官。
HCH_012_219_000246	呂坤、張養蒙與孫丕揚交好，而沈思孝、徐作、劉應秋、劉楚先、戴士衡、楊廷蘭則與位善，各有所左右。
HCH_012_219_000247	丕揚嘗劾位，指道亨為其黨。
HCH_012_219_000248	道亨恥之，劾位以自解。
HCH_012_219_000249	已而贊畫主事丁應泰劾楊鎬喪師，言位與鎬密書往來，朋黨欺罔，鎬拔擢由賄位得之。
HCH_012_219_000250	帝怒下廷議。
HCH_012_219_000251	位惶恐奏辨，帝猶慰留。
HCH_012_219_000252	給事中趙完璧、徐觀瀾復交章論。
HCH_012_219_000253	位窘，亟奏：「羣言交攻，孤忠可憫。臣心無纖毫愧，惟上矜察。」
HCH_012_219_000254	帝怒曰：「鎬由卿密揭屢薦，故奪哀授任。今乃朋欺隱慝，辱國損威，猶云無愧。」
HCH_012_219_000255	遂奪職閒住。
HCH_012_219_000256	無何，有獲妖書名憂危竑議者，御史趙之翰言位實主謀。
HCH_012_219_000257	帝亦疑位怨望有他志，詔除名為民，遇赦不宥。
HCH_012_219_000258	其親故右都御史徐作、侍郎劉楚先、祭酒劉應秋、給事中楊廷蘭、主事萬建崑皆貶黜有差。
HCH_012_219_000259	位有才，果於自用，任氣好矜。
HCH_012_219_000260	其敗也，廷臣莫之救。
HCH_012_219_000261	既卒，亦無湔雪之者。
HCH_012_219_000262	天啟中，復官，贈太保，諡文莊。
HCH_012_219_000263	朱賡，字少欽，浙江山陰人。
HCH_012_219_000264	父公節，泰州知州。
HCH_012_219_000265	兄應，刑部主事。
HCH_012_219_000266	賡登隆慶二年進士，改庶吉士，授編修。
HCH_012_219_000267	萬曆六年以侍讀為日講官。
HCH_012_219_000268	宮中方興土木，治苑囿。
HCH_012_219_000269	賡因講宋史，極言「花石綱」之害，帝為悚然。
HCH_012_219_000270	歷禮部左、右侍郎。
HCH_012_219_000271	帝營壽宮於大峪山，命賡往視。
HCH_012_219_000272	中官示帝意欲倣永陵制，賡言：「昭陵在望，制過之，非所安。」
HCH_012_219_000273	疏入，久不下。
HCH_012_219_000274	已，竟如其言。
HCH_012_219_000275	累官禮部尚書，遭繼母喪去。
HCH_012_219_000276	二十九年秋，趙志臯卒，沈一貫獨當國，請增置閣臣。
HCH_012_219_000277	帝素慮大臣植黨，欲用林居及久廢者。
HCH_012_219_000278	詔賡以故官兼東閣大學士參預機務，遣行人召之。
HCH_012_219_000279	再辭，不允。
HCH_012_219_000280	明年四月詣闕，即捐一歲俸助殿工。
HCH_012_219_000281	其秋極陳礦稅之害，帝不能用。
HCH_012_219_000282	既而與一貫及沈鯉共獻守成、遣使、權宜三論，大指為礦稅發，賡手筆也。
HCH_012_219_000283	賡於己邸門獲妖書，而書辭誣賡動搖國本，大懼。
HCH_012_219_000284	立以疏聞，乞避位。
HCH_012_219_000285	帝慰諭有加。
HCH_012_219_000286	一貫倡羣小窮治不已。
HCH_012_219_000287	賡在告，再貽書一貫，請速具獄無株連，事乃得解。
HCH_012_219_000288	三十三年大計京官。
HCH_012_219_000289	帝留被察者錢夢臯輩，及南京察疏上，亦欲有所留。
HCH_012_219_000290	賡力陳不可，曰：「北察之留，旨從中出，人猶咎臣等。今若出自票擬，則二百餘年大典，自臣壞之，死不敢奉詔。」
HCH_012_219_000291	言官劾溫純及鯉，中使傳帝意欲去純。
HCH_012_219_000292	賡言大臣去國必採公論，豈可於劾疏報允。
HCH_012_219_000293	帝下南察疏，而純竟去。
HCH_012_219_000294	其冬，工部請營三殿。
HCH_012_219_000295	時方濬河、繕城，賡力請俟之異日。
HCH_012_219_000296	帝皆納之，不果行。
HCH_012_219_000297	三十四年，一貫、鯉去位，賡獨當國，年七十有二矣。
HCH_012_219_000298	朝政日弛，中外解體。
HCH_012_219_000299	賡疏揭月數上，十不能一下。
HCH_012_219_000300	御史宋燾首諷切賡，給事中汪若霖繼之。
HCH_012_219_000301	賡緣二人言，力請帝更新庶政，於增閣臣、補大僚、充言路三事語尤切。
HCH_012_219_000302	帝優詔答之而不行。
HCH_012_219_000303	賡乃素服詣文華門懇請，終不得命。
HCH_012_219_000304	賡以老，屢引疾，閣中空無人。
HCH_012_219_000305	帝諭簡閣臣，而廷臣慮帝出中旨如往年趙志臯、張位故事。
HCH_012_219_000306	賡力疾請付廷推，乃用于慎行、李廷機、葉向高，而召王錫爵於家，以為首輔。
HCH_012_219_000307	給事中王元翰、胡忻以廷機之用，賡實主之，疏詆廷機並侵賡。
HCH_012_219_000308	賡疏辭，帝為切責言者。
HCH_012_219_000309	既而姜士昌及燾被謫，言路謂出賡意，益不平。
HCH_012_219_000310	禮部主事鄭振先遂劾賡十二大罪，且言賡與一貫、錫爵為過去、見在、未來三身。
HCH_012_219_000311	帝怒，貶振先三秩。
HCH_012_219_000312	俄以言官論救，再貶二秩。
HCH_012_219_000313	先，考選科道，吏部擬上七十八人。
HCH_012_219_000314	候命踰年，不下，賡連疏趣之。
