HCH_012_235_000212	以至覃恩錫賚，小大畢沾；謁陵犒賜，耗費巨萬。
HCH_012_235_000213	錙銖取之，泥沙用之。
HCH_012_235_000214	於是民間習為麗侈，窮耳目之好，竭工藝之能，不知紀極。
HCH_012_235_000215	夫中人得十金，即足供終歲之用。
HCH_012_235_000216	今一物而常兼中人數家之產。
HCH_012_235_000217	或刻沈檀，鏤犀象，以珠寶金玉飾之。
HCH_012_235_000218	周鼎、商彜、秦鉈、漢鑒，皆搜求於海內。
HCH_012_235_000219	窮歲月之力，專一器之工；罄生平之資，取一盼之適。
HCH_012_235_000220	殊不知財賄易盡，嗜欲無窮。
HCH_012_235_000221	陛下誠能恭儉節約以先天下，禁彼浮淫，還之貞樸，則財用自裕，而風俗亦淳。
HCH_012_235_000222	四也。
HCH_012_235_000223	邊疆之臣，日弛戎備，上下蒙蔽，莫以實聞。
HCH_012_235_000224	由邊臣相繼為本兵，題覆處分，盡在其口。
HCH_012_235_000225	言出而中傷隨之，誰肯為無益之談，自取禍敗哉？
HCH_012_235_000226	漁夫舍餌以得魚，未聞以餌養魚者也。
HCH_012_235_000227	今以中國之文帛綺繡為蕃戎常服，雖曰貢市，實則媚之。
HCH_012_235_000228	邊臣假貢市以賂戎，戎人肆剽竊而要我。
HCH_012_235_000229	彼此相欺，以誑君父。
HCH_012_235_000230	幸其不來，來則莫禦。
HCH_012_235_000231	所謂以餌養魚者也。
HCH_012_235_000232	請明詔樞臣，洗心易慮。
HCH_012_235_000233	戰守之備，一一講求，付之邊臣。
HCH_012_235_000234	使將識敵情，兵識將意，庶乎臂指如意，國可無虞。
HCH_012_235_000235	五也。
HCH_012_235_000236	疏入，忤旨，謫建昌推官。
HCH_012_235_000237	屢遷南京右通政。
HCH_012_235_000238	移疾歸。
HCH_012_235_000239	四十一年，起右僉都御史，巡撫南、贛。
HCH_012_235_000240	居三年，廷推左副都御史。
HCH_012_235_000241	未得命，給事中官應震論其縱子驕恣。
HCH_012_235_000242	疏雖留中，一脈竟引疾去。
HCH_012_235_000243	年八十一卒。
HCH_012_235_000244	一脈初以直諫著聲。
HCH_012_235_000245	晚膺節鉞，年力已衰，不克有所表樹雲。
HCH_012_235_000246	何士晉，字武莪，宜興人。
HCH_012_235_000247	父其孝，得士晉晚。
HCH_012_235_000248	族子利其資，結黨致之死。
HCH_012_235_000249	繼母吳氏匿士晉外家。
HCH_012_235_000250	讀書稍懈，母輒示以父血衣。
HCH_012_235_000251	士晉感厲，與人言，未嘗有笑容。
HCH_012_235_000252	萬歷二十六年舉進士。
HCH_012_235_000253	持血衣訴之官，罪人皆抵法。
HCH_012_235_000254	初授寧波推官，擢工科給事中。
HCH_012_235_000255	首疏請通章奏、緩聚斂。
HCH_012_235_000256	俄言：「袞職有闕，廷臣言雖逆耳，每荷優容。獨論及輔臣，必欲借主威以泄憤。是陛下負拒諫之名，輔臣收固寵之實，天下所以積憤輔臣而不能平也。如孫幰、郭子章、戴耀、沈子木，宜舍不舍，公論乖違，輔臣賡安得不任其咎？」
HCH_012_235_000257	無何，劾左都督王之楨久掌錦衣，為內閣爪牙，中樞心腹。
HCH_012_235_000258	又劾大學士王錫爵逢君賊善，召命宜停；戶部尚書趙世卿誤國，無大臣體。
HCH_012_235_000259	已，復言：「朝端大政，宜及今早行者，在放輔臣以清政地，罷大臣被論者以伸公議。斥王之楨以絕禍源，釋卞孔時、王邦才等以蘇冤獄。」
HCH_012_235_000260	初，皇長孫生，有詔起廢，列上二百餘人。
HCH_012_235_000261	閱三年，止用顧憲成等四人。
HCH_012_235_000262	士晉請大起廢籍。
HCH_012_235_000263	瑞王將婚，詔典禮視福王，費當十九萬。
HCH_012_235_000264	初，帝弟潞王婚費不及其半，士晉請視潞王。
HCH_012_235_000265	帝將崇奉太后，詔建靈應宮，士晉以非禮力爭，且曰：「聖母所註念者東宮出講，諸王早婚，與遺賢之登進也，乃諸臣屢請不應。而不時內降者，非中貴之營求，即鬼神之香火，何也？」
HCH_012_235_000266	帝皆不省。
HCH_012_235_000267	未幾，有張差梃擊之事。
HCH_012_235_000268	王之寀鉤得差供，帝遷延不決，士晉三上疏趣之。
HCH_012_235_000269	當是時，變起非常，中外鹹疑謀出鄭國泰，然無敢直犯其鋒者。
HCH_012_235_000270	郎中陸大受稍及之，國泰大懼，急出揭自明，人言益籍籍。
HCH_012_235_000271	士晉乃抗疏曰：陛下與東宮，情親父子，勢共安危，豈有禍逼蕭墻，不少動念者？
HCH_012_235_000272	候命逾期，旁疑轉棘。
HCH_012_235_000273	竊詳大受之疏，未嘗實指國泰主謀，何張皇自疑乃爾？
HCH_012_235_000274	因其自疑，人益不能無疑，然人之疑國泰，不自今日始也。
HCH_012_235_000275	陛下試問國泰，三王之議何由起？
HCH_012_235_000276	《閨範》之序何由進？
HCH_012_235_000277	妖書之毒何由構？
HCH_012_235_000278	此基禍之疑也。
HCH_012_235_000279	孟養浩等何由杖？
HCH_012_235_000280	戴士衡等何由戍？
HCH_012_235_000281	王德完等何由錮？
HCH_012_235_000282	此挑激之疑也。
HCH_012_235_000283	南宗順，刑余也，而陰募死士千人，謂何？
HCH_012_235_000284	順義王，外寇也，而各宮門守以重兵，謂何？
HCH_012_235_000285	王曰乾，逆徒也，而疏中先有龐保、劉成名姓，謂何？
HCH_012_235_000286	此不軌之疑也。
HCH_012_235_000287	三者積疑至今日，忽有張差一事，正與往者舉措相符，安得令人不疑！
HCH_012_235_000288	且今日之疑國泰，又非張差一事已也。
HCH_012_235_000289	恐騎虎難下，駭鹿走險，一擊不效，別有陰謀。
HCH_012_235_000290	陛下不急護東宮，則東宮為孤註。
HCH_012_235_000291	萬一東宮失護，而陛下又轉為孤註矣。
