HCH_012_249_000269	枟與巡按御史史永安貸云南、湖廣銀四萬有奇，募兵四千，儲米二萬石，治戰守具，而急遣總兵官張彥方，都司許成名、黃運清，監軍副使朱芹，提學僉事劉錫元等援四川。
HCH_012_249_000270	屢捷，遂復遵義、綏陽、湄潭、真安、桐梓。
HCH_012_249_000271	二年二月，或傳崇明陷成都，邦彥遂挾安位反，自稱羅甸王。
HCH_012_249_000272	四十八支及他部頭目安邦俊、陳其愚等蜂起相應，烏撒土目安效良亦與通。
HCH_012_249_000273	邦彥首襲畢節，都司楊明廷固守，擊斬數百人。
HCH_012_249_000274	效良助邦彥陷其城，明廷敗歿。
HCH_012_249_000275	賊遂分兵陷安順平壩，效良亦西陷沾益，而邦彥自統水西軍及羅鬼、苗仲數萬，東渡陸廣河，直趨貴陽，別遣王倫等下甕安，襲偏橋，以斷援兵。
HCH_012_249_000276	洪邊土司宋萬化糾苗仲九股陷龍裏。
HCH_012_249_000277	枟、永安聞變，亟議城守。
HCH_012_249_000278	會藩臬、守令咸入覲，而彥方鎮銅仁，運清駐遵義。
HCH_012_249_000279	城中文武無幾人，乃分兵為五，令錫元及參議邵應禎、都司劉嘉言、故副總兵劉嶽分禦四門，枟自當北門之沖。
HCH_012_249_000280	永安居譙樓，團街市兵，防內變。
HCH_012_249_000281	學官及諸生亦督民兵分堞守。
HCH_012_249_000282	賊至，盡銳攻北城，枟迎戰，敗之。
HCH_012_249_000283	轉攻東門，為錫元所卻。
HCH_012_249_000284	乃日夕分番馳突，以疲官兵。
HCH_012_249_000285	為三丈樓臨城，用婦人、雞犬厭勝術。
HCH_012_249_000286	枟、永安烹彘雜斗米飯投飼雞犬，而張虎豹皮於城樓以祓之，乃得施炮石，夜縋死士燒其樓。
HCH_012_249_000287	賊又作竹籠萬餘，土壘之，高逾睥睨。
HCH_012_249_000288	永安急撤大寺鐘樓建城上，賊棄籠去，官軍出燒之。
HCH_012_249_000289	數出城邀賊糧，賊怒，盡發城外冢，遍燒村砦。
HCH_012_249_000290	又先後攻陷廣州、普定、威清、普安、安南諸衛。
HCH_012_249_000291	貴陽西數千里，盡為賊據。
HCH_012_249_000292	初被圍，彥方、運清來救，敗賊於新添。
HCH_012_249_000293	賊誘入龍裏，二將皆敗，乃縱之入城曰「使耗汝糧」，城中果大困。
HCH_012_249_000294	川貴總督張我續、巡撫王三善擁兵不進，枟、永安連疏告急，詔旨督責之。
HCH_012_249_000295	會彥方等出戰頻得利，賊退保澤溪，乃遣裨將商士傑等率九千人分控威清、新添二衛，且乞援兵。
HCH_012_249_000296	賊謂城必拔，沿山列營柵隔內外，間旬日一來攻，輒敗去。
HCH_012_249_000297	副總兵徐時逢、參將範仲仁赴援，遇賊甕城河。
HCH_012_249_000298	仲仁戰不利，時逢擁兵不救，遂大敗，諸將馬一龍、白自強等殲焉，援遂絕。
HCH_012_249_000299	賊聞三善將進兵，益日夜攻擊，長梯蟻附，城幾陷者數矣。
HCH_012_249_000300	枟奮臂一呼，士卒雖委頓，皆強起斫賊，賊皆顛踣死城下。
HCH_012_249_000301	王三善屢被嚴旨，乃率師破重圍而進。
HCH_012_249_000302	十二月七日，抵貴陽城下，圍始解。
HCH_012_249_000303	枟乃辭兵事，解官去。
HCH_012_249_000304	三善既破賊，我續無寸功，乾沒軍資六十萬，言官交劾，解職候勘。
HCH_012_249_000305	我續，邯鄲人，刑部尚書國彥子。
HCH_012_249_000306	其後夤緣魏忠賢起戶部侍郎，進尚書，名麗逆案云。
HCH_012_249_000307	方官廩之告竭也，米升直二十金。
HCH_012_249_000308	食糠核草木敗革皆盡，食死人肉，後乃生食人，至親屬相啖。
HCH_012_249_000309	彥方、運清部卒公屠人市肆，斤易銀一兩。
HCH_012_249_000310	枟盡焚書籍冠服，預戒家人，急則自盡，皆授以刀繯。
HCH_012_249_000311	城中戶十萬，圍困三百日，僅存者千餘人。
HCH_012_249_000312	孤城卒定，皆枟及永安、錫元功。
HCH_012_249_000313	熹宗用都御史鄒元標言，進枟兵部右侍郎，永安太僕少卿，錫元右參政。
HCH_012_249_000314	及圍解，當再敘功，御史蔣允儀言安位襲職時，枟索其金盆，致啟釁。
HCH_012_249_000315	章下貴州巡按侯恂核，未報，御史張應辰力頌枟功。
HCH_012_249_000316	恂核上，亦白其誣。
HCH_012_249_000317	帝責允儀。
HCH_012_249_000318	初，永安遣運清往新添、平越趣援兵，懼其不濟，欲出城督之。
HCH_012_249_000319	錫元疑永安有去誌，以咨枟，枟止永安。
HCH_012_249_000320	及錫元當絕食時，議發兵護枟、永安出城，身留死守，永安亦疑錫元。
HCH_012_249_000321	而運清因交構其間，三人遂相失。
HCH_012_249_000322	永安詆錫元議留身守城，欲輸城於賊，枟亦與謀，兩人上章辨。
HCH_012_249_000323	吏部尚書趙南星、左都御史孫瑋等力為三人解，而言永安功第一，當不次大用；枟已進官，當召還；錫元已進參政，當更優敘。
HCH_012_249_000324	詔可之。
HCH_012_249_000325	然枟竟不召，錫元亦無他擢，二人並還裏。
