HCH_012_081_000246	識者以為明亡蓋兆於此。
HCH_012_081_000247	鐵冶所，洪武六年置。
HCH_012_081_000248	江西進賢、新喻、分宜，湖廣興國、黃梅，山東萊蕪，廣東陽山，陝西鞏昌，山西吉州二，太原、澤、潞各一，凡十三所，歲輸鐵七百四十六萬餘斤。
HCH_012_081_000249	河南、四川亦有鐵冶。
HCH_012_081_000250	十二年益以茶陵。
HCH_012_081_000251	十五年，廣平吏王允道言：「磁州產鐵，元時置官，歲收百餘萬斤，請如舊。」
HCH_012_081_000252	帝以民生甫定，復設必重擾，杖而流之海外。
HCH_012_081_000253	十八年罷各布政司鐵冶。
HCH_012_081_000254	既而工部言：「山西交城產雲子鐵，舊貢十萬斤，繕治兵器，他處無有。」
HCH_012_081_000255	乃復設。
HCH_012_081_000256	已而武昌、吉州以次復焉。
HCH_012_081_000257	末年，以工部言，復盡開，令民得自採鍊，每三十分取其二。
HCH_012_081_000258	永樂時，設四川龍州、遼東都司三萬衛鐵冶。
HCH_012_081_000259	景帝時，辦事吏請復陝西、寧遠鐵礦，工部劾其違法，下獄。
HCH_012_081_000260	給事中張文質以為不宜塞言路，乃釋之。
HCH_012_081_000261	弘治十七年，廣東歸善縣請開鐵冶，有司課外索賂，唐大鬢等因作亂，都御史劉大夏討平之。
HCH_012_081_000262	正德十四年，廣州置鐵廠，以鹽課提舉司領之，禁私販如鹽法。
HCH_012_081_000263	嘉靖三十四年開建甯、延平諸府鐵冶。
HCH_012_081_000264	隆、萬以後，率因舊制，未嘗特開云。
HCH_012_081_000265	銅場，明初，惟江西德興、鉛山。
HCH_012_081_000266	其後四川梁山，山西五臺，陝西寧羌、略陽及雲南皆採水銀、青綠。
HCH_012_081_000267	太祖時，廉州巡檢言：「階州界西戎，有水銀坑冶及青綠、紫泥，願得兵取其地。」
HCH_012_081_000268	帝不許。
HCH_012_081_000269	惟貴州大萬山長官司有水銀、硃砂場局，而四川東川府會川衛山產青綠、銀、銅，以與外番接境，虞軍民潛取生事，特禁飭之。
HCH_012_081_000270	成化十七年封閉雲南路南州銅坑。
HCH_012_081_000271	弘治十八年裁革板場坑水銀場局。
HCH_012_081_000272	正德九年，軍士周達請開雲南諸銀礦，因及銅、錫、青綠。
HCH_012_081_000273	詔可，遂次第開採。
HCH_012_081_000274	嘉靖、隆、萬間，因鼓鑄，屢開雲南諸處銅場，久之所獲漸少。
HCH_012_081_000275	崇禎時，遂括古錢以供爐冶焉。
HCH_012_081_000276	關市之徵，宋、元頗繁瑣。
HCH_012_081_000277	明初務簡約，其後增置漸多，行齎居鬻，所過所止各有稅。
HCH_012_081_000278	其名物件析榜於官署，按而徵之，惟農具、書籍及他不鬻於市者勿算，應徵而藏匿者沒其半。
HCH_012_081_000279	買賣田宅頭匹必投稅，契本別納紙價。
HCH_012_081_000280	凡納稅地，置店曆，書所止商氏名物數。
HCH_012_081_000281	官司有都稅，有宣課，有司，有局，有分司，有抽分場局，有河泊所。
HCH_012_081_000282	所收稅課，有本色，有折色。
HCH_012_081_000283	稅課司局，京城諸門及各府州縣市集多有之，凡四百餘所。
HCH_012_081_000284	其後以次裁併十之七。
HCH_012_081_000285	抽分在南京者，曰龍江、大勝港；在北京者，曰通州、白河、盧溝、通積、廣積；在外者，曰真定、杭州、荊州、太平、蘭州、廣寧。
HCH_012_081_000286	又令軍衛自設場分，收貯柴薪。
HCH_012_081_000287	河泊所惟大河以南有之，河北止鹽山縣。
HCH_012_081_000288	凡稅課，徵商估物貨；抽分，科竹木柴薪；河泊，取魚課。
HCH_012_081_000289	又有門攤課鈔，領於有司。
HCH_012_081_000290	太祖初，徵酒醋之稅，收官店錢。
HCH_012_081_000291	即吳王位，減收官店錢，改在京官店為宣課司，府縣官店為通課司。
HCH_012_081_000292	凡商稅，三十而取一，過者以違令論。
HCH_012_081_000293	洪武初，命在京兵馬指揮領市司，每三日一校勘街市度量權衡，稽牙儈物價；在外，城門兵馬，亦令兼領市司。
HCH_012_081_000294	彰德稅課司，稅及蔬果、飲食、畜牧諸物。
HCH_012_081_000295	帝聞而黜之。
HCH_012_081_000296	山西平遙主簿成樂秩滿來朝，上其考曰：「能恢辦商稅」。
HCH_012_081_000297	帝曰：「稅有定額，若以恢辦為能，是剝削下民，失吏職也。州考非是。」
HCH_012_081_000298	命吏部移文以訊。
