HCH_012_237_000165	是時，襄陽通判邸宅、推官何棟如、棗陽縣知縣王之翰亦忤奉被劾。
HCH_012_237_000166	詔宅、之翰為民，棟如遣逮。
HCH_012_237_000167	俄以都給事中楊應文論救，遂並逮應京、宅、之翰三人。
HCH_012_237_000168	頃之，奉又誣劾武昌同知卞孔時抗拒，孔時亦被逮。
HCH_012_237_000169	緹騎抵武昌，民知應京獲重譴，相率痛哭。
HCH_012_237_000170	奉乃大書應京名，列其罪，榜之通衢。
HCH_012_237_000171	士民益憤，聚數萬人圍奉廨，奉窘，逃匿楚王府，遂執其斥牙六人，投之江，並傷緹騎；詈可大助虐，焚其府門，可大不敢出。
HCH_012_237_000172	奉潛遣參隨三百人，引兵追逐，射殺數人，傷者不可勝計。
HCH_012_237_000173	日已晡，猶紛。
HCH_012_237_000174	應京囚服坐檻車，曉以大義，乃稍稍解散。
HCH_012_237_000175	奉匿楚府，逾月不敢出，亟請還京。
HCH_012_237_000176	大學士沈一貫因極言奉罪，請立代還。
HCH_012_237_000177	言官亦爭以為請。
HCH_012_237_000178	帝未許。
HCH_012_237_000179	俄江西稅監李道亦奏奉侵匿狀，乃召還，隸其事於承天守備杜茂。
HCH_012_237_000180	頃之，東廠奏緹騎有死者。
HCH_012_237_000181	帝慍甚，手詔內閣，欲究主謀。
HCH_012_237_000182	一貫言民心宜靜，請亟遣重臣代可大拊循，因以侍郎趙可懷薦。
HCH_012_237_000183	帝乃褫可大官，令可懷馳往。
HCH_012_237_000184	未至，可大已遣兵護奉行。
HCH_012_237_000185	舟車相銜，數里不絕。
HCH_012_237_000186	可懷入境，亦遣使護之。
HCH_012_237_000187	奉得迄邐去。
HCH_012_237_000188	應京之就逮也，士民擁檻車號哭，車不得行。
HCH_012_237_000189	既去，則家為位祀之。
HCH_012_237_000190	三郡父老相率詣闕訴冤，帝不省。
HCH_012_237_000191	吏科都給事中郭如星、刑科給事中陳維春更連章劾奉。
HCH_012_237_000192	帝怒，謫兩人邊方雜職，系應京等詔獄，拷訊久之不釋。
HCH_012_237_000193	應京乃於獄中著書，昕夕無倦。
HCH_012_237_000194	三十二年九月，星變修省。
HCH_012_237_000195	廷臣多請釋系囚，於是應京及宅、棟如獲釋。
HCH_012_237_000196	之翰先瘐死，而孔時繫獄如故。
HCH_012_237_000197	應京誌操卓犖，學求有用，不事空言，為淮西士人之冠。
HCH_012_237_000198	出獄三年卒。
HCH_012_237_000199	天啟初，贈太常少卿，謚恭節。
HCH_012_237_000200	何棟如，無錫人。
HCH_012_237_000201	居官守正。
HCH_012_237_000202	既為奉所陷，襄陽人赴闕訴冤，不聽。
HCH_012_237_000203	及出獄，削籍歸，家居十七年。
HCH_012_237_000204	天啟初，始起南京兵部主事。
HCH_012_237_000205	會遼陽陷，時議募兵，棟如自請行。
HCH_012_237_000206	遂賫帑金赴浙江，得六千七百人。
HCH_012_237_000207	甫至而廣寧復陷，又自請出關視形勢。
HCH_012_237_000208	乃進太僕少卿，充軍前贊畫。
HCH_012_237_000209	棟如誌銳而才疏。
HCH_012_237_000210	初在浙，不能無浮費。
HCH_012_237_000211	所募兵畏出關，多逃亡。
HCH_012_237_000212	及兩疏論熊廷弼、王化貞功罪，給事中蔡思充、朱童蒙，御史陳保泰遂交章劾之。
