HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000191	洪武二年七月改屬。
HCH_012_041_000192	東南有嶧山，亦曰邾嶧，又曰鄒嶧。
HCH_012_041_000193	東北有昌平山。
HCH_012_041_000194	西南有鳧山。
HCH_012_041_000195	又有泗河。
HCH_012_041_000196	泗水府東。
HCH_012_041_000197	東有陪尾山，泗水出焉，經縣北，下流至南直清河縣入淮。
HCH_012_041_000198	滕府東南。
HCH_012_041_000199	元滕州，治滕縣，屬益都路。
HCH_012_041_000200	洪武二年七月，州廢，縣屬濟寧府。
HCH_012_041_000201	十八年來屬。
HCH_012_041_000202	東南有桃山。
HCH_012_041_000203	東北有連青山。
HCH_012_041_000204	又西南有新運河，北自南陽，南至境山，長一百九十四里，嘉靖四十四年所開，又薛水，源自縣東高、薛二山間，西南流，合漷水，一名南沙河，至沛縣入運。
HCH_012_041_000205	又有北沙河在縣北，西流經魚臺入招湖。
HCH_012_041_000206	又南有沙溝集巡檢司。
HCH_012_041_000207	嶧府東南。
HCH_012_041_000208	元嶧州，屬益都路。
HCH_012_041_000209	洪武二年降爲縣，屬濟寧府，後來屬。
HCH_012_041_000210	東南有柱子山，舊名葛嶧山，水流其下。
HCH_012_041_000211	又北有君山，一名抱犢山，西泇水所出，東南流至三合村，有東泇河自沂水來會焉。
HCH_012_041_000212	又南合武河、彭、諸水注於泗，謂之泇口。
HCH_012_041_000213	萬曆中，改爲運道，自夏鎮至直河口，凡二百六十餘里，避黃河之險者三百三十里。
HCH_012_041_000214	又西北有鄒塢鎮巡檢司，嘉靖中，移於縣西拖梨溝。
HCH_012_041_000215	又東南有臺莊巡檢司，萬曆三十四年置。
HCH_012_041_000216	金鄉府西南。
HCH_012_041_000217	元屬濟寧路。
HCH_012_041_000218	洪武十八年來屬。
HCH_012_041_000219	金莎嶺在東。
HCH_012_041_000220	大河在西南。
HCH_012_041_000221	魚臺府西南。
HCH_012_041_000222	元屬濟州。
HCH_012_041_000223	洪武元年屬徐州。
HCH_012_041_000224	二年七月屬濟寧府。
HCH_012_041_000225	十八年來屬。
HCH_012_041_000226	泗河在東，即運道也。
HCH_012_041_000227	北有菏水，一名五丈溝，東入泗。
HCH_012_041_000228	又東有谷亭鎮，嘉靖九年，黃河決於此。
HCH_012_041_000229	又南有塌場口，洪武、永樂間，爲運道所經。
HCH_012_041_000230	單府西南。
HCH_012_041_000231	元單州，屬濟寧路。
HCH_012_041_000232	洪武元年省州治單父縣入州。
HCH_012_041_000233	二年七月乃降州爲縣，屬濟寧府。
HCH_012_041_000234	十八年來屬。
HCH_012_041_000235	舊城在南，正德十四年五月因河決改遷。
HCH_012_041_000236	南濱大河。
HCH_012_041_000237	城武府西南。
HCH_012_041_000238	元屬曹州。
HCH_012_041_000239	洪武四年屬濟寧府。
HCH_012_041_000240	十八年來屬。
HCH_012_041_000241	縣城，正德十四年五月因河決改遷。
HCH_012_041_000242	南有故黃河，即洪武間之運道也，弘治後堙。
HCH_012_041_000243	濟寧州元任城縣，爲濟州治。
HCH_012_041_000244	至正八年罷濟州，徙濟寧路治此。
HCH_012_041_000245	太祖吳元年爲濟寧府。
HCH_012_041_000246	十八年降爲州，以州治任城縣省入。
HCH_012_041_000247	南臨會通河。
HCH_012_041_000248	西有馬腸湖。
HCH_012_041_000249	又東南有魯橋鎮巡檢司。
HCH_012_041_000250	東距府六十里。
HCH_012_041_000251	領縣三：嘉祥州東。
HCH_012_041_000252	元屬單州。
HCH_012_041_000253	洪武二年來屬。
HCH_012_041_000254	南有塔山。
HCH_012_041_000255	東有會通河。
HCH_012_041_000256	北有故黃河，一名塔章河，即塌場口之上流也。
HCH_012_041_000257	鉅野州西北。
HCH_012_041_000258	元爲濟寧路治，至正八年徙路治任城縣，以縣屬焉。
HCH_012_041_000259	南有高平山。
HCH_012_041_000260	東有鉅野澤，元末爲黃河所決，遂涸。
HCH_012_041_000261	東南有會通河。
HCH_012_041_000262	西南有故黃河，弘治後堙。
HCH_012_041_000263	西有安興集巡檢司。
HCH_012_041_000264	鄆城州西北。
HCH_012_041_000265	西有灉水，又有故黃河，又有故濟水在西南。
HCH_012_041_000266	東平州元東平路，直隸中書省。
HCH_012_041_000267	太祖吳元年爲府。
HCH_012_041_000268	七年十一月降爲州，屬濟寧府，以州治須城縣省入。
HCH_012_041_000269	十八年改屬。
HCH_012_041_000270	北有瓠山。
HCH_012_041_000271	東北有危山。
HCH_012_041_000272	西南有安山，亦曰安民山。
HCH_012_041_000273	下有積水湖，一名安山湖。
HCH_012_041_000274	山南有安山鎮，會通河所經也。
HCH_012_041_000275	汶水在南，西流入安山湖。
HCH_012_041_000276	又西北有金線閘巡檢司。
HCH_012_041_000277	東南距府百五十里。
HCH_012_041_000278	領縣五：汶上州東南。
HCH_012_041_000279	西南有蜀山，其下爲蜀山湖。
HCH_012_041_000280	又西爲南旺湖，其西北則馬踏河，運道經其中而北出，即會通河也。
HCH_012_041_000281	又汶水在東北，舊時西流入大清河。
HCH_012_041_000282	永樂中，開會通河，堰汶水西南流，悉入南旺湖。
HCH_012_041_000283	東阿州西北。
HCH_012_041_000284	故城在縣西南。
HCH_012_041_000285	今治本故谷城縣也，洪武八年徙於此。
HCH_012_041_000286	南有碻磝山。
HCH_012_041_000287	西有魚山。
HCH_012_041_000288	會通河自西南而北經此，始與大清河分流。
HCH_012_041_000289	又西有馬頰河，俗名小鹽河，東流入大清河。
HCH_012_041_000290	又張秋鎮在西南，弘治二年，河決於此。
HCH_012_041_000291	七年十二月塞，賜名安平鎮。
HCH_012_041_000292	平陰州東北。
HCH_012_041_000293	南有汶河。
HCH_012_041_000294	西南有大清河，又有滑口鎮巡檢司，後廢。
HCH_012_041_000295	陽谷州西北。
HCH_012_041_000296	東有會通河。
HCH_012_041_000297	又東有阿膠井。
HCH_012_041_000298	壽張州西。
HCH_012_041_000299	洪武三年省入須城、陽谷二縣。
HCH_012_041_000300	十三年十一月復置，屬濟寧府，後來屬。
