HCH_012_042_000345	南有渦水。
HCH_012_042_000346	汝寧府元直隸河南江北行省。
HCH_012_042_000347	洪武初，因之。
HCH_012_042_000348	領州二，縣十二。
HCH_012_042_000349	距布政司四百六十里。
HCH_012_042_000350	汝陽倚。
HCH_012_042_000351	天順元年三月建秀王府，成化八年除。
HCH_012_042_000352	十年建崇王府。
HCH_012_042_000353	洪武初，縣廢，四年七月復置。
HCH_012_042_000354	北有汝水，源出天息山，東流入境，過新蔡東南入淮。
HCH_012_042_000355	又南有澺水，又有汶水，又有溱水，又西北有犋水，俗名泥河，下流俱入於汝。
HCH_012_042_000356	又城南有柴潭。
HCH_012_042_000357	東有陽埠巡檢司。
HCH_012_042_000358	真陽府東。
HCH_012_042_000359	元屬息州。
HCH_012_042_000360	洪武四年省入汝陽縣。
HCH_012_042_000361	景泰四年置真陽鎮巡檢司於此。
HCH_012_042_000362	弘治十八年十二月仍置縣，而徙巡檢司於縣南銅鐘店，仍故名，尋廢。
HCH_012_042_000363	南有淮水。
HCH_012_042_000364	又汝水在縣東，北有滇水流入焉。
HCH_012_042_000365	上蔡府北。
HCH_012_042_000366	洪武初廢，四年五月復置。
HCH_012_042_000367	西有汝水，西南有沙水流合焉。
HCH_012_042_000368	新蔡府東少南。
HCH_012_042_000369	元屬息州，後廢。
HCH_012_042_000370	洪武四年五月復置，改屬。
HCH_012_042_000371	南有汝水，又澺水自城北流合焉。
HCH_012_042_000372	又東北有瓦店巡檢司。
HCH_012_042_000373	西平府西北。
HCH_012_042_000374	北有汝水，源出縣西南雲莊、諸石二山。
HCH_012_042_000375	自元末堨斷故汝，而此水遂爲汝源。
HCH_012_042_000376	嘉靖九年復塞，改爲洪河之上流。
HCH_012_042_000377	確山府西南。
HCH_012_042_000378	洪武十年五月省入汝陽縣，十三年十一月復置。
HCH_012_042_000379	成化十一年九月改屬信陽州。
HCH_012_042_000380	弘治二年八月仍屬府。
HCH_012_042_000381	西北有郎山，亦曰樂山。
HCH_012_042_000382	北有黃酉河，下流爲練河，流入汝。
HCH_012_042_000383	又西有竹溝巡檢司。
HCH_012_042_000384	南有明港巡檢司。
HCH_012_042_000385	遂平府西少北。
HCH_012_042_000386	西南有查牙山，其東南相接者曰馬鞍山。
HCH_012_042_000387	又西有洪山，龍陂之源出焉，自西平縣雲莊諸山之水既塞，遂以此爲汝源。
HCH_012_042_000388	南有灈水，又有沙河，又北有石洋河，其下流皆入於汝。
HCH_012_042_000389	信陽州元爲信陽縣，屬信陽州，後廢。
HCH_012_042_000390	洪武元年十月置信陽州於此，屬河南分省。
HCH_012_042_000391	四年二月屬中都臨濠府。
HCH_012_042_000392	七年八月改屬。
HCH_012_042_000393	十年五月降爲縣。
HCH_012_042_000394	成化十一年九月復升爲州。
HCH_012_042_000395	西南有賢首山。
HCH_012_042_000396	南有士雅山，又有峴山。
HCH_012_042_000397	東南有石城山，亦曰冥山。
HCH_012_042_000398	北有淮水，又南有溮水流入焉。
HCH_012_042_000399	東北距府二百七十里。
HCH_012_042_000400	領縣一：羅山州東。
HCH_012_042_000401	元信陽州治，後州縣俱廢。
HCH_012_042_000402	洪武元年十月置州於舊信陽縣，復置羅山縣屬焉。
HCH_012_042_000403	十年五月直隸汝寧府。
HCH_012_042_000404	成化十一年九月還屬州。
HCH_012_042_000405	北有淮水，又南有小黃河入焉。
HCH_012_042_000406	東南有大勝關巡檢司，與湖廣黃陂界。
HCH_012_042_000407	西南有九里關，好黃峴關，義陽三關之一，有巡檢司，與湖廣應山縣界。
HCH_012_042_000408	光州洪武初，以州治定城縣省入。
HCH_012_042_000409	四年二月改屬中都臨濠府。
HCH_012_042_000410	十三年仍來屬。
HCH_012_042_000411	北有淮水。
HCH_012_042_000412	又南有潢水，北流入淮水。
HCH_012_042_000413	西南有陰山關。
HCH_012_042_000414	西北距府三百里。
HCH_012_042_000415	領縣四：光山州西南。
HCH_012_042_000416	南有石盤山。
HCH_012_042_000417	北濱淮。
HCH_012_042_000418	南有潢水，亦曰官渡河。
HCH_012_042_000419	又南有木陵關。
HCH_012_042_000420	西南又有白沙、土門、鬥木嶺、黃土嶺、修善衝等五關，與湖廣麻城縣界。
HCH_012_042_000421	東南有牛山鎮巡檢司，後移於長潭。
HCH_012_042_000422	又有沙窩鎮巡檢司，後廢。
HCH_012_042_000423	固始州東北。
HCH_012_042_000424	南有白鹿崖。
HCH_012_042_000425	北濱淮。
