HCH_013_079_000166	或謂從逆官吏，多非其心，請赦河南、北所俘僞官，以攜賊黨。
HCH_013_079_000167	丙申，大風霾，晝晦。
HCH_013_079_000168	命司禮太監王承恩提督內外京城，總督薊遼王永吉節制各鎭，俱聽便宜行事。
HCH_013_079_000169	賊警益逼，有勸上南遷者，上怒曰：「卿等平日專營門戶，今日死守，夫復何言！」
HCH_013_079_000170	諭兵部曰：「都城守備有餘，援兵四集，何難刻期滅寇！敢有訛言惑衆，及私發家眷出城者擒治！」
HCH_013_079_000171	庚子，上召對，惟問兵餉。
HCH_013_079_000172	以舉朝無人，常泣下。
HCH_013_079_000173	廷臣長策，惟閉門止出入，餘無一籌。
HCH_013_079_000174	議增兵外城，則內闕；增兵內城，則外闕。
HCH_013_079_000175	襄城伯李國楨在事，亦不敢抗王承恩。
HCH_013_079_000176	辛丑，分營都門設大礮。
HCH_013_079_000177	上又召對羣臣，問禦寇方略，諸臣皆嚄唶不能對。
HCH_013_079_000178	廷臣舉兵部職方司員外萬元吉知兵，可任司馬。
HCH_013_079_000179	給九門守者人百錢，召前太監曹化淳可守城。
HCH_013_079_000180	南京孝陵夜哭。
HCH_013_079_000181	癸卯，風晦。
HCH_013_079_000182	寇自柳溝抵居庸關。
HCH_013_079_000183	柳溝天塹，百人可守，竟不設備。
HCH_013_079_000184	總兵唐通、太監杜之秩迎降，撫臣何謙僞死私遁。
HCH_013_079_000185	總兵馬岱自殺其妻子，疾走山海關。
HCH_013_079_000186	時京師以西諸郡縣，望風瓦解，將吏或降或遁。
HCH_013_079_000187	僞權將軍移檄至京師，云：「十八日至幽州會同館暫繳。」
HCH_013_079_000188	京師大震，詔三大營屯齊化門外。
HCH_013_079_000189	甲辰，賊陷昌平州，諸軍皆降。
HCH_013_079_000190	總兵李守鑅罵賊不屈，手格殺數人，人不能執，諸賊圍之，守鑅拔刀自刎。
HCH_013_079_000191	賊焚十二陵享殿，傳儆至京師。
HCH_013_079_000192	先是，上知寇儆益急，下吳麟徵《請徙寧遠疏》，飛檄趣三桂入關。
HCH_013_079_000193	三桂徙五十萬衆，日行數十里。
HCH_013_079_000194	是日，始及關，賊騎已過昌平矣。
HCH_013_079_000195	太監高起潛棄關走西山，賊分兵掠通州糧儲。
HCH_013_079_000196	上方御殿，召考選諸臣問裕餉安人，滋陽知縣黃國琦對中旨，授給事中。
HCH_013_079_000197	餘以次對，未及半，祕封入，上覽之色變，卽起入。
HCH_013_079_000198	諸臣立候移刻，命俱退，始知爲昌平失守也。
HCH_013_079_000199	是夜，賊自沙河而進，直犯平則門，竟夜焚掠，火光燭天。
HCH_013_079_000200	京師內外城堞凡十五萬四千有奇，京營兵疫，其精銳又太監選去，登陴羸弱五六萬人、內閹數千人，守陴不充。
HCH_013_079_000201	無炊具，市飯爲餐。
HCH_013_079_000202	餉久闕，僅人給百錢，無不解體。
HCH_013_079_000203	而賊自破中原，旋收秦、晉，久窺畿輔空虛，潛遣其黨輦金錢氈罽，飾爲大賈，列肆於都門。
HCH_013_079_000204	更遣奸黨挾貲充衙門掾吏，專刺陰事，纖悉必知。
HCH_013_079_000205	都中日遣撥馬探之，賊黨卽指示告賊，賊掠之入營，厚賄結之。
HCH_013_079_000206	撥馬多降賊，無一騎還者。
