HCH_015_053_000200	有讒惠素納利者，世祖怒，勑尚書評賈，貴二十八萬餘，有司奏之，伏誅。
HCH_015_053_000201	死後家徒四壁，上甚悔恨。
HCH_015_053_000202	孔琇之，會稽山陰人也。
HCH_015_053_000203	祖季恭，光祿大夫，父靈運，著作郎。
HCH_015_053_000204	琇之初爲國子生，舉孝廉。
HCH_015_053_000205	除衞軍行參軍，員外郎，尚書三公郎。
HCH_015_053_000206	出爲烏程令，有吏能。
HCH_015_053_000207	還遷通直郎，補吳令。
HCH_015_053_000208	有小兒年十歲，偷刈隣家稻一束，琇之付獄治罪，或諫之，琇之曰：「十歲便能爲盜，長大何所不爲？」
HCH_015_053_000209	縣中皆震肅。
HCH_015_053_000210	遷尚書左丞，又以職事知名。
HCH_015_053_000211	轉前軍將軍，兼少府。
HCH_015_053_000212	遷驍騎將軍，少府如故。
HCH_015_053_000213	出爲寧朔將軍、高宗冠軍征虜長史、江夏內史。
HCH_015_053_000214	還爲正員常侍，兼左民尚書、廷尉卿。
HCH_015_053_000215	出爲臨海太守，在任清約，罷郡還，獻乾薑二十斤，世祖嫌少，及知琇之清，乃歎息。
HCH_015_053_000216	除武陵王前軍長史，未拜，仍出爲輔國將軍，監吳興郡，尋拜太守，治稱清嚴。
HCH_015_053_000217	高宗輔政，防制諸蕃，致密旨於上佐。
HCH_015_053_000218	隆昌元年，遷琇之爲寧朔將軍、晉熙王冠軍長史，行郢州事，江夏內史。
HCH_015_053_000219	琇之辭，不許。
HCH_015_053_000220	未拜，卒。
HCH_015_053_000221	史臣曰：琴瑟不調，必解而更張也。
HCH_015_053_000222	魏晉爲吏，稍與漢乖，苛猛之風雖衰，而仁愛之情亦減。
HCH_015_053_000223	局以峻法，限以常條，以必世之仁未及宣理，而朞月之望已求治術。
HCH_015_053_000224	先公後私，在己未易，割民奉國，於物非難，期之救過，所利苟免。
HCH_015_053_000225	且目見可欲，嗜好方流，貪以敗官，取與違義，吏之不臧，罔非由此。
HCH_015_053_000226	擿姦辯偽，誠俟異識，垂名著績，唯有廉平。
HCH_015_053_000227	今世之治民，未有出於此也。
HCH_015_053_000228	贊曰：蒸蒸小民，吏職長親。
HCH_015_053_000229	棼亂須理，卹隱歸仁。
HCH_015_053_000230	枉直交瞀，寬猛代陳。
HCH_015_053_000231	伊何導物，貴在清身。
HCH_015_053_000232	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
