HCH_012_160_000391	以才擢山東按察使。
HCH_012_160_000392	重囚二百餘人，或經十餘年未判，裕旬月間決遣殆盡。
HCH_012_160_000393	大峴山賊寨七十餘，裕捕戮其魁，縱脅從，除其逋負，亂遂平。
HCH_012_160_000394	成化初，遷陝西左布政使，入為順天府尹。
HCH_012_160_000395	政聲大著。
HCH_012_160_000396	進右副都御史，總督漕運兼巡撫江北諸府。
HCH_012_160_000397	浚白塔、孟瀆二河以便漕。
HCH_012_160_000398	張秋南旺及淮安西湖舊編木捍沖激，勞費無已。
HCH_012_160_000399	裕與郎中楊恭等謀，易以石，遂為永利。
HCH_012_160_000400	淮、鳳方饑，而太僕征預備馬二萬匹。
HCH_012_160_000401	裕論罷之。
HCH_012_160_000402	在淮六歲，每歲入計事，陳利病，多施行。
HCH_012_160_000403	父憂歸，服除，留佐院事。
HCH_012_160_000404	十九年代戴縉為右都御史。
HCH_012_160_000405	縉附汪直，嘗請復立西廠者也，在台綱紀不立。
HCH_012_160_000406	裕欲振之。
