HCH_012_167_000167	其餘姓氏可考者，卿寺則龔全安、黃養正、戴慶祖、王一居、劉容、淩壽；給事、御史則包良佐、姚銑、鮑輝、張洪、黃裳、魏貞、夏誠、申祐、尹竑、童存德、孫慶、林祥鳳；庶寮則齊汪、馮學明、王健、程思溫、程式、逯端、俞鑒、張瑭、鄭瑄、俞拱、潘澄、錢昺、馬預、尹昌、羅如墉、劉信、李恭、石玉。
HCH_012_167_000168	景帝立，既贈恤諸大臣，自給事、御史以下，皆降敕褒美，錄其子為國子生，一時恤典綦備雲。
HCH_012_167_000169	龔全安，蘭溪人。
HCH_012_167_000170	進士，授工科給事中，累遷左通政。
HCH_012_167_000171	歿贈通政使。
HCH_012_167_000172	黃養正，名蒙，以字行，瑞安人。
HCH_012_167_000173	以善書授中書舍人，累官太常少卿。
HCH_012_167_000174	歿贈太常卿。
HCH_012_167_000175	戴慶祖，溧陽人，王一居，上元人。
HCH_012_167_000176	俱樂舞生，累官太常少卿。
HCH_012_167_000177	歿，俱贈太常卿。
HCH_012_167_000178	包良佐，字克忠。
HCH_012_167_000179	慈溪人。
HCH_012_167_000180	進士，授吏科給事中。
HCH_012_167_000181	鮑輝，字淑大，浙江平陽人。
HCH_012_167_000182	進士，授工科給事中，數有建白。
HCH_012_167_000183	張洪，安福人；黃裳，字元吉，曲江人。
HCH_012_167_000184	俱進士，授御史。
HCH_012_167_000185	裳嘗言寧、紹、臺三府疫死三萬人，死者宜蠲租，存者宜振恤。
HCH_012_167_000186	巡視兩浙鹽政，請恤水災。
HCH_012_167_000187	報可。
HCH_012_167_000188	魏貞，懷遠人。
HCH_012_167_000189	進士，官御史。
HCH_012_167_000190	申祐。
HCH_012_167_000191	字天錫，貴州婺川人。
HCH_012_167_000192	父為虎嚙。
HCH_012_167_000193	祐持梃奮擊之，得免。
HCH_012_167_000194	舉於鄉，入國學，帥諸生救祭酒李時勉。
HCH_012_167_000195	旋登進士，拜四川道御史，以謇諤聞。
HCH_012_167_000196	尹竑，字太和，巴人；童存德，字居敬，蘭溪人。
HCH_012_167_000197	俱進士，官御史。
HCH_012_167_000198	林祥鳳，字鳴臯，莆田人。
HCH_012_167_000199	由鄉舉授訓導，擢御史。
HCH_012_167_000200	齊汪，字源澄，天臺人。
HCH_012_167_000201	以進士歷兵部車駕司郎中。
HCH_012_167_000202	程思溫，婺源人；程式，常熟人；逯端，仁和人。
HCH_012_167_000203	俱進士，官員外郎。
HCH_012_167_000204	俞鑒，字元吉，桐廬人。
HCH_012_167_000205	以進士授兵部職方司主事。
HCH_012_167_000206	駕北征，郎中胡寧當從，以病求代，鑒慷慨許諾。
HCH_012_167_000207	或曰：「家遠子幼奈何？」
HCH_012_167_000208	鑒曰：「為國，臣子敢計身家！」
HCH_012_167_000209	尚書鄺埜知其賢，數與計事，鑒曰：「惟力勸班師耳。」
HCH_012_167_000210	時不能用。
HCH_012_167_000211	張瑭，字廷玉，慈溪人。
HCH_012_167_000212	進士，授刑部主事。
HCH_012_167_000213	尹昌，吉永人。
HCH_012_167_000214	進士，官行人司正。
HCH_012_167_000215	羅如墉，字本崇，廬陵人。
HCH_012_167_000216	進士，授行人。
HCH_012_167_000217	從北征，瀕行，訣妻子，誓以死報國，屬翰林劉儼銘其墓。
HCH_012_167_000218	儼驚拒之，如墉笑曰：「行當驗耳。」
HCH_012_167_000219	後數日果死。
HCH_012_167_000220	劉容，太僕少卿。
HCH_012_167_000221	淩壽，尚寶少卿。
HCH_012_167_000222	夏誠、孫慶皆御史。
HCH_012_167_000223	馮學明，郎中。
HCH_012_167_000224	王健，員外郎。
HCH_012_167_000225	俞拱、潘澄、錢昺，皆中書舍人。
HCH_012_167_000226	馬預，大理寺副。
HCH_012_167_000227	劉信，夏官正。
HCH_012_167_000228	李恭，石玉，序班。
HCH_012_167_000229	裏居悉無考。
HCH_012_167_000230	孫祥，大同人。
HCH_012_167_000231	正統十年進士。
HCH_012_167_000232	授兵科給事中。
HCH_012_167_000233	擢右副都御史，守備紫荊關。
HCH_012_167_000234	也先逼關，都指揮韓青戰死，祥堅守四日。
HCH_012_167_000235	也先由間道入，夾攻之，關破。
HCH_012_167_000236	祥督兵巷戰，兵潰被殺，言官誤劾祥棄城遁。
HCH_012_167_000237	寇退，有司修關，得其屍戰地，焚而瘞之，不以聞。
HCH_012_167_000238	祥弟祺詣闕言冤，詔恤其家。
HCH_012_167_000239	成化改元，錄其子紳為大理寺右評事。
HCH_012_167_000240	又謝澤者，上虞人。
HCH_012_167_000241	永樂十六年進士。
HCH_012_167_000242	由南京刑部主事出為廣西參政。
HCH_012_167_000243	正統末，擢通政使，守備白羊口。
