HCH_012_224_000182	歷武選郎中，尚書楊博深器之。
HCH_012_224_000183	世宗齋居二十年，諫者輒獲罪。
HCH_012_224_000184	鑨請朝群臣，且力詆近幸方士，引趙高、林靈素為喻。
HCH_012_224_000185	中貴匿不以聞，鑨遂引疾歸。
HCH_012_224_000186	隆慶元年，起南京文選郎中。
HCH_012_224_000187	萬歷初，累遷光祿卿。
HCH_012_224_000188	引疾歸。
HCH_012_224_000189	裏居十年，坐臥一小樓，賓客罕見其面。
HCH_012_224_000190	起故官，進大理卿。
HCH_012_224_000191	都御史吳時來議律例，多紕盭，鑨力爭之。
HCH_012_224_000192	帝悉從駁議。
HCH_012_224_000193	歷南京吏部尚書，尋改兵部，參贊機務。
HCH_012_224_000194	命甫下，會陸光祖去，廷推代者再，乃召為吏部尚書。
HCH_012_224_000195	吏部自宋纁及光祖為政，權始歸部。
HCH_012_224_000196	至鑨，守益堅。
HCH_012_224_000197	故事，冢宰與閣臣遇不避道，後率引避。
HCH_012_224_000198	光祖爭之，乃復故。
HCH_012_224_000199	然陰戒騶人異道行，至鑨益徑直。
HCH_012_224_000200	張位等不能平，因欲奪其權。
HCH_012_224_000201	建議大僚缺，九卿各舉一人，類奏以聽上裁，用杜專擅。
HCH_012_224_000202	鑨言：「廷推，大臣得共衡可否，此『爵人於朝，與眾共之』之義，類奏啟幸途，非制。」
HCH_012_224_000203	給事中史孟麟亦言之。
HCH_012_224_000204	詔卒如位議。
HCH_012_224_000205	自是吏部權又漸散之九卿矣。
HCH_012_224_000206	二十一年，大計京朝官，力杜請謁。
HCH_012_224_000207	文選員外郎呂胤昌，鑨甥也，首斥之。
HCH_012_224_000208	考功郎中趙南星亦自斥其姻。
HCH_012_224_000209	一時公論所不予者貶黜殆盡，大學士趙誌臯弟預焉。
HCH_012_224_000210	由是執政皆不悅。
HCH_012_224_000211	王錫爵方以首輔還朝，欲有所庇。
HCH_012_224_000212	比至而察疏已上，庇者在黜中，亦不能無憾。
HCH_012_224_000213	會言官以拾遺論劾稽勛員外郎虞淳熙、職方郎中楊於廷、主事袁黃。
HCH_012_224_000214	鑨議謫黃，留淳熙、於廷。
HCH_012_224_000215	詔黃方贊畫軍務，亦留之。
HCH_012_224_000216	給事中劉道隆遂言淳熙、於廷不當議留，乃下嚴旨責部臣專權結黨。
HCH_012_224_000217	鑨言：「淳熙，臣鄉人，安貧好學。於廷力任西事，尚書石星極言其才。今寧夏方平，臣不敢以功為罪。且既名議覆，不嫌異同。若知其無罪，以諫官一言而去之，自欺欺君，臣誼不忍為也。」
HCH_012_224_000218	帝以鑨不引罪，奪其俸，貶南星三官，淳熙等俱勒罷。
HCH_012_224_000219	鑨遂乞休，且白南星無罪。
HCH_012_224_000220	左都御史李世達以己同掌察，而南星獨被譴，亦為南星、淳熙等訟。
HCH_012_224_000221	帝皆不聽。
HCH_012_224_000222	於是僉都御史王汝訓，右通政魏允貞，大理少卿曾乾亨，郎中於孔兼，員外郎陳泰來，主事顧允成、張納升、賈嚴，助教薛敷教交章訟南星冤，而泰來詞尤切，其略曰：臣嘗四更京察。
HCH_012_224_000223	其在丁丑，張居正以奪情故，用御史朱璉謀，借星變計吏，箝制眾口。
HCH_012_224_000224	署部事方逢時、考功郎中劉世亨依違其間。
