HCH_012_044_000001	湖廣《禹貢》荊、揚、樑、豫四州之域。
HCH_012_044_000470	南有野山關巡檢司，本治石柱，隆慶四年更名。
HCH_012_044_000471	襄陽府元襄陽路，屬河南江北行省。
HCH_012_044_000472	太祖甲辰年爲府，屬湖廣行省。
HCH_012_044_000473	九年屬湖廣佈政司。
HCH_012_044_000474	二十四年六月改屬河南，未幾，還屬湖廣。
HCH_012_044_000475	領州一，縣六。
HCH_012_044_000476	東南距布政司六百八十里。
HCH_012_044_000477	襄陽倚。
HCH_012_044_000478	正統元年，襄王府自長沙遷此。
HCH_012_044_000479	南有虎頭山，又有峴山。
HCH_012_044_000480	東南有鹿門山。
HCH_012_044_000481	又西有隆中山。
HCH_012_044_000482	漢水在城北，亦曰襄江。
HCH_012_044_000483	白河在城東北，與唐河合，南入漢，謂之白河口，亦曰三州口。
HCH_012_044_000484	又西北有青泥河，南有浮河，西南有檀溪，下流皆入於漢。
HCH_012_044_000485	北有樊城，有樊城關巡檢司，後移於縣東北之柳樹頭。
HCH_012_044_000486	又東北有雙溝口巡檢司。
HCH_012_044_000487	又西有油坊灘巡檢司，嘉靖十九年移於縣西北之北泰山廟鎮。
HCH_012_044_000488	宜城府東南。
HCH_012_044_000489	東有漢水。
HCH_012_044_000490	西有蠻水，亦曰夷水，源出房縣，流至縣界，入漢水，其支流曰長渠。
HCH_012_044_000491	又有沶水，自漢中流入，合於蠻水，謂之沶口。
HCH_012_044_000492	又有疏水，在縣東北，自南漳縣流入，注漢，謂之疏口。
HCH_012_044_000493	南漳府西南。
HCH_012_044_000494	西北有荊山。
HCH_012_044_000495	南有蠻水，又有沮水，又有漳河，流入當陽縣，合於沮水。
HCH_012_044_000496	東有方家堰、西南有金廂坪二巡檢司。
HCH_012_044_000497	又西有七里頭巡檢司，後移於保康縣之常平堡。
HCH_012_044_000498	棗陽府東北。
HCH_012_044_000499	洪武十年五月省入宜城縣，後復置。
HCH_012_044_000500	東南有白水，南有濜水流合焉，西流於沔水，此縣內之白水也。
HCH_012_044_000501	又西南有滾河，流入襄陽之白河。
HCH_012_044_000502	東北有鹿頭店巡檢司。
HCH_012_044_000503	谷城府西少北。
HCH_012_044_000504	東北有漢水，又有均水流入焉，謂之均口。
HCH_012_044_000505	又有築水，經縣治東南，注於漢水，曰築口。
HCH_012_044_000506	西有石花街巡檢司。
HCH_012_044_000507	光化府西北。
HCH_012_044_000508	洪武十年省入谷城縣。
HCH_012_044_000509	十三年五月復置。
HCH_012_044_000510	舊治在西。
HCH_012_044_000511	隆慶末，改建於阜城衛，即今治也。
HCH_012_044_000512	東有馬窟山。
HCH_012_044_000513	北有漢水。
HCH_012_044_000514	東有白河，即氵肓水，自河南新野縣流入，有泌河流合焉。
HCH_012_044_000515	西北有左旗營巡檢司，萬曆中，徙於縣舊城。
HCH_012_044_000516	均州洪武二年七月以州治武當縣省入。
HCH_012_044_000517	南有武當山，永樂中，尊爲太嶽太和山。
HCH_012_044_000518	山有二十七峯、三十六巖、二十四澗。
HCH_012_044_000519	北有漢江，一名滄浪水。
HCH_012_044_000520	東北有均水，自河南淅川縣流入。
HCH_012_044_000521	又東南有黑虎廟巡檢司。
HCH_012_044_000522	東南距府三百九十里。
HCH_012_044_000523	鄖陽府成化十二年十二月置。
HCH_012_044_000524	領縣七。
HCH_012_044_000525	又置湖廣行都指揮使司於此。
HCH_012_044_000526	衛所俱無實土。
HCH_012_044_000527	東南距布政司千二百里。
HCH_012_044_000528	鄖倚。
HCH_012_044_000529	元屬均州。
HCH_012_044_000530	成化十二年置鄖陽府，治此。
HCH_012_044_000531	漢水在南。
HCH_012_044_000532	東南有龍門山，龍門河出焉，下流入於漢水。
HCH_012_044_000533	西北有青桐關。
HCH_012_044_000534	東北有雷峯、椏鎮二巡檢司。
HCH_012_044_000535	房府南少西。
HCH_012_044_000536	元房州，屬襄陽路。
HCH_012_044_000537	洪武十年五月以州治房陵縣省入，又降州爲縣，仍屬襄陽府。
HCH_012_044_000538	成化十二年十二月來屬。
HCH_012_044_000539	西南有景山，一名雁山，沮水出焉，流入遠安縣界。
HCH_012_044_000540	又南有粉水，亦曰彭水，又有築水，俱流入谷城縣，注漢。
HCH_012_044_000541	西南有板橋山巡檢司，後移於縣東南之博磨坪。
HCH_012_044_000542	竹山府西南。
HCH_012_044_000543	元屬房州。
HCH_012_044_000544	洪武十年五月省入房縣。
HCH_012_044_000545	十三年五月復置，屬襄陽府。
HCH_012_044_000546	成化十二年十二月來屬。
HCH_012_044_000547	東有方城山。
HCH_012_044_000548	西有築山，築水出焉，流入房縣界。
HCH_012_044_000549	又有上庸山，上庸水所出，南合孔陽水，下流入漢。
HCH_012_044_000550	又南有堵水，源出陝西平利縣界，東流入漢。
HCH_012_044_000551	西北有黃茅關、吉陽關二巡檢司。
HCH_012_044_000552	竹溪府西南。
HCH_012_044_000553	本竹山縣之尹店巡檢司，成化十二年十二月改置縣，而移巡檢司於縣東之縣河鎮，尋又遷巡檢司於白土關。
HCH_012_044_000554	南有竹溪河。
HCH_012_044_000555	上津府西北。
HCH_012_044_000556	洪武初置，屬襄陽府。
HCH_012_044_000557	十年五月省入鄖陽。
HCH_012_044_000558	十三年五月復置，仍屬襄陽府。
HCH_012_044_000559	成化十二年十二月來屬。
HCH_012_044_000560	西有十八盤山，又有吉水，西南流入漢，俗謂之夾河。
HCH_012_044_000561	南有江口鎮巡檢司。
HCH_012_044_000562	鄖西府西北。
HCH_012_044_000563	成化十二年十二月以鄖縣之南門保置。
HCH_012_044_000564	南有漢江，自陝西白河縣流入，下流至漢陽縣入於江。
HCH_012_044_000565	保康府東南。
HCH_012_044_000566	弘治十年十一月以房縣之潭頭坪置。
HCH_012_044_000567	北有粉水，東南有常平堡，嘉靖十九年移南漳縣之七里頭巡檢司於此。
HCH_012_044_000568	長沙府元天臨路，屬湖南道宣慰司。
HCH_012_044_000569	太祖甲辰年爲潭州府。
HCH_012_044_000570	洪武五年六月更名長沙。
HCH_012_044_000571	領州一，縣十一。
HCH_012_044_000572	東北距布政司八百八十里。
HCH_012_044_000573	長沙倚。
HCH_012_044_000574	治西北。
HCH_012_044_000575	洪武三年四月建潭王府，二十三年除。
HCH_012_044_000576	永樂元年，谷王府自北直宣府遷於此，十五年除。
HCH_012_044_000577	二十二年建襄王府，正統元年遷於襄陽。
HCH_012_044_000578	天順元年三月建吉王府。
HCH_012_044_000579	縣舊治城外，洪武初，徙城中。
HCH_012_044_000580	十八年復徙北門外。
HCH_012_044_000581	萬曆二十四年徙朝宗門內。
HCH_012_044_000582	西有湘水，源出廣西興安縣，流入境，合瀟水、烝水北流，環府城，東北出至湘陰縣，達青草湖，注洞庭湖，行二千五百餘里。
HCH_012_044_000583	北有瀏陽水，西流入湘，謂之瀏口。
HCH_012_044_000584	又有麻溪，流入湘水，曰麻溪口。
HCH_012_044_000585	又西北有喬口巡檢司，喬江與澬江合流處。
HCH_012_044_000586	善化倚。
HCH_012_044_000587	治東南。
HCH_012_044_000588	舊治在城外，洪武四年徙於城中。
HCH_012_044_000589	十年五月省入長沙縣。
HCH_012_044_000590	十三年五月復置，治在南門外。
HCH_012_044_000591	成化十八年仍徙城中。
HCH_012_044_000592	西南有嶽麓山，湘江繞其東麓。
HCH_012_044_000593	又有靳江，流入湘江。
HCH_012_044_000594	西有橘洲，在湘江中。
HCH_012_044_000595	南有暮雲市巡檢司。
HCH_012_044_000596	湘陰府北。
HCH_012_044_000597	元湘陰州。
HCH_012_044_000598	洪武初降爲縣。
HCH_012_044_000599	北有黃陵山。
HCH_012_044_000600	西有湘水，北達青草湖，謂之湘口。
HCH_012_044_000601	湖在縣北，與洞庭連，亦曰重湖。
HCH_012_044_000602	南有哀江。
HCH_012_044_000603	又北有汨羅江，汨水自平江縣流入，分流爲羅水，會於屈潭，西流注湘，謂之汨羅口。
HCH_012_044_000604	西北有營田巡檢司。
HCH_012_044_000605	湘潭府西南。
HCH_012_044_000606	元湘潭州。
HCH_012_044_000607	洪武三年三月降爲縣。
HCH_012_044_000608	東有昭山，下有昭潭。
HCH_012_044_000609	西有湘水，西南有涓水流入焉。
HCH_012_044_000610	南有下灄市巡檢司。
HCH_012_044_000611	瀏陽府東。
HCH_012_044_000612	元瀏陽州。
HCH_012_044_000613	洪武二年降爲縣。
HCH_012_044_000614	北有道吾山。
HCH_012_044_000615	東北有大光山。
HCH_012_044_000616	又有大圍山，瀏水出焉，經縣南，入長沙縣界，曰瀏陽水。
HCH_012_044_000617	東南有渠城界、梅子園二巡檢司。
HCH_012_044_000618	又有翟家寨巡檢司，後廢。
HCH_012_044_000619	醴陵府東南。
HCH_012_044_000620	元醴陵州。
HCH_012_044_000621	洪武二年降爲縣。
HCH_012_044_000622	南有淥水，亦曰漉水，西北注於湘水，有淥口巡檢司。
HCH_012_044_000623	寧鄉府西。
HCH_012_044_000624	西有大潙山。
HCH_012_044_000625	北有澬江，源出綏寧縣，經此入沅江縣界，注洞庭。
HCH_012_044_000626	益陽府西北。
HCH_012_044_000627	元益陽州。
HCH_012_044_000628	洪武初降爲縣。
HCH_012_044_000629	西南有澬江，亦曰益水。
HCH_012_044_000630	東有喬江，澬江之分流也，下流復合於澬江。
HCH_012_044_000631	湘鄉府西南。
HCH_012_044_000632	元湘鄉州。
HCH_012_044_000633	太祖甲辰年降爲縣。
HCH_012_044_000634	西有龍山，漣水出焉，經縣東南，下流入於湘水。
HCH_012_044_000635	又西有湄水，南有豐溪水，俱入於漣水。
HCH_012_044_000636	西南有武障市巡檢司。
HCH_012_044_000637	又有永豐市、虞磨市二巡檢司，後廢。
HCH_012_044_000638	攸府南少東。
HCH_012_044_000639	元攸州。
HCH_012_044_000640	洪武三年三月降爲縣。
HCH_012_044_000641	南有司空山。
HCH_012_044_000642	東有攸水，自江西安福縣流入，東南有洣水流合焉，下流至衡山縣，入於湘水。
HCH_012_044_000643	南有鳳嶺巡檢司，後廢。
HCH_012_044_000644	安化府西。
HCH_012_044_000645	東有浮泥山，有大峯山。
HCH_012_044_000646	西北有辰山，西有澬江。
HCH_012_044_000647	又南有善溪，自武陵縣流注於澬江。
HCH_012_044_000648	茶陵州元直隸湖南道。
HCH_012_044_000649	太祖甲辰年降爲縣。
HCH_012_044_000650	成化十八年十月復爲州。
HCH_012_044_000651	西有云陽山。
HCH_012_044_000652	西北有洣水，自酃縣流入。
HCH_012_044_000653	又東南有茶水，源出江西永新縣之景陽山，西流來合焉，北入攸縣之攸水。
HCH_012_044_000654	東有視渡口巡檢司。
HCH_012_044_000655	北距府四百五十里。
HCH_012_044_000656	常德府元常德路，屬湖廣行省。
HCH_012_044_000657	太祖甲辰年爲府。
HCH_012_044_000658	領縣四。
HCH_012_044_000659	東北距布政司一千零五十里。
HCH_012_044_000660	武陵倚。
HCH_012_044_000661	弘治四年八月建榮王府。
HCH_012_044_000662	東南有善德山。
HCH_012_044_000663	南有沅水，又有朗水流入焉，謂之郎口。
HCH_012_044_000664	又東北有漸水，即鼎水也，自九溪衛流入。
HCH_012_044_000665	桃源府西。
HCH_012_044_000666	元桃源州。
HCH_012_044_000667	洪武二年降爲縣。
HCH_012_044_000668	西有壺頭山，接武陵、沅陵界。
HCH_012_044_000669	南有沅水，東有朗溪，西南有泥溪，俱流入焉。
HCH_012_044_000670	又西南有高都巡檢司。
HCH_012_044_000671	又南有白馬巡檢司，本名蘇溪，治縣東後春村，尋徙，更名，後廢。
HCH_012_044_000672	龍陽府東少南。
HCH_012_044_000673	元龍陽州。
HCH_012_044_000674	洪武三年三月降爲縣。
HCH_012_044_000675	舊治在東，今治景泰元年十二月所徙。
HCH_012_044_000676	東有軍山。
HCH_012_044_000677	北有沅水，東北有鼎水流入焉，謂之鼎口，有鼎港口巡檢司。
HCH_012_044_000678	又東南有赤沙湖，一名蠡湖。
HCH_012_044_000679	又西北有小江口巡檢司。
HCH_012_044_000680	沅江府東南。
HCH_012_044_000681	元屬龍陽州。
HCH_012_044_000682	洪武三年州廢，來屬。
HCH_012_044_000683	十年五月省入龍陽縣。
HCH_012_044_000684	十三年五月復置。
HCH_012_044_000685	西南有沅水。
HCH_012_044_000686	又有澬水、澧水，並流入縣境，至縣東北入洞庭湖。
HCH_012_044_000687	衡州府元衡州路，屬湖南道宣慰司。
HCH_012_044_000688	太祖甲辰年爲府。
HCH_012_044_000689	領州一，縣九。
HCH_012_044_000690	東北距布政司一千三百里。
HCH_012_044_000691	衡陽倚。
HCH_012_044_000692	弘治十二年，雍王府自四川保寧府遷此，正德二年除。
HCH_012_044_000693	萬曆二十九年十月建桂王府。
HCH_012_044_000694	南有回雁峯，北有岣嶁峯。
HCH_012_044_000695	衡山之峯七十二，在縣者凡七，而二峯最著。
HCH_012_044_000696	東有湘水，又有蒸水自西南流入焉，謂之蒸口。
HCH_012_044_000697	又東北有耒水，注湘，謂之耒口。
HCH_012_044_000698	又東有酃湖。
HCH_012_044_000699	又東有新城縣，元末置。
HCH_012_044_000700	洪武十年五月省爲新城市，江東巡檢司治此。
HCH_012_044_000701	西南有松柏市巡檢司。
HCH_012_044_000702	衡山府東北。
HCH_012_044_000703	元屬天臨路。
HCH_012_044_000704	洪武間改屬。
HCH_012_044_000705	西有衡山，有七十二峯、十洞、十五嶽、三十八泉、二十五溪、九池、九潭、九井，而峯之最大者曰祝融、紫蓋、雲密、石廩、天柱，惟祝融爲最高。
HCH_012_044_000706	東有湘江。
HCH_012_044_000707	東南有茶陵江，即洣水也，自攸縣合攸水流入境，注於湘，曰茶陵口。
HCH_012_044_000708	東有草市、東南有雷家埠二巡檢司。
HCH_012_044_000709	耒陽府東南。
HCH_012_044_000710	元耒陽州，直隸湖南道。
HCH_012_044_000711	洪武三年三月降爲縣。
HCH_012_044_000712	耒水在北。
HCH_012_044_000713	東有侯計山，肥水出焉，西南入耒水。
HCH_012_044_000714	又西南有羅渡巡檢司。
HCH_012_044_000715	常寧府南。
HCH_012_044_000716	元常寧州，直隸湖南道。
HCH_012_044_000717	洪武三年三月降爲縣。
HCH_012_044_000718	西北有湘水，東有舂陵水合焉。
HCH_012_044_000719	安仁府東少北。
HCH_012_044_000720	西有楊梅峯。
HCH_012_044_000721	南有小江水，自郴州流入，西北流至衡山縣，合於洣水。
HCH_012_044_000722	南有安平、北有潭湖二巡檢司。
HCH_012_044_000723	酃府東。
HCH_012_044_000724	洣水在縣東，源出洣泉，西有云秋水流合焉。
HCH_012_044_000725	桂陽州元桂陽路，治平陽縣，屬湖南道宣慰司。
HCH_012_044_000726	洪武元年爲府。
HCH_012_044_000727	九年四月降爲縣，省平陽縣入焉。
HCH_012_044_000728	十三年五月升爲州。
HCH_012_044_000729	西有大湊山。
HCH_012_044_000730	南有晉嶺山。
HCH_012_044_000731	北有潭流嶺。
HCH_012_044_000732	舊皆產銀鉛砂礦。
HCH_012_044_000733	西有藍山。
HCH_012_044_000734	西北有舂陵水，又西有巋水流合焉。
HCH_012_044_000735	北有泗州寨、南有牛橋鎮二巡檢司。
HCH_012_044_000736	西北距府三百里。
HCH_012_044_000737	領縣三：臨武州南。
HCH_012_044_000738	西北有舜峯山。
HCH_012_044_000739	西有西山，武水出焉，經宜章縣合於章水。
HCH_012_044_000740	東北有兩路口巡檢司。
HCH_012_044_000741	又東有赤土巡檢，後廢。
HCH_012_044_000742	藍山州西南。
HCH_012_044_000743	舊治在縣北，洪武元年徙於此，屬郴州。
HCH_012_044_000744	二年來屬。
HCH_012_044_000745	南有黃檗山。
HCH_012_044_000746	東南有華陰山。
HCH_012_044_000747	西南有九疑山，山有杞林峯，巋水出焉，亦名舜水，北流合舂陵水。
HCH_012_044_000748	又西有守禦寧溪千戶所，洪武二十九年三月置。
HCH_012_044_000749	東有毛俊鎮、北有乾溪鎮、西南有大橋鎮三巡檢司。
HCH_012_044_000750	又西有小山堡、張家陂二巡檢司，後廢。
HCH_012_044_000751	嘉禾州西南。
HCH_012_044_000752	崇禎十二年以桂陽州之倉禾堡置，析臨武縣地益之。
HCH_012_044_000753	東南有巋水，自藍山縣流入，北經石門山，又東北入州界。
HCH_012_044_000754	永州府元永州路，屬湖南道宣慰司。
HCH_012_044_000755	洪武元年爲府。
HCH_012_044_000756	領州一，縣七。
HCH_012_044_000757	東北距布政司千八百二十里。
HCH_012_044_000758	零陵倚。
HCH_012_044_000759	北有湘水，經城西，瀟水自南來合焉，謂之湘口，有湘口關。
HCH_012_044_000760	又南有永水，源出縣西南之永山，北流入於湘水。
HCH_012_044_000761	北有黃楊堡巡檢司，本高溪市，隆慶元年徙治，更名。
HCH_012_044_000762	祁陽府東北。
HCH_012_044_000763	舊治在縣西，景泰元年十二月徙於今治。
HCH_012_044_000764	北有祁山，上有黃羆鎮。
HCH_012_044_000765	西北有四望山。
HCH_012_044_000766	西有湘水。
HCH_012_044_000767	又城北有祁水，源出邵陽縣，東北流入焉。
HCH_012_044_000768	南有浯溪，下流亦入湘水。
HCH_012_044_000769	又東有歸陽市、東南有白水市、西北有水隆太平市三巡檢司。
HCH_012_044_000770	又東北有湘江市巡檢司，後移於縣東北之排山。
HCH_012_044_000771	東安府西北。
HCH_012_044_000772	八十四渡山在縣東。
HCH_012_044_000773	又東南有湘水，自廣西全州流入。
HCH_012_044_000774	又有盧洪江，源出縣北九龍巖，經城東，下流入湘水。
HCH_012_044_000775	有盧洪市巡檢司。
HCH_012_044_000776	又有結陂市巡檢司，後廢。
HCH_012_044_000777	道州元道州路，屬湖南宣慰司。
HCH_012_044_000778	洪武元年爲府。
HCH_012_044_000779	九年四月復降爲州，以州治營道縣省入，來屬。
HCH_012_044_000780	西有營山，營水出焉，至泥江，與江華縣之沲水合。
HCH_012_044_000781	東有瀟江，至青口，合於沲水。
HCH_012_044_000782	又西有濂溪，源出州西安定山下，東北合宜水，謂之龍灘，下流俱入湘水。
HCH_012_044_000783	北距府百五十里。
HCH_012_044_000784	領縣四：寧遠州東少北。
HCH_012_044_000785	南有九疑山，介衡、永、郴、道之間。
HCH_012_044_000786	山有硃明峯，瀟水出焉。
HCH_012_044_000787	又南有舜源水，北流與江華縣沲、瀟二水合爲三江口。
HCH_012_044_000788	南有九疑、魯觀巡檢司，在九疑、魯觀二峒口。
HCH_012_044_000789	江華州南。
HCH_012_044_000790	東南有故城。
HCH_012_044_000791	今治本寧遠衛右千戶所，洪武二十八年置。
HCH_012_044_000792	天順六年徙縣來同治。
HCH_012_044_000793	西有白芒嶺，即萌渚嶺，五嶺之第四嶺也。
HCH_012_044_000794	東有沲水，源出九疑山之石城、娥皇二峯，下流合於瀟水。
HCH_012_044_000795	又東南有砅水，源出九疑山之女英峯，流合沲水。
HCH_012_044_000796	又東有守禦錦田千戶所，洪武二十九年置。
HCH_012_044_000797	又有錦田巡檢司。
HCH_012_044_000798	又西南有錦岡巡檢司，又有濤墟市巡檢司，後移於寧遠縣之九疑、魯觀。
HCH_012_044_000799	永明州西少南。
HCH_012_044_000800	北有永明嶺，即都龐嶺，五嶺之第三嶺也。
HCH_012_044_000801	南有遨水，自廣西富川縣流入，下流注於瀟水。
HCH_012_044_000802	東南有枇杷守禦千戶所，西南有桃川守禦千戶所，俱洪武二十九年置。
HCH_012_044_000803	又有桃川市巡檢司。
HCH_012_044_000804	又西南有白麪墟巡檢司。
HCH_012_044_000805	新田州東北。
HCH_012_044_000806	崇禎十二年以寧遠縣之新田堡置。
HCH_012_044_000807	西北有舂陵山，與寧遠縣界，舂陵水出焉，下流至常寧縣，合於湘水。
HCH_012_044_000808	東南有白麪寨巡檢司。
HCH_012_044_000809	寶慶府元寶慶路，屬湖南道宣慰司。
HCH_012_044_000810	洪武元年爲府。
HCH_012_044_000811	領州一，縣四。
HCH_012_044_000812	東北距布政司千二百五十里。
HCH_012_044_000813	邵陽倚。
HCH_012_044_000814	南有高霞山，東有烝水。
HCH_012_044_000815	又北有澬水，邵水自東流合焉，有五十三灘，又有四十八灘，皆澬水所經。
HCH_012_044_000816	西北有龍回巡檢司。
HCH_012_044_000817	又北有巨口關。
HCH_012_044_000818	東北有白馬關。
HCH_012_044_000819	新化府北。
HCH_012_044_000820	南有上梅山，其下梅山在安化縣境。
HCH_012_044_000821	東南有澬水。
HCH_012_044_000822	西南有長鄄巡檢司，尋廢。
HCH_012_044_000823	又北有蘇溪巡檢司。
HCH_012_044_000824	城步府西南。
HCH_012_044_000825	本武岡州之城步巡檢司。
HCH_012_044_000826	弘治十七年改置縣，析綏寧縣地益之，而遷巡檢司於縣東北之茅坪鋪，尋又遷山口，後廢。
HCH_012_044_000827	東南有羅漢山，又有巫水，下流入於澬水。
HCH_012_044_000828	武岡州元武岡路，屬湖南道宣慰司。
HCH_012_044_000829	洪武元年爲府。
HCH_012_044_000830	九年四月降爲州，以州治武岡縣省入，來屬。
HCH_012_044_000831	永樂二十二年，岷王府自雲南遷於此。
HCH_012_044_000832	北有武岡山。
HCH_012_044_000833	南有云山。
HCH_012_044_000834	又有澬水。
HCH_012_044_000835	西南有都樑水，東北流入焉。
HCH_012_044_000836	北有蓼溪隘、峽口鎮，南有石門隘，東有紫陽關四巡檢司。
HCH_012_044_000837	東有石羊關。
HCH_012_044_000838	東距府二百八十里。
HCH_012_044_000839	領縣一：新寧州東南。
HCH_012_044_000840	舊治在縣東。
HCH_012_044_000841	景泰二年移於沙洲原。
HCH_012_044_000842	南有夫夷水，北流合都樑水。
HCH_012_044_000843	東南有靖位、西有新寨二巡檢司。
HCH_012_044_000844	辰州府元辰州路，屬湖廣行省。
HCH_012_044_000845	太祖甲辰年爲府。
HCH_012_044_000846	領州一，縣六。
HCH_012_044_000847	東北距布政司千七百里。
HCH_012_044_000848	沅陵倚。
HCH_012_044_000849	西北有大酉山、小酉山。
HCH_012_044_000850	東有壺頭山。
HCH_012_044_000851	西南有沅水，辰水自東北流入焉。
HCH_012_044_000852	又東有百曳、高涌、九磯、清浪等灘。
HCH_012_044_000853	又酉水在西北，東南入沅水。
HCH_012_044_000854	東有大刺、西北有明溪、又有會溪、東北有池蓬四巡檢司。
HCH_012_044_000855	又有高巖巡檢司，後廢。
HCH_012_044_000856	盧溪府西少南。
HCH_012_044_000857	南有沅水。
HCH_012_044_000858	西有武溪，即潕溪也，下流合於沅水。
HCH_012_044_000859	又西有鎮溪軍民千戶所，洪武三十年二月置。
HCH_012_044_000860	又南有溪洞巡檢司。
HCH_012_044_000861	又西有河溪、西南有院場坪二巡檢司，後廢。
HCH_012_044_000862	辰溪府西南。
HCH_012_044_000863	東南有五城山。
HCH_012_044_000864	西北有沅水。
HCH_012_044_000865	西有辰水。
HCH_012_044_000866	又東有渡口鎮、南有晉市鎮二巡檢司，後廢。
HCH_012_044_000867	漵浦府東南。
HCH_012_044_000868	東有紅旗洞。
HCH_012_044_000869	西有漵水，下流入沅水。
HCH_012_044_000870	南有龍潭、東北有鎮寧二巡檢司。
HCH_012_044_000871	沅州元沅州路，直隸湖廣行省。
HCH_012_044_000872	太祖甲辰年爲府。
HCH_012_044_000873	九年四月降爲州，以州治盧陽縣省入，來屬。
HCH_012_044_000874	北有明山。
HCH_012_044_000875	南有沅江，其源出四川遵義縣，下流至沅江縣，入洞庭湖。
HCH_012_044_000876	西有舞水，即無水也，流入於沅水。
HCH_012_044_000877	西有晃州巡檢司。
HCH_012_044_000878	又西南有西關渡口巡檢司，後廢。
HCH_012_044_000879	東北距府二百七十里。
HCH_012_044_000880	領縣二：黔陽州東南。
HCH_012_044_000881	東南有羅公山。
HCH_012_044_000882	南有雙石崖，一名屏風崖。
HCH_012_044_000883	景泰中，築寨置戍於此，名安江雙崖城。
HCH_012_044_000884	北有沅水。
HCH_012_044_000885	又東有洪江，西有郎江，南有黔江，俱流入焉。
HCH_012_044_000886	東有安江巡檢司。
HCH_012_044_000887	又西有託口寨。
HCH_012_044_000888	東有洪江寨。
HCH_012_044_000889	麻陽州北少西。
HCH_012_044_000890	東有包茅山。
HCH_012_044_000891	西有蠟爾山，與保靖司及四川、貴州界，諸苗蠻在山下者凡七十四寨。
HCH_012_044_000892	南有辰水，自貴州銅仁府流入。
HCH_012_044_000893	西有錦水，下流入於辰州。
HCH_012_044_000894	東北有巖門巡檢司。
HCH_012_044_000895	郴州元郴州路，屬湖南道宣慰司。
HCH_012_044_000896	洪武元年爲府。
HCH_012_044_000897	九年四月降爲州，以州治郴陽縣省入，直隸布政司。
HCH_012_044_000898	南有黃岑山，與宜章縣界，亦曰騎田嶺，五嶺之第二嶺也，其支嶺曰摺嶺。
HCH_012_044_000899	又東北有云秋山，與靈阝縣界，雲秋水出焉。
HCH_012_044_000900	東有郴水，發源黃岑山，流合桂陽縣之耒水，下流入於湘水。
HCH_012_044_000901	又西南有桂水，下流合於耒水。
HCH_012_044_000902	西南有石陂巡檢司。
HCH_012_044_000903	領縣五。
HCH_012_044_000904	北距布政司千八百八十里。
HCH_012_044_000905	永興州北少西。
HCH_012_044_000906	東南有土富山，舊有銀井。
HCH_012_044_000907	西有高亭山。
HCH_012_044_000908	東有郴水，又有白豹水，自西南流入焉，謂之森口。
HCH_012_044_000909	西有高亭、北有安福二巡檢司。
HCH_012_044_000910	宜章州南。
HCH_012_044_000911	西南有莽山。
HCH_012_044_000912	東有漏天山。
HCH_012_044_000913	北有章水，支流曰小章水，源俱出黃岑山，有武水自西來合焉，下流入江西崇義縣界。
HCH_012_044_000914	東有赤石、南有白沙二巡檢司。
HCH_012_044_000915	興寧州東北。
HCH_012_044_000916	南有耒水，東南有資興水流合焉。
HCH_012_044_000917	東有州門巡檢司。
HCH_012_044_000918	東南有滁口巡檢司，後移於西南之黃家摐。
HCH_012_044_000919	桂陽州西南。
HCH_012_044_000920	南有耒山，耒水所出，西北會於郴水。
HCH_012_044_000921	又東有孤山水，流入江西崇義縣，達於贛水。
HCH_012_044_000922	東有守禦廣安千戶所，洪武二十九年三月置，後廢。
HCH_012_044_000923	宣德八年六月復置。
HCH_012_044_000924	東有益將、西有鎮安、南有長樂山口、北有濠村四巡檢司。
HCH_012_044_000925	桂東州東。
HCH_012_044_000926	西北有小桂山，桂水所出，南有漚江來合焉。
HCH_012_044_000927	又南有高分嶺巡檢司。
HCH_012_044_000928	靖州元靖州路，直隸湖廣行省。
HCH_012_044_000929	太祖乙巳年七月爲靖州軍民安撫司。
HCH_012_044_000930	元年降爲州。
HCH_012_044_000931	三年升爲府。
HCH_012_044_000932	九年四月復降爲州，以州治永平縣省入，直隸布政司。
HCH_012_044_000933	南有侍郎山，與廣西融縣分界。
HCH_012_044_000934	東有渠水，下流合會同縣之郎江而入沅水。
HCH_012_044_000935	西有零溪巡檢司。
HCH_012_044_000936	領縣四。
HCH_012_044_000937	東北距布政司千八百五十里。
HCH_012_044_000938	會同州東北。
HCH_012_044_000939	西有沅水，又西南有郎水，自貴州黎平府流入，又東有雄溪，一名洪江，下流俱入於沅水。
HCH_012_044_000940	南有若水巡檢司。
HCH_012_044_000941	通道州南。
HCH_012_044_000942	洪武十年五月省入州。
HCH_012_044_000943	十三年五月復置。
HCH_012_044_000944	北有福湖山。
HCH_012_044_000945	西有渠水，西北有播揚河，自貴州黎平府流合焉。
HCH_012_044_000946	有播揚巡檢司。
HCH_012_044_000947	又西南有收溪寨巡檢司。
HCH_012_044_000948	綏寧州東。
HCH_012_044_000949	元屬武岡路。
HCH_012_044_000950	洪武元年屬武岡府。
HCH_012_044_000951	三年來屬。
HCH_012_044_000952	東有雙溪，即城步縣巫水之下流也。
HCH_012_044_000953	東北有青坡巡檢司，後移於武陽。
HCH_012_044_000954	西南有臨口巡檢司。
HCH_012_044_000955	天柱州西北。
HCH_012_044_000956	本天柱守禦千戶所，洪武二十五年五月置。
HCH_012_044_000957	萬曆二十五年改爲縣，析綏寧、會同二縣地益之。
HCH_012_044_000958	崇禎十年東遷龍塘，名龍塘縣。
