HCH_009_092_000196	李偲，字子友，定州安喜人。
HCH_009_092_000197	中天眷二年進士，調遼山簿，累官戶部主事。
HCH_009_092_000198	丁母憂，起復舊職，除同知河東南路轉運使事。
HCH_009_092_000199	大定初，改同知中都路都轉運使事。
HCH_009_092_000200	僕散忠義行省事於汴京，奏偲幕府，世宗曰：「李偲方治京畿漕事，行省可他選也。」
HCH_009_092_000201	三年，權知登聞檢院，再遷戶部侍郎。
HCH_009_092_000202	上曰：「戶部財用出入，朕難其人。卿非舊勞，資敘尚淺，勿以秩滿例升三品，因循歲月，若不自勉，必不汝貸。」
HCH_009_092_000203	偲每朝會與高德基屏人私語。
HCH_009_092_000204	上聞而怪之，問右丞石琚曰：「李偲果何如人？」
HCH_009_092_000205	琚曰：「亦幹事吏耳。」
HCH_009_092_000206	改同知北京留守、沂州防禦使。
HCH_009_092_000207	沂南邊郡，戶部符借民閒田，種禾取槁秸，備警急用度。
HCH_009_092_000208	偲曰：「如此則農民失業。」
HCH_009_092_000209	具奏止之。
HCH_009_092_000210	轉運司牒郡輸粟朐山，調急夫數萬人，是時久雨泥濘，挽運不能前進。
HCH_009_092_000211	偲遣吏往朐山刺取其官廩，見儲糧數可支半歲，即具其事牒運司，請緩期，毋自困百姓。
HCH_009_092_000212	先是，郡縣街陌間聽民作廛舍，取其僦直。
HCH_009_092_000213	至是，罷收僦直，廛舍一切撤毀。
HCH_009_092_000214	他郡奉承號令，督百姓必盡撤去，使街陌繩齊矢棘如初時然後止。
HCH_009_092_000215	偲獨教民撤治前卻不齊一者三五所，使巷道端正即已，民便之。
HCH_009_092_000216	改陝西西路轉運使，卒。
HCH_009_092_000217	贊曰：毛碩、李上達、曹望之、李偲之流，皆金之能吏也。
HCH_009_092_000218	望之悻悻然以求大用，君子無取焉。
HCH_009_092_000219	徒單克寧，本名習顯，其先金源縣人，徙居比古土之地，後徙置猛安于山東，遂占籍萊州。
HCH_009_092_000220	父況者，官至汾陽軍節度使。
HCH_009_092_000221	克寧資質渾厚，寡言笑，善騎射，有勇略，通女直、契丹字。
HCH_009_092_000222	左丞相希尹，克寧母舅。
HCH_009_092_000223	熙宗問希尹表戚中誰可侍衛者，希尹奏曰：「習顯可用。」
HCH_009_092_000224	以為符寶祗候。
HCH_009_092_000225	是時，悼後幹政，後弟裴滿忽土侮克寧，克寧毆之。
HCH_009_092_000226	明日，忽土以告悼後，後曰：「習顯剛直，必汝之過也。」
HCH_009_092_000227	已而充護衛，轉符寶郎，遷侍衛親軍馬步軍都指揮使，改忠順軍節度使。
HCH_009_092_000228	克寧娶宗幹女嘉祥縣主，同母兄蒲甲判大宗正事，海陵心忌之，出為西京留守，構致其罪誅之，因降克寧知滕陽軍。
HCH_009_092_000229	曆宿州防禦使、胡裏改路節度使、曷懶路兵馬都總管。
HCH_009_092_000230	大定初，詔克寧以本路兵會東京。
HCH_009_092_000231	遷左翼都統。
HCH_009_092_000232	詔與廣甯尹僕散渾坦、同知廣甯尹完顏岩雅、肇州防禦使唐括烏也，從右副元帥完顏謀衍討契丹窩斡。
HCH_009_092_000233	趨濟州。
HCH_009_092_000234	謀衍用契丹降吏颭者計策襲賊輜重，克寧與紇石烈志寧為殿，與賊遇於長濼。
HCH_009_092_000235	謀衍使伏兵於左翼之側。
HCH_009_092_000236	賊二萬餘躡吾後，又以騎四百餘突出左翼伏兵之間，欲繞出陣後攻我。
HCH_009_092_000237	克寧與善射二十餘人拒之。
HCH_009_092_000238	眾曰：「賊眾我寡，不若與伏兵合擊，或與大軍相依，可以萬全。」
HCH_009_092_000239	克寧曰：「不可。若賊出陣後，則前後夾擊，我敗矣，大軍不可俟也。」
HCH_009_092_000240	於是奮擊，賊乃卻。
HCH_009_092_000241	左翼萬戶襄與大軍合擊之，賊遂敗，追奔十餘裏，二年四月一日也。
HCH_009_092_000242	越九日，複追及賊於霿𩃭河。
HCH_009_092_000243	左翼軍先與賊戰，克寧以騎二千追掩十五裏，賊迫澗不得亟渡，殺傷甚眾。
HCH_009_092_000244	賊收軍返旆，大軍尚未至，克寧令軍士下馬射賊，賊遂引而南。
HCH_009_092_000245	是時，窩斡已再北，元帥謀衍利鹵掠，駐師白濼。
HCH_009_092_000246	世宗訝其持久，遣問之。
HCH_009_092_000247	謀衍曰：「賊騎壯，我騎弱，此少駐所以完養馬力也。不然，非益萬騎不可勝。」
HCH_009_092_000248	克寧奮然而言曰：「吾馬固不少，但帥不得人耳。其意常利虜掠，賊至則引避，賊去則緩隨之，故賊常得善牧，而我常拾其蹂踐之餘，此吾馬所以弱也。今誠能更置良帥，雖不益兵，可以有功。不然，騎雖十倍，未見其利也。」
HCH_009_092_000249	朝廷知其議，召還謀衍，以平章政事僕散忠義兼右副元帥。
HCH_009_092_000250	師將發，賊聲言乞降。
HCH_009_092_000251	克寧曰：「賊初困蹙，且無降意，所以揚言者，是欲緩吾師期也。不若攻其未備，賊若挫衄，則其降必速。如其不降，乘其怠而急擊之，可一戰而定也。」
HCH_009_092_000252	忠義以為然，乃與克寧出中路，遂敗賊兵于羅不魯之地。
HCH_009_092_000253	賊奔七渡河，負險為柵，克寧覘知賊柵之背其勢可上，乃潛師夜登，俯射之，大軍自下攻，賊潰，皆遁去。
HCH_009_092_000254	契丹平，克寧除太原尹。
HCH_009_092_000255	未閱月，宋吳璘侵陝右，元帥左都監徒單合喜乞益兵，遣克寧佩金牌，駐軍平涼。
HCH_009_092_000256	詔合喜曰：「朕遣克寧參議軍事，此其智勇足敵萬人，不必益軍也。」
HCH_009_092_000257	克寧至，下令安輯，未幾，民皆完聚。
HCH_009_092_000258	治兵伐宋，右丞相僕散忠義駐南京節制諸軍，左副元帥紇石烈志寧經略邊事，克寧改益都尹，兼山東路兵馬都總管、行軍都統。
HCH_009_092_000259	四年，元帥府欲遣左都監璋以兵四千由水路進，詔曰：「可付都統徒單習顯，仍益兵二千，擇良將副之。璋可經略山東。」
HCH_009_092_000260	於是，克寧出軍楚、泗之間，與宋將魏勝相拒于楚州之十八裏口。
HCH_009_092_000261	魏勝取弊舟鑿其底，貫以大木，列植水中，別以船載巨石貫以鐵鎖，沉之水底，以塞十八裏口及淮渡舟路。
HCH_009_092_000262	以步兵四萬人屯于淮渡南岸、運河之間。
HCH_009_092_000263	克寧使斜卯和尚選善游者沒水，系大繩植木上，數百人於岸上引繩曳一植木，皆拔出之，徹去沉船。
HCH_009_092_000264	進至淮口，宋兵來拒，隔水矢石俱發。
HCH_009_092_000265	斜卯和尚以竹編籬捍矢石，複拔去植木沉船，師遂入淮。
HCH_009_092_000266	與宋兵奪渡口，合戰數四，猛安長壽先行薄岸，水淺，先率勁卒數人涉水登岸，敗其津口兵五百人，餘眾皆濟。
HCH_009_092_000267	宋兵四百餘自清河口來，鎮國上將軍蒲察阿離合懣以步兵百人禦之。
HCH_009_092_000268	克寧自與紮也銀術可五騎先行六七裏與戰，銀術可先登，奮擊敗之。
HCH_009_092_000269	宋大兵整陣來拒，克寧麾兵前戰，自旦至午，宋兵敗，逾運河為陣，餘眾數千皆走入營中。
HCH_009_092_000270	克寧使以火箭射其營舍，盡焚，逾河撤橋，與其大軍相會。
HCH_009_092_000271	隔水射之，宋兵不能為陣。
HCH_009_092_000272	猛安鈔兀以六十騎擊宋騎兵千餘，不利，少卻。
HCH_009_092_000273	克寧以猛安賽剌九十騎橫擊之，宋兵大敗。
HCH_009_092_000274	追至楚州，射殺魏勝，遂取楚州及淮陰縣。
HCH_009_092_000275	是役也，賽剌功居多。
HCH_009_092_000276	是時，宋屢遣使請和，僕散忠義、紇石烈志寧約以世為叔侄國，割還海、泗、唐、鄧四州。
HCH_009_092_000277	宋人尚遷延有請，及克寧取楚州，宋人乃大懼，一一如約。
HCH_009_092_000278	兵罷，改大名尹，曆河間、東平尹，召為都點檢。
HCH_009_092_000279	十一年，從丞相志寧北伐，還師。
HCH_009_092_000280	十一月皇太子生日，世宗置酒東宮，賜克寧金帶。
HCH_009_092_000281	明年，遷樞密副使，兼知大興府事，改太子太保，樞密副使如故。
HCH_009_092_000282	拜平章政事，封密國公。
HCH_009_092_000283	克寧女嫁為沈王永成妃，得罪，克寧不悅，求致仕，不許，罷為東京留守。
HCH_009_092_000284	明年，上將複相克寧，改南京留守，兼河南統軍使。
