HCH_012_025_000227	正德十六年，漏刻博士硃裕復言：「晷表尺寸不一，難以准測，而推算歷數用南京日出分秒，似相矛盾。請敕大臣一員總理其事，鑄立銅表，考四時日中之影。仍於河南陽城察舊立土圭，以合今日之晷，及分立圭表於山東、湖廣、陝西、大名等處，以測四方之影。然後將內外晷影新舊歷書錯綜參驗，撰成定法，庶幾天行合而交食不謬。」
HCH_012_025_000228	疏入不報。
HCH_012_025_000229	嘉靖二年修相風桿及簡、渾二儀。
HCH_012_025_000230	七年始立四丈木表以測晷影，定氣朔。
HCH_012_025_000231	由是欽天監之立運儀、正方案、懸晷、偏晷、盤晷諸式具備於觀象台，一以元法為斷。
HCH_012_025_000232	萬歷中，西洋人利瑪竇制渾儀、天球、地球等器。
HCH_012_025_000233	仁和李之藻撰《渾天儀說》，發明制造施用之法，文多不載。
HCH_012_025_000234	其制不外於六合、三辰、四游之法。
HCH_012_025_000235	但古法北極出地，鑄為定度，此則子午提規，可以隨地度高下，於用為便耳。
HCH_012_025_000236	崇禎二年，禮部侍郎徐光啟兼理曆法，請造像限大儀六，紀限大儀三，平懸渾儀三，交食儀一，列宿經緯天球一，萬國經緯地球一，平面日晷三，轉盤星晷三，候時鐘三，望遠鏡三。
HCH_012_025_000237	報允。
HCH_012_025_000238	已，又言：定時之法，當議者五事：一曰壺漏，二曰指南針，三曰表臬，四曰儀，五曰晷。
HCH_012_025_000239	漏壺，水有新舊滑濇則遲疾異，漏管有時塞時磷則緩急異。
HCH_012_025_000240	正漏之初，必於正午初刻。
HCH_012_025_000241	此刻一誤，靡所不誤。
HCH_012_025_000242	故壺漏特以濟晨昏陰晦儀晷表臬所不及，而非定時之本。
HCH_012_025_000243	指南針，術人用以定南北，辨方正位鹹取則焉。
HCH_012_025_000244	然針非指正子午，曩雲多偏丙午之間。
HCH_012_025_000245	以法考之，各地不同。
HCH_012_025_000246	在京師則偏東五度四十分。
HCH_012_025_000247	若憑以造晷，冬至午正先天一刻四十四分有奇，夏至午正先天五十一分有奇。
HCH_012_025_000248	若表臬者，即《考工》匠人置{埶木}之法，識日出入之影，參諸日中之影，以正方位。
HCH_012_025_000249	今法置小表於地平，午正前後累測日影，以求相等之兩長影為東西，因得中間最短之影為正子午，其術簡甚。
HCH_012_025_000250	儀者，本台故有立運儀，測驗七政高度。
HCH_012_025_000251	臣用以較定子午，於午前屢測太陽高度，因最高之度，即得最短之影，是為南北正線。
HCH_012_025_000252	既定子午卯酉之正線，因以法分佈時刻，加入節氣諸線，即成平面日晷。
HCH_012_025_000253	又今所用員石欹晷是為赤道晷，亦用所得正子午線較定。
HCH_012_025_000254	此二晷皆可得天之正時刻，所為晝測日也。
HCH_012_025_000255	若測星之晷，實《周禮》夜考極星之法。
HCH_012_025_000256	然古時北極星正當不動之處，今時久漸移，已去不動處三度有奇，舊法不可復用。
HCH_012_025_000257	故用重盤星晷，上書時刻，下書節氣，仰測近極二星即得時刻，所謂夜測星也。
HCH_012_025_000258	七年，督修曆法右參政李天經言：輔臣光啟言定時之法，古有壺漏，近有輪鐘，二者皆由人力遷就，不如求端於日星，以天合天，乃為本法，特請制日晷、星晷、望遠鏡三器。
HCH_012_025_000259	臣奉命接管，敢先言其略。
HCH_012_025_000260	日晷者，礱石為平面，界節氣十三線，內冬夏二至各一線，其餘日行相等之節氣，皆兩節氣同一線也。
HCH_012_025_000261	平面之周列時刻線，以各節氣太陽出入為限。
HCH_012_025_000262	又依京師北極出地度，范為三角銅表置其中。
HCH_012_025_000263	表體之全影指時刻，表中之銳影指節氣。
HCH_012_025_000264	此日晷之大略也。
HCH_012_025_000265	星晷者，治銅為柱，上安重盤。
HCH_012_025_000266	內盤鐫周天度數，列十二宮以分節氣，外盤鐫列時刻，中橫刻一縫，用以窺星。
HCH_012_025_000267	法將外盤子正初刻移對內盤節氣，乃轉移銅盤北望帝星與句陳大星，使兩星同見縫中，即視盤面銳表所指，為正時刻。
HCH_012_025_000268	此星晷之大略也。
HCH_012_025_000269	若夫望遠鏡，亦名窺筒，其制虛管層疊相套，使可伸縮，兩端俱用玻璃，隨所視物之遠近以為長短。
HCH_012_025_000270	不但可以窺天象，且能攝數裡外物如在目前，可以望敵施砲，有大用焉。
HCH_012_025_000271	至於日晷、星晷皆用措置得宜，必須築台，以便安放。
HCH_012_025_000272	帝命太監盧維寧、魏國徵至局驗試用法。
HCH_012_025_000273	明年，天經又請造沙漏。
HCH_012_025_000274	明初，詹希元以水漏至嚴寒水凍輒不能行，故以沙代水。
HCH_012_025_000275	然沙行太疾，未協天運，乃以斗輪之外復加四輪，輪皆三十六齒。
HCH_012_025_000276	厥後周述學病其竅太小，而沙易堙，乃更制為六輪，其五輪悉三十齒，而微裕其竅，運行始與晷協。
HCH_012_025_000277	天經所請，殆其遺意歟。
HCH_012_025_000278	夫制器尚象，乃天文家之首務。
HCH_012_025_000279	然精其術者可以因心而作。
HCH_012_025_000280	故西洋人測天之器，其名未易悉數，內渾蓋、簡平二儀其最精者也。
HCH_012_025_000281	其說具見全書，茲不載。
HCH_012_025_000282	極度晷影常相因。
HCH_012_025_000283	知北極出地之高，即可知各節氣午正之影。
HCH_012_025_000284	測得各節氣午正之影，亦可知北極之高。
HCH_012_025_000285	然其術非易易也。
HCH_012_025_000286	圭表之法，表短則分秒難明，表長則影虛而淡。
HCH_012_025_000287	郭守敬所以立四丈之表，用影符以取之也。
HCH_012_025_000288	日體甚大，豎表所測者日體上邊之影，橫表所測者日體下邊之影，皆非中心之數，郭守敬所以於表端架橫梁以測之也，其術可謂善矣。
HCH_012_025_000289	但其影符之制，用銅片鑽針芥之孔，雖前低後仰以向太陽，但太陽之高低每日不同，銅片之欹側安能俱合。
HCH_012_025_000290	不合則光不透，臨時遷就，而日已西移矣。
HCH_012_025_000291	須易銅片以圓木，左右用兩板架之，如車軸然，則轉動甚易。
HCH_012_025_000292	更易圓孔以直縫，而用始便也。
HCH_012_025_000293	然影符止可去虛淡之弊，而非其本。
HCH_012_025_000294	必須正其表焉，平其圭焉，均其度焉，三者缺一，不可以得影。
HCH_012_025_000295	三者得矣，而人心有粗細，目力有利鈍，任事有誠偽，不可不擇也。
HCH_012_025_000296	知乎此，庶幾晷影可得矣。
HCH_012_025_000297	西洋之法又有進焉。
HCH_012_025_000298	謂地半徑居日天半徑千餘分之一，則地面所測太陽之高，必少於地心之實高，於是有地半徑差之加。
HCH_012_025_000299	近地有清蒙氣，能升卑為高，則晷影所推太陽之高，或多於天上之實高，於是又有清蒙差之減。
HCH_012_025_000300	是二差者，皆近地多而漸高漸減，以至於無，地半徑差至天頂而無，清蒙差至四十五度而無也。
HCH_012_025_000301	崇禎初，西洋人測得京省北極出地度分：北京四十度，周天三百六十度，度六十分立算，下同。
HCH_012_025_000302	南京三十二度半，山東三十七度，山西三十八度，陝西三十六度，河南三十五度，浙江三十度，江西二十九度，湖廣三十一度，四川二十九度，廣東二十三度，福建二十六度，廣西二十五度，雲南二十二度，貴州二十四度。
HCH_012_025_000303	以上極度，惟兩京、江西、廣東四處皆系實測，其餘則據地圖約計之。
HCH_012_025_000304	又以十二度度六十分之表測京師各節氣午正日影：夏至三度三十三分，芒種、小暑三度四十二分，小滿、大暑四度十五分，立夏、立秋五度六分，谷雨、處暑六度二十三分，清明、白露八度六分，春、秋分十度四分，驚蟄、寒露十二度二十六分，雨水、霜降十五度五分，立春、立冬十七度四十七分，大寒、小雪二十度四十七分，小寒、大雪二十三度三十分，冬至二十四度四分。
HCH_012_025_000305	以京師子午線為中，而較各地所偏之度。
HCH_012_025_000306	凡節氣之早晚，月食之先後，胥視此。
HCH_012_025_000307	蓋人各以見日出入為東西為卯酉，以日中為南為午。
HCH_012_025_000308	而東方見日早，西方見日遲。
HCH_012_025_000309	東西相距三十度則差一時。
HCH_012_025_000310	東方之午乃西方之巳，西方之午乃東方之未也。
HCH_012_025_000311	相距九十度則差三時。
HCH_012_025_000312	東方之午乃西方之卯，西方之午乃東方之酉也。
HCH_012_025_000313	相距一百八十度則晝夜時刻俱反對矣。
HCH_012_025_000314	東方之午乃西方之子。
