HCH_009_011_000153	五年春正月戊子朔，宋、高麗、夏遣使來賀。
HCH_009_011_000154	乙未，以尚書省言：「會試取策論、詞賦、經義不得過六百人，合格者不及其數，則闕之。」
HCH_009_011_000155	丙申，如春水。
HCH_009_011_000156	庚子，命左右司五日一轉奏事。
HCH_009_011_000157	辛丑，諭點檢司：「車駕所至，仍令百姓市易。」
HCH_009_011_000158	庚戌，定猛安謀克軍前怠慢罷世襲制。
HCH_009_011_000159	二月辛未，至自春水。
HCH_009_011_000160	辛巳，有司奏：「應奉翰林文字溫蒂罕天興與其兄直學士思齊同僚學士院，定撰制誥文字，合無乃避？」
HCH_009_011_000161	詔不須避，仍為定制。
HCH_009_011_000162	閏月癸卯，定進納粟補官之家存留弓箭制。
HCH_009_011_000163	丁未，上與宰臣論置相曰：「徒單鎰，朕志先定。賈鉉如何？」
HCH_009_011_000164	皆曰：「知延安府事孫即康可。」
HCH_009_011_000165	平章政事萬公亦曰：「即康及第，先鉉一榜。」
HCH_009_011_000166	上曰：「至此安問榜次，特以賈才可用耳！」
HCH_009_011_000167	尚書省奏：「右補闕楊庭秀言，乞令尚書省及第左右官一人，應入史事者編次日曆，或一月，或一季，封送史院。」
HCH_009_011_000168	上是其言，仍令送著作局潤色，付之。
HCH_009_011_000169	三月庚申，大睦親府進重修《玉牒》。
HCH_009_011_000170	平章政事張萬公乞致政，不許。
HCH_009_011_000171	壬戌，命有司禱雨。
HCH_009_011_000172	癸亥，雨。
HCH_009_011_000173	戶部尚書孫鐸、大理卿完顏撒剌、國子司業蒙括仁本召對便殿。
HCH_009_011_000174	丙寅，如萬甯宮。
HCH_009_011_000175	戊辰，定妻亡服內婚娶聽離制。
HCH_009_011_000176	親王、宰執、百官再請上尊號。
HCH_009_011_000177	不許。
HCH_009_011_000178	庚午，以知大興府事卜為御史大夫。
HCH_009_011_000179	丙子，尚書省奏：「擬同知商州事蒲察西京為濟南府判官。」
HCH_009_011_000180	上曰：「宰相豈可止徇人情，要當重惜名爵。此人不堪，朕常記之，止與七品足矣！」
