HCH_012_173_000320	登慷慨奮勵，修城堞，繕兵械；拊循士卒，吊死問傷，親為裹創傅藥。
HCH_012_173_000321	曰：「吾誓與此城共存亡，不令諸君獨死也。」
HCH_012_173_000322	八月，也先擁帝北去，經大同，使袁彬入城索金幣。
HCH_012_173_000323	登閉城門，以飛橋取彬入。
HCH_012_173_000324	登與安及侍郎沈固、給事中孫祥、知府霍瑄等出謁，伏地慟哭。
HCH_012_173_000325	以金二萬餘及宋瑛、朱冕、內臣郭敬家資進帝，以賜也先等。
HCH_012_173_000326	是夕，敵營城西。
HCH_012_173_000327	登謀遣壯士劫營迎駕，不果。
HCH_012_173_000328	明日，也先擁帝去。
HCH_012_173_000329	景帝監國，進都督同知，充副總兵。
HCH_012_173_000330	尋令代安為總兵官。
HCH_012_173_000331	十月，也先犯京師，登將率所部入援，先馳蠟書奏。
HCH_012_173_000332	奏至，敵已退。
HCH_012_173_000333	景帝優詔褒答，進右都督。
HCH_012_173_000334	登計京兵新集，不可輕用，上用兵方略十餘事。
HCH_012_173_000335	景泰元年春，偵知寇騎數千，自順聖川入營沙窩。
HCH_012_173_000336	登率兵躡之，大破其眾，追至栲栳山，斬二百餘級，得所掠人畜八百有奇。
HCH_012_173_000337	邊將自土木敗後，畏縮無敢與寇戰。
HCH_012_173_000338	登以八百人破敵數千騎，軍氣為之一振，捷聞，封定襄伯，予世券。
HCH_012_173_000339	四月，寇騎數千奄至，登出東門戰。
HCH_012_173_000340	佯北，誘之入士城。
HCH_012_173_000341	伏起，敵敗走。
HCH_012_173_000342	登度敵且復至，令軍士賫毒酒、羊豕、楮錢，偽為祭冢者，見寇即棄走。
HCH_012_173_000343	寇至，爭飲食之，死者甚眾。
HCH_012_173_000344	六月，也先復以二千騎入寇，登再擊卻之。
HCH_012_173_000345	越數日，奉上皇至城外，聲言送駕還。
HCH_012_173_000346	登與同守者設計，具朝服候駕月城內，伏兵城上，俟上皇入，即下月城閘。
HCH_012_173_000347	也先及門而覺，遂擁上皇去。
HCH_012_173_000348	時鎮守中官陳公忌登。
HCH_012_173_000349	會有發公奸贓者，公疑登使之，遂與登構。
HCH_012_173_000350	帝謂于謙曰：「大同，吾藩籬也。公與登如是，其何以守！」
HCH_012_173_000351	遣右監丞馬慶代公還，登愈感奮。
HCH_012_173_000352	初，也先欲取大同為巢穴，故數來攻。
HCH_012_173_000353	及每至輒敗，有一營數十人不還者。
HCH_012_173_000354	敵氣懾，始有還上皇意。
HCH_012_173_000355	上皇既還，代王仕壥頌登功，乞降敕獎勞。
HCH_012_173_000356	兵部言登已封伯，乃止。
HCH_012_173_000357	二年，登以老疾乞休，舉石彪自代，且請令其子嵩宿衛。
HCH_012_173_000358	帝以嵩為散騎舍人，不聽登辭。
HCH_012_173_000359	是時邊患甫息，登悉心措置，思得公廉有為者與俱。
HCH_012_173_000360	遂劾奏沈固廢事，而薦尚書楊寧、布政使年富。
HCH_012_173_000361	又言大同既有御史，又有巡按御史，僉都御史任寧宜止巡撫宣府。
HCH_012_173_000362	帝悉從之，以年富代固，而征還固及寧。
HCH_012_173_000363	其秋，以疾召還。
HCH_012_173_000364	登初至大同，士卒可戰者才數百，馬百餘匹。
HCH_012_173_000365	及是馬至萬五千，精卒數萬，屹然成巨鎮。
HCH_012_173_000366	登去，大同人思之。
HCH_012_173_000367	初，英宗過大同，遣人謂登曰：「朕與登有姻，何拒朕若是？」
HCH_012_173_000368	登奏曰：「臣奉命守城，不知其他。」
HCH_012_173_000369	英宗銜之。
HCH_012_173_000370	及復辟，登懼不免，首陳八事，多迎合。
HCH_012_173_000371	尋命掌南京中府事。
HCH_012_173_000372	明年召還。
HCH_012_173_000373	言官劾登結陳汝言獲召，鞫實論斬。
HCH_012_173_000374	宥死，降都督僉事，立功甘肅。
HCH_012_173_000375	憲宗即位，詔復伯爵，充甘肅總兵官。
HCH_012_173_000376	奏邊軍償馬艱甚，至鬻妻子。
HCH_012_173_000377	乞借楚、慶、肅三王府馬各千匹，官酬其直。
HCH_012_173_000378	從之。
HCH_012_173_000379	用朱永等薦，召掌中府事，總神機營兵。
HCH_012_173_000380	成化四年復設十二團營，命登偕朱永提督。
HCH_012_173_000381	八年卒。
HCH_012_173_000382	贈侯，謚忠武。
HCH_012_173_000383	登儀觀甚偉，髯垂過腹。
HCH_012_173_000384	為將兼智勇，紀律嚴明，料敵制勝，動合機宜。
HCH_012_173_000385	嘗以意造「攪地龍」、「飛天網」。
HCH_012_173_000386	鑿深塹，覆以土木如平地。
HCH_012_173_000387	敵入圍中，發其機，自相撞擊，頃刻皆陷。
HCH_012_173_000388	又仿古制造偏箱車、四輪車，中藏火器，上建旗幟，鉤環聯絡，布列成陣，戰守皆可用。
HCH_012_173_000389	其軍以五人為伍，教之盟於神祠，一人有功，五人同賞，罰亦如之。
HCH_012_173_000390	十伍為隊，隊以能挽六十斤弓者為先鋒。
HCH_012_173_000391	十隊領以一都指揮，令功無相撓，罪有專責，一時稱善。
HCH_012_173_000392	登事母孝，居喪秉禮。
HCH_012_173_000393	能詩，明世武臣無及者。
