HCH_012_189_000118	五年四月，京師旱霾，上疏曰：「臣聞人道理則陰陽和，政事失則災沴作。頃因京師久旱，陛下特沛德音，釋逋戍之囚，弛株連之禁，而齋禱經旬，雨澤尚滯。臣竊以為天心仁愛未已也。陛下視朝，或至日昃，狎侮群小，號呶達旦，其何以承天心基大業乎！文網日密，誅求峻急。盜賊白晝殺人，百姓流移載道，元氣索然。科道知之而不敢言，內閣言之而不敢盡，此壅蔽之大患也。古者進退大臣，必有體貌，黥劓之罪不上大夫。邇來公卿去不以禮。先朝忠藎如劉大夏者，謫戍窮邊，已及三載，陛下置之不問，非所以待耆舊、敬大臣也。本朝律例，參酌古今，足以懲奸而蔽罪。近者法司承望風旨，巧中善類。傳曰：「賞僭則及淫人，刑濫則及善人。不幸而過，寧僭無濫。』今之刑罰，濫孰甚焉。願陛下慎逸游，屏玩好，放棄小人，召還舊德，與在廷臣工，宵旰圖治，並敕法司慎守成律。即有律輕情重者，亦必奏請裁決，毋擅有輕重。庶可上弭天變，下收人心。」時朝士久以言為諱。僑疏上，自揣必死，輿櫬待命。劉瑾大怒，矯中旨詰責數百言，令廷臣議罪。大學士李東陽力救，得改原籍教職。其秋，瑾敗，僑尋召復官，引病去。宸濠反，王守仁起兵吉安，僑首赴義。世宗即位，即家授台州知府。建忠節祠，祀方孝孺。延布衣張尺，
HCH_012_189_000119	詢民間疾苦。
HCH_012_189_000120	歲時循行阡陌，課農桑，講明冠婚喪祭禮，境內大治。
HCH_012_189_000121	嘉靖二年舉行卓異。
HCH_012_189_000122	都御史姚鏌上書訟僑曰：「人臣犯顏進諫，自古為難。曩『八黨』弄權，逆瑾亂政，廷臣結舌，全軀自保。而給事中劉掞、評事羅僑殉國忘身，發摘時弊，倖存餘息。遭遇聖朝，謂宜顯加獎擢，用厲具臣。乃僑知台州，掞知長沙，使懷忠竭節之士淹于常調，臣竊為朝廷惜之。」
HCH_012_189_000123	帝納其言，擢僑廣東左參政，僑辭。
HCH_012_189_000124	部牒敦趣，不得已之官。
HCH_012_189_000125	逾年，遂謝病歸。
HCH_012_189_000126	僑敦行誼，動則古人。
HCH_012_189_000127	羅洪先居喪，不廢講學，僑以為非禮，遺書責之。
HCH_012_189_000128	其峭直如此。
HCH_012_189_000129	葉釗，字時勉，豐城人。
HCH_012_189_000130	弘治十五年進士。
HCH_012_189_000131	除南京刑部主事。
