HCH_012_139_000130	摘太素疏中可行者下所司，帝自序其首，頒示中外。
HCH_012_139_000131	十年，與同官曾秉正先後同出為參政，而太素往浙江。
HCH_012_139_000132	尋以侍親賜還里。
HCH_012_139_000133	十六年召為刑部試郎中。
HCH_012_139_000134	居一月，遷都察院僉都御史。
HCH_012_139_000135	復降翰林院檢討。
HCH_012_139_000136	十八年九月擢戶部尚書。
HCH_012_139_000137	太素抗直不屈，屢瀕於罪，帝時宥之。
HCH_012_139_000138	一日，宴便殿，賜之酒曰：「金杯同汝飲，白刃不相饒。」
HCH_012_139_000139	太素叩首，即續韻對曰：「丹誠圖報國，不避聖心焦。」
HCH_012_139_000140	帝為惻然。
HCH_012_139_000141	未幾，謫御史，復坐排陷詹徽，與同官十二人俱鐐足治事。
HCH_012_139_000142	後竟坐法死。
HCH_012_139_000143	曾秉正，南昌人。
HCH_012_139_000144	洪武初，薦授海州學正。
HCH_012_139_000145	九年，以天變詔群臣言事。
HCH_012_139_000146	秉正上疏數千言，大略曰：「古之聖君不以天無災異為喜，惟以祗懼天譴為心。陛下聖文神武，統一天下，天之付與，可謂盛矣。兵動二十餘年，始得休息。天之有心於太平亦已久矣；民之思治亦切矣。創業與守成之政，大抵不同。開創之初，則行富國強兵之術，用趨事赴功之人。大統既立，邦勢已固。則普天之下，水土所生，人力所成，皆邦家倉庫之積；乳哺之童，垂白之叟，皆邦家休養之人。不患不富庶，惟保成業於永久為難耳。於此之時，當盡革向之所為，何者足應天心，何者足慰民望，感應之理，其效甚速。」
HCH_012_139_000147	又言天既有警，則變不虛生。
HCH_012_139_000148	極論《大易》、《春秋》之旨。
HCH_012_139_000149	帝嘉之，召為思文監丞。
HCH_012_139_000150	未幾，改刑部主事。
HCH_012_139_000151	十年擢陜西參政。
HCH_012_139_000152	會初置通政司，即以秉正為使。
HCH_012_139_000153	在位數言事，帝頗優容之。
HCH_012_139_000154	尋竟以忤旨罷。
HCH_012_139_000155	貧不能歸，鬻其四歲女。
HCH_012_139_000156	帝聞大怒，置腐刑，不知所終。
HCH_012_139_000157	李仕魯，字宗孔，濮人。
HCH_012_139_000158	少穎敏篤學，足不窺戶外者三年。
HCH_012_139_000159	聞鄱陽朱公遷得宋朱熹之傳，往從之遊，盡受其學。
HCH_012_139_000160	太祖故知仕魯名，洪武中，詔求能為朱氏學者，有司舉仕魯。
