HCH_012_319_000215	洪武二年七月，土官黃世鐵遣使貢馬及方物。
HCH_012_319_000216	詔以世鐵為向武州知州，許世襲。
HCH_012_319_000217	二十一年，廣西布政司言向武州叛蠻梗化。
HCH_012_319_000218	時都督楊文佩征南將軍印，討龍州、奉議等處，復奉命移師向武。
HCH_012_319_000219	文調右副將軍韓觀分兵進討都康、向武、富勞諸州縣，斬世鐵。
HCH_012_319_000220	以兵部尚書唐鐸言，置向武州守禦千戶所。
HCH_012_319_000221	永樂二年，土官知州黃彧遣頭目羅以得貢馬，賜鈔幣。
HCH_012_319_000222	宣德四年，故土官知州黃謙昌子宗蔭貢馬，賜鈔。
HCH_012_319_000223	嘉靖四年，田州岑猛叛，向武土官以兵助猛。
HCH_012_319_000224	提督盛應期議大征，檄向武出兵討賊，以功贖罪。
HCH_012_319_000225	十六年，田州盧蘇叛，鎮安土官岑真寶以兵納岑邦佐，蘇求助於向武。
HCH_012_319_000226	時土官黃仲金怨真寶，遂與合兵，破鎮安。
HCH_012_319_000227	事聞，革仲金冠帶。
HCH_012_319_000228	二十七年，以仲金聽調有勞，詔許承襲原職，免赴京。
HCH_012_319_000229	四十二年，又以剿平瑤寇功，加仲金四品服。
HCH_012_319_000230	向武領縣一，曰富勞，元置。
HCH_012_319_000231	洪武間，為蠻僚所據。
HCH_012_319_000232	建文時復置，仍隸向武州。
HCH_012_319_000233	永樂初，省武林入焉。
HCH_012_319_000234	土官亦黃氏世襲。
HCH_012_319_000235	奉議州，宋置。
HCH_012_319_000236	初屬靜江軍，後屬廣西經略安撫司。
HCH_012_319_000237	元屬廣西兩江道宣慰司。
HCH_012_319_000238	洪武初，土官黃誌威舊為田州府總管，來歸附。
HCH_012_319_000239	二年詔授其子世鐵為向武州知州，世襲。
HCH_012_319_000240	三年，誌威入朝貢。
HCH_012_319_000241	六年招撫奉議等州百十七處人民，皆款服。
HCH_012_319_000242	帝嘉誌威功，命以安州、侯州、陽縣屬之。
HCH_012_319_000243	七年以誌威為奉議州知州兼守禦，直隸廣西行省。
HCH_012_319_000244	二十六年，奉議州知州黃嗣隆遣人貢馬及方物，賜以鈔錠。
HCH_012_319_000245	二十八年，廣西布政司言，奉議、南丹等處蠻人梗化。
HCH_012_319_000246	時都督楊文討龍州，伏罪，帝命移兵奉議剿賊，遣使諭文等：「近聞奉議、兩江溪峒等處，林木陰翳，蛇虺遺毒草莽中，雨過，流毒溪澗，飲之令人死。師入其地，行營駐劄，勿飲山溪水泉，恐余毒傷人。宜鑿井以飲，爾等其慎察之。」
HCH_012_319_000247	文發廣西都司及護衛官軍二萬人，調田州、泗城等土兵三萬八千九百人從征。
HCH_012_319_000248	師至奉議州，蠻寇聞官軍至，悉竄入山林，據險自固。
HCH_012_319_000249	文督諸將分兵捕之，復調參將劉真等領兵分道攻南丹叛寇。
HCH_012_319_000250	初，文等駐師奉議州之東南，分兵追捕賊黨，且遣人招降其脅從者。
HCH_012_319_000251	賊皆焚廬舍，走山谷，憑險阻立柵自固。
HCH_012_319_000252	文督將士屢攻破之，賊眾潰散。
HCH_012_319_000253	左副將軍韓觀等遂分兵追討都康、向武、富勞、上林諸州縣，破其更吾、蓮花、大藤峽等寨，斬向武土官黃世鐵並其黨萬八千三百餘人，招降蠻民復業者六百四十八戶，徙置象州武山縣，蠻寇遂平。
HCH_012_319_000254	時兵部尚書致仕唐鐸參議軍事，以朝廷嘗命征剿畢日，置衛守之。
HCH_012_319_000255	乃會諸將相度形勢，置奉議等衛並向武、河池、懷集、武仙、賀縣等處守禦千戶所，設官軍鎮守。
HCH_012_319_000256	詔從其言。
HCH_012_319_000257	宣德二年，署州事土官黃宗蔭遣頭目貢馬。
HCH_012_319_000258	正統五年，宗蔭科斂劫殺，甚且欲戕其母。
HCH_012_319_000259	母避之，殺母侍者以泄怒，為母所告。
HCH_012_319_000260	僉事鄧義奏其事，帝敕總兵官柳溥及三司按驗以聞。
HCH_012_319_000261	嘉靖四年，田州岑猛叛，奉議土官嘗助猛攻泗城州。
HCH_012_319_000262	至是提督盛應期言，許其自新，令出兵討賊，以功贖罪。
HCH_012_319_000263	後土官知州死，皆以土判官掌州事。
HCH_012_319_000264	論者以奉議彈丸地，三面交迫田州，獨南界鎮安，其勢甚蹙。
HCH_012_319_000265	明初置衛，銓官如宋、元故事，蓋欲中斷田、鎮，以伐其謀雲。
HCH_012_319_000266	江州界，東抵忠州，西抵龍州，南抵思明，北抵太平府。
HCH_012_319_000267	其州宋置，隸古萬寨。
HCH_012_319_000268	元屬思明路。
HCH_012_319_000269	明初，土官黃威慶歸附。
HCH_012_319_000270	授世襲知州，設流官吏目以佐之，直隸布政司。
HCH_012_319_000271	嘉靖四十二年，以平瑤、僮功，準江州土官子黃恩暫署本職。
HCH_012_319_000272	領縣一，曰羅白。
HCH_012_319_000273	洪武初，土官梁敬賓歸附，授世襲知縣。
HCH_012_319_000274	敬賓死，子復昌襲。
HCH_012_319_000275	永樂間，從征交阯被陷，子福裏襲。
HCH_012_319_000276	思陵州，宋置，屬永平寨。
HCH_012_319_000277	元屬思明路。
HCH_012_319_000278	洪武初，省入思明府。
HCH_012_319_000279	二十一年復置思陵州。
HCH_012_319_000280	二十七年，土官韋延壽貢馬及方物。
HCH_012_319_000281	宣德四年，護印土官韋昌來朝，貢馬，賜鈔幣。
HCH_012_319_000282	正統間，貢賜如制。
HCH_012_319_000283	其界東至忠州，西北至思明，南至交阯。
HCH_012_319_000284	瓊州，居環海中。
