HCH_012_150_000329	士奇因具白其誣，且言謙歷事三朝，得大臣體。
HCH_012_150_000330	帝曰：「吾亦悔之。」
HCH_012_150_000331	遂命復職。
HCH_012_150_000332	宣宗立，謙言：「舊制，犯死罪者，罰役終身。今所犯不等，宜依輕重分年限。」
HCH_012_150_000333	報可。
HCH_012_150_000334	宣德二年三月卒於官。
HCH_012_150_000335	謙美儀觀，風采凝重。
HCH_012_150_000336	工詩畫，自負才望。
HCH_012_150_000337	工部侍郎蘇瓚以鄙猥班謙上，恒怏怏，人以是隘其量雲。
HCH_012_150_000338	呂升，山陰人。
HCH_012_150_000339	永樂初為溧陽教諭，歷官江西、福建按察僉事，所至有清慎聲。
HCH_012_150_000340	入為大理寺少卿。
HCH_012_150_000341	宣德八年致仕卒。
HCH_012_150_000342	仰瞻，長洲人。
HCH_012_150_000343	永樂中由虎賁衛經歷遷大理寺丞。
HCH_012_150_000344	正統間，宦官王振用事，百官多奔走其門，惟瞻與大理卿薛瑄不往。
HCH_012_150_000345	會與瑄辨殺夫冤獄，益忤振，下獄，謫戍大同。
HCH_012_150_000346	景泰初，召為右寺丞，執法愈堅，在位者多不悅。
HCH_012_150_000347	移疾歸，加大理少卿。
HCH_012_150_000348	嚴本，字誌道，江陰人。
HCH_012_150_000349	少通群籍，習法律，以傅霖《刑統賦》辭約義博，註者非一，乃著《輯義》四卷。
HCH_012_150_000350	永樂十一年以薦征，試以疑律，敷析明暢。
HCH_012_150_000351	授刑部主事。
HCH_012_150_000352	侍郎張本掌部事，官吏少當意者，獨重本，疑獄輒俾訊之。
HCH_012_150_000353	奉命使徽州，時督辦後期，例罰工，本不忍迫民。
HCH_012_150_000354	或以為言，本曰：「吾辦矣。」
HCH_012_150_000355	蓋已寓書其子，鬻田為工作償也。
HCH_012_150_000356	仁宗立，以刑部尚書金純及虞謙薦，改大理寺正。
HCH_012_150_000357	斷獄者多以「知情故縱」及「大不敬」論罪。
HCH_012_150_000358	本爭之曰：「律自叛逆數條外，無『故縱』之文。即『不敬』，情有重輕，豈可概入重比？」
HCH_012_150_000359	謙韙之，悉為駁正。
HCH_012_150_000360	良鄉民失馬，疑其鄰，告於丞，拷死。
HCH_012_150_000361	丞坐決罰不如法，當徒，而告者坐絞。
HCH_012_150_000362	本曰：「丞罪當。告者因疑而訴，律以誣告致死，是丞與告者各殺一人，可乎？」
HCH_012_150_000363	駁正之。
HCH_012_150_000364	莒縣屯卒奪民田，民訟於官，卒被笞。
HCH_012_150_000365	夜盜民驢，民搜得之。
HCH_012_150_000366	卒反以為誣，擒送千戶，民被禁死。
HCH_012_150_000367	法司坐千戶徒。
HCH_012_150_000368	本曰：「千戶生，則死者冤矣。」
HCH_012_150_000369	遂正其故勘罪。
HCH_012_150_000370	蘇州衛卒十餘人夜劫客舟於河西務，一卒死。
HCH_012_150_000371	懼事覺，誣鄰舟解囚人為盜，其侶往救見殺。
HCH_012_150_000372	皆誣服。
HCH_012_150_000373	本疑之曰：「解人與囚同舟。為盜，囚必知之。」
HCH_012_150_000374	按驗，果得實，遂抵卒罪。
HCH_012_150_000375	本立身方嚴，非禮弗履。
HCH_012_150_000376	其使徽也，知府饋酒肴亦不受。
HCH_012_150_000377	年七十八卒。
HCH_012_150_000378	湯宗，字正傳，浙江平陽人。
HCH_012_150_000379	洪武末，由太學生擢河南按察僉事，改北平。
HCH_012_150_000380	建文時上變，言按察使陳瑛受燕邸金錢，有異謀。
HCH_012_150_000381	詔逮瑛，安置廣西，而遷宗山東按察使。
HCH_012_150_000382	坐事，左遷刑部郎中，出知蘇州府。
HCH_012_150_000383	蘇連歲水，民流，逋租百餘萬石。
HCH_012_150_000384	宗諭富民出米代輸。
HCH_012_150_000385	富民知其愛民，不三月悉完納。
HCH_012_150_000386	永樂元年，有言其坐視水患者，逮下獄，謫判祿州。
HCH_012_150_000387	以黃淮薦，召為大理寺丞。
HCH_012_150_000388	或言宗曾發潛邸事。
HCH_012_150_000389	帝曰：「帝王惟才是使，何論舊嫌。」
HCH_012_150_000390	時外國貢使病死，從人謂醫殺之。
HCH_012_150_000391	獄具，宗閱牘嘆曰：「醫與使者何仇，而故殺之乎？」
HCH_012_150_000392	卒辨出之。
HCH_012_150_000393	尋命振饑河南，還署戶部事。
HCH_012_150_000394	解縉下獄，詞連宗，坐系十餘年。
HCH_012_150_000395	仁宗立，復官，再遷南京大理卿。
HCH_012_150_000396	宣宗初，清軍山東。
HCH_012_150_000397	會天久不雨，極陳民間饑困狀。
HCH_012_150_000398	帝為蠲租免役，罷不急之務。
HCH_012_150_000399	宣德二年卒。
HCH_012_150_000400	贊曰：永、宣之際，嚴飭吏治，職事修舉。
HCH_012_150_000401	若郁新之理賦，楊砥之馬政，劉季篪、虞謙之治獄，可謂能其官矣。
HCH_012_150_000402	李慶、師逵諸人，清介有執，皆列卿之良也。
HCH_012_150_000403	陳壽、馬京遭讒早廢，惜乎未竟其用。
HCH_012_150_000404	金忠奮身卒伍，進自藝術末流，而有士君子之行。
HCH_012_150_000405	當其侃侃持論於文皇父子間，忠直不撓，卒以誠信悟主，豈不偉哉。
