HCH_012_225_000321	繼之久處散地，無黨援。
HCH_012_225_000322	然是時言路持權，齊、楚、浙三黨尤橫，大僚進退，惟其喜怒。
HCH_012_225_000323	繼之故楚產，習楚人議論，且年八十餘，耄而憒，遂一聽黨人意指。
HCH_012_225_000324	文選郎中王大智者，繼之所倚信。
HCH_012_225_000325	其秋以年例出御史宋、潘之祥，給事中張鍵，南京給事中張篤敬於外，皆嘗攻湯賓尹、熊廷弼者也。
HCH_012_225_000326	時定制，科道外遷必會都察院吏科，繼之不令與聞。
HCH_012_225_000327	比考選科道，中書舍人張光房，知縣趙運昌、張廷拱、曠鳴鸞、濮中玉當預，而持議頗右於玉立、李三才，遂見抑，改授部曹。
HCH_012_225_000328	大智同官趙國琦以為言。
HCH_012_225_000329	大智怒，構於繼之逐之去。
HCH_012_225_000330	由是御史孫居相、張五典、周起元等援年例故事以爭，且為光房等五人稱枉，吏科都給事中李瑾亦以失職抗疏劾大智。
HCH_012_225_000331	御史唐世濟則右吏部，詆居相等。
HCH_012_225_000332	居相、瑾怒，交章劾世濟。
HCH_012_225_000333	給事中、御史復助世濟排擊居相。
HCH_012_225_000334	居相再疏力攻大智，大智乃引疾去。
HCH_012_225_000335	繼之亦覺其非，不為辯。
HCH_012_225_000336	至明年二月，胡來朝為文選，出兵科都給事中張國儒、御史馬孟禎、徐良彥於外，復不咨都察院、吏科。
HCH_012_225_000337	國儒已陪推京卿，法不當出外；孟禎、良彥則素忤黨人，故來朝抑之。
HCH_012_225_000338	繼之不能禁。
HCH_012_225_000339	時居相等已去國，獨瑾再爭，詆繼之、來朝甚力。
HCH_012_225_000340	來朝等不能難，其黨思以眾力勝之，於是諸御史群起攻瑾。
HCH_012_225_000341	瑾爭之強，疏三上。
HCH_012_225_000342	來朝等亦三疏詆訐，詞頗窮。
HCH_012_225_000343	來朝乃言：「年例協贊之旨，實秉國者調停兩袒，非可為制，乞改前令從事。」
HCH_012_225_000344	帝一無所處分。
HCH_012_225_000345	瑾方奉使，自引去。
HCH_012_225_000346	其秋，給事中梅之煥、御史李若星、張五典年例外轉，所司復不預聞。
HCH_012_225_000347	吏科韓光裕、御史徐養量稍言之，然勢孤，竟不能爭也。
HCH_012_225_000348	時縉雲李鋕以刑部尚書兼署都察院，亦浙黨所推轂。
HCH_012_225_000349	四十五年，大計京官，繼之與鋕司其事，考功郎中趙士諤、給事中徐紹吉、御史韓浚佐之。
HCH_012_225_000350	所去留悉出紹吉等意，繼之受成而已。
HCH_012_225_000351	一時與黨人異趣者，貶黜殆盡，大僚則中以拾遺，善類為空。
HCH_012_225_000352	繼之以篤老累疏乞休，帝輒慰留不允。
HCH_012_225_000353	明年春，稽首闕下，出郊待命。
HCH_012_225_000354	帝聞，命乘傳歸。
HCH_012_225_000355	又數年卒，年九十二。
HCH_012_225_000356	贈少保。
HCH_012_225_000357	贊曰：張瀚、王國光、梁夢龍皆以才辦稱，楊巍、趙煥、鄭繼之亦負清望，及秉銓政，蒙詬議焉。
HCH_012_225_000358	於時政府參懷，言路脅制，固積重難返，然以公滅私之節，諸人蓋不能無愧雲。
