HCH_013_004_000144	廬州左君弼出兵助珍，又敗之，珍與君弼皆走。
HCH_013_004_000145	遂命達等移師圍廬州。
HCH_013_004_000146	元將竹昌、忻都乘間入安豐。
HCH_013_004_000147	夏四月乙丑，諸全守將謝再興叛降于張士誠。
HCH_013_004_000148	再興遣人往杭州私貿易，太祖怒其洩軍中事，召再興責之，命參軍李夢庚往節制其軍，遣再興歸，聽調。
HCH_013_004_000149	再興懼，殺知州欒鳳，執夢庚，以諸全軍馬赴紹興降。
HCH_013_004_000150	左丞李文忠聞亂，遣胡德濟屯兵五指山下以備之。
HCH_013_004_000151	九月，謝再興以張氏兵犯東陽，李文忠自嚴州率銳卒馳一百六十里來援，壬午，遇賊于義烏，擊敗之。
HCH_013_004_000152	胡深亦自處州來援，與文忠議，以諸全不守，則衢州不支矣，乃度地去諸全六十里，並五指山築新城。
HCH_013_004_000153	不旬日，城完，太祖以胡德濟為行省參政守之。
HCH_013_004_000154	未幾，士誠將李伯昇大舉入寇，圍城下，城堅不可拔，乃引去。
HCH_013_004_000155	時太祖伐陳友諒未還。
HCH_013_004_000156	張士誠以嘗脅達識帖睦邇封王，不報，遂自稱王，改國號曰吳，即姑蘇治宮室，置官屬。
HCH_013_004_000157	元遣使徵其糧，不與。
HCH_013_004_000158	二十四年夏四月，俞通海、汪興祖率兵掠劉家港，進逼通州，擊敗張士誠兵，擒其院判朱瓊等百餘人。
HCH_013_004_000159	秋八月，張士誠使其弟士信面數達識帖睦邇罪失，勒令自陳老疾避位，脅將佐為上言：「江浙丞相非士信不可。」
HCH_013_004_000160	逼取符印，幽達識于嘉興，士信自為丞相。
HCH_013_004_000161	又脅普化帖睦邇為請于元，使為真王，普化不從。
HCH_013_004_000162	即遣使至紹興，欲奪其印。
HCH_013_004_000163	普化封其印，置庫中，曰：「我頭可斷，印不可得也！」
HCH_013_004_000164	仰藥死。
HCH_013_004_000165	達識聞之，曰：「大夫且死，吾生何為！」
HCH_013_004_000166	亦仰藥死。
HCH_013_004_000167	士誠專有江、浙。
HCH_013_004_000168	時浙西殷富，士誠兄弟驕佚無斷，政在文吏。
HCH_013_004_000169	然士誠尚持重寡言，好士，築景賢樓，士無賢不肖，輿馬居室，多厭其心，亦往往趨焉。
HCH_013_004_000170	士誠用兵，恃其弟士德及部將史椿為謀主。
HCH_013_004_000171	後士德被擒，史椿以讒出守淮安數年。
HCH_013_004_000172	椿知士誠無成，遣使以書來約降，謀泄，士誠殺之。
HCH_013_004_000173	于是委政弟士信。
HCH_013_004_000174	士信荒淫，出師多攜樗蒲、蹴踘，擁婦女酣宴。
HCH_013_004_000175	其命將，將或臥不起，邀官爵美田宅。
HCH_013_004_000176	既至軍，即失地喪師，多不問，或復用之。
HCH_013_004_000177	士信每事惟與［黃］敬夫、葉德新、蔡彥夫三人謀。
HCH_013_004_000178	三人者，皆諂佞憸邪，惟事蒙蔽，故其國政日非。
HCH_013_004_000179	太祖聞之，曰：「我無一事不經心，尚被人欺。張九四終歲不出門理事，豈有不敗者乎！」
HCH_013_004_000180	時有民謠十七字曰：「丞相做事業，專用［黃］、蔡、葉；一朝西風起，乾癟。」
HCH_013_004_000181	崑山郭翼上書士誠曰：「明公仗馬箠，下吳、越數十城，望風請服者，人皆苦元政，守吏貪殘，不恤其下也。今誠能反其政，休勞之，乘時進取，則霸業可成。若遽自宴安湛樂，四方豪傑並起，明公欲閉城自守，其終能乎？」
HCH_013_004_000182	士誠怒，欲殺之，翼亡去。
HCH_013_004_000183	冬十月，張士誠遣其弟丞相士信寇長興，耿炳文、費聚擊敗之，獲其將宋興祖。
HCH_013_004_000184	士信憤，益兵圍城。
HCH_013_004_000185	湯和自常州來援，與炳文等合擊，大敗之，士信走還。
HCH_013_004_000186	二十五年春正月，張士誠復寇長興，耿炳文連破之于城下，鎮撫歐大智戰死，士誠自是不敢復犯長興。
HCH_013_004_000187	炳文守長興十年，孤城血戰，卒保無虞，與湯和守常州，吳良守江陰，氣勢聯絡，俱為東南屏障云。
HCH_013_004_000188	二月丙午，張士誠遣其司徒李伯昇挾我叛將謝再興，帥馬步舟師二十萬，踰浦江，圍諸全之新城，造廬室，建倉庫，預置州縣官屬，為持久必拔之計，分屯精兵數萬於城北隅，遏我援師。
HCH_013_004_000189	初至，胡德濟遣部將繆美敗其前鋒于斗巖之下。
HCH_013_004_000190	敵攻西門，美趨之，再戰皆捷。
HCH_013_004_000191	既抵城下，德濟戒將士勿輕出，但嚴為備，來攻則矢石交發禦之，遣使求救于李文忠。
HCH_013_004_000192	文忠令指揮張斌出浦江為聲援，自率朱亮祖等，日馳六十里赴救，抵龍潭，去敵二十里，據險為營。
HCH_013_004_000193	胡德濟知文忠至，潛使報曰：「賊兵方銳，姑緩避之。」
HCH_013_004_000194	文忠曰：「以眾則我非彼敵，以謀則彼非我敵。謝玄八千人破苻堅八十萬眾，何避焉！吾若不戰而退，則彼勢益張，雖大軍至，難攻矣。死中求生，正在今日。」
HCH_013_004_000195	乃下令曰：「賊眾而驕，我少而銳；以銳當驕，可一戰而擒。輜重皆汝等有也。」
HCH_013_004_000196	詰旦，軍方食，候卒告敵至。
HCH_013_004_000197	文忠悉精銳陣于營外，張左右翼待之，文忠自將中軍。
HCH_013_004_000198	既而直營右數里烟焰勃興，疑為寇，乃分兵守隘扼之。
HCH_013_004_000199	會處州參軍胡深遣耿天璧援兵適至，文忠軍益奮。
HCH_013_004_000200	兩軍既交，文忠仰天誓曰：「朝廷大事，在此一舉，豈敢愛身，以後三軍！」
HCH_013_004_000201	即橫槊據鞍，引數十騎乘高馳下，直出陣後，衝其中堅。
HCH_013_004_000202	敵列騎迎戰，文忠手格數人，所向皆靡。
HCH_013_004_000203	叛將謝再興及苗軍見之，震懾失色。
HCH_013_004_000204	大軍乘之，敵大潰亂。
HCH_013_004_000205	德濟亦帥城中將士鼓譟而出，呼聲動天地，莫不以一當十，逐北十餘里，溪水盡赤，死者以萬數。
HCH_013_004_000206	文忠收兵會食，遣朱亮祖、張斌乘勝追殄餘寇，燔其營落數十，獲偽同僉韓謙、元帥周遇、蕭山等六百人、軍士三千，馬八百，委棄輜重鎧仗如山，舉之旬日不盡。
HCH_013_004_000207	其偽五太子及李伯昇僅以身免。
HCH_013_004_000208	太祖大喜，召文忠、德濟入京，賜名馬御衣，擢德濟右丞。
HCH_013_004_000209	冬十月戊戌，命左相國徐達、平章常遇春等規取淮東。
HCH_013_004_000210	時士誠所據郡縣，南至紹興，與方國珍接境，北有通、泰、高郵、淮安、徐、宿、濠、泗至濟寧，與山東相距。
HCH_013_004_000211	太祖欲先取通、泰諸郡，剪其肘翼，然後專事浙西，故命達總兵取之。
HCH_013_004_000212	乙巳，達兵趨泰州，浚河通州，遇士誠兵，擊敗之，駐軍海安壩。
HCH_013_004_000213	丁未，進圍泰州新城，擊敗士誠湖北援兵，獲其元帥王成。
HCH_013_004_000214	己酉，士誠淮安李院判來援，遇春擊敗之，擒萬戶吳聚等。
HCH_013_004_000215	時江陰水寨守將康茂才報稱：「士誠以舟師四百艘出大江，次范蔡港，別以小舟于江中孤山往來出沒，請為之備。」
HCH_013_004_000216	太祖揣知其情，諭徐達等曰：「寇初駐兵范蔡港，吾度其詐。今猶豫不敢即泝上流，為詐益明。彼非有決機攻戰之謀，徒欲分我兵勢耳。宜遣廖永忠還兵水寨，而大軍勿輕動。此寇徘徊江上，自老之師，乘其怠慢，必克泰州。泰州既克，江北瓦解，不戰自潰。但宜謹備之耳！」
HCH_013_004_000217	閏十月庚辰，諸將克泰州，擒士誠將嚴再興、夏思誠等。
HCH_013_004_000218	分兵徇興化，降其將李清。
HCH_013_004_000219	十一月，進攻高郵。
HCH_013_004_000220	太祖恐深入敵境，不能策應諸將，乃命馮國勝率所部節制高郵軍，而以徐達還軍泰州。
HCH_013_004_000221	會士誠犯宜興，達率中軍精卒渡江走之，破擒士誠兵三千餘，宜興圍解。
HCH_013_004_000222	十二月，士誠遣兵寇安吉，守將費子賢擊却之。
HCH_013_004_000223	二十六年春正月，張士誠舟師數百艘出馬䭾沙，溯流侵江陰，守將吳良、吳禎嚴兵以待。
HCH_013_004_000224	太祖親率大軍，水陸並進，討之，至鎮江，敵已遁去，追至巫子門。
HCH_013_004_000225	寇乘潮逆拒，首尾相失，良等縱兵夾擊，大敗之，獲士卒二千人。
HCH_013_004_000226	太祖幸江陰，見良等防禦有方，曰：「汝非昔日之吳起乎？」
