HCH_009_112_000163	兩省及諸將議，四日不見軍，又不見營，鄧州津送及路人不絕，而亦無見者，豈南渡而歸乎？
HCH_009_112_000164	己卯，邏騎乃知北軍在光化對岸棗林中，晝作食，夜不下馬，望林中往來，不五六十步而不聞音響，其有謀可知矣。
HCH_009_112_000165	初，禹山戰罷，有二騎迷入營，問之，知北兵凡七頭項，大將統之。
HCH_009_112_000166	複有詐降者十人，弊衣羸馬泣訴艱苦，兩省信之，易以肥馬，飲之酒，及暖衣食而置之陣後，十人者皆鞭馬而去，始悟其為覘騎也。
HCH_009_112_000167	庚辰，兩省議入鄧就糧，辰巳間到林後，北兵忽來突，兩省軍迎擊，交綏之際，北兵以百騎邀輜重而去，金兵幾不成列，逮夜乃入城，懼軍士迷路，鳴鐘招之。
HCH_009_112_000168	樊澤屯城西，高英屯城東。
HCH_009_112_000169	九年正月壬午朔，耀兵于鄧城下。
HCH_009_112_000170	北兵不與戰，大將使來索酒，兩省與之二十瓶。
HCH_009_112_000171	癸未，大軍發鄧州，趨京師，騎二萬，步十三萬，騎帥蒲察定住，蒲察答吉卜，郎將按忒木，忠孝軍總領夾穀愛答、內族達魯歡，總領夾穀移特剌，提控步軍臨淄郡王張惠，殄寇都尉完顏阿排、高英、樊澤，中軍陳和尚，與恆山公武仙、楊沃衍軍合。
HCH_009_112_000172	是日，次五朵山下，取鴉路，北兵以三千騎尾之，遂駐營待楊武。
HCH_009_112_000173	楊武至，知申、裕兩州已降。
HCH_009_112_000174	七日至夜，議北騎明日當複襲我，彼止騎三千，而我示以弱，將為所輕，當與之戰。
HCH_009_112_000175	乃伏騎五十于鄧州道。
HCH_009_112_000176	明日軍行，北騎襲之如故，金以萬人擁之而東，伏發，北兵南避。
HCH_009_112_000177	是日雨，宿竹林中。
HCH_009_112_000178	庚寅，頓安皋。
HCH_009_112_000179	辛卯，宿鴉路、魯山。
HCH_009_112_000180	河西軍已獻申、裕，擁老幼牛羊取鴉路，金軍適值之，奪其牛羊餉軍。
HCH_009_112_000181	癸巳，望鈞州，至沙河，北騎五千待于河北，金軍奪橋以過，北軍即西首斂避。
HCH_009_112_000182	金軍縱擊，北軍不戰，複南渡沙河。
HCH_009_112_000183	金軍欲盤營，北軍複渡河來襲。
HCH_009_112_000184	金軍不能得食，又不得休息。
HCH_009_112_000185	合昏，雨作，明旦變雪。
HCH_009_112_000186	北兵增及萬人，且行且戰，致黃榆店，望鈞州二十五裏，雨雪不能進，盤營三日。
HCH_009_112_000187	丙申，一近侍入軍中傳旨，集諸帥聽處分，制旨雲：「兩省軍悉赴京師，我禦門犒軍，換易禦馬，然後出戰未晚。」
HCH_009_112_000188	複有密旨雲：「近知張家灣透漏二三百騎，已遷衛、孟兩州，兩省當常切防備。」
HCH_009_112_000189	領旨訖，蒲阿拂袖而起，合達欲再議，蒲阿言：「止此而已，複何所議。」
HCH_009_112_000190	蓋已奪魄矣。
HCH_009_112_000191	軍即行。
HCH_009_112_000192	北軍自北渡者畢集，前後以大樹塞其軍路，沃衍軍奪路，得之。
HCH_009_112_000193	合達又議陳和尚先擁山上大勢，比再整頓，金軍已接竹林，去鈞州止十餘裏矣。
HCH_009_112_000194	金軍遂進，北軍果卻三峰之東北、西南。
HCH_009_112_000195	武、高前鋒擁其西南，楊、樊擁其東北，北兵俱卻，止有三峰之東。
HCH_009_112_000196	張惠、按得林立山上望北兵二三十萬，約厚二十裏。
HCH_009_112_000197	按得木與張惠謀曰：「此地不戰，欲何為耶？」
HCH_009_112_000198	乃率騎兵萬餘乘上而下擁之，北兵卻。
HCH_009_112_000199	須臾雪大作，白霧蔽空，人不相覿。
HCH_009_112_000200	時雪已三日，戰地多麻田，往往耕四五過，人馬所踐泥淖沒脛。
HCH_009_112_000201	軍士被甲骨僵立雪中，槍槊結凍如椽，軍士有不食至三日者。
HCH_009_112_000202	北兵與河北軍合，四週邊之，熾薪燔牛羊肉，更遞休息。
