HCH_012_280_000191	騰蛟駐祁陽，曠來會。
HCH_012_280_000192	騰蛟以兵事屬曠，而謁王武岡。
HCH_012_280_000193	曠移駐永州，見諸大將擁兵，聞警輒走，抑郁而卒。
HCH_012_280_000194	傅作霖，武陵人。
HCH_012_280_000195	由鄉舉仕唐王，大學士蘇觀生奏為職方主事，監紀其軍。
HCH_012_280_000196	觀生歿，倚何騰蛟長沙，改監軍御史。
HCH_012_280_000197	永明王在全州，超拜兵部左侍郎，掌部事，尋進尚書，從至武岡。
HCH_012_280_000198	時劉承胤擅政，作霖與相善，故驟遷。
HCH_012_280_000199	及大兵逼武岡，承胤議迎降，作霖勃然責之。
HCH_012_280_000200	承胤遣使納款，大兵入城，作霖冠帶坐堂上。
HCH_012_280_000201	承胤力勸之降，不從，遂被殺。
HCH_012_280_000202	妾鄭有殊色，被執，驅之過橋，躍入水中死。
HCH_012_280_000203	有蕭曠者，武昌諸生，為承胤坐營參將。
HCH_012_280_000204	騰蛟題為總兵官，管黎平參將事。
HCH_012_280_000205	及承胤降，令降將陳友龍招曠，曠不從。
HCH_012_280_000206	已而城破，死之。
HCH_012_280_000207	傅上瑞，初為武昌推官，賊圍城，遁走。
HCH_012_280_000208	久之，騰蛟薦為長沙僉事，又令攝偏沅巡撫事。
HCH_012_280_000209	勸騰蛟設十三鎮，卒為湖南大害。
HCH_012_280_000210	唐王時，用騰蛟薦，擢右僉都御史，實授偏沅巡撫。
HCH_012_280_000211	性反覆，棄騰蛟如遺。
HCH_012_280_000212	武岡破，大兵逼沅州，上瑞出降。
HCH_012_280_000213	逾年，與劉承胤並誅死。
HCH_012_280_000214	瞿式耜，字起田，常熟人。
HCH_012_280_000215	禮部侍郎景淳孫，湖廣參議汝說子也。
HCH_012_280_000216	舉萬歷四十四年進士。
HCH_012_280_000217	授吉安永豐知縣，有惠政。
HCH_012_280_000218	天啟元年調江陵。
HCH_012_280_000219	永豐民乞留，命再任。
HCH_012_280_000220	以憂歸。
HCH_012_280_000221	崇禎元年，擢戶科給事中，疏言李國普宜留內閣，王永光宜典銓，曹於汴宜秉憲，鄭三俊、畢懋良宜總版曹，李邦華宜主戎政。
HCH_012_280_000222	帝多采其言。
HCH_012_280_000223	俄陳朝政不平，為王之寀請恤，孫慎行訟冤，速楊鎬、王化貞之誅，白楊漣、左光鬥結毒之謗，追論故相魏廣微、顧秉謙、馮銓、黃立極之罪。
HCH_012_280_000224	因言奪情建祠之朱童蒙不可寬，積愆久廢之湯賓尹不可用。
HCH_012_280_000225	帝亦納之。
HCH_012_280_000226	又極論來宗道、楊景辰附逆不可居政府，二人旋罷去。
HCH_012_280_000227	御史袁弘勛劾大學士劉鴻訓，逆黨徐大化實主之。
HCH_012_280_000228	川貴總督張鶴鳴先已被廢，其復用由魏忠賢。
HCH_012_280_000229	式耜並疏論。
HCH_012_280_000230	已，頌楊漣、魏大中、周順昌為清中之清，忠中之忠，三人遂賜謚。
HCH_012_280_000231	未幾，陳時務七事，言：「起廢不可不核，升遷不可不漸，會推不可不慎。謚典宜嚴，刑章宜飭，論人宜審，附珰者宜區分。」
HCH_012_280_000232	又極論館選奔競之弊，請臨軒親試。
HCH_012_280_000233	末言：「古有左右史，記天子言動。今召對時勤，宜令史官入侍紀錄，昭示朝野。」
HCH_012_280_000234	事多議行。
HCH_012_280_000235	時將定逆案，請盡發紅本，定其情罪輕重。
HCH_012_280_000236	又言宣府巡撫徐良彥不附逆奄，為崔呈秀誣劾遣戍，亟當登用。
HCH_012_280_000237	良彥遂獲起。
HCH_012_280_000238	式耜矯矯立名，所建白多當帝意，然搏擊權豪，大臣多畏其口。
HCH_012_280_000239	十月詔會推閣臣，禮部侍郎錢謙益以同官周延儒方言事蒙眷，慮並推則己絀，謀沮之。
HCH_012_280_000240	式耜，謙益門人也，言於當事者，擯延儒弗推，而列謙益第二。
HCH_012_280_000241	溫體仁遂發難，延儒助之。
HCH_012_280_000242	謙益奪官閑住，式耜坐貶謫。
HCH_012_280_000243	式耜嘗頌貴寧參政胡平表殺賊功，請優擢。
HCH_012_280_000244	其後平表為貴州布政使，坐不謹罷。
HCH_012_280_000245	式耜再貶二秩，遂廢於家。
HCH_012_280_000246	久之，常熟奸民張漢儒希體仁指，訐謙益、式耜貪肆不法。
HCH_012_280_000247	體仁主之，下法司逮治。
HCH_012_280_000248	巡撫張國維、巡按路振飛交章白其冤，不聽。
HCH_012_280_000249	比兩人就獄，則體仁已去位，獄稍解。
HCH_012_280_000250	謙益坐削籍，式耜贖徒。
HCH_012_280_000251	言官疏薦，不納。
HCH_012_280_000252	十七年，福王立於南京。
HCH_012_280_000253	八月起式耜應天府丞。
HCH_012_280_000254	已，擢右僉都御史，代方震孺巡撫廣西。
HCH_012_280_000255	明年夏，甫抵梧州，聞南京破。
HCH_012_280_000256	靖江王亨嘉謀僭號，召式耜。
HCH_012_280_000257	拒不往，而檄思恩參將陳邦傳助防。
HCH_012_280_000258	止狼兵，勿應亨嘉調。
HCH_012_280_000259	亨嘉至梧，劫式耜，幽之桂林，遣入取其敕印。
HCH_012_280_000260	初，式耜議立桂端王子安仁王。
HCH_012_280_000261	及唐王監國，式耜以為倫序不當立，不奉表勸進。
HCH_012_280_000262	至是為亨嘉所幽，乃遣使賀王，因乞援。
HCH_012_280_000263	王喜，而亨嘉為丁魁楚所攻，勢窘，乃釋式耜。
HCH_012_280_000264	式耜與中軍官焦璉召邦傳共執亨嘉，亂遂定。
HCH_012_280_000265	唐王擢式耜兵部右侍郎，協理戎政，以晏日曙來代。
HCH_012_280_000266	式耜不入朝，退居廣東。
HCH_012_280_000267	順治三年九月，大兵破汀州。
HCH_012_280_000268	式耜與魁楚等議立永明王由榔，乃迎王梧州，以十月十日監國肇慶。
HCH_012_280_000269	進式耜吏部右侍郎、東閣大學士，兼掌吏部事。
HCH_012_280_000270	未幾，贛州敗報至，司禮王坤迫王赴梧州。
HCH_012_280_000271	式耜力爭，不得。
HCH_012_280_000272	十一月朔，蘇觀生立唐王聿於廣州。
HCH_012_280_000273	式耜乃與魁楚等定議迎王還肇慶，遣總督林佳鼎禦觀生兵，敗歿。
HCH_012_280_000274	式耜視師峽口。
HCH_012_280_000275	十二月望，大兵破廣州。
HCH_012_280_000276	王坤趣王西走。
HCH_012_280_000277	式耜趨赴王，王已越梧而西。
HCH_012_280_000278	四年正月，大兵破肇慶，逼梧州，巡撫曹曄迎降。
HCH_012_280_000279	王欲走依何騰蛟於湖廣，丁魁楚、呂大器、王化澄皆棄王去，止式耜及吳炳、吳貞毓等從，乃由平樂抵桂林。
HCH_012_280_000280	二月，大兵襲平樂，分兵趨桂林。
HCH_012_280_000281	王將走全州，式耜極陳桂林形勢，請留，不許。
HCH_012_280_000282	自請留守，許之。
HCH_012_280_000283	進文淵閣大學士，兼兵部尚書，賜劍，便宜從事。
HCH_012_280_000284	平樂、潯州相繼破，桂林危甚。
HCH_012_280_000285	總督侍郎朱盛濃走靈川，巡按御史辜延泰走融縣，布政使朱盛𤂂、副使楊垂雲、桂林知府王惠卿以下皆遁，惟式耜與通判鄭國藩，縣丞李世榮及都司林應昌、李當瑞、沈煌在焉。
HCH_012_280_000286	王令兵部右侍郎丁元曄代盛濃，御史魯可藻代延泰。
HCH_012_280_000287	未赴而大兵已於三月薄桂林，以騎數十突入文昌門，登城樓瞰式耜公署。
HCH_012_280_000288	式耜急令援將焦璉拒戰。
HCH_012_280_000289	初，永明王為賊執，璉率眾攀城上，破械出之。
HCH_012_280_000290	王病不能行，璉負王以行。
HCH_012_280_000291	王以此德璉，用破靖江王功，命為參將。
HCH_012_280_000292	及是戰守三月，璉功最多，元曄、可藻亦盡力。
HCH_012_280_000293	式耜身立矢石中，與士卒同甘苦。
HCH_012_280_000294	積雨城壞，吏士無人色，式耜督城守自如，故人無叛誌。
HCH_012_280_000295	援兵索餉而嘩，式耜括庫不足，妻邵捐簪珥佐之。
HCH_012_280_000296	既而璉兵主客不和，噪而去，城幾破者數矣。
HCH_012_280_000297	會陳邦彥等攻廣州，大兵引而東，桂林獲全。
HCH_012_280_000298	璉亦復陽朔及平樂，陳邦傳亦由潯復梧州。
HCH_012_280_000299	王聞捷，封式耜臨桂伯，璉新興伯，元曄等進秩有差。
HCH_012_280_000300	式耜初請王返全州，不聽。
HCH_012_280_000301	已，請還桂林。
HCH_012_280_000302	王已許之，會武岡破，王由靖州走柳州，式耜復請還桂林。
