HCH_013_028_000217	上曰：「亦時勢不同也。舜時五載一巡狩，《虞書》所載一年徧天下。後世人君一出，千乘萬騎，百姓騷驛。成周十二年一巡，已與虞時不同矣，況後世乎！予謂治貴實效。巡狩之禮，考制度，觀民風，明黜陟，此其大節也。誠能體帝王之心，選賢任良，不患不振。若以後世侍衛之眾，征求之廣，欲行時巡之禮，難矣。」
HCH_013_028_000218	時征交趾屢失利，上密問英國公張輔，輔請益發兵誅之。
HCH_013_028_000219	楊士奇、楊榮力言棄交趾便。
HCH_013_028_000220	上從之，赦交趾罪。
HCH_013_028_000221	三年二月，易皇后胡氏，冊妃孫氏為皇后。
HCH_013_028_000222	先是，上嘗召張輔、蹇義、夏原吉、楊士奇、楊榮諭之曰：「朕年三十未有子，今幸貴妃生子，母從子貴，古亦有之。但中宮宜何如處置？」
HCH_013_028_000223	因舉中宮過失數事。
HCH_013_028_000224	榮曰：「舉此廢之可也。」
HCH_013_028_000225	上曰：「廢后有故事否？」
HCH_013_028_000226	義曰：「宋仁宗降郭后為仙妃。」
HCH_013_028_000227	上問輔、原吉、士奇何無言？
HCH_013_028_000228	士奇對曰：「臣于帝后，猶子事父母。今中宮母也，羣臣子也，子豈當議廢母！」
HCH_013_028_000229	上問輔、原吉云何？
HCH_013_028_000230	二人依回其間，曰：「此大事，容臣詳議以聞。」
HCH_013_028_000231	上問：「此舉得不貽外議否？」
HCH_013_028_000232	義曰：「自古所有，何得議之！」
HCH_013_028_000233	士奇曰：「宋仁宗廢郭后，孔道輔、范仲淹率臺諫十數人入諫被黜，至今史冊為貶，何謂無議！」
HCH_013_028_000234	既退，榮、義語原吉、士奇曰：「上有志久矣，非臣下所能止。」
HCH_013_028_000235	原吉曰：「但當議處置中宮。」
HCH_013_028_000236	士奇曰：「今日所聞中宮過失，皆非當廢之罪。」
HCH_013_028_000237	議不決。
HCH_013_028_000238	明旦，上召士奇、榮至西角門，問：「議云何？」
HCH_013_028_000239	榮懷中出一紙，列中宮過失二十事進，皆誣詆，曰：「即此可廢也。」
HCH_013_028_000240	上覽二三事，遽艴然變色曰：「彼曷嘗有此，宮廟無神靈乎？」
HCH_013_028_000241	顧士奇：「爾何言？」
