HCH_012_322_000235	倭聽指揮，誘之入寇。
HCH_012_322_000236	海中巨盜，遂襲倭服飾、旂號，並分艘掠內地無不大利，故倭患日劇，於是廷議復設巡撫。
HCH_012_322_000237	三十一年七月以僉都御史王忬任之，而勢已不可撲滅。
HCH_012_322_000238	明初，沿海要地建衞所，設戰船，董以都司、巡視、副使等官，控制周密。
HCH_012_322_000239	迨承平久，船敝伍虛。
HCH_012_322_000240	及遇警，乃募漁船以資哨守。
HCH_012_322_000241	兵非素練，船非專業，見寇舶至，輒望風逃匿，而上又無統率御之。
HCH_012_322_000242	以故賊帆所指，無不殘破。
HCH_012_322_000243	三十二年三月，汪直勾諸倭大舉入寇，連艦數百，蔽海而至。
HCH_012_322_000244	浙東、西，江南、北，濱海數千里，同時告警。
HCH_012_322_000245	破昌國衞。
HCH_012_322_000246	四月犯太倉，破上海縣，掠江陰，攻乍浦。
HCH_012_322_000247	八月劫金山衞，犯崇明及常熟、嘉定。
HCH_012_322_000248	三十三年正月自太倉掠蘇州，攻松江，復趨江北，薄通、泰。
HCH_012_322_000249	四月陷嘉善，破崇明，復薄蘇州，入崇德縣。
HCH_012_322_000250	六月由吳江掠嘉興，還屯柘林。
HCH_012_322_000251	縱橫來往，若入無人之境，忬亦不能有所為。
HCH_012_322_000252	未幾，忬改撫大同，以李天寵代，又命兵部尚書張經總督軍務。
HCH_012_322_000253	乃大徵兵四方，協力進剿。
HCH_012_322_000254	是時，倭以川沙窪、柘林為巢，抄掠四出。
HCH_012_322_000255	明年正月，賊奪舟犯乍浦、海寧，陷崇德，轉掠塘棲、新市、橫塘、雙林等處，攻德清縣。
HCH_012_322_000256	五月復合新倭，突犯嘉興，至王江涇，乃為經擊斬千九百餘級，餘奔柘林。
HCH_012_322_000257	其他倭復掠蘇州境，延及江陰、無錫，出入太湖。
HCH_012_322_000258	大抵真倭十之三，從倭者十之七。
HCH_012_322_000259	倭戰則驅其所掠之人為軍鋒，法嚴，人皆致死，而官軍素懦怯，所至潰奔。
HCH_012_322_000260	帝乃遣工部侍郎趙文華督察軍情。
HCH_012_322_000261	文華顛倒功罪，諸軍益解體。
HCH_012_322_000262	經、天寵並被逮，代以周珫、胡宗憲。
HCH_012_322_000263	踰月，珫罷，代以楊宜。
HCH_012_322_000264	時賊勢蔓延，江、浙無不蹂躪。
HCH_012_322_000265	新倭來益眾，益肆毒。
HCH_012_322_000266	每自焚其舟，登岸劫掠。
HCH_012_322_000267	自杭州北新關西剽淳安，突徽州歙縣，至績谿、旌德，過涇縣，趨南陵，遂達蕪湖。
HCH_012_322_000268	燒南岸，奔太平府，犯江寧鎮，徑侵南京。
HCH_012_322_000269	倭紅衣黃蓋，率眾犯大安德門，及夾岡，乃趨秣陵關而去，由溧水流劫溧陽、宜興。
HCH_012_322_000270	聞官兵自太湖出，遂越武進，抵無錫，駐惠山。
HCH_012_322_000271	一晝夜奔百八十餘里，抵滸墅。
HCH_012_322_000272	為官軍所圍，追及於楊林橋，殲之。
HCH_012_322_000273	是役也，賊不過六七十人，而經行數千里，殺戮戰傷者幾四千人，歷八十餘日始滅，此三十四年九月事也。
HCH_012_322_000274	應天巡撫曹邦輔以捷聞，文華忌其功。
HCH_012_322_000275	以倭之巢於陶宅也，乃大集浙、直兵，與宗憲親將之。
HCH_012_322_000276	又約邦輔合剿，分道並進，營於松江之甎橋。
HCH_012_322_000277	倭悉銳來衝，遂大敗，文華氣奪，賊益熾。
HCH_012_322_000278	十月，倭自樂清登岸，流劫黃巖、仙居、奉化、餘姚、上虞，被殺擄者無算。
HCH_012_322_000279	至嵊縣乃殲之，亦不滿二百人，顧深入三府，歷五十日始平。
HCH_012_322_000280	其先一枝自山東日照流劫東安衞，至淮安、贛榆、沭陽、桃源，至清河阻雨，為徐、邳官兵所殲，亦不過數十人，流害千里，殺戮千餘，其悍如此。
HCH_012_322_000281	而文華自甎橋之敗，見倭寇勢甚，其自柘林移於周浦，與泊於川沙舊巢及嘉定高橋者自如，他侵犯者無虛日，文華乃以寇息請還朝。
HCH_012_322_000282	明年二月，罷宜，代以宗憲，以阮鶚巡撫浙江。
HCH_012_322_000283	於是宗憲乃請遣使諭日本國王，禁戢島寇，招還通番奸商，許立功免罪。
HCH_012_322_000284	既得旨，遂遣寧波諸生蔣洲、陳可願往。
HCH_012_322_000285	及是，可願還，言至其國五島，遇汪直、毛海峰，謂日本內亂，王與其相俱死，諸島不相統攝，須徧諭乃可杜其入犯。
HCH_012_322_000286	又言，有薩摩洲者，雖已揚帆入寇，非其本心，乞通貢互市，願殺賊自効。
HCH_012_322_000287	乃留洲傳諭各島，而送可願還。
HCH_012_322_000288	宗憲以聞，兵部言：「直等本編民，既稱効順，即當釋兵。乃絕不言及，第求開市通貢，隱若屬國然，其奸叵測。宜令督臣振揚國威，嚴加備禦。移檄直等，俾剿除舟山諸賊巢以自明。果海疆廓清，自有恩賚。」
HCH_012_322_000289	從之。
HCH_012_322_000290	時兩浙皆被倭，而慈谿焚殺獨慘，餘姚次之。
HCH_012_322_000291	浙西柘林、乍浦、烏鎮、皂林間，皆為賊巢，前後至者二萬餘人，命宗憲亟圖方略。
HCH_012_322_000292	七月，宗憲言：「賊首毛海峯自陳可願還，一敗倭寇於舟山，再敗之瀝表，又遣其黨招諭各島，相率効順，乞加重賞。」
HCH_012_322_000293	部令宗憲以便宜行。
HCH_012_322_000294	當是時，徐海、陳東、麻葉，方連兵攻圍桐鄉，宗憲設計間之，海遂擒東、葉以降，盡殲其餘眾於乍浦。
HCH_012_322_000295	未幾，復蹴海於梁莊，海亦授首，餘黨盡滅。
HCH_012_322_000296	江南、浙西諸寇略平，而江北倭則犯丹陽及掠瓜洲，燒漕艘者明春復犯如皐、海門，攻通州，掠揚州、高郵，入寶應，遂侵淮安府，集於廟灣，逾年乃克。
HCH_012_322_000297	其浙東之倭則盤踞於舟山，亦先後為官軍所襲。
HCH_012_322_000298	先是，蔣洲宣諭諸島，至豐後被留，令僧人往山口等島傳諭禁戢。
HCH_012_322_000299	於是山口都督源義長具咨送還被掠人口，而咨乃用國王印。
HCH_012_322_000300	豐後太守源義鎮遣僧德陽等具方物，奉表謝罪，請頒勘合修貢，送洲還。
HCH_012_322_000301	前楊宜所遣鄭舜功出海哨探者，行至豐後島，島主亦遣僧清授附舟來謝罪，言前後侵犯，皆中國奸商潛引諸島夷眾，義鎮等實不知。
HCH_012_322_000302	於是宗憲疏陳其事，言：「洲奉使二年，止歷豐後、山口二島，或有貢物而無印信勘合，或有印信而無國王名稱，皆違朝典。然彼既以貢來，又送還被掠人口，實有畏罪乞恩意。宜禮遣其使，令傳諭義鎮、義長，轉諭日本王，擒獻倡亂諸渠，及中國奸宄，方許通貢。」
HCH_012_322_000303	詔可。
HCH_012_322_000304	汪直之踞海島也，與其黨王滶、葉宗滿、謝和、王清溪等，各挾倭寇為雄。
HCH_012_322_000305	朝廷至懸伯爵、萬金之賞以購之，迄不能致。
HCH_012_322_000306	及是，內地官軍頗有備，倭雖橫，亦多被剿戮，有全島無一人歸者，往往怨直，直漸不自安。
HCH_012_322_000307	宗憲與直同郡，館直母與其妻孥於杭州，遣蔣洲齎其家書招之。
HCH_012_322_000308	直知家屬固無恙，頗心動。
HCH_012_322_000309	義鎮等以中國許互市，亦喜。
