HCH_012_026_000000	洪武元年五月甲申，犯填星。
HCH_012_026_000491	十月壬寅，犯鬼。
HCH_012_026_000492	天顺元年二月癸未，又犯。
HCH_012_026_000493	二年八月戊辰，入鬼。
HCH_012_026_000494	三年正月辛卯，犯轩辕。
HCH_012_026_000495	四月乙卯，犯灵台。
HCH_012_026_000496	五月癸卯，犯右执法。
HCH_012_026_000497	四年七月戊子，犯天樽。
HCH_012_026_000498	八月丙辰，入鬼。
HCH_012_026_000499	十月庚午，犯上将。
HCH_012_026_000500	闰十一月庚申，犯上相。
HCH_012_026_000501	五年正月戊午，退入太微垣。
HCH_012_026_000502	三月癸亥，犯右执法。
HCH_012_026_000503	六年七月丙午，入鬼。
HCH_012_026_000504	九月乙卯，犯上将。
HCH_012_026_000505	十一月丙午，犯进贤。
HCH_012_026_000506	七年正月辛亥，入氐。
HCH_012_026_000507	四月辛酉，退犯氐西南星。
HCH_012_026_000508	七月壬辰，犯东南星。
HCH_012_026_000509	甲寅，犯房北第二星。
HCH_012_026_000510	八月己巳，犯斗杓。
HCH_012_026_000511	成化元年正月丁巳，犯东咸。
HCH_012_026_000512	二月癸卯，犯天籥。
HCH_012_026_000513	五月戊午，留守斗。
HCH_012_026_000514	己巳，退犯魁第四星。
HCH_012_026_000515	七月癸酉，又犯。
HCH_012_026_000516	二年二月癸巳，犯天阴。
HCH_012_026_000517	三年八月乙未，犯垒壁。
HCH_012_026_000518	四年二月己亥，犯月星。
HCH_012_026_000519	己酉，犯天街。
HCH_012_026_000520	五月庚辰，犯鬼。
HCH_012_026_000521	癸未，犯积尸。
HCH_012_026_000522	十一年七月甲戌，犯积薪。
HCH_012_026_000523	八月癸未，入鬼。
HCH_012_026_000524	甲申，犯积尸。
HCH_012_026_000525	十月乙未，犯灵台。
HCH_012_026_000526	十二年四月壬辰，犯上将及建。
HCH_012_026_000527	十三年九月癸未，犯上将。
HCH_012_026_000528	十一月庚辰，犯进贤。
HCH_012_026_000529	十四年正月乙丑，犯亢。
HCH_012_026_000530	二月甲辰，又犯。
HCH_012_026_000531	十五年九月乙丑，犯灵台。
HCH_012_026_000532	闰十月庚申，犯进贤。
HCH_012_026_000533	十六年正月壬午朔，犯房。
HCH_012_026_000534	三月乙酉，犯天江。
HCH_012_026_000535	十月戊辰，犯垒壁。
HCH_012_026_000536	十七年三月庚辰，犯昴。
HCH_012_026_000537	十八年王月甲戌，八月丙辰，十月戊辰，俱犯垒壁。
HCH_012_026_000538	十九年十月庚辰，犯氐。
HCH_012_026_000539	十一月己酉，犯钩钤。
HCH_012_026_000540	壬子，犯东咸。
HCH_012_026_000541	二十一年正月戊子，犯天阴。
HCH_012_026_000542	十一月壬戌，犯天江。
HCH_012_026_000543	二十三年二月丁酉，犯井。
HCH_012_026_000544	弘治元年六月庚戌，犯诸王。
HCH_012_026_000545	八月庚申，犯积薪。
HCH_012_026_000546	九月癸酉，犯鬼。
HCH_012_026_000547	甲戌，犯积尸。
HCH_012_026_000548	三年三月辛酉，犯鬼。
HCH_012_026_000549	四年六月戊子，犯诸王。
HCH_012_026_000550	五年六月己亥，犯积尸。
HCH_012_026_000551	七月癸酉，入井。
HCH_012_026_000552	十月乙巳，犯灵台。
HCH_012_026_000553	十一月丙申，犯上相。
HCH_012_026_000554	六年二月庚子，犯平道。
HCH_012_026_000555	三月甲戌，犯上相。
HCH_012_026_000556	四月丙申，犯左执法。
HCH_012_026_000557	七年十二月癸亥，犯亢。
HCH_012_026_000558	八年二月戊寅，犯房。
HCH_012_026_000559	四月癸酉、六月癸亥，俱犯氐。
HCH_012_026_000560	十二月癸丑，犯垒壁。
HCH_012_026_000561	九年十二月己丑，犯钩钤。
HCH_012_026_000562	十一年十一月乙未，犯亢。
HCH_012_026_000563	十三年正月壬戌，犯天阴。
HCH_012_026_000564	十四年四月庚子，犯垒壁。
HCH_012_026_000565	十月乙卯，犯天街。
HCH_012_026_000566	十五年二月戊辰，犯井。
HCH_012_026_000567	十六年七月丁丑，犯诸王。
HCH_012_026_000568	十七年四月癸卯，十八年九月癸未，正德二年七月戊辰，俱犯积尸。
HCH_012_026_000569	十月癸未，犯上将。
HCH_012_026_000570	三年四月乙丑，犯右执法。
HCH_012_026_000571	四年十一月己未，犯进贤。
HCH_012_026_000572	五年三月癸亥，犯亢。
HCH_012_026_000573	六月丁卯，犯房北第二星。
HCH_012_026_000574	七月丙子，犯天关。
HCH_012_026_000575	八月乙未，犯天江。
HCH_012_026_000576	十六年二月庚子，犯鬼。
HCH_012_026_000577	六月壬午，犯右执法。
HCH_012_026_000578	嘉靖元年八月乙未，犯积尸。
HCH_012_026_000579	二年正月庚戌，入太微垣，犯内屏。
HCH_012_026_000580	闰四月丙寅，犯右执法。
HCH_012_026_000581	三年十月癸巳，犯上将。
HCH_012_026_000582	十一月甲子，犯左执法。
HCH_012_026_000583	十二月癸丑，犯进贤。
HCH_012_026_000584	四年二月戊午，犯平道。
HCH_012_026_000585	五年九月癸未，犯上将。
HCH_012_026_000586	十八年十一月辛未，犯上相。
HCH_012_026_000587	十九年九月乙卯，二十一年八月戊戌，俱犯斗。
HCH_012_026_000588	二十三年正月壬寅，犯房北第一星。
HCH_012_026_000589	三月丁巳，入斗。
HCH_012_026_000590	六月乙亥，入箕退行二舍。
HCH_012_026_000591	二十四年十月丁巳，犯氐。
HCH_012_026_000592	二十七年十一月甲申，自毕退行至胃。
HCH_012_026_000593	二十九年十二月甲戌，退守井。
HCH_012_026_000594	三十一年九月辛卯，犯鬼。
HCH_012_026_000595	三十五年九月丁丑，犯上将。
HCH_012_026_000596	三十六年二月壬辰，自角退入轸。
HCH_012_026_000597	四月戊子，自轸退行二舍余。
HCH_012_026_000598	三十九年十二月甲寅，犯钩钤。
HCH_012_026_000599	四十二年十月辛亥，自胃退行抵娄。
HCH_012_026_000600	四十四年十二月壬申，自井退二舍。
HCH_012_026_000601	隆庆二年六月乙未，犯右执法。
HCH_012_026_000602	三年八月丁未，犯鬼。
HCH_012_026_000603	四年五月己卯，犯右执法。
HCH_012_026_000604	万历二年二月癸亥，犯房。
HCH_012_026_000605	五月己卯，犯氐。
HCH_012_026_000606	五年十月辛丑，又犯。
HCH_012_026_000607	九年二月辛酉，犯井。
HCH_012_026_000608	十二年十二月辛亥，退行张次。
HCH_012_026_000609	十三年正月庚辰，退入轩辕。
HCH_012_026_000610	二月戊申，犯张，又自张历柳。
HCH_012_026_000611	十五年正月丁酉，退入轸。
HCH_012_026_000612	二月丁卯，退行翼次。
HCH_012_026_000613	四月，犯翼。
HCH_012_026_000614	十七年二月己丑，犯氐。
HCH_012_026_000615	四月丁亥，自氐退入角。
HCH_012_026_000616	七月辛酉，犯房第二星。
HCH_012_026_000617	九月辛亥，犯斗杓。
HCH_012_026_000618	十九年四月乙巳，六月壬子，俱犯箕。
HCH_012_026_000619	七月丁亥，犯斗。
HCH_012_026_000620	二十年十一月戊辰，犯氐。
HCH_012_026_000621	二十一年七月辛巳，九月甲戌，俱犯室。
HCH_012_026_000622	二十二年五月，犯角。
HCH_012_026_000623	二十七年八月甲辰，犯奎。
HCH_012_026_000624	二十八年二月庚寅，犯鬼。
HCH_012_026_000625	三十年正月丁巳，退入太微垣。
HCH_012_026_000626	三十二年二月丁酉，退入角。
HCH_012_026_000627	三十四年四月己巳，犯心。
HCH_012_026_000628	五月戊寅，犯房。
HCH_012_026_000629	癸未，自心退入氐。
HCH_012_026_000630	三十七年十一月丙戌，犯氐。
HCH_012_026_000631	三十八年八月辛卯，退行娄次。
HCH_012_026_000632	四十二年十月，犯柳。
HCH_012_026_000633	四十四年十二月，犯翼。
HCH_012_026_000634	四十五年二月庚子，退行星度。
HCH_012_026_000635	四十七年正月，犯轸。
HCH_012_026_000636	二月丁巳，退入轸。
HCH_012_026_000637	辛未，退入翼。
HCH_012_026_000638	泰昌元年八月辛亥，犯太微右将。
HCH_012_026_000639	天启元年闰二月癸巳，退入氐。
HCH_012_026_000640	三年正月甲午，犯房北第一星。
HCH_012_026_000641	四月，守斗百日。
HCH_012_026_000642	八月甲子，犯狗国。
HCH_012_026_000643	十月甲申，犯垒壁。
HCH_012_026_000644	四年二月，守斗。
HCH_012_026_000645	五年九月乙卯，自壁退入室。
HCH_012_026_000646	崇祯三年三月己酉，入井，退舍复秬。
HCH_012_026_000647	居数月，又入鬼，犯积尸。
HCH_012_026_000648	四月己卯，复犯积尸。
HCH_012_026_000649	八月辛亥，犯斗魁。
HCH_012_026_000650	八年九月丁丑，犯太微垣。
HCH_012_026_000651	十一年，自春至夏守尾百餘日。
HCH_012_026_000652	四月己酉，退行尾八度，掩于月。
HCH_012_026_000653	五月丁卯，退尾入心。
HCH_012_026_000654	十五年五月，守心。
HCH_012_026_000655	洪武十五年六丁亥，九月乙未，俱犯毕。
HCH_012_026_000656	十六年八月己卯，犯天关。
HCH_012_026_000657	十七年闰十月丙辰，犯井。
HCH_012_026_000658	十八年七月己巳，十九年三月甲戌，俱犯天樽。
HCH_012_026_000659	九月甲寅，入鬼。
HCH_012_026_000660	十月甲午，留鬼。
HCH_012_026_000661	二十二年二月癸卯，退行轩辕。
HCH_012_026_000662	二十三年正月戊子，五月壬子，俱犯灵台。
HCH_012_026_000663	二十四年十月己未，犯太微东垣上相。
HCH_012_026_000664	二十五年二月辛酉，退犯上相。
HCH_012_026_000665	己卯，退入太微左掖。
HCH_012_026_000666	二十八年正月癸丑，守氐。
HCH_012_026_000667	四月乙丑，退入氐。
HCH_012_026_000668	二十九年十一月甲子，犯罚。
HCH_012_026_000669	三十年正月丙辰，犯东咸。
HCH_012_026_000670	五月壬子朔，又犯罚。
HCH_012_026_000671	永乐元年九月丁丑，躔女留代。
HCH_012_026_000672	十二年七月戊子，犯井。
HCH_012_026_000673	十四年七月辛亥，犯鬼。
HCH_012_026_000674	十七年九月丙子，犯上将。
HCH_012_026_000675	洪熙元年十一月辛酉，宣德元年三月庚戌，九月壬辰，俱犯键闭。
HCH_012_026_000676	正统元年八月丁亥，退犯垒壁。
HCH_012_026_000677	三年十一月乙酉，犯外屏。
HCH_012_026_000678	八年十一月庚午，十二月壬子，俱犯井。
HCH_012_026_000679	十年三月丁丑，犯天樽。
HCH_012_026_000680	十三年九月丁亥，犯灵台。
HCH_012_026_000681	景泰元年闰正月己酉，入太微垣。
HCH_012_026_000682	九月庚戌，二年二月戊子，俱犯上相。
HCH_012_026_000683	庚寅，退入太微左掖。
HCH_012_026_000684	三年十月辛丑，犯亢。
HCH_012_026_000685	四年三月己未，退犯亢。
HCH_012_026_000686	七年七月己丑，犯罚。
HCH_012_026_000687	天顺三年正月辛卯，犯建。
HCH_012_026_000688	四月癸酉，守犯建。
HCH_012_026_000689	七年闰七月戊午朔，退犯垒壁。
HCH_012_026_000690	十月癸丑，又犯。
HCH_012_026_000691	成化四年七月甲子，犯天囷。
HCH_012_026_000692	七年闰九月戊午，犯斗魁。
HCH_012_026_000693	辛酉，犯天高。
HCH_012_026_000694	十二年十月辛卯，守轩辕大星。
HCH_012_026_000695	十五年四月己丑，犯上将。
HCH_012_026_000696	十七年二月己未，犯进贤。
HCH_012_026_000697	二十一年正月庚戌，犯罚。
HCH_012_026_000698	弘治六年三月壬申，八年十二月戊午，十年九月乙丑，俱犯垒壁。
HCH_012_026_000699	十四年十一月辛卯，犯诸王。
HCH_012_026_000700	十五年六月壬子，十二月辛丑，十六年正月己卯，俱犯井。
HCH_012_026_000701	七月辛卯，犯天樽。
HCH_012_026_000702	十七年七月辛亥，犯积尸。
HCH_012_026_000703	九月甲午，犯鬼。
HCH_012_026_000704	正德二年八月癸巳，犯灵台。
HCH_012_026_000705	十月甲戌，犯上将。
HCH_012_026_000706	三年五月甲子，犯灵台。
HCH_012_026_000707	五年二月戊申，六月壬辰，俱犯上相。
HCH_012_026_000708	七年四月甲申，犯亢。
HCH_012_026_000709	十五年二月丁卯，犯罗堰。
HCH_012_026_000710	十六年七月乙卯，退犯代。
HCH_012_026_000711	嘉靖元年八月庚辰，退犯垒壁。
HCH_012_026_000712	二十二年五月甲子，退守氐三十七日。
HCH_012_026_000713	隆庆三年三月庚午，退犯上相。
HCH_012_026_000714	万历三十五年正月至六月，退留斗。
HCH_012_026_000715	四十八年八月癸丑，犯井。
HCH_012_026_000716	天启元年正月丙戌，退入井。
HCH_012_026_000717	二年八月壬辰，犯守鬼。
HCH_012_026_000718	五年十月丙戌，犯上将。
HCH_012_026_000719	洪武元年七月己巳朔，犯井。
HCH_012_026_000720	三年十一月甲寅，犯垒壁。
HCH_012_026_000721	九年六月丁亥，犯毕。
HCH_012_026_000722	庚戌，犯井。
HCH_012_026_000723	八月，犯上将。
HCH_012_026_000724	九月己未，犯右执法。
HCH_012_026_000725	十年十月壬子，犯进贤。
HCH_012_026_000726	十一年九月丁丑，犯氐。
HCH_012_026_000727	十二月辛丑，犯垒壁。
HCH_012_026_000728	十二年三月壬子，犯昴。
HCH_012_026_000729	六月丁亥，犯井。
HCH_012_026_000730	七月乙巳，犯鬼。
HCH_012_026_000731	十三年八月丙戌，犯心。
HCH_012_026_000732	十六年十一月乙卯，犯垒壁。
HCH_012_026_000733	十七年七月癸卯，犯天樽。
HCH_012_026_000734	十二月丙申，犯垒壁。
HCH_012_026_000735	十八年十月壬子，犯亢。
HCH_012_026_000736	十九年正月庚午，犯牛。
HCH_012_026_000737	二月己丑，犯垒壁。
HCH_012_026_000738	七月己卯，二十年八月己巳，俱入太微垣。
HCH_012_026_000739	二十一年六月壬戌，犯左执法。
HCH_012_026_000740	二十二年正月己卯，犯建。
HCH_012_026_000741	五月癸巳，犯诸王。
HCH_012_026_000742	十一月辛未，入斗。
HCH_012_026_000743	十二月丁巳，犯垒壁。
HCH_012_026_000744	二十三年四月壬戌，犯五诸侯。
HCH_012_026_000745	六月丁丑，留井。
HCH_012_026_000746	十月庚午，入亢。
HCH_012_026_000747	二十四年七月庚戌，入太微垣右掖。
HCH_012_026_000748	辛卯，犯右执法。
HCH_012_026_000749	十月丙辰，入斗。
HCH_012_026_000750	二十五年闰十一月乙酉，入垒壁。
HCH_012_026_000751	二十六年二月癸卯，犯天街。
HCH_012_026_000752	三月丙子朔，犯诸王。
HCH_012_026_000753	二十八年六月癸酉，犯毕。
HCH_012_026_000754	七月丙午，犯井。
HCH_012_026_000755	己酉，出井，犯东第三星。
HCH_012_026_000756	闰九月壬申，入角。
HCH_012_026_000757	十月戊申，犯东咸。
HCH_012_026_000758	二十九年七月戊辰，入角。
HCH_012_026_000759	八月癸丑，犯心中星。
HCH_012_026_000760	三十年正月壬戌，犯建。
HCH_012_026_000761	十二月戊戌，入垒壁。
HCH_012_026_000762	三十一年正月乙亥，犯外屏。
HCH_012_026_000763	五月丁未朔，犯五诸侯。
HCH_012_026_000764	建文四年六月庚子，入太微右掖。
HCH_012_026_000765	八月甲子，入角。
HCH_012_026_000766	九月癸未，入氐。
HCH_012_026_000767	丙申，入房。
HCH_012_026_000768	十月癸亥，入斗杓。
HCH_012_026_000769	永乐元年六月丙辰，犯毕。
HCH_012_026_000770	七月甲申，入井。
HCH_012_026_000771	八月己酉，犯鬼。
HCH_012_026_000772	九月丙子朔，犯轩辕左角。
HCH_012_026_000773	十月辛未，入氐。
HCH_012_026_000774	十一月丙戌，犯键闭。
HCH_012_026_000775	二年五月辛丑朔，犯鬼。
HCH_012_026_000776	七月己酉，入角。
HCH_012_026_000777	八月丁亥，入房南第二星。
HCH_012_026_000778	十一月丁巳，犯东咸。
HCH_012_026_000779	三年三月丙申朔，犯垒壁东第五星。
HCH_012_026_000780	十二月己巳，犯西第三星。
HCH_012_026_000781	四年二月癸未，犯天阴。
HCH_012_026_000782	五月庚寅朔，犯五诸侯。
HCH_012_026_000783	七月庚戌，犯井。
HCH_012_026_000784	八月丙申，犯御女。
HCH_012_026_000785	九月戊寅，犯进贤。
HCH_012_026_000786	十月乙卯，犯房北第一星。
HCH_012_026_000787	五年七月癸丑，犯右执法。
HCH_012_026_000788	八月己亥，犯氐。
HCH_012_026_000789	九月癸丑，犯东咸。
HCH_012_026_000790	十月癸未，犯斗魁。
HCH_012_026_000791	十一月辛未朔，犯秦。
HCH_012_026_000792	六年六月甲申，犯诸王。
HCH_012_026_000793	丙申，与岁星同犯井。
HCH_012_026_000794	七月戊申，犯天樽。
HCH_012_026_000795	七年二月丙戌，犯外屏。
HCH_012_026_000796	十一月丁亥，犯罚。
HCH_012_026_000797	八年九月壬辰，犯天江。
HCH_012_026_000798	十二年五月癸酉朔，犯五诸侯。
HCH_012_026_000799	闰九月己酉，犯左执法。
HCH_012_026_000800	十三年八月庚寅，犯房北第二星。
HCH_012_026_000801	十月乙丑朔，犯斗魁。
HCH_012_026_000802	十四年六月丁卯，犯诸王。
HCH_012_026_000803	十六年十一月甲子，犯垒壁。
HCH_012_026_000804	十七年七月戊午，犯天樽。
HCH_012_026_000805	八月癸巳，犯轩辕大星。
HCH_012_026_000806	十八年八月乙丑，犯心后星。
HCH_012_026_000807	十九年十月癸卯，犯天江。
HCH_012_026_000808	十二月丁酉，犯垒壁。
HCH_012_026_000809	洪熙元年三月乙酉，犯昴。
HCH_012_026_000810	四月丙辰，犯井。
HCH_012_026_000811	十月辛未，犯平道。
HCH_012_026_000812	辛巳，犯亢。
HCH_012_026_000813	宣德元年十月戊辰，犯斗杓。
HCH_012_026_000814	十一月己巳，犯垒壁。
HCH_012_026_000815	丙辰，又犯。
HCH_012_026_000816	二年正月丙申，犯外屏。
HCH_012_026_000817	七月癸巳，犯东井。
HCH_012_026_000818	八月丙辰朔，犯鬼。
HCH_012_026_000819	丁巳，又犯。
HCH_012_026_000820	乙亥，犯轩辕大星。
HCH_012_026_000821	九月丁巳，犯右执法。
HCH_012_026_000822	三年十一月甲子，犯罚。
HCH_012_026_000823	五年二月丁酉，犯昴。
HCH_012_026_000824	九月丁未，犯轩辕左角。
HCH_012_026_000825	十一月壬戌，犯键闭。
HCH_012_026_000826	六年九月丙戌，犯斗。
HCH_012_026_000827	七年七月乙酉，犯轩辕。
HCH_012_026_000828	八年十月癸亥，犯亢。
HCH_012_026_000829	十一月辛卯，犯罚。
HCH_012_026_000830	九年十一月壬辰，犯垒壁。
HCH_012_026_000831	十年正月甲戌，犯外屏。
HCH_012_026_000832	六月庚申，犯天关。
HCH_012_026_000833	八月丙辰，犯轩辕。
HCH_012_026_000834	九月壬申，犯上将。
HCH_012_026_000835	正统三年九月己丑，十一年九月辛未，俱犯轩辕左角。
HCH_012_026_000836	己丑，犯右执法。
HCH_012_026_000837	十月乙未朔，犯左执法。
HCH_012_026_000838	丙午，犯进贤。
HCH_012_026_000839	十二年六月乙亥，犯上将。
HCH_012_026_000840	七月癸丑，犯讥。
HCH_012_026_000841	十四年正月丁亥，犯垒壁。
HCH_012_026_000842	四月庚申，犯井。
HCH_012_026_000843	五月丁亥，犯鬼。
HCH_012_026_000844	七月癸犯，犯亢。
HCH_012_026_000845	九月庚辰，犯天江。
HCH_012_026_000846	十一月丁亥，犯亢。
HCH_012_026_000847	景泰元年正月丁亥，犯亢。
HCH_012_026_000848	闰正月庚申，入垒壁。
HCH_012_026_000849	八月甲申，犯亢。
HCH_012_026_000850	九月乙巳，犯钩钤。
HCH_012_026_000851	壬戌，犯天江。
HCH_012_026_000852	十一月辛酉，犯垒壁。
HCH_012_026_000853	二年六月戊辰朔，犯毕。
HCH_012_026_000854	八月壬寅，入太微右掖。
HCH_012_026_000855	三年四月丁卯，犯诸王。
HCH_012_026_000856	戊子，犯井。
HCH_012_026_000857	五月壬子，犯鬼。
HCH_012_026_000858	六月乙酉，犯灵台。
HCH_012_026_000859	戊子，犯上将。
HCH_012_026_000860	庚寅，入太微右掖。
HCH_012_026_000861	七月壬寅，犯左执法。
HCH_012_026_000862	五年九月癸丑，掩犯轩辕左角。
HCH_012_026_000863	甲戌，犯左执法。
HCH_012_026_000864	六年六月辛巳，犯井。
HCH_012_026_000865	己丑，与荧惑同入太微右掖。
HCH_012_026_000866	八月戊午，犯房北第二星。
HCH_012_026_000867	九月甲午，犯斗魁。
HCH_012_026_000868	七年七月辛未，犯鬼。
HCH_012_026_000869	天顺元年十二月甲午，犯键闭。
HCH_012_026_000870	丁酉，犯罚。
HCH_012_026_000871	二年正月丁卯，犯建。
HCH_012_026_000872	七月丙申，行太微垣中。
HCH_012_026_000873	九月甲寅，犯斗杓。
HCH_012_026_000874	三年五月庚戌，犯毕。
HCH_012_026_000875	十月甲寅，犯亢。
HCH_012_026_000876	四年七月丁丑，犯右执法。
HCH_012_026_000877	甲申，犯左执法。
HCH_012_026_000878	六年九月乙未，犯轩辕左角。
HCH_012_026_000879	己未，犯左执法。
HCH_012_026_000880	十月己巳，犯进贤。
HCH_012_026_000881	七年九月丁丑，犯斗魁。
HCH_012_026_000882	乙酉，犯狗。
HCH_012_026_000883	八年二月丙午，与岁星同犯垒壁。
HCH_012_026_000884	成化元年十二月丙午，犯键闭。
HCH_012_026_000885	二年正月乙卯，犯斗。
HCH_012_026_000886	三年二月丁未，犯娄。
HCH_012_026_000887	三月戊子，犯外屏。
HCH_012_026_000888	五月壬辰，犯毕。
HCH_012_026_000889	六月壬戌，犯井。
HCH_012_026_000890	七月甲申，入鬼，犯积尸。
HCH_012_026_000891	八月癸卯，入轩辕。
HCH_012_026_000892	四年六月戊申，犯灵台。
HCH_012_026_000893	五年二月癸巳，犯牛。
HCH_012_026_000894	六年九月丙子朔，犯轩辕左角。
HCH_012_026_000895	甲午、庚子，俱犯左执法。
HCH_012_026_000896	七年九月壬午，犯房北第二星。
HCH_012_026_000897	闰九月戊午，犯斗魁。
HCH_012_026_000898	十二月乙未，犯牛及罗堰。
HCH_012_026_000899	八年二月甲申，犯垒壁。
HCH_012_026_000900	六月庚午，入井。
HCH_012_026_000901	十二月丙戌，犯垒壁。
HCH_012_026_000902	九年四月己卯，犯五诸侯。
HCH_012_026_000903	十月甲子，犯左执法。
HCH_012_026_000904	十一年三月甲戌，犯外屏。
HCH_012_026_000905	七月庚戌，犯天樽。
HCH_012_026_000906	八月丁酉，犯灵台。
HCH_012_026_000907	庚子，犯上将。
HCH_012_026_000908	九月癸丑，犯左执法。
HCH_012_026_000909	十二年三月庚午，犯月星。
HCH_012_026_000910	四月甲午，犯井。
HCH_012_026_000911	十三年十二月甲午朔，犯垒壁。
HCH_012_026_000912	十五年九月庚辰，犯天江。
HCH_012_026_000913	十月庚子，犯斗魁。
HCH_012_026_000914	辛亥，犯狗。
HCH_012_026_000915	十七年二月丁卯，犯天阴。
HCH_012_026_000916	五月丁酉，犯轩辕。
HCH_012_026_000917	十九年八月丙寅，又犯。
HCH_012_026_000918	九月甲午，犯左执法。
HCH_012_026_000919	十月庚辰，犯房。
HCH_012_026_000920	二十年六月壬午，犯左执法。
HCH_012_026_000921	十二月庚辰，犯垒壁。
HCH_012_026_000922	二十二年六月庚子，犯井。
HCH_012_026_000923	八月甲午，犯轩辕。
HCH_012_026_000924	十一月乙亥，犯进贤。
HCH_012_026_000925	十二月庚戌，犯房。
HCH_012_026_000926	二十三年八月甲申，犯亢。
HCH_012_026_000927	弘治元年二月癸丑，犯垒壁。
HCH_012_026_000928	六月庚戌，犯鬼。
HCH_012_026_000929	七月丙子，犯轩辕大星。
HCH_012_026_000930	癸未，犯左角。
HCH_012_026_000931	戊子，犯灵台。
HCH_012_026_000932	二年正月庚辰，犯外屏。
HCH_012_026_000933	二月丁未，犯垒壁。
HCH_012_026_000934	十月己丑，犯左执法。
HCH_012_026_000935	三年正月壬申，犯罗堰。
HCH_012_026_000936	十一月戊戌，犯垒壁。
HCH_012_026_000937	四年六月癸丑，犯天关。
HCH_012_026_000938	六年二月庚子，犯罗堰。
HCH_012_026_000939	甲子，犯垒壁西第六星。
HCH_012_026_000940	三月甲申，犯东第四星。
HCH_012_026_000941	七年二月辛未，犯昴。
HCH_012_026_000942	七月壬子，犯鬼。
HCH_012_026_000943	八月辛巳，犯轩辕左角。
HCH_012_026_000944	九月丁亥，犯灵台。
HCH_012_026_000945	壬寅，犯亢。
HCH_012_026_000946	十一月壬辰，犯房。
HCH_012_026_000947	乙未，犯罚。
HCH_012_026_000948	丙午，犯天江。
HCH_012_026_000949	九年二月戊午，犯罗堰。
HCH_012_026_000950	七月己未，犯轩辕大星。
HCH_012_026_000951	十年十月辛未，犯左执法。
HCH_012_026_000952	十二月戊辰朔，犯东咸。
HCH_012_026_000953	十一年十月辛未，犯天江。
HCH_012_026_000954	十二年七月辛未，犯鬼。
HCH_012_026_000955	九月戊午朔，犯左执法。
HCH_012_026_000956	十三年十一月乙未，犯罚。
HCH_012_026_000957	十四年正月辛酉，犯建。
HCH_012_026_000958	二月壬午，犯罗堰。
HCH_012_026_000959	十一月己亥，犯垒壁。
HCH_012_026_000960	十五年二月甲寅，犯昴。
HCH_012_026_000961	五月己丑，犯天高。
HCH_012_026_000962	十一月癸酉，犯牛。
HCH_012_026_000963	十六年三月辛卯，犯诸王。
HCH_012_026_000964	九月甲申，犯天江。
HCH_012_026_000965	十月丁未，犯斗魁。
HCH_012_026_000966	丁丑，犯狗。
HCH_012_026_000967	十一月辛巳，犯罗堰。
HCH_012_026_000968	十七年五月己亥，犯诸王。
HCH_012_026_000969	七月丙辰，犯上将。
HCH_012_026_000970	十八年九月丙午，犯右执法。
HCH_012_026_000971	正德元年春，守轩辕。
HCH_012_026_000972	十二月癸丑，犯垒壁。
HCH_012_026_000973	二年三月壬申，犯外屏。
HCH_012_026_000974	五月己巳，犯天高。
HCH_012_026_000975	九月辛丑朔，犯进贤。
HCH_012_026_000976	三年十月丙戌，犯亢。
HCH_012_026_000977	四年正月己酉，犯建。
HCH_012_026_000978	五年八月己亥，犯轩辕大星。
HCH_012_026_000979	十月丙申，犯亢。
HCH_012_026_000980	六年七月辛酉，犯左执法。
HCH_012_026_000981	十月丁亥，犯斗。
HCH_012_026_000982	十一月癸亥，犯罗堰。
HCH_012_026_000983	七年闰五月丁酉，犯钺。
HCH_012_026_000984	六月甲子，犯积尸。
HCH_012_026_000985	八年正月丙戌，犯外屏。
HCH_012_026_000986	七月丁亥，犯酒旗。
HCH_012_026_000987	八月戊申，犯轩辕右角。
HCH_012_026_000988	十年八月丁卯，犯上将。
HCH_012_026_000989	丁丑，犯左执法。
HCH_012_026_000990	十三年七月戊戌，犯井。
HCH_012_026_000991	己未，犯鬼。
HCH_012_026_000992	十四年十月戊辰，犯斗。
HCH_012_026_000993	癸未，犯狗。
HCH_012_026_000994	十六年四月癸卯，犯鬼。
HCH_012_026_000995	八月己丑，犯轩辕右角。
HCH_012_026_000996	九月乙亥，犯左执法。
HCH_012_026_000997	十月戊子，犯进贤。
HCH_012_026_000998	十一月丁卯，犯键闭。
HCH_012_026_000999	十二月庚子，犯建。
HCH_012_026_001000	嘉靖元年正月丙辰，犯牛。
HCH_012_026_001001	十月戊子，犯斗杓。
HCH_012_026_001002	二年六月癸丑，犯井。
HCH_012_026_001003	七月丙子，犯鬼。
HCH_012_026_001004	八月辛酉，犯左执法。
HCH_012_026_001005	四年正月丁卯，犯建。
HCH_012_026_001006	五年六月庚辰，犯井。
HCH_012_026_001007	六年六月丁卯，犯灵台。
HCH_012_026_001008	八年二月庚寅，犯天街。
HCH_012_026_001009	隆庆元年十月甲申，入斗。
HCH_012_026_001010	万历二十四年四月戊午，犯井。
HCH_012_026_001011	三十四年二月甲子，犯昴。
HCH_012_026_001012	四十六年四月乙卯，犯御女。
HCH_012_026_001013	泰昌元年八月丙午朔，犯太微垣勾己。
HCH_012_026_001014	天启三年九月，犯心中星。
HCH_012_026_001015	五年九月壬申，犯左执法。
HCH_012_026_001016	甲申，犯御女。
HCH_012_026_001017	洪武十一年十二月庚戌，犯斗。
HCH_012_026_001018	十五年四月丁亥，犯东井。
