HCH_015_042_000153	徙征南諮議。
HCH_015_042_000154	高宗謀廢少帝，旣與蕭諶及坦之定謀。
HCH_015_042_000155	帝腹心直閤將軍曹道剛疑外間有異，密有處分，諶未能發。
HCH_015_042_000156	始興內史蕭季敞、南陽太守蕭穎基竝應還都，諶欲待二蕭至，藉其勢力以舉事。
HCH_015_042_000157	高宗慮事變，以告坦之，坦之馳謂諶曰：「廢天子古來大事。比聞曹道剛、朱隆之等轉已猜疑。衞尉明日若不就事，無所復及。弟有百歲母，豈能坐聽禍敗，政應作餘計耳！」
HCH_015_042_000158	諶遑遽，明日遂廢帝，坦之力也。
HCH_015_042_000159	海陵卽位，除黃門郎、兼衞尉卿、進爵伯，增邑爲六百戶。
HCH_015_042_000160	建武元年，遷散騎常侍，右衞將軍，進爵侯，增邑爲千五百戶。
HCH_015_042_000161	明年，虜動，假坦之節，督徐州征討軍事。
HCH_015_042_000162	虜圍鍾離，春斷淮洲，坦之擊破之。
HCH_015_042_000163	還加領太子中庶子，未拜，遷領軍將軍。
HCH_015_042_000164	永泰元年，爲侍中、領軍。
HCH_015_042_000165	東昏立，爲侍中、領軍將軍。
HCH_015_042_000166	永元元年，遭母喪，起復職，加右將軍，置府。
HCH_015_042_000167	江祏兄弟欲立始安王遙光，密謂坦之，坦之曰：「明帝取天下，已非次第，天下人至今不服。今若復作此事，恐四海瓦解。我其不敢言。」
HCH_015_042_000168	持喪還宅。
HCH_015_042_000169	宅在東府城東，遙光起事，遣人夜掩取坦之，坦之科頭著褌踰牆走，從東冶僦渡南渡，間道還臺，假節督衆軍討遙光，屯湘宮寺。
HCH_015_042_000170	事平，遷尚書右僕射，丹陽尹，右將軍如故。
HCH_015_042_000171	進爵公，增邑千戶。
HCH_015_042_000172	坦之肥黑無鬚，語聲嘶，時人號爲「蕭瘂」。
HCH_015_042_000173	剛佷專執，羣小畏而憎之。
HCH_015_042_000174	遙光事平二十餘日，帝遣延明主帥黃文濟領兵圍坦之宅，殺之。
HCH_015_042_000175	子賞，祕書郎。
HCH_015_042_000176	亦伏誅。
HCH_015_042_000177	坦之從兄翼宗，爲海陵郡，將發。
HCH_015_042_000178	坦之謂文濟曰：「從兄海陵宅故應無他？」
HCH_015_042_000179	文濟曰：「海陵宅在何處？」
HCH_015_042_000180	坦之告。
HCH_015_042_000181	文濟曰：「應得罪。」
HCH_015_042_000182	仍遣收之。
HCH_015_042_000183	檢家赤貧，唯有質錢帖子數百，還以啓帝，原死，繫尚方。
HCH_015_042_000184	和帝中興元年，追贈坦之中軍將軍、開府儀同三司。
HCH_015_042_000185	江祏字弘業，濟陽考城人也。
HCH_015_042_000186	祖遵，寧朔參軍。
HCH_015_042_000187	父德隣，司徒右長史。
HCH_015_042_000188	祏姑爲景皇后，少爲高宗所親，恩如兄弟。
HCH_015_042_000189	宋末，解褐晉熙國常侍，太祖徐州西曹，員外郎，高宗冠軍參軍，帶灄陽令，竟陵王征北參軍，尚書水部郎。
HCH_015_042_000190	高宗爲吳興，以祏爲郡丞，加宣威將軍，廬陵王中軍功曹記室，安陸王左軍諮議，領錄事，帶京兆太守。
HCH_015_042_000191	除通直郎，補南徐州別駕。
HCH_015_042_000192	高宗輔政，委以心腹。
HCH_015_042_000193	隆昌元年，自正員郎補丹陽丞，中書郎。
HCH_015_042_000194	高宗爲驃騎，鎮東府，以祏爲諮議參軍，領南平昌太守，與蕭誄對直東府省內。
HCH_015_042_000195	時新立海陵，人情未服，高宗胛上有赤誌，常祕不傳，祏勸帝出以示人。
HCH_015_042_000196	晉壽太守王洪範罷任還，上袒示之，曰：「人皆謂此是日月相。卿幸無泄言。」
HCH_015_042_000197	洪範曰：「公日月之相在軀，如何可隱。轉當言之公卿。」
HCH_015_042_000198	上大悅。
HCH_015_042_000199	會直後張伯、尹瓚等屢謀竊發，祏、誄憂虞無計，每夕輙託事外出。
HCH_015_042_000200	及入纂議定，加祏寧朔將軍。
HCH_015_042_000201	高宗爲宣城王，太史密奏圖緯云「一號當得十四年」。
HCH_015_042_000202	祏入，帝喜以示祏曰：「得此復何所望。」
HCH_015_042_000203	及卽位，遷守衞尉，將軍如故。
HCH_015_042_000204	封安陸縣侯，邑千戶。
HCH_015_042_000205	祏祖遵，以后父贈金紫光祿大夫；父德隣，以帝舅亦贈光祿大夫。
HCH_015_042_000206	建武二年，遷右衞將軍，掌甲仗廉察。
HCH_015_042_000207	四年，轉太子詹事。
HCH_015_042_000208	祏以外戚親要，勢冠當時，遠致餉遺，或取諸王第名書好物。
HCH_015_042_000209	然家行甚睦，待子姪有恩意。
HCH_015_042_000210	上寢疾，永泰元年，轉祏爲侍中、中書令，出入殿省。
HCH_015_042_000211	上崩，遺詔轉右僕射，祏弟衞尉祀爲侍中，敬皇后弟劉暄爲衞尉。
HCH_015_042_000212	東昏卽位，參掌選事。
HCH_015_042_000213	高宗雖顧命羣公，而意寄多在祏兄弟。
HCH_015_042_000214	至是更直殿內，動止關諮。
HCH_015_042_000215	永元元年，領太子詹事。
HCH_015_042_000216	劉暄遷散騎常侍，右衞將軍。
HCH_015_042_000217	祏兄弟與暄及始安王遙光、尚書令徐孝嗣、領軍蕭坦之六人，更日帖敕，時呼爲「六貴」。
HCH_015_042_000218	帝稍欲行意，孝嗣不能奪，坦之雖時有異同，而祏堅意執制，帝深忿之。
HCH_015_042_000219	帝失德旣彰，祏議欲立江夏王寶玄。
HCH_015_042_000220	劉暄初爲寶玄郢州行事，執事過刻。
HCH_015_042_000221	有人獻馬，寶玄欲看之，暄曰：「馬何用看。」
HCH_015_042_000222	妃索煮肫，帳下諮暄，暄曰：「旦已煮鵝，不煩復此。」
HCH_015_042_000223	寶玄恚曰：「舅殊無渭陽之情。」
HCH_015_042_000224	暄聞之亦不悅。
HCH_015_042_000225	至是不同祏議，欲立建安王寶夤，密謀於遙光。
HCH_015_042_000226	遙光自以年長，屬當鼎命，微旨動祏。
HCH_015_042_000227	祏弟祀以少主難保，勸祏立遙光。
HCH_015_042_000228	暄以遙光若立，己失元舅之望，不肯同。
HCH_015_042_000229	故祏遲疑久不決。
HCH_015_042_000230	遙光大怒，遣左右黃曇慶於清溪橋道中刺殺暄，曇慶見暄部伍人多，不敢發。
HCH_015_042_000231	事覺，暄告祏謀，帝處分收祏兄弟。
HCH_015_042_000232	祀時直在內殿，疑有異，遣信報祏曰：「劉暄似有異謀，今作何計？」
HCH_015_042_000233	祏曰：「政當靜以鎮之耳。」
HCH_015_042_000234	俄而召祏入見，停中書省。
HCH_015_042_000235	初，直齋袁文曠以王敬則勳當封，祏執不與。
HCH_015_042_000236	帝使文曠取祏，以刀環築其心曰：「復能奪我封否？」
HCH_015_042_000237	祏、祀同日見殺。
HCH_015_042_000238	祀字景昌，初爲南郡王國常侍，歷高祖驃騎東閤祭酒，祕書丞，晉安王鎮北長史，南東海太守，行府州事。
HCH_015_042_000239	治下有宣尼廟，久廢不脩，祀更開掃構立。
HCH_015_042_000240	祀弟禧，居喪早卒。
