HCH_009_016_000166	六月甲寅朔，尚書省奏駙馬都尉安貞反狀，上閱奏慮其不實，謂平章政事英王守純曰：「國家誅一大臣，必合天下後世公議。其令覆按之。」
HCH_009_016_000167	乙丑，遣使諭晉陽公郭文振、上党公完顏開各守疆土，同心濟難，毋以細故啟釁端，誤國事。
HCH_009_016_000168	戊寅，僕散安貞坐謀反，並其三子皆伏誅。
HCH_009_016_000169	己卯，越王永功薨。
HCH_009_016_000170	庚辰，輟朝。
HCH_009_016_000171	壬午，上親奠於殯所。
HCH_009_016_000172	秋七月己亥，義勇軍叛，據碭山縣。
HCH_009_016_000173	庚子，詔增給徐州、清口等處戍兵衣糧。
HCH_009_016_000174	己酉，碭山賊夜襲永城縣，行軍副總領高琬敗之，命蒙古綱並力討捕。
HCH_009_016_000175	辛亥，單州招撫劉瓊乞移河南糧濟其軍，詔給之。
HCH_009_016_000176	八月壬子朔，罷黃陵堈招撫司。
HCH_009_016_000177	上諭尚書省，碭山叛軍家屬囚歸德，旬餘不給糧，恐傷其生。
HCH_009_016_000178	宰臣奏，已給之矣。
HCH_009_016_000179	又諭樞密，河北艱食，民欲南來者日益多，速令渡之，毋致殍死。
HCH_009_016_000180	癸亥，林、懷帥府邀擊紅襖賊於伏恩村，敗之。
HCH_009_016_000181	甲子，詔南征潰軍復歸而能力戰者，依出界立功格賞之。
HCH_009_016_000182	乙丑，宋人掠沈丘，殺縣令。
HCH_009_016_000183	甲戌，命有司除逋戶負租，毋征見戶。
HCH_009_016_000184	九月甲申，以京東歲饑多盜，遣御史大夫紇石烈胡失門為宣慰使，往撫安之。
HCH_009_016_000185	更定監察御史違犯的決法。
HCH_009_016_000186	丁亥，詔州府及軍官捕盜慢職，四品以下宣慰使決之，三品以下上奏裁。
HCH_009_016_000187	戊子，增授隰州招撫使軒成官，改受陝西省節制。
HCH_009_016_000188	乙巳，崇進、駙馬都尉定國公徒單公弼薨。
HCH_009_016_000189	庚戌，歲星犯左執法。
HCH_009_016_000190	右丞相高汝礪表乞致仕，詔溫留之。
HCH_009_016_000191	冬十月癸丑，進汝礪官榮祿大夫。
HCH_009_016_000192	命僕散毅夫行尚書省於京東，督諸軍芻糧。
HCH_009_016_000193	乙卯，太醫侯濟、張子英治皇孫疾，用藥瞑眩，皇孫不能任，遂不療，罪當死。
HCH_009_016_000194	上曰：「濟等所犯誠宜死，然在諸叔及弟兄之子，便應准法行之，以朕孫故殺人，所不忍也。」
HCH_009_016_000195	命杖七十，除名。
HCH_009_016_000196	尚書省言：「司、縣官貪暴不法，部民逃亡，既有決罰，他縣停匿亦宜定罪。隨處土民久困徭役，客戶販鬻坐獲厚利，官無所斂，亦宜稍及客戶，以寬土民。行院帥府幕職，雖無部眾，亦嘗贊畫戎功，而推賞止進官一階，宜聽主將保奏，第功行賞。」
HCH_009_016_000197	上皆從其請。
HCH_009_016_000198	戊午，遣親軍討河南群盜。
HCH_009_016_000199	辛酉，大元兵攻綏德州。
HCH_009_016_000200	壬戌，夏人復侵龕谷。
HCH_009_016_000201	甲子，敕監察所彈事，同列不可預聞，著為令。
HCH_009_016_000202	丁卯，夏人犯定西、積石之境。
HCH_009_016_000203	戊寅，分京畿戍卒萬二千，河中民兵八千，以許州元帥紇石烈鶴壽將之，屯潼關西。
HCH_009_016_000204	十一月癸未，陝西東路行省報安塞堡敗夏人之捷。
HCH_009_016_000205	甲申，諭太府減損食品。
HCH_009_016_000206	庚寅，募民興南陽水田。
HCH_009_016_000207	壬辰，太子、親王、百官表賀安塞堡之捷，卻之。
HCH_009_016_000208	乙未，夏人攻龕穀。
HCH_009_016_000209	宋人攻蘄縣。
HCH_009_016_000210	紅襖賊掠宿州。
HCH_009_016_000211	辛丑，詔蠲徐、邳、宿、泗等州逋租，官民有能墾辟閒田，除來年科征。
HCH_009_016_000212	歸德、亳、壽、潁停閣逋戶租外，仍蠲三之一。
HCH_009_016_000213	逋戶田廬有司募民承業，禁其毀損，以俟來復。
HCH_009_016_000214	蒲城縣民李文秀等謀反，伏誅。
HCH_009_016_000215	壬寅，宋人焚潁州，執防禦判官而去。
HCH_009_016_000216	是日，相國寺火。
HCH_009_016_000217	大元兵攻延安。
HCH_009_016_000218	十二月辛亥朔，以大元兵下潼關、京兆，詔省院議之。
HCH_009_016_000219	壬子，罷避舉縣令法。
HCH_009_016_000220	丁巳，禮部侍郎烏古孫仲端、翰林待制安庭珍使北還，各遷一階。
HCH_009_016_000221	庚申，罷河南義軍。
HCH_009_016_000222	丁卯，詔罷新簽民軍，減樞密院掌兵官及京城戍兵，仍諭行院帥府，毋擅增設補簽。
HCH_009_016_000223	辛未，罷行總管府及招討統軍檢察等司。
HCH_009_016_000224	定宋人來歸賞格及詐誘征防軍人逃亡罪法。
HCH_009_016_000225	癸酉，元帥合達買住及其將士以延安功特賞賚之，仍下詔獎諭。
HCH_009_016_000226	閏月辛巳朔，大元兵徇鄜州，保大軍節度使完顏六斤、權元帥右都監紇石烈鶴壽、右都監蒲察婁室、遙授金安軍節度使女奚烈資祿皆死之。
HCH_009_016_000227	乙酉，提控朮甲咬住破沈丘賊于陳瓦。
HCH_009_016_000228	丙戌，頒詔撫諭河南土寇。
HCH_009_016_000229	戊子，熒惑犯軒轅。
HCH_009_016_000230	己丑，孫瑀及捕盜官吾古出招降泰和縣賊二千人，詔斬其首惡，餘皆釋之。
HCH_009_016_000231	同知保靜軍節度使郭澍以征糧失期，誣殺平民，坐誅。
HCH_009_016_000232	辛卯，官軍復葭州。
HCH_009_016_000233	癸巳，通遠軍節度使孛朮魯合住削官。
HCH_009_016_000234	甲午，月犯熒惑。
HCH_009_016_000235	丙申，紅襖賊入蒙城縣，縣官失其符印，軍民死者甚眾，賊大掠而去。
HCH_009_016_000236	戊戌，鎮星晝見於軫。
HCH_009_016_000237	己亥，發兵捕京東盜。
HCH_009_016_000238	太白晝見於室。
HCH_009_016_000239	壬寅，發上林署粟賑貧民。
HCH_009_016_000240	陳、亳等州，鹿邑、城父諸縣，盜蜂起，趣樞府遣官討之。
HCH_009_016_000241	捕盜軍所過殘民，遣御史一人按視。
HCH_009_016_000242	軍所獲牛，有司以官錢收贖。
HCH_009_016_000243	戊申，詔定招捕土寇官賞格。
HCH_009_016_000244	己酉，更造「興定寶泉」，每一貫當「通寶」四百貫。
HCH_009_016_000245	元光元年春正月庚戌朔，免朝。
HCH_009_016_000246	辛亥，世宗忌辰，謁奠于啟慶宮。
HCH_009_016_000247	元帥惟弼破紅襖賊于張騫店。
HCH_009_016_000248	壬子，遣官墾種京東、西、南三路水田。
HCH_009_016_000249	甲寅，禁非邊關急速事無馳傳，有濫乘者州縣徑白省部，四方館從御史臺，外路從分按御史治之。
HCH_009_016_000250	詔陝西西路行省徙京兆者，兵退還治平涼。
HCH_009_016_000251	坊州刺史把移失剌以棄城，伏誅。
HCH_009_016_000252	鄭州防禦使裴滿羊哥、同知防禦使古裏甲石倫除名。
HCH_009_016_000253	平西節度使把古咬住奪官一階。
HCH_009_016_000254	丁卯，詔撫諭京東百姓。
HCH_009_016_000255	二月壬午，詔徙中京、唐、鄧、商、虢、許、陝等州屯軍及諸軍家屬赴京兆、同、華就糧屯。
