HCH_012_010_000246	王驥仍總督軍務，都督同知宮聚為平蠻將軍，充總兵官，帥師討思機發。
HCH_012_010_000247	夏四月，免浙江、江西、湖廣被災秋糧。
HCH_012_010_000248	五月丙戌，遣使捕山東蝗。
HCH_012_010_000249	甲辰，刑部侍郎丁鉉撫輯河南、山東災民。
HCH_012_010_000250	秋七月乙酉，河決大名，沒三百餘里，遣使蠲振。
HCH_012_010_000251	己酉，河決河南，沒曹、濮、東昌，潰壽張沙灣，壞運道，工部侍郎王永和治之。
HCH_012_010_000252	八月乙卯，福建賊鄧茂七作亂。
HCH_012_010_000253	甲戌，命御史丁瑄捕之。
HCH_012_010_000254	冬十一月丙戌，寧陽侯陳懋充總兵官，保定伯梁珤、平江伯陳豫副之，太監曹吉祥、王瑾提督火器，刑部尚書金濂參贊軍務，討鄧茂七。
HCH_012_010_000255	甲辰，處州賊流劫金華諸縣。
HCH_012_010_000256	庚戌，永康侯徐安備倭山東。
HCH_012_010_000257	十二月庚午，廣東瑤賊作亂。
HCH_012_010_000258	是年，琉球中山、安南、占城入貢。
HCH_012_010_000259	瓦剌貢使三千人，賞不如例，遂構釁。
HCH_012_010_000260	十四年春正月甲午，大祀天地於南郊。
HCH_012_010_000261	乙巳，免浙江、福建銀課。
HCH_012_010_000262	二月丁巳，御史丁瑄、指揮劉福擊斬鄧茂七於延平。
HCH_012_010_000263	己巳，王驥破思機發於金沙江，又破之鬼哭山，班師。
HCH_012_010_000264	辛未，指揮僉事徐恭充總兵官，討處州賊葉宗留，工部尚書石璞參贊軍務。
HCH_012_010_000265	三月戊子，如天壽山。
HCH_012_010_000266	癸巳，還宮。
HCH_012_010_000267	夏四月庚戌，處州賊犯崇安，殺都指揮吳剛。
HCH_012_010_000268	壬戌，湖廣、貴州苗賊大起，命王驥討之。
HCH_012_010_000269	乙丑，遣御史十三人同中官督福建、浙江銀課。
HCH_012_010_000270	五月丙戌，陳懋擊破沙縣賊。
HCH_012_010_000271	壬辰，旱，太監金英同法司錄囚。
HCH_012_010_000272	己亥，侍讀學士張益直文淵閣，預機務。
