HCH_012_001_000333	冬十月甲辰，遣起居注吳琳、魏觀以幣求遺賢於四方。
HCH_012_001_000334	丙午，令百官禮儀尚左。
HCH_012_001_000335	改李善長左相國，徐達右相國。
HCH_012_001_000336	辛亥，祀元臣余闕於安慶，李黼於江州。
HCH_012_001_000337	壬子，置御史臺。
HCH_012_001_000338	癸丑，湯和為征南將軍，吳禎副之，討國珍。
HCH_012_001_000339	甲寅，定律令。
HCH_012_001_000340	戊午，正郊社、太廟雅樂。
HCH_012_001_000341	庚申，召諸將議北征。
HCH_012_001_000342	太祖曰：「山東則王宣反側，河南則擴廓跋扈，關、隴則李思齊、張思道梟張猜忌，元祚將亡，中原塗炭。今將北伐，拯生民於水火，何以決勝？」
HCH_012_001_000343	遇春對曰：「以我百戰之師，敵彼久逸之卒，直擣元都，破竹之勢也。」
HCH_012_001_000344	太祖曰：「元建國百年，守備必固，懸軍深入，餽餉不前，援兵四集，危道也。吾欲先取山東，撤彼屏蔽，移兵兩河，破其籓籬，拔潼關而守之，扼其戶檻。天下形勝入我掌握，然後進兵，元都勢孤援絕，不戰自克。鼓行而西，雲中、九原、關、隴可席卷也。」
HCH_012_001_000345	諸將皆曰「善」。
HCH_012_001_000346	甲子，徐達為征虜大將軍，常遇春為副將軍，帥師二十五萬，由淮入河，北取中原。
HCH_012_001_000347	胡廷瑞為征南將軍，何文輝為副將軍，取福建。
HCH_012_001_000348	湖廣行省平章楊璟、左丞周德興、參政張彬取廣西。
HCH_012_001_000349	己巳，朱亮祖克溫州。
HCH_012_001_000350	十一月辛巳，湯和克慶元，方國珍遁入海。
HCH_012_001_000351	壬午，徐達克沂州，斬王宣。
HCH_012_001_000352	己丑，廖永忠為征南副將軍，自海道會和討國珍。
HCH_012_001_000353	乙未，頒大統曆。
HCH_012_001_000354	辛丑，徐達克益都。
HCH_012_001_000355	十二月甲辰，頒律令。
HCH_012_001_000356	丁未，方國珍降，浙東平。
