HCH_012_079_000125	小患把總勘報，大患具奏，其後不計多寡，概行奏勘矣。
HCH_012_079_000126	初，船用楠杉，下者乃用鬆。
HCH_012_079_000127	三年小修，六年大修，十年更造。
HCH_012_079_000128	每船受正耗米四百七十二石。
HCH_012_079_000129	其後船數缺少，一船受米七八百石。
HCH_012_079_000130	附載夾帶日多，所在稽留違限。
HCH_012_079_000131	一遇河決，即有漂流，官軍因之為奸。
HCH_012_079_000132	水次折乾，沿途侵盜，妄稱水火，至有鑿船自沉者。
HCH_012_079_000133	明初，命武臣督海運，嘗建漕運使，尋罷。
HCH_012_079_000134	成祖以後用御史，又用侍郎、都御史催督，郎中、員外分理，主事督兌，其制不一。
HCH_012_079_000135	景泰二年始設漕運總督於淮安，與總兵、參將同理漕事。
HCH_012_079_000136	漕司領十二總，十二萬軍，與京操十二營軍相準。
HCH_012_079_000137	初，宣宗令運糧總兵官、巡撫、侍郎歲八月赴京，會議明年漕運事宜，及設漕運總督，則並令總督赴京。
HCH_012_079_000138	至萬曆十八年後始免。
HCH_012_079_000139	凡歲正月，總漕巡揚州，經理瓜、淮過閘。
HCH_012_079_000140	總兵駐徐、邳，督過洪入閘，同理漕參政管押赴京。
HCH_012_079_000141	攢運則有御史、郎中，押運則有參政，監兌、理刑、管洪、管廠、管閘、管泉、監倉則有主事，清江、衛河有提舉。
HCH_012_079_000142	兌畢過淮過洪，巡撫、漕司、河道各以職掌奏報。
HCH_012_079_000143	有司米不備，軍衛船不備，過淮誤期者，責在巡撫。
HCH_012_079_000144	米具船備，不即驗放，非河梗而壓幫停泊，過洪誤期因而漂凍者，責在漕司。
HCH_012_079_000145	船糧依限，河渠淤淺，疏浚無法，閘坐啟閉失時，不得過洪抵灣者，責在河道。
HCH_012_079_000146	明初，於漕政每加優恤，仁、宣禁役漕舟，宥遲運者。
HCH_012_079_000147	英宗時始扣口糧均攤，而運軍不守法度為民害。
HCH_012_079_000148	自後漕政日馳，軍以耗米易私物，道售稽程。
HCH_012_079_000149	比至，反買倉米補納，多不足數。
HCH_012_079_000150	而糧長率攙沙水於米中，河南、山東尤甚，往往蒸濕浥爛不可食。
HCH_012_079_000151	權要貸運軍銀以罔取利，至請撥關稅給船料以取償。
HCH_012_079_000152	漕運把總率由賄得。
HCH_012_079_000153	倉場額外科取，歲至十四萬。
HCH_012_079_000154	世宗初政，諸弊多釐革，然漂流、違限二弊，日以滋甚。
HCH_012_079_000155	中葉以後，益不可究詰矣。
HCH_012_079_000156	漕糧之外，蘇、鬆、常、嘉、湖五府，輸運內府白熟粳糯米十七萬四十餘石，內折色八千餘石，各府部糙粳米四萬四千餘石，內折色八千八百餘石，令民運。
HCH_012_079_000157	謂之白糧船。
HCH_012_079_000158	自長運法行，糧皆軍運，而白糧民運如故。
