HCH_012_328_000229	滿都魯死，亦思馬因主兵柄，三衞復數為所窘。
HCH_012_328_000230	二十二年，韃靼別部那孩擁三萬眾入大寧、金山，涉老河，攻殺三衞頭目伯顏等，掠去人畜以萬計。
HCH_012_328_000231	三衞乃相率攜老弱，走匿邊圉。
HCH_012_328_000232	邊臣劉潺以聞，詔予芻糧優卹之。
HCH_012_328_000233	弘治初，常盜掠古北、開原境，守臣張玉、總兵李杲等以計誘斬其來市者三百人，遂北結脫羅干，請為復讐，數寇廣寧、寧遠諸處。
HCH_012_328_000234	時海西尚古者，以不得通貢叛中國，數以兵阻諸蕃入貢，諸蕃並銜之。
HCH_012_328_000235	朝廷旋許尚古納款，撫寧猛克帖木兒等皆以尚古為辭，入寇遼陽，殺掠甚眾。
HCH_012_328_000236	韃靼小王子屢掠三衞，三衞因各叩關輸罪，朝廷許之，然陽為恭順而已。
HCH_012_328_000237	朵顏都督花當者，恃險而驕，數請增貢加賞，不許。
HCH_012_328_000238	正德十年，花當子把兒孫以千騎毀鮎魚關，入馬蘭谷大掠，參將陳乾戰死；復以五百騎入板場谷，千騎入神山嶺，又千餘騎入水開洞。
HCH_012_328_000239	事聞，命副總兵桂勇禦之。
HCH_012_328_000240	花當退去，屯駐紅羅山，匿把兒孫，使其子打哈等入朝請罪，詔釋不問。
HCH_012_328_000241	十三年，帝巡幸至大喜峰口，將徵三衞頭目，使悉詣關下宴勞，不果。
HCH_012_328_000242	當把兒孫犯邊時，朝廷詔削其職。
HCH_012_328_000243	把兒孫死，其子伯革入貢。
HCH_012_328_000244	嘉靖九年，詔予伯革父爵，而打哈自以花當子不得職，怒，遂先後掠冷口、擦崖、喜峰間。
HCH_012_328_000245	參將袁繼勳等失於防禦，皆逮治。
HCH_012_328_000246	十七年春，指揮徐顥誘殺泰寧部九人，其頭目把當亥率眾寇大清堡，總兵馬永擊斬之。
HCH_012_328_000247	其屬把孫以朵顏部眾復入，鎮守少監王永與戰，敗績。
HCH_012_328_000248	二十二年冬，攻圍墓田谷，殺守備陳舜，副總兵王繼祖等赴援，擊斬三十餘級。
HCH_012_328_000249	其年，詔罷舊設三衞馬市，幷新設木市亦罷之。
HCH_012_328_000250	秋，三衞復導韃靼寇遼州，入沙河堡，守將張景福戰死。
HCH_012_328_000251	三衞之迭犯也，實朵顏部哈舟兒、陳通事為之。
HCH_012_328_000252	二人者，俱中國人，被擄遂為三衞用。
HCH_012_328_000253	二十九年，韃靼俺答謀犯畿東，舟兒為指潮河川路。
