HCH_012_116_000210	帝怒，將徙之雲南，尋止，使居京師，世子有燉理籓事。
HCH_012_116_000211	二十四年十二月敕歸籓。
HCH_012_116_000212	建文初，以橚燕王母弟，頗疑憚之。
HCH_012_116_000213	橚亦時有異謀，長史王翰數諫不納，佯狂去。
HCH_012_116_000214	橚次子汝南王有爋告變。
HCH_012_116_000215	帝使李景隆備邊，道出汴，猝圍王宮，執橚，竄蒙化，諸子並別徙。
HCH_012_116_000216	已，復召還京，錮之。
HCH_012_116_000217	成祖入南京，復爵，加祿五千石。
HCH_012_116_000218	永樂元年正月詔歸其舊封，獻頌九章及佾舞。
HCH_012_116_000219	明年來朝，獻騶虞。
HCH_012_116_000220	帝悅，宴賜甚厚。
HCH_012_116_000221	以汴梁有河患，將改封洛陽。
HCH_012_116_000222	橚言汴堤固，無重勞民力。
HCH_012_116_000223	乃止。
HCH_012_116_000224	十四年疏辭所賜在城稅課。
HCH_012_116_000225	十八年十月有告橚反者。
HCH_012_116_000226	帝察之有驗。
HCH_012_116_000227	明年二月召至京，示以所告詞。
HCH_012_116_000228	橚頓首謝死罪。
HCH_012_116_000229	帝憐之，不復問。
HCH_012_116_000230	橚歸國，獻還三護衛。
HCH_012_116_000231	仁宗即位，加歲祿至二萬石。
HCH_012_116_000232	橚好學，能詞賦，嘗作《元宮詞》百章。
HCH_012_116_000233	以國土夷曠，庶草蕃廡，考核其可佐饑饉者四百餘種，繪圖疏之，名《救荒本草》。
HCH_012_116_000234	辟東書堂以教世子，長史劉淳為之師。
HCH_012_116_000235	洪熙元年薨。
HCH_012_116_000236	子憲王有燉嗣，博學善書。
HCH_012_116_000237	弟有爋數訐有燉，宣宗書諭之。
HCH_012_116_000238	有爋與弟有熹詐為祥符王有爝與趙王書，系箭上，置彰德城外，詞甚悖。
HCH_012_116_000239	都指揮王友得書以聞。
HCH_012_116_000240	宣宗逮友，訊無跡。
HCH_012_116_000241	召有爝至，曰：「必有爋所為。」
HCH_012_116_000242	訊之具服，並得有熹掠食生人肝腦諸不法事，於是並免為庶人。
HCH_012_116_000243	有燉，正統四年薨，無子。
HCH_012_116_000244	帝賜書有爝曰：「周王在日，嘗奏身後務從儉約，以省民力。妃夫人以下不必從死。年少有父母者遣歸。」
HCH_012_116_000245	既而妃鞏氏、夫人施氏、歐氏、陳氏、張氏、韓氏、李氏皆殉死，詔謚妃貞烈，六夫人貞順。
HCH_012_116_000246	弟簡王有爝嗣，景泰三年薨。
HCH_012_116_000247	子靖王子垕嗣，七年薨。
HCH_012_116_000248	弟懿王子埅嗣，成化二十一年薨。
HCH_012_116_000249	子惠王同鑣嗣，弘治十一年薨。
HCH_012_116_000250	世子安㶇未襲封而卒，孫恭王睦㰂嗣，謚安㶇悼王。
HCH_012_116_000251	初，安㶇為世子，與弟平樂王安泛、義寧王安涘爭漁利，置囹圄刑具，集亡賴為私人。
HCH_012_116_000252	惠王戒安㶇，不從，王怒。
HCH_012_116_000253	安泛因而傾之，安㶇亦持安泛不法事。
HCH_012_116_000254	惠王薨，群小交構，安㶇奏安泛私壞社稷壇，營私第，安泛亦誣奏安㶇諸陰事。
HCH_012_116_000255	下鎮、巡官按驗。
HCH_012_116_000256	頃之，安㶇死，其子睦㰂立而幼。
HCH_012_116_000257	安泛侵陵世子妃，安涘亦訐妃出不正，其子不可嗣。
HCH_012_116_000258	十三年，帝命太監魏忠、刑部侍郎何鑒按治。
HCH_012_116_000259	安泛懼，益誣世子毒殺惠王並世子妃淫亂，所連逮千人。
HCH_012_116_000260	鑒等奏其妄，廢安泛為庶人，幽鳳陽，安涘亦革爵。
HCH_012_116_000261	嘉靖十七年，睦㰂薨。
HCH_012_116_000262	子勤熄先卒，孫莊王朝堈嗣，三十年薨。
HCH_012_116_000263	子敬王在鋌嗣，萬歷十年薨。
HCH_012_116_000264	子端王肅溱嗣，薨。
HCH_012_116_000265	子恭枵嗣。
HCH_012_116_000266	崇禎十四年冬，李自成攻開封，恭枵出庫金五十萬，餉守陴者，懸賞格，殪一賊予五十金。
HCH_012_116_000267	賊穴城，守者投以火，賊被爇死，不可勝計，乃解圍去。
