HCH_015_034_000170	宋大明中，沈曇慶爲徐州，辟諶爲迎主簿，又爲州迎從事，湘東王國常侍，鎮北行參軍，州、國、府主皆宋明帝也。
HCH_015_034_000171	除義陽王征北行參軍，又除度明帝衛軍府。
HCH_015_034_000172	諶有學義，累爲帝蕃佐。
HCH_015_034_000173	及卽位，除司徒參軍，帶薛令，兼中書舍人，見親遇，常在左右。
HCH_015_034_000174	諶見帝所行慘僻，屢諫不從，請退，坐此見怒，繫尚方，少日出。
HCH_015_034_000175	尋除尚書殿中郎，徙記室參軍，正員郎，薛令如故。
HCH_015_034_000176	遷兼中書郎，晉平王驃騎板諮議，出爲湘東太守，秩中二千石，未拜，坐公事免。
HCH_015_034_000177	復爲桂陽王驃騎府諮議參軍，中書郎。
HCH_015_034_000178	明帝好圍棊，置圍棊州邑，以建安王休仁爲圍棊州都大中正，諶與太子右率沈勃、尚書水部郎庾珪之、彭城丞王抗四人爲小中正，朝請褚思庄、傅楚之爲清定訪問。
HCH_015_034_000179	出爲臨川內史，還爲尚書左丞。
HCH_015_034_000180	尋以本官領東觀祭酒，卽明帝所置總明觀也。
HCH_015_034_000181	遷黃門，轉正員常侍，輔國將軍，江夏王右軍長史，冠軍將軍。
HCH_015_034_000182	轉給事中，廷尉卿，未拜。
HCH_015_034_000183	建元中，武陵王曄爲會稽，以諶爲征虜長史行事，冠軍如故。
HCH_015_034_000184	永明初，遷豫章王太尉司馬，將軍如故。
HCH_015_034_000185	世祖與諶相遇於宋明之世，欲委任，爲輔國將軍、晉安王南中郎長史、淮南太守，行府、州事。
HCH_015_034_000186	五年，除黃門郎，領驍騎將軍，遷太子中庶子，驍騎如故。
HCH_015_034_000187	諶貞正和謹，朝廷稱爲善人，多與之厚。
HCH_015_034_000188	八年，轉冠軍將軍、長沙王車騎長史，徙廬陵王中軍長史，將軍如故。
HCH_015_034_000189	西陽王子明在南兖州，長史沈憲去職，上復徙諶爲征虜長史，行南兖府、州事，將軍如故。
HCH_015_034_000190	諶少貧，嘗自紡績，及通貴後，每爲人說之，世稱其志達。
HCH_015_034_000191	九年，卒。
HCH_015_034_000192	年六十九。
HCH_015_034_000193	史臣曰：鶉居鷇飲，裁樹司牧，板籍之起，尚未分民，所以愛字之義深，納隍之意重也。
HCH_015_034_000194	季世以後，務盡民力，量財品賦，以自奉養。
HCH_015_034_000195	下窮而上不卹，世澆而事愈變。
