HCH_012_304_000217	未幾，二人爭寵有隙，御史楊瑄、張鵬劾之，吉祥乃復與亨合，乘間醞帝。
HCH_012_304_000218	帝為下瑄等詔獄，而逮治閣臣徐有貞、李賢等。
HCH_012_304_000219	事具賢傳。
HCH_012_304_000220	承天門災，帝命閣臣嶽正草罪己詔，詔語激切。
HCH_012_304_000221	吉祥、亨復正謗訕，帝又謫正。
HCH_012_304_000222	焰益張，朝野仄目。
HCH_012_304_000223	久之，帝覺其奸，意稍稍疑。
HCH_012_304_000224	及李賢力言奪門非是，始大悟，疏吉祥。
HCH_012_304_000225	無何，石亨敗，吉祥不自安，漸蓄異謀，日犒諸達官，金錢、穀帛恣所取。
HCH_012_304_000226	諸達官恐吉祥敗而己隨黜退也，皆願盡力效死。
HCH_012_304_000227	欽問客馮益曰：「自古有宦官子弟為天子者乎？」
HCH_012_304_000228	益曰：「君家魏武，其人也。」
HCH_012_304_000229	欽大喜。
HCH_012_304_000230	天順五年七月，欽私掠家人曹福來，為言官所劾。
HCH_012_304_000231	帝令錦衣指揮逮杲按之，降敕遍諭群臣。
HCH_012_304_000232	欽驚曰：「前降敕，遂捕石將軍。今復爾，殆矣。」
HCH_012_304_000233	謀遂決。
HCH_012_304_000234	是時甘、涼告警，帝命懷寧侯孫鏜西征，未發。
HCH_012_304_000235	吉祥使其黨掌欽天監太常少卿湯序擇是月庚子昧爽，欽擁兵入，而已以禁軍應之。
HCH_012_304_000236	謀定，欽召諸達官夜飲。
HCH_012_304_000237	是夜，鏜及恭順侯吳瑾俱宿朝房。
HCH_012_304_000238	達官馬亮恐事敗，逸出，走告瑾。
HCH_012_304_000239	瑾趣鏜由長安右門隙投疏入。
HCH_012_304_000240	帝急縶吉祥於內，而敕皇城及京城九門閉弗啟。
HCH_012_304_000241	欽知亮逸，中夜馳往逮杲家，殺杲，斫傷李賢於東朝房。
HCH_012_304_000242	以杲頭示賢曰：「杲激我也。」
HCH_012_304_000243	又殺都御史寇深於西朝房。
HCH_012_304_000244	攻東、西長安門不得入，縱火。
HCH_012_304_000245	守衛者拆河壖磚石塞諸門。
HCH_012_304_000246	賊往來叫呼門外。
HCH_012_304_000247	鏜遣二子急召西征軍擊欽於東長安門。
HCH_012_304_000248	欽走攻東安門，道殺瑾。
HCH_012_304_000249	復縱火，門毀。
HCH_012_304_000250	門內聚薪益之，火熾，賊不得入。
HCH_012_304_000251	天漸曙，欽黨稍稍散去。
HCH_012_304_000252	鏜勒兵逐欽，斬鉉、䥧，鏜子軏斫欽中膊。
HCH_012_304_000253	欽走突安定諸門，門盡閉。
HCH_012_304_000254	奔歸家，拒戰。
HCH_012_304_000255	會大雨如註，鏜督諸軍大呼入，欽投井死。
HCH_012_304_000256	遂殺鐸，盡屠其家。
HCH_012_304_000257	越三日，磔吉祥於市。
HCH_012_304_000258	湯序、馮益及吉祥姻黨皆伏誅。
HCH_012_304_000259	馬亮以告反者，授都督。
HCH_012_304_000260	英宗始任王振，繼任吉祥，凡兩致禍亂。
HCH_012_304_000261	其他宦者若跛兒幹、亦失哈、喜寧、韋力轉、牛玉之屬，率凶狡。
HCH_012_304_000262	土木之敗，跛兒幹、喜寧皆降敵。
HCH_012_304_000263	跛兒幹助敵反攻，射內使黎定。
HCH_012_304_000264	既又為敵使至京，有所需索，景帝執而誅之。
HCH_012_304_000265	喜寧數為也先畫策，索賞賜，導入邊寇掠。
HCH_012_304_000266	上皇患之，言於也先；使寧還京索禮物，而命校尉袁彬以密書報邊臣。
HCH_012_304_000267	至獨石，參將楊俊擒寧送京師，景泰元年二月磔於市。
HCH_012_304_000268	亦失哈鎮遼東。
HCH_012_304_000269	敵犯廣寧，亦失哈禁官軍勿出擊。
HCH_012_304_000270	百戶施帶兒降敵，為脫脫不花通於亦失哈。
HCH_012_304_000271	正統十四年冬，帶兒逃歸，巡按御史劉孜並劾亦失哈及他不法事。
HCH_012_304_000272	景帝命誅帶兒，而置亦失哈不問。
HCH_012_304_000273	韋力轉者，性淫毒，鎮守大同，多過惡。
HCH_012_304_000274	銜軍妻不與宿，杖死其軍。
HCH_012_304_000275	又與養子妻淫戲，射殺養子。
HCH_012_304_000276	天順元年，工部侍郎霍瑄發力轉僭用金器若王者，及強娶所部女為妾諸不法事。
HCH_012_304_000277	帝怒，執之下錦衣衛獄，既而宥之。
HCH_012_304_000278	牛玉事，詳《吳廢後傳》。
HCH_012_304_000279	其與吉祥分道征兀良哈者劉永誠，永樂時，嘗為偏將，累從北征。
HCH_012_304_000280	宣德、正統中，再擊兀良哈。
HCH_012_304_000281	後監鎮甘、涼，戰沙漠，有功。
HCH_012_304_000282	景泰末，掌團營。
HCH_012_304_000283	英宗復辟，勒兵從，官其嗣子聚。
HCH_012_304_000284	成化中，永誠始卒。
HCH_012_304_000285	懷恩，高密人，兵部侍郎戴綸族弟也。
HCH_012_304_000286	宣宗殺綸，並籍恩父太僕卿希文家。
HCH_012_304_000287	恩方幼，被宮為小黃門，賜名懷恩。
HCH_012_304_000288	憲宗朝，掌司禮監。
HCH_012_304_000289	時汪直理西廠，梁芳、韋興等用事。
HCH_012_304_000290	恩班在前，性忠鯁無所撓，諸閹咸敬憚之。
HCH_012_304_000291	員外郎林俊論芳及僧繼曉下獄，帝欲誅之，恩固爭。
HCH_012_304_000292	帝怒，投以硯曰：「若助俊訕我。」
HCH_012_304_000293	恩免冠伏地號哭。
HCH_012_304_000294	帝叱之出。
HCH_012_304_000295	恩遣人告鎮撫司曰：「汝曹諂芳傾俊。俊死，汝曹何以生！」
HCH_012_304_000296	徑歸，稱疾不起。
HCH_012_304_000297	帝怒解，遣醫視恩，卒釋俊。
HCH_012_304_000298	會星變，罷諸傳奉官。
HCH_012_304_000299	御馬監王敏請留馬房傳奉者，帝許之。
HCH_012_304_000300	敏謁恩，恩大罵曰：「星變，專為我曹壞國政故。今甫欲正之，又為汝壞，天雷擊汝矣！」
HCH_012_304_000301	敏愧恨，遂死。
HCH_012_304_000302	進寶石者章瑾求為錦衣衛鎮撫，恩不可，曰：「鎮撫掌詔獄，奈何以賄進。」
HCH_012_304_000303	當是時，尚書王恕以直諫名，恩每嘆曰：「天下忠義，斯人而已。」
HCH_012_304_000304	憲宗末，惑萬貴妃言，欲易太子，恩固爭。
HCH_012_304_000305	帝不懌，斥居鳳陽。
HCH_012_304_000306	孝宗立，召歸，仍掌司禮監，力勸帝逐萬安，用王恕。
HCH_012_304_000307	一時正人匯進，恩之力也。
HCH_012_304_000308	卒，賜祠額曰顯忠。
HCH_012_304_000309	同時有覃吉者，不知所由進，以老閹侍太子。
HCH_012_304_000310	太子年九歲，吉口授《四書》章句及古今政典。
HCH_012_304_000311	憲宗賜太子莊田，吉勸毋受，曰：「天下皆太子有也。」
HCH_012_304_000312	太子偶從內侍讀佛經，吉入，太子驚曰：「老伴來矣。」
HCH_012_304_000313	亟手《孝經》。
HCH_012_304_000314	吉跪曰：「太子誦佛書乎？」
HCH_012_304_000315	曰：「無有。《孝經》耳。」
HCH_012_304_000316	吉頓首曰：「甚善。佛書誕，不可信也。」
HCH_012_304_000317	弘治之世，政治醇美，君德清明，端本正始，吉有力焉。
HCH_012_304_000318	汪直者，大藤峽瑤種也。
