HCH_012_296_000058	六傳至文嗣，旌為義門，載《元史·孝友傳》。
HCH_012_296_000059	弟文融，字太和，部使者余闕表為東浙第一家。
HCH_012_296_000060	鄭氏家法，代以一人主家政。
HCH_012_296_000061	文融卒，嗣子欽繼之，嘗刺血療本生父疾。
HCH_012_296_000062	欽卒，弟鉅繼。
HCH_012_296_000063	鉅卒，弟銘當主家政，以兄子渭宗子也，相讓久之，始受事。
HCH_012_296_000064	銘受業於吳萊。
HCH_012_296_000065	銘卒，弟鉉繼。
HCH_012_296_000066	父喪，慟哭三日，發須盡白。
HCH_012_296_000067	元末兵起，大將數入其境，相戒無犯義門。
HCH_012_296_000068	樞密判官阿魯灰軍奪民財，鉉以利害折之，引去。
HCH_012_296_000069	明兵臨婺州，鉉挈家避，右丞李文忠為扃鑰其家，而遣兵護之歸。
HCH_012_296_000070	至正中卒，渭繼。
HCH_012_296_000071	渭卒，弟濂繼。
HCH_012_296_000072	濂受知於太祖，昆弟由是顯。
HCH_012_296_000073	濂以賦長詣京師，太祖問治家長久之道。
HCH_012_296_000074	對曰：「謹守祖訓，不聽婦言。」
HCH_012_296_000075	帝稱善，賜之果，濂拜賜懷歸，剖分家人。
HCH_012_296_000076	帝聞嘉嘆，欲官之，以老辭。
HCH_012_296_000077	時富室多以罪傾宗，而鄭氏數千指獨完。
HCH_012_296_000078	會胡惟庸以罪誅，有訴鄭氏交通者，吏捕之，兄弟六人爭欲行，濂弟湜竟往。
HCH_012_296_000079	時濂在京師，迎謂曰：「吾居長，當任罪。」
HCH_012_296_000080	湜曰：「兄年老，吾自往辨。」
HCH_012_296_000081	二人爭入獄。
HCH_012_296_000082	太祖召見曰：「有人如此，肯從人為逆耶？」
HCH_012_296_000083	宥之，立擢湜為左參議，命舉所知。
HCH_012_296_000084	湜舉同郡王應等五人，皆授參議。
HCH_012_296_000085	湜，字仲持，居官有政聲。
HCH_012_296_000086	南靖民為亂，詿誤者數百家，湜言於諸將，盡釋免。
HCH_012_296_000087	居一歲，入覲，卒於京。
