HCH_011_049_000201	天監初，柳惲爲吳興，召補主簿，日引與賦詩。
HCH_011_049_000202	均文體清拔有古氣，好事者或斅之，謂爲「吳均體」。
HCH_011_049_000203	建安王偉爲揚州，引兼記室，掌文翰。
HCH_011_049_000204	王遷江州，補國侍郎，兼府城局。
HCH_011_049_000205	還除奉朝請。
HCH_011_049_000206	先是，均表求撰《齊春秋》。
HCH_011_049_000207	書成奏之，高祖以其書不實，使中書舍人劉之遴詰問數條，竟支離無對，敕付省焚之，坐免職。
HCH_011_049_000208	尋有敕召見，使撰《通史》，起三皇，訖齊代，均草本紀、世家功已畢，唯列傳未就。
HCH_011_049_000209	普通元年，卒，時年五十二。
HCH_011_049_000210	均注范曄《後漢書》九十卷，著《齊春秋》三十卷、《廟記》十卷、《十二州記》十六卷、《錢唐先賢傳》五卷、《續文釋》五卷，文集二十卷。
HCH_011_049_000211	先是，有廣陵高爽、濟陽江洪、會稽虞騫，並工屬文。
HCH_011_049_000212	爽，齊永明中贈衛軍王儉詩，爲儉所賞，及領丹陽尹，舉爽郡孝廉。
HCH_011_049_000213	天監初，歷官中軍臨川王參軍。
HCH_011_049_000214	出爲晉陵令，坐事繫冶，作《鑊魚賦》以自況，其文甚工。
HCH_011_049_000215	後遇赦獲免，頃之，卒。
HCH_011_049_000216	洪爲建陽令，坐事死。
HCH_011_049_000217	騫官至王國侍郎。
HCH_011_049_000218	並有文集。
HCH_011_049_000219	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
