HCH_012_171_000146	三十五年春，瑾與巡撫都御史談愷檄諸路土兵誅其魁陳以明，悉平諸巢。
HCH_012_171_000147	捷聞，加太子太保。
HCH_012_171_000148	而扶藜、葵梅諸山峒馮天恩等，據險為寇者亦數十年。
HCH_012_171_000149	瑾復督軍分道進剿，破巢二百餘，復以功蔭一子錦衣百戶。
HCH_012_171_000150	言官劾其暴橫，召還。
HCH_012_171_000151	爵傳至明亡乃絕。
HCH_012_171_000152	徐有貞，字元玉，初名呈，吳人。
HCH_012_171_000153	宣德八年進士。
HCH_012_171_000154	選庶吉士，授編修。
HCH_012_171_000155	為人短小精悍，多智數，喜功名。
HCH_012_171_000156	凡天官、地理、兵法、水利、陰陽方術之書，無不諳究。
HCH_012_171_000157	時承平既久，邊備俞惰，而西南用兵不息，呈以為憂。
HCH_012_171_000158	正統七年疏陳兵政五事，帝善之而不能用。
HCH_012_171_000159	十二年進侍講。
HCH_012_171_000160	十四年秋，熒惑入南斗。
HCH_012_171_000161	呈私語友人劉溥曰「禍不遠矣」，亟命妻子南還。
HCH_012_171_000162	及土木難作，郕王召廷臣問計。
HCH_012_171_000163	呈大言曰：「驗之星象，稽之歷數，天命已去，惟南遷可以紓難。」
HCH_012_171_000164	太監金英叱之，胡濙、陳循咸執不可。
HCH_012_171_000165	兵部侍郎于謙曰：「言南遷者，可斬也。」
HCH_012_171_000166	呈大沮，不敢復言。
HCH_012_171_000167	景帝即位，遣科道官十五人募兵於外，呈行監察御史事，往彰德。
HCH_012_171_000168	寇退，召還，仍故官。
HCH_012_171_000169	呈急於進取，自創南遷議為內廷訕笑，久不得遷。
HCH_012_171_000170	因遺陳循玉帶，且用星術，言「公帶將玉矣。」
HCH_012_171_000171	無何，循果加少保，大喜，因屢薦之。
HCH_012_171_000172	而是時用人多決於少保于謙。
HCH_012_171_000173	呈屬謙門下士遊說，求國子祭酒。
HCH_012_171_000174	謙為言於帝，帝曰：「此議南遷徐呈邪？為人傾危，將壞諸生心術。」
HCH_012_171_000175	呈不知謙之薦之也，以為沮己，深怨謙。
HCH_012_171_000176	循勸呈改名，因名有貞。
HCH_012_171_000177	景泰三年遷右諭德。
HCH_012_171_000178	河決沙灣七載，前後治者皆無功。
HCH_012_171_000179	廷臣共舉有貞，乃擢左僉都御史，治之。
HCH_012_171_000180	至張秋，相度水勢，條上三策：一置水門，一開支河，一浚運河。
HCH_012_171_000181	議既定，督漕都御史王竑以漕渠淤淺滯運艘，請急塞決口。
HCH_012_171_000182	帝敕有貞如軏議。
HCH_012_171_000183	有貞守便宜。
HCH_012_171_000184	言：「臨清河淺，舊矣，非因決口未塞也。漕臣但知塞決口為急，不知秋冬雖塞，來春必復決，徒勞無益。臣不敢邀近功。」
HCH_012_171_000185	詔從其言。
HCH_012_171_000186	有貞於是大集民夫，躬親督率，治渠建閘，起張秋以接河、沁。
HCH_012_171_000187	河流之旁出不順者，為九堰障之。
HCH_012_171_000188	更築大堰，楗以水門，閱五百五十五日而工成。
HCH_012_171_000189	名其渠曰「廣濟」，閘曰「通源」。
HCH_012_171_000190	方工之未成也，帝以轉漕為急，工部尚書江淵等請遣中書偕文武大臣督京軍五萬人往助役，期三月畢工。
HCH_012_171_000191	有貞言：「京軍一出，日費不貲，遇漲則束手坐視，無所施力。今泄口已合，決堤已堅，但用沿河民夫，自足集事。」
HCH_012_171_000192	議遂寢。
HCH_012_171_000193	事竣，召還，佐院事。
HCH_012_171_000194	帝厚勞之。
HCH_012_171_000195	復出巡視漕河。
HCH_012_171_000196	濟守十三州縣河夫多負官馬及他雜辦，所司趣之亟，有貞為言免之。
HCH_012_171_000197	七年秋，山東大水，河堤多壞，惟有貞所築如故。
HCH_012_171_000198	有貞乃修舊堤決口，自臨清抵濟寧，各置減水閘，水患悉平。
HCH_012_171_000199	還朝，帝召見，獎勞有加，進左副都御史。
HCH_012_171_000200	八年正月，景帝不豫。
HCH_012_171_000201	石亨、張輒等謀迎上皇，以告太常卿許彬。
HCH_012_171_000202	彬曰：「此不世功也。彬老矣，無能為。徐元玉善奇策，盍與圖之。」
HCH_012_171_000203	亨即夜至有貞家。
HCH_012_171_000204	聞之，大喜，曰：「須令南城知此意。」
HCH_012_171_000205	軏曰：「陰達之矣。」
HCH_012_171_000206	令太監曹吉祥入白太后。
HCH_012_171_000207	辛巳夜，諸人復會有貞所。
HCH_012_171_000208	有貞升屋覽乾象，亟下曰：「時至矣，勿失。」
HCH_012_171_000209	時方有邊警，有貞令軏詭言備非常，勒兵入大內。
HCH_012_171_000210	亨掌門鑰，夜四鼓，開長安門納之。
HCH_012_171_000211	既入，復閉以遏外兵。
HCH_012_171_000212	時天色晦冥，亨、軏皆惶惑，謂有貞曰：「事當濟否？」
HCH_012_171_000213	有貞大言「必濟」，趣之行。
HCH_012_171_000214	既薄南城，門錮，毀墻以入。
HCH_012_171_000215	上皇燈下獨出問故，有貞等俯伏請登位，乃呼進輿。
HCH_012_171_000216	兵士惶懼不能舉，有貞率諸人助挽以行。
HCH_012_171_000217	星月忽開朗，上皇各問諸人姓名。
HCH_012_171_000218	至東華門，門者拒弗納，上皇曰「朕太上皇帝也」，遂反走。
HCH_012_171_000219	乃升奉天門，有貞等常服謁賀，呼「萬歲」。
HCH_012_171_000220	景帝明當視朝，群臣咸待漏闕下。
HCH_012_171_000221	忽聞殿中呼噪聲，方驚愕。
HCH_012_171_000222	俄諸門畢啟，有貞出號於眾曰：「太上皇帝復位矣！」
HCH_012_171_000223	趣入賀。
HCH_012_171_000224	即日命有貞兼學士，入內閣，參預機務。
HCH_012_171_000225	明日加兵部尚書。
HCH_012_171_000226	有貞謂亨曰：「願得冠側註從兄後。」
HCH_012_171_000227	亨為言於帝，封武功伯兼華蓋殿大學士，掌文淵閣事，賜號「奉天翊衛推誠宣力守正文臣」，祿千一百石，世錦衣指揮使，給誥券。
HCH_012_171_000228	有貞遂誣少保于謙、大學士王文，殺之。
