HCH_012_080_000163	餘鹽者，灶戶正課外所餘之鹽也。
HCH_012_080_000164	洪武初制，商支鹽有定場，毋許越場買補；勤灶有餘鹽送場司，二百斤為一引，給米一石。
HCH_012_080_000165	其鹽召商開中，不拘資次給與。
HCH_012_080_000166	成化後，令商收買，而勸借米麥以振貧灶。
HCH_012_080_000167	至是清理兩淮鹽法，侍郎李嗣請令商人買餘鹽補官引，而免其勸借，且停各邊開中，俟逋課完日，官為賣鹽，三分價直，二充邊儲，而留其一以補商人未交鹽價。
HCH_012_080_000168	由是以餘鹽補充正課，而鹽法一小變。
HCH_012_080_000169	明初，各邊開中商人，招民墾種，築臺堡自相保聚，邊方菽粟無甚貴之時。
HCH_012_080_000170	成化間，始有折納銀者，然未嘗著為令也。
HCH_012_080_000171	弘治五年，商人困守支，戶部尚書葉淇請召商納銀運司，類解太倉，分給各邊。
HCH_012_080_000172	每引輸銀三四錢有差，視國初中米直加倍，而商無守支之苦，一時太倉銀累至百餘萬。
HCH_012_080_000173	然赴邊開中之法廢，商屯撤業，菠粟翔貴，邊儲日虛矣。
HCH_012_080_000174	武宗之初，以鹽法日壞，令大臣王瓊、張憲等分道清理，而慶雲侯周壽、壽甯侯張鶴各令家人奏買長蘆、兩淮鹽引。
HCH_012_080_000175	戶部尚書韓文執不可，中旨許之。
HCH_012_080_000176	織造太監崔杲又奏乞長蘆鹽一萬二千引，戶部以半予之。
HCH_012_080_000177	帝欲全予，大學士劉健等力爭，李東陽語尤切。
HCH_012_080_000178	帝不悅。
HCH_012_080_000179	健等復疏爭，乃從部議。
HCH_012_080_000180	權要開中既多，又許買餘鹽，一引有用至十餘年者。
HCH_012_080_000181	正德二年始申截舊引角之令，立限追繳，而每引增納紙價及振濟米麥。
HCH_012_080_000182	引價重而課壅如故矣。
HCH_012_080_000183	先是成化初，都御史韓雍於肇慶、梧州、清遠、南雄立抽鹽廠，官鹽一引，抽銀五分，許帶餘鹽四引，引抽銀一錢。
HCH_012_080_000184	都御史秦紘許增帶餘鹽六引，抽銀六錢。
HCH_012_080_000185	及是增至九錢，而不復抽官引。
HCH_012_080_000186	引目積滯，私鹽通行，乃用戶部郎中丁致祥請，復紘舊法。
HCH_012_080_000187	而他處商人夾帶餘鹽，掣割納價，惟多至三百斤者始罪之。
HCH_012_080_000188	淮、浙、長蘆引鹽，常股四分，以給各邊主兵及工役振濟之需；存積六分，非國家大事，邊境有警，未嘗妄開。
HCH_012_080_000189	開必邊臣奏討，經部覆允，未有商人擅請及專請淮鹽者。
HCH_012_080_000190	弘治間，存積鹽甚多。
HCH_012_080_000191	正德時，權幸遂奏開殘鹽，改存積、常股皆為正課，且皆折銀。
HCH_012_080_000192	邊臣緩急無備，而勢要佔中賣窩，價增數倍。
HCH_012_080_000193	商人引納銀八錢，無所獲利，多不願中，課日耗絀。
HCH_012_080_000194	奸黠者夾帶影射，弊端百出。
HCH_012_080_000195	鹽臣承中璫風旨，復列零鹽、所鹽諸目以假之。
HCH_012_080_000196	世宗登極詔，首命裁革。
HCH_012_080_000197	未幾，商人逯俊等夤緣近幸，以增價為名，奏買殘餘等鹽。
HCH_012_080_000198	戶部尚書秦金執不允，帝特令中兩淮額鹽三十萬引於宣府。
HCH_012_080_000199	金言：「奸人佔中淮鹽，賣窩罔利，使山東、長蘆等鹽別無搭配，積之無用。虧國用，誤邊儲，莫此為甚。」
HCH_012_080_000200	御史高世魁亦爭之。
HCH_012_080_000201	詔減淮引十萬，分兩浙、長蘆鹽給之。
HCH_012_080_000202	金復言：「宣、大俱重鎮，不宜令奸商自擇便利，但中宣府。」
HCH_012_080_000203	帝可之。
HCH_012_080_000204	已而俊等請以十六人中宣府，十一人中大同，竟從其請。
HCH_012_080_000205	嘉靖五年從給事中管律奏，乃復常股存積四六分之制。
HCH_012_080_000206	然是時餘鹽盛行，正鹽守支日久，願中者少；餘鹽第領勘合，即時支賣，願中者多。
HCH_012_080_000207	自弘治時以餘鹽補正課，初以償逋課，後令商人納價輸部濟邊。
HCH_012_080_000208	至嘉靖時，延綏用兵，遼左缺餉，盡發兩淮餘鹽七萬九千餘引於二邊開中。
HCH_012_080_000209	自是餘鹽行。
HCH_012_080_000210	其始尚無定額，未幾，兩淮增引一百四十餘萬，每引增餘鹽二百六十五斤。
HCH_012_080_000211	引價，淮南納銀一兩九錢，淮北一兩五錢，又設處置、科罰名色，以苛斂商財。
HCH_012_080_000212	於是正鹽未派，先估餘鹽，商灶俱困。
HCH_012_080_000213	奸黠者藉口官買餘鹽，夾販私煎。
HCH_012_080_000214	法禁無所施，鹽法大壞。
HCH_012_080_000215	十三年，給事中管懷理言：「鹽法之壞，其弊有六。開中不時，米價騰貴，召糴之難也。勢豪大家，專擅利權，報中之難也。官司科罰，吏胥侵索，輸納之難也。下場挨掣，動以數年，守支之難也。定價太昂，息不償本，取贏之難也。私鹽四出，官鹽不行，市易之難也。有此六難，正課壅矣，而司計者因設餘鹽以佐之。餘鹽利厚，商固樂從，然不以開邊而以解部，雖歲入距萬，無益軍需。嘗考祖宗時，商人中鹽納價甚輕，而灶戶煎鹽工本甚厚，今鹽價十倍於前，而工本不能十一，何以禁私鹽使不行也？故欲通鹽法，必先處餘鹽，欲處餘鹽，必多減正價。大抵正鹽賤，則私販自息。今宜定價，每引正鹽銀五錢，餘鹽二錢五分，不必解赴太倉，俱令開中關支，餘鹽以盡收為度。正鹽價輕，既利於商；餘鹽收盡，又利於灶。未有商灶俱利，而國課不充者也。」
HCH_012_080_000216	事下所司，戶部覆，以為餘鹽銀仍解部如故，而邊餉益虛矣。
HCH_012_080_000217	至二十年，帝以變亂鹽法由餘鹽，敕罷之。
HCH_012_080_000218	淮、浙、長蘆悉復舊法，夾帶者割沒入官，應變賣者以時估為準。
HCH_012_080_000219	御史吳瓊又請各邊中鹽者皆輸本色。
HCH_012_080_000220	然令甫下，吏部尚書許訁贊即請復開餘鹽以足邊用。
HCH_012_080_000221	戶部覆從之，餘鹽復行矣。
HCH_012_080_000222	先是，十六年令兩浙僻邑，官商不行之處，山商每百斤納銀八分，給票行鹽。
HCH_012_080_000223	其後多侵奪正引，官商課缺，引壅二百萬，候掣必五六載。
HCH_012_080_000224	於是有預徵、執抵、季掣之法。
HCH_012_080_000225	預徵者，先期輸課，不得私為去留。
HCH_012_080_000226	執抵者，執現在運鹽水程，復持一引以抵一引。
HCH_012_080_000227	季掣，則以納課先後為序，春不得遲於夏，夏不得超於春也。
HCH_012_080_000228	然票商納稅即掣賣，預徵諸法徒厲引商而已。
HCH_012_080_000229	靈州鹽池，自史昭中馬之議行，邊餉虧缺，甘肅米直石銀五兩，戶部因奏停中馬，召商納米中鹽。
HCH_012_080_000230	二十七年令開中者止納本色糧草。
HCH_012_080_000231	三十二年令河東以六十二萬引為額，合正餘鹽為一，而革餘鹽名。
HCH_012_080_000232	時都御史王紳、御史黃國用議：兩淮灶戶餘鹽，每引官給銀二錢，以充工本，增收三十五萬引，名為工本鹽。
HCH_012_080_000233	令商人中額鹽二引，帶中工本鹽一引，抵主兵年例十七萬六千兩有奇。
HCH_012_080_000234	從其請。
HCH_012_080_000235	初，淮鹽歲課七十萬五千引，開邊報中為正鹽，後益餘鹽納銀解部。
HCH_012_080_000236	至是通前額凡一百五萬引，額增三之一。
HCH_012_080_000237	行之數年，積滯無所售，鹽法壅不行。
HCH_012_080_000238	言事者屢陳工本為鹽贅疣。
HCH_012_080_000239	戶部以國用方絀，年例無所出，因之不變。
HCH_012_080_000240	江西故行淮鹽三十九萬引，後南安、贛州、吉安改行廣鹽，惟南昌諸府行淮鹽二十七萬引。
HCH_012_080_000241	既而私販盛行，袁州、臨江、瑞州則私食廣鹽，撫州、建昌私食福鹽。
HCH_012_080_000242	於是淮鹽僅行十六萬引。
HCH_012_080_000243	數年之間，國計大絀。
HCH_012_080_000244	巡撫馬森疏其害，請於峽江縣建橋設關，扼閩、廣要津，盡復淮鹽額，稍增至四十七萬引。
HCH_012_080_000245	未久橋毀，增額二十萬引復除矣。
HCH_012_080_000246	三十九年，帝欲整鹽法，乃命副都御史鄢懋卿總理淮、浙、山東、長蘆鹽法。
HCH_012_080_000247	懋卿，嚴嵩黨也，苞苴無虛日。
HCH_012_080_000248	兩淮額鹽銀六十一萬有奇，自設工本鹽，增九十萬，懋卿復增之，遂滿百萬。
HCH_012_080_000249	半年一解。
HCH_012_080_000250	又蒐括四司殘鹽，共得銀幾二百萬，一時詡為奇功。
HCH_012_080_000251	乃立克限法，每卒一人，季限獲私鹽有定數；不及數，輒削其僱役錢。
HCH_012_080_000252	邏卒經歲有不得支一錢者，乃共為私販，以矣大利，甚至劫估舶，誣以鹽盜而執之，流毒遍海濱矣。
HCH_012_080_000253	嵩失勢，巡鹽御史徐爌言：「兩淮鹽法，曰常股，曰存積，曰水鄉，共七十萬引有奇。引二百斤，納銀八分。永樂以後，引納粟二斗五升，下場關支，四散發賣，商人之利亦什五焉。近年，正鹽之外，加以餘鹽；餘鹽之外，又加工本；工本不足，乃有添單；添單不足，又加添引。懋卿趨利目前，不顧其後，是誤國亂政之尤者。方今災荒疊告，鹽場淹沒，若欲取盈百萬，必至逃亡。弦急欲絕，不棘於此。」
HCH_012_080_000254	於是悉罷懋卿所增者。
HCH_012_080_000255	四十四年，巡鹽御史硃炳如奏罷兩淮工本鹽。
HCH_012_080_000256	自葉淇變法，邊儲多缺。
HCH_012_080_000257	嘉靖八年以後，稍復開中，邊商中引，內商守支。
HCH_012_080_000258	末年，工本鹽行，內商有數年不得掣者，於是不樂買引，而邊商困，因營求告掣河鹽。
HCH_012_080_000259	河鹽者，不上廩囷，在河逕自超掣，易支而獲利捷。
HCH_012_080_000260	河鹽行，則守支存積者愈久，而內商亦困，引價彌賤。
HCH_012_080_000261	於是奸人專以收買邊引為事，名曰囤戶，告掣河鹽，坐規厚利。
HCH_012_080_000262	時復議於正鹽外附帶餘鹽，以抵工本之數，囤戶因得賤賣餘鹽而貴售之，邊商與內商愈困矣。
HCH_012_080_000263	隆慶二年，屯鹽都御史龐尚鵬疏言：「邊商報中，內商守支，事本相須。但內商安坐，邊商遠輸，勞逸不均，故掣河鹽者以惠邊商也。然河鹽既行，淮鹽必滯，內商無所得利，則邊商之引不售。今宜停掣河鹽，但別邊商引價，自見引及起紙關引到司勘合，別為三等，定銀若干。邊商倉鈔已到，內商不得留難。蓋河鹽停則淮鹽速行，引價定則開中自多，邊商內商各得其願矣。」
HCH_012_080_000264	帝從之。
HCH_012_080_000265	四年，御史李學詩議罷官買餘鹽。
HCH_012_080_000266	報可。
HCH_012_080_000267	是時廣西古田平，巡撫都御史殷正茂請官出資本買廣東鹽，至桂林發賣，七萬餘包可獲利二萬二千有奇。
HCH_012_080_000268	從之。
HCH_012_080_000269	自嘉靖初，復常股四分，存積六分之制。
HCH_012_080_000270	後因各邊多故，常股、存積並開，淮額歲課七十萬五千餘引，又增各邊新引歲二十萬。
HCH_012_080_000271	萬歷時，以大工搜遠年違沒廢引六十餘萬，胥出課額之外，無正鹽，止令商買補餘鹽。
HCH_012_080_000272	餘鹽久盡，惟計引重科，加煎飛派而已。
HCH_012_080_000273	時兩淮引價餘銀百二十餘萬增至百四十五萬，新引日益，正引日壅。
HCH_012_080_000274	千戶尹英請配賣沒官鹽，可得銀六萬兩。
HCH_012_080_000275	大學士張位等爭之。
HCH_012_080_000276	二十六年，以鴻臚寺主簿田應璧奏，命中官魯保鬻兩淮沒官餘鹽。
HCH_012_080_000277	給事中包見捷極陳利害。
HCH_012_080_000278	不聽。
HCH_012_080_000279	保既視事，遂議開存積鹽。
HCH_012_080_000280	戶部尚書楊俊民言：「明旨核沒官鹽，而存積非沒官也。額外加增，必虧正課。保奏不可從。」
HCH_012_080_000281	御史馬從騁亦爭之。
HCH_012_080_000282	俱不聽。
HCH_012_080_000283	保乃開存積八萬引，引重五百七十斤，越次超掣，壓正鹽不行。
HCH_012_080_000284	商民大擾，而奸人蜂起。
HCH_012_080_000285	董璉、吳應麒等爭言鹽利。
HCH_012_080_000286	山西、福建諸稅監皆領鹽課矣。
HCH_012_080_000287	百戶高時夏奏浙、閩餘鹽歲可變價三十萬兩，巡撫金學會勘奏皆罔。
HCH_012_080_000288	疏入不省。
HCH_012_080_000289	於是福建解銀萬三千兩有奇，浙江解三萬七千兩有奇，借名苛斂，商困引壅。
HCH_012_080_000290	戶部尚書趙世卿指其害由保，因言：「額外多取一分，則正課少一分，而國計愈絀，請悉罷無名浮課。」
HCH_012_080_000291	不報。
HCH_012_080_000292	三十四年夏至明年春，正額逋百餘萬，保亦惶懼，請罷存積引鹽。
HCH_012_080_000293	保尋死。
HCH_012_080_000294	有旨罷之，而引斤不能減矣。
HCH_012_080_000295	李太后薨，帝用遺誥蠲各運司浮課，商困稍蘇，而舊引壅滯。
HCH_012_080_000296	戶部上鹽法十議，正行見引，附銷積引，以疏通之。
HCH_012_080_000297	巡鹽御史龍遇奇立鹽政綱法，以舊引附見引行，淮南編為十綱，淮北編為十四綱，計十餘年，則舊引盡行。
HCH_012_080_000298	從之。
HCH_012_080_000299	天啟時，言利者恣蒐括，務增引超掣。
HCH_012_080_000300	魏忠賢黨郭興治、崔呈秀等，巧立名目以取之，所入無算。
HCH_012_080_000301	論者比之絕流而漁。
HCH_012_080_000302	崇禎中，給事中黃承昊條上鹽政，頗欲有所釐革。
HCH_012_080_000303	是時兵餉方大絀，不能行也。
HCH_012_080_000304	初，諸王府則就近地支鹽，官民戶口食鹽皆計口納鈔，自行關支。
HCH_012_080_000305	而官吏食鹽多冒增口數，有一官支二千餘斤，一吏支五百餘斤者。
HCH_012_080_000306	乃限吏典不得過十口，文武官不過三十口；大口鈔十二貫支鹽十二斤，小口半之。
HCH_012_080_000307	景泰三年始以鹽折給官吏俸糧，以百四十斤當米一石。
