HCH_009_129_000162	昂聞令己渡江，悲懼欲亡去。
HCH_009_129_000163	至暮，海陵使謂昂曰：「前言一時之怒耳，不須先渡江也。」
HCH_009_129_000164	明日，遣武平軍都總管阿鄰、武捷軍副總管阿撒率舟師先濟。
HCH_009_129_000165	宿直將軍溫都奧剌、國子司業馬欽、武庫直長習失皆從戰。
HCH_009_129_000166	海陵置黃旗紅旗於岸上，以號令進止，紅旗立則進，黃旗僕則退。
HCH_009_129_000167	既渡江，兩舟先逼南岸，水淺不得進，與宋兵相對射者良久，兩舟中矢盡，遂為所獲，亡一猛安、軍士百余人。
HCH_009_129_000168	海陵遂還和州。
HCH_009_129_000169	於是尚書省使右司郎中吾補可、員外郎王全奏報：世宗即位于東京，改元大定。
HCH_009_129_000170	海陵前此已遣護衛謀良虎、特離補往東京，欲害世宗。
HCH_009_129_000171	行至遼水，遇世宗詔使撒八，執而殺之，遂還軍中。
HCH_009_129_000172	海陵拊髀歎曰：「朕本欲平江南改元大定，此豈非天乎！」
HCH_009_129_000173	乃出素所書取一戎衣天下大定改元事，以示群臣。
HCH_009_129_000174	遂召諸將帥謀北歸，且分兵渡江。
HCH_009_129_000175	議定，通複入奏曰：「陛下親師深入異境，無功而還，若眾散於前，敵乘於後，非萬全計。若留兵渡江，車駕北還，諸將亦將解體。今燕北諸軍近遼陽者恐有異志，宜先發兵渡江，斂舟焚之，絕其歸望。然後陛下北還，南北皆指日而定矣。」
HCH_009_129_000176	海陵然之，明日遂趨揚州。
HCH_009_129_000177	過烏江縣，觀項羽祠，歎曰：「如此英雄不得天下，誠可惜也。」
HCH_009_129_000178	海陵至揚州，使符寶耶律沒答護神果軍扼淮渡，凡自軍中還至淮上，無都督府文字皆殺之。
HCH_009_129_000179	乃出內箭飾以金龍，題曰禦箭，系帛書其上，使人乘舟射之南岸，其書言「宋國遣人焚毀南京宮室、及沿邊買馬、招誘軍民，今興師問罪，義在吊伐，大軍所至，必無秋毫之犯。」
HCH_009_129_000180	以此招諭宋人。
HCH_009_129_000181	於是，宋將王權亦縱所獲金軍士三人，齎書數海陵罪，通奏其書，即命焚之。
HCH_009_129_000182	海陵怒，亟欲渡江。
HCH_009_129_000183	驍騎高僧欲誘其黨以亡，事覺，命眾刃剉之。
