HCH_012_257_000150	貴州征苗兵屢敗，彥列八策以獻，詔頒示軍中。
HCH_012_257_000151	彥有籌略，曉暢兵事。
HCH_012_257_000152	然征妖賊時，諸將多殺良民冒功，而其子官錦衣，頗招搖都市。
HCH_012_257_000153	給事、御史交劾之。
HCH_012_257_000154	彥三疏乞罷，忠賢挾前憾，令乘傳歸，子削籍。
HCH_012_257_000155	初，妖賊興，遼東經略王在晉遣兵助討，彥敘功不及在晉，在晉憾之，至是為南京吏部，數詆彥。
HCH_012_257_000156	給事中袁玉佩遂劾彥冒功濫蔭，且言京觀不當築。
HCH_012_257_000157	詔削其世蔭，並京觀毀之。
HCH_012_257_000158	尋追敘兵部時邊功，即家進太子太傅。
HCH_012_257_000159	未幾卒。
HCH_012_257_000160	王洽，字和仲，臨邑人。
HCH_012_257_000161	萬歷三十二年進士。
HCH_012_257_000162	歷知東光、任丘。
HCH_012_257_000163	服闋，補長垣。
HCH_012_257_000164	治儀表頎偉，危坐堂上，吏民望之若神明。
HCH_012_257_000165	其廉能為一方最。
HCH_012_257_000166	擢吏部稽勛主事，歷考功文選郎中。
HCH_012_257_000167	天啟初，諸賢匯進，洽有力焉。
HCH_012_257_000168	遷太常少卿。
HCH_012_257_000169	三年冬，以右僉都御史巡撫浙江。
HCH_012_257_000170	洽本趙南星所引，及魏忠賢逐南星，洽乞罷，不許。
HCH_012_257_000171	五年四月，御史李應公希忠賢指劾洽，遂奪職閑住。
HCH_012_257_000172	崇禎元年，召拜工部右侍郎，攝部事。
HCH_012_257_000173	兵部尚書王在晉罷，帝召見群臣，奇洽狀貌，即擢任之。
HCH_012_257_000174	上疏陳軍政十事，曰嚴債帥，修武備，核實兵，衡將材，核欺蔽，懲朘削，勤訓練，厘積蠹，舉異才，弭盜賊，帝並褒納。
HCH_012_257_000175	宣大總督王象乾與大同巡撫張宗衡爭插漢款戰事，帝召諸大臣平臺，詰問良久，洽及諸執政並主象乾策，定款議，詳見《象乾》、《宗衡傳》。
