HCH_012_228_000195	化龍受事甫兩月，把兔兒與伯言兒等寇鎮武，又約土蠻子卜言臺周犯右屯。
HCH_012_228_000196	把兔兒先至吳家墳。
HCH_012_228_000197	化龍與總兵官董一元定計先擊把兔、伯言兒，伯言兒中流矢死，把兔被傷。
HCH_012_228_000198	卜言臺周至，攻右屯不利，亦解去。
HCH_012_228_000199	於是把兔、小歹青、卜言臺周益相結，謀復前恥。
HCH_012_228_000200	化龍與一元嚴備之。
HCH_012_228_000201	一元又出塞，搗巢有功，而把兔傷重竟死，邊塞詟服。
HCH_012_228_000202	詳具一元傳。
HCH_012_228_000203	化龍進兵部右侍郎。
HCH_012_228_000204	明年，小歹青悔禍款塞，請開木市於義州，且告朵顏長昂將犯邊。
HCH_012_228_000205	已，長昂果犯錦、義，副總兵李如梅擊卻之。
HCH_012_228_000206	歹青言既信，化龍遂許其請。
HCH_012_228_000207	上疏曰：環遼皆敵也，迤北土蠻種類多不可數。
HCH_012_228_000208	近邊者，直寧前則長昂，直錦、義則小歹青，直廣寧、遼、瀋則把兔、炒花、花大，直開、鐵則伯言、暖兔，其在東邊海西則猛骨孛羅、那林孛羅、卜寨，皆與遼地項背相望。
HCH_012_228_000209	並墻圍獵，則刁鬥聲相聞，蓋肘腋憂也。
HCH_012_228_000210	自那卜被剿，數年東陲無事。
HCH_012_228_000211	去年把兔、伯言戰死，炒花、花大一敗塗地。
HCH_012_228_000212	今伯言子宰賽受罰，入市廣寧，遼、瀋、開、鐵間警報漸希。
HCH_012_228_000213	所未馴伏者，惟小歹青與長昂耳。
HCH_012_228_000214	小歹青素兇狡，雄長諸部。
HCH_012_228_000215	西助長昂，東助炒花。
HCH_012_228_000216	大舉動以數萬，小竊則飛騎出沒錦、義間。
HCH_012_228_000217	自周之望、柏朝翠戰歿，無敢以一矢加遺。
HCH_012_228_000218	淩河上下方數百里，野多暴骨，民無寧宇。
HCH_012_228_000219	遠慮者每以河西不保為虞。
HCH_012_228_000220	今乃叩關求市，臣遍詢將領及彼地居民，僉言木市開有五利。
HCH_012_228_000221	河西無木，皆在邊外，叛亂以來，仰給河東，以邊警又不時至。
HCH_012_228_000222	故河西木貴於玉，市通則材木不可勝用。
HCH_012_228_000223	利一。
HCH_012_228_000224	所疑於歹青者，無信耳。
HCH_012_228_000225	彼重市為生路，當市時必不行掠。
HCH_012_228_000226	即今年市而明年掠，我已收今年不掠之利矣。
HCH_012_228_000227	利二。
HCH_012_228_000228	遼東馬市，成祖所開，無他賞，本聽商民與交易。
HCH_012_228_000229	木市與馬市等，有利於民，不費於官。
HCH_012_228_000230	利三。
HCH_012_228_000231	大舉之害酷而希，零竊之害輕而數。
HCH_012_228_000232	小歹青不掠錦、義，零竊少矣。
HCH_012_228_000233	又西不助長昂，東不助炒花，則敵勢漸分。
HCH_012_228_000234	即寧前、廣寧患亦漸減。
HCH_012_228_000235	且大舉先報，又得預為備。
HCH_012_228_000236	利四。
HCH_012_228_000237	零竊既希，邊人益得修備。
HCH_012_228_000238	利五。
HCH_012_228_000239	疏入，從之。
HCH_012_228_000240	化龍尋以病去，木市亦停止。
HCH_012_228_000241	其後總兵官馬林復議開市，與巡撫李植相左，論久不決，小歹青遂復為寇雲。
HCH_012_228_000242	二十七年三月，化龍起故官，總督湖廣、川、貴軍務兼巡撫四川，討播州叛臣楊應龍。
HCH_012_228_000243	應龍之先曰楊鏗。
HCH_012_228_000244	明初內附，授宣慰使。
HCH_012_228_000245	應龍性猜狠嗜殺。
HCH_012_228_000246	數從征調，恃功驕蹇。
HCH_012_228_000247	知川兵脆弱，陰有據蜀誌，間出剽州縣。
HCH_012_228_000248	嬖小妻田雌鳳，讒殺妻張氏，屠其家。
HCH_012_228_000249	用誅罰立威，所屬五司七姓不堪其虐，走貴州告變。
HCH_012_228_000250	巡撫葉夢熊疏請大征。
HCH_012_228_000251	詔不聽，逮系重慶獄。
HCH_012_228_000252	應龍詭將兵征倭自效，得脫歸。
HCH_012_228_000253	復逮，不出。
HCH_012_228_000254	四川巡撫王繼光發兵討，覆於白石，應龍諉罪諸苗。
HCH_012_228_000255	朝廷命邢玠總督。
HCH_012_228_000256	值東西用兵，勢未能窮治，因招撫之。
HCH_012_228_000257	應龍益結生苗，奪五司七姓地，並湖廣四十八屯以畀之，歲出侵掠。
HCH_012_228_000258	是年二月，敗官軍於飛練堡，都司楊國柱、指揮李廷棟等皆死。
HCH_012_228_000259	已，復破殺綦江參將房嘉寵、遊擊張良賢，投屍蔽江下。
HCH_012_228_000260	偽軍師孫時泰請直取重慶，搗成都，劫蜀王為質，而應龍遷延，聲言爭地界，冀曲赦如曩時。
HCH_012_228_000261	化龍至成都，征兵未至，亦謬為好語縻之。
HCH_012_228_000262	帝聞綦江破，大怒。
HCH_012_228_000263	追褫前四川、貴州巡撫譚希思、江東之職，而賜化龍劍，假便宜討賊。
HCH_012_228_000264	賊焚東坡、爛橋，梗湖、貴路，又焚龍泉，走都司楊惟忠。
HCH_012_228_000265	化龍劾諸大帥不用命者，沈尚文逮治，童元鎮、劉廷皆革職充為事官。
HCH_012_228_000266	諸軍大集，化龍先檄水西兵三萬守貴州，斷招苗路，乃移重慶，大誓文武。
HCH_012_228_000267	明年二月，分八道進兵。
HCH_012_228_000268	川師四路：總兵官劉綎由綦江，總兵官馬孔英由南川，總兵官吳廣由合江，副將曹希彬受廣節制，由永寧。
HCH_012_228_000269	黔師三路：總兵官童元鎮由烏江，參將朱鶴齡受元鎮節制，統宣慰使安疆臣由沙溪，總兵官李應祥由興隆。
HCH_012_228_000270	楚師一路分兩翼：總兵官陳璘由偏橋，副總兵陳良比受璘節制，由龍泉。
HCH_012_228_000271	每路兵三萬，官兵三之，土司七之。
HCH_012_228_000272	貴州巡撫郭子章駐貴陽，湖廣巡撫支可大移沅州，化龍自將中軍策應。
HCH_012_228_000273	帝以楚地遼闊，又擢江鐸為僉都御史，巡撫偏、沅。
HCH_012_228_000274	湖廣設偏沅巡撫，自鐸始也。
HCH_012_228_000275	推官高折枝先以南川兵進，據桑木鎮，綎復自綦江入。
HCH_012_228_000276	應龍以勁兵二萬屬其子朝棟曰：「爾破綦江，馳南川，盡焚積聚，彼無能為也。」
HCH_012_228_000277	比抗諸路兵，皆大敗，應龍頓足嘆曰：「吾不用時泰計，今死矣！」
HCH_012_228_000278	或言水西佐賊，化龍詰之疆臣，斬賊使，二氏交遂絕。
HCH_012_228_000279	烏江兵敗績，逮下元鎮於理，諸將益奮。
HCH_012_228_000280	綎先入婁山關，直抵海龍囤，璘、疆臣兵亦至。
HCH_012_228_000281	賊勢急，上囤死守，遣使詐降。
HCH_012_228_000282	化龍檄諸將斬使，焚書。
HCH_012_228_000283	以綎與應龍有舊，諭無通賊，綎械其人以自明。
HCH_012_228_000284	八路兵皆會囤下，築長圍困之，更番叠攻。
HCH_012_228_000285	六月，綎破土、月二城，應龍窘，與二妾俱縊。
HCH_012_228_000286	明晨，官軍入城，七子皆被執。
HCH_012_228_000287	詔磔應龍屍並子朝棟於市。
HCH_012_228_000288	自出師至滅賊，凡百有十四日。
HCH_012_228_000289	播自唐乾符中入楊氏，二十九世，八百餘年，至應龍而絕，以其地置遵義、平越二府，分屬川、貴。
HCH_012_228_000290	化龍初聞父喪，以金革起復，至是乞歸終制。
HCH_012_228_000291	三十一年四月，起工部右侍郎，總理河道，與淮、揚巡撫李三才奏開淤河，由直河入泇口抵夏鎮二百六十里，避黃河呂梁之險。
HCH_012_228_000292	再以憂去，未代。
HCH_012_228_000293	敘前平播功，晉兵部尚書，加少保，蔭一子世錦衣指揮使。
HCH_012_228_000294	三十五年夏，起戎政尚書。
HCH_012_228_000295	化龍以京營根本，奏陳十一濫、十二苦、十九宜，又上屯政十二事，皆置不理。
HCH_012_228_000296	兵部自二十七年後，左、右侍郎皆空署。
HCH_012_228_000297	未幾，尚書蕭大亨亦致仕，化龍掌部事。
HCH_012_228_000298	三十七年正月，京師訛言寇至，民爭避匿，邊民逃入都門者亦數萬，九門晝閉。
HCH_012_228_000299	輔臣言兵部尚書惟一人，何以應猝變，帝亦不報。
HCH_012_228_000300	遼戰士二萬餘皆老弱，而稅監高淮肆虐，遼人切齒。
HCH_012_228_000301	化龍請停稅課，且增兵萬人，又條上兵食款戰之策，帝皆不報。
HCH_012_228_000302	一品秩滿，加柱國、少傅兼太子太保。
HCH_012_228_000303	卒官，年七十。
HCH_012_228_000304	謚襄毅，贈少師，加贈太師。
HCH_012_228_000305	化龍具文武才。
HCH_012_228_000306	播州之役，以劉綎驕蹇，先摧挫之而薦其才，故綎為盡力。
HCH_012_228_000307	開河之功，為漕渠永利，詳見《河渠志》。
HCH_012_228_000308	江鐸，字士振，仁和人。
HCH_012_228_000309	高祖比，景泰時為禮科給事中。
HCH_012_228_000310	劾石亨怙寵罔上，有直聲。
HCH_012_228_000311	官至山東參政。
HCH_012_228_000312	曾祖瀾，正德時南京禮部尚書。
HCH_012_228_000313	卒謚文昭。
HCH_012_228_000314	祖曉，嘉靖中工部侍郎。
HCH_012_228_000315	父圻，萬歷初廣西提學僉事。
HCH_012_228_000316	父母疾，嘗藥舐糞。
HCH_012_228_000317	居喪寢苫三年，經寢室必俯其首，妻經夫廬亦然。
HCH_012_228_000318	卒，門人私謚為孝端先生。
HCH_012_228_000319	自比至鐸五世皆進士。
HCH_012_228_000320	而曉弟暉，正德中為庶吉士，與舒芬等諫南巡受杖。
HCH_012_228_000321	世宗時，由編修出為河南僉事。
HCH_012_228_000322	鐸登第在萬歷二年。
HCH_012_228_000323	授刑部主事。
HCH_012_228_000324	累官山西按察使，擢撫偏、沅。
HCH_012_228_000325	夾攻楊應龍有功，與郭子章皆蔭一子世錦衣指揮。
HCH_012_228_000326	丁母艱去。
HCH_012_228_000327	奪情，命留討皮林諸洞蠻，平之。
HCH_012_228_000328	詳具《陳璘傳》。
HCH_012_228_000329	以勞疾歸。
HCH_012_228_000330	卒，贈兵部右侍郎。
HCH_012_228_000331	贊曰：哱拜一降人耳，雖假以爵秩，而憑藉未厚。
HCH_012_228_000332	倉猝發難，據鎮城，聯外寇，邊鄙為之騷然，武備之弛，有由來矣。
HCH_012_228_000333	楊應龍惡稔貫盈，自速殄滅。
HCH_012_228_000334	然盤踞積久，地形險惡，非師武臣力，奏績豈易言哉！
HCH_012_228_000335	李化龍之功可與韓雍、項忠相埒，較寧夏之役，難易懸殊矣。
