HCH_012_316_000141	而萬化亦率苗仲九股陷龍裏，遂圍貴陽，自稱羅甸王，時天啟二年二月也。
HCH_012_316_000142	巡撫李枟方受代，聞變，與巡按御史史永安悉力拒守。
HCH_012_316_000143	賊攻不能克，則沿巖制柵，斷城中出入。
HCH_012_316_000144	鎮將張彥芳將兵二萬赴援，隔龍裏不得進。
HCH_012_316_000145	貴州總兵楊愈懋、推官郭象儀與賊戰於江門而死。
HCH_012_316_000146	外援既絕，攻益急，城中糧盡，人相食，而拒守不遺余力。
HCH_012_316_000147	中朝方急遼，不之省。
HCH_012_316_000148	已，以王三善為巡撫，倉卒調兵食，大會將士，分兵二道進。
HCH_012_316_000149	三日抵龍頭營，屢敗賊兵，遂奪龍裏。
HCH_012_316_000150	邦彥聞新撫自將大兵數十萬，懼甚，遂退屯龍洞。
HCH_012_316_000151	前鋒楊明楷率烏羅兵擊死安邦俊，遂乘勝抵貴陽城下，先以五騎傳呼曰：「新撫至矣。」
HCH_012_316_000152	舉城歡呼更生。
HCH_012_316_000153	貴陽被圍十餘月，城中軍民男婦四十萬，至是餓死幾盡，僅余二百人。
HCH_012_316_000154	詳《李枟》及《三善傳》中。
HCH_012_316_000155	貴陽圍既解，邦彥遠遁陸廣河外。
HCH_012_316_000156	三善遣使諭社輝母子縛邦彥以降。
HCH_012_316_000157	大軍至者日益眾，三善欲因糧於敵。
HCH_012_316_000158	又諸軍視賊過易，楊明楷營於三十里外。
HCH_012_316_000159	邦彥復糾諸苗來攻，師敗，明楷為所執。
HCH_012_316_000160	邦彥勢復張，合眾欲再圍貴陽。
HCH_012_316_000161	三善遣兵三路禦之，破生苗寨二百餘，擒萬化等，焚其積聚數萬。
HCH_012_316_000162	龍裏、定番四路並通，諸苗畔者相繼降。
HCH_012_316_000163	邦彥氣奪不敢出，於鴨池、陸廣諸要地掘塹屯兵，為自守計。
HCH_012_316_000164	時奢崇明為蜀兵所敗，計窮投水西，與邦彥合。
HCH_012_316_000165	三年，三善督兵攻大方賊巢，擒土司何中尉等，進營紅崖。
HCH_012_316_000166	連破天臺、水腳等七囤，奪其天險。
HCH_012_316_000167	別將亦破賊於羊耳，追至鴨池河，奪其戰象。
HCH_012_316_000168	遂深入至紅鳥岡，諸苗奔潰。
HCH_012_316_000169	三善率兵直入大方，奢社輝、安位焚其巢，竄火灼堡，邦彥奔織金。
HCH_012_316_000170	位遂遣人赴鎮遠，乞降於總督楊述中。
HCH_012_316_000171	許之，令擒崇明父子自贖，一意主撫。
HCH_012_316_000172	而三善責並獻邦彥，當並用剿，議不合。
HCH_012_316_000173	往返間已逾數月，邦彥得益兵為備。
