HCH_013_077_000239	十六年正月辛酉，張獻忠以二百人夜襲，陷蘄州。
HCH_013_077_000240	明日，令薦紳、孝廉、文學各冠帶自東門入，西門出，盡斬之，遂屠蘄州。
HCH_013_077_000241	留婦女毀城，稍不力，卽被殺。
HCH_013_077_000242	執守道仁和許文岐。
HCH_013_077_000243	獻忠曾販杭州，識文岐，頗禮之。
HCH_013_077_000244	文岐陰謀圖賊，乃被殺。
HCH_013_077_000245	時楚兵盡隨良玉東下蘄、黃一帶，惟土兵三百人守蘄水，獻忠乘虛充斥。
HCH_013_077_000246	三月丁酉，陷蘄水，屠之。
HCH_013_077_000247	甲寅，左良玉引兵自池口西上，屯安慶。
HCH_013_077_000248	丙辰，獻忠自蘄水疾馳至黃州，乘大霧攻城。
HCH_013_077_000249	黎明，城陷。
HCH_013_077_000250	執副使樊維城，欲降之，罵賊不屈。
HCH_013_077_000251	賊刺之，洞胸死。
HCH_013_077_000252	獻忠據府自稱西王。
HCH_013_077_000253	麻城諸生周文江倡亂，迎降獻忠。
HCH_013_077_000254	獻忠大喜，僞授文江知州。
HCH_013_077_000255	賊尋陷羅田。
HCH_013_077_000256	五月，總兵方國安率兵七千扼蘄州，獻忠西向武昌。
HCH_013_077_000257	武昌武備積弛，闖、獻交窺江、漢，時議募兵守城，而庫藏空絀。
HCH_013_077_000258	楚王有積金百萬，三司長史貸金數十萬以贍軍，王不應。
HCH_013_077_000259	大學士賀逢聖家居，倡義捐貲募兵，僉謂宜募土著。
HCH_013_077_000260	適承天、德安潰兵俱下，楚王盡募之爲軍鋒，以長史徐學顏領之，號「楚府兵」。
HCH_013_077_000261	獻忠沿江而上，悉師破漢陽，臨江欲渡，武昌大震，議撤江上兵嬰城守。
HCH_013_077_000262	參將崔文榮曰：「守城不如守江，守江不如守漢。磨盤、煤炭諸洲，淺不過馬腹，縱之飛渡，而嬰城坐困，非策也。」
HCH_013_077_000263	議者不從，賊果從煤炭洲而渡，直逼城下。
HCH_013_077_000264	文榮禦之，小有斬獲。
HCH_013_077_000265	賊攻武勝門，文榮率諸軍拒之，多殺傷。
HCH_013_077_000266	壬戌，楚府新募兵爲賊內應，開門迎賊。
HCH_013_077_000267	文榮躍馬持矛大呼，殺賊三人。
HCH_013_077_000268	賊攢矛刺之，洞腋死。
HCH_013_077_000269	大學士賀逢聖與文榮俱守武勝門，城陷歸家，衣冠北向再拜，以巨舟載其家出墩子湖。
HCH_013_077_000270	至中流鑿舟，全家溺者十二人。
HCH_013_077_000271	逢聖屍沈百七十日不壞，十一月壬子始出葬。
HCH_013_077_000272	長史徐學顏與賊格鬬，斷左臂，右手持刀不仆，賊支解之。
HCH_013_077_000273	楚宗多從賊者。
HCH_013_077_000274	賊執楚王，盡取宮中積金百餘萬，輦載數百車不盡，楚人以是咸憾王之愚也。
HCH_013_077_000275	賊以箯輿籠王，沈之西湖。
HCH_013_077_000276	屠戮士民數萬，投屍於江。
HCH_013_077_000277	尚餘數萬人，縱之出城，以鐵騎圍而蹙之江中。
HCH_013_077_000278	浮屍蔽江而下，武昌魚幾不可食。
HCH_013_077_000279	其遺民數百，多刖斷手足，鑿毀目鼻，無一全形者。
HCH_013_077_000280	獻忠遂據楚王府，僭稱武昌曰京城。
HCH_013_077_000281	僞設六部、五府，鑄西王之寶。
HCH_013_077_000282	開科取士，殿試取三十人爲進士，授郡縣官。
HCH_013_077_000283	初，李自成兵臨漢陽不克，聞獻忠取之，自成怒，榜示遠近，曰：「有能擒獻忠以獻者，賞千金。」
HCH_013_077_000284	及聞取武昌，復遣人賀之曰：「老回回已降，曹、革、左皆被殺，行將及汝矣。」
HCH_013_077_000285	獻忠得書而懼，多齎金寶，報使於自成。
HCH_013_077_000286	自成留其使，獻忠恨之。
HCH_013_077_000287	六月丙戌，諭平賊將軍左良玉專勦張獻忠，毋老師糜餉。
HCH_013_077_000288	七月辛亥，方國安合左營副將徐懋德、馬士秀等步騎二萬從蘄州而上，夜擊賊於大冶，斬首千級。
HCH_013_077_000289	前鋒旣勝，左鎭諸軍並進。
HCH_013_077_000290	獻忠聞之，戊午，以四賊帥守武昌，爲浮橋於金口，悉衆西渡，屯舟師於湖中，謀向岳。
HCH_013_077_000291	八月［壬戌］，方國安等進兵黃州，斬僞知府。
HCH_013_077_000292	癸亥，諸將進次陽邏堡，距武昌三舍。
HCH_013_077_000293	監紀知縣吳敏師聯絡蘄、黃四十八寨義勇數萬人與師會。
HCH_013_077_000294	總兵常安國以舟師先進，轉戰金沙州，奪賊舟百艘。
HCH_013_077_000295	賊騎反走，焚城下諸舟，嬰城自保。
HCH_013_077_000296	安國等退屯漢口。
HCH_013_077_000297	丙寅，諸軍齊壓武昌而軍，賊出戰，大敗退入。
HCH_013_077_000298	官軍逐之，遂入城。
HCH_013_077_000299	賊開門西走，諸將縱兵屠戮萬計，遂復漢陽幷諸屬縣。
HCH_013_077_000300	張獻忠陷咸寧、蒲圻，距岳州二百里。
HCH_013_077_000301	沅撫李乾德、總兵孔希貴以兵二萬守城陵磯，盡移岳州居民他避，令軍士詐爲居民開門迎賊。
HCH_013_077_000302	賊入城，伏發，賊盡殲。
HCH_013_077_000303	留四賊，賊割一耳，貫箭縱回以辱賊。
HCH_013_077_000304	獻忠怒，益兵進攻。
HCH_013_077_000305	乾德虛立營壘道傍，林中植旗幟，伏大礮，積薪其上。
HCH_013_077_000306	賊以火攻之，延燒積薪，礮大發，殺賊數百。
HCH_013_077_000307	賊益怒，水陸並進。
HCH_013_077_000308	乾德飾戰艦中流向賊營，度矢石可及，卽止不進，賊連弩射良久。
HCH_013_077_000309	乾德度賊矢礮且盡，水陸奮擊，大敗之，三戰三捷。
HCH_013_077_000310	獻忠乃悉衆二十萬圍岳州，百道俱攻。
HCH_013_077_000311	力屈城陷，乾德、希貴俱走長沙。
HCH_013_077_000312	戊辰，賊前鋒至湘陰，湘陰民俱空城走。
HCH_013_077_000313	獻忠分軍爲二：一軍下長沙，一軍上荊州。
HCH_013_077_000314	獻忠欲北渡，卜於洞庭湖神，不吉；三卜，神終不許。
HCH_013_077_000315	庚辰，獻忠斂舟湘潭數千艘將北渡，忽大風起，覆舟百餘，溺死數千人。
HCH_013_077_000316	因復還岳州，盡殺所掠婦女，投屍江中。
HCH_013_077_000317	焚其舟，火延四十里，江水夜明如晝。
HCH_013_077_000318	遂陸行向長沙，甲申至城下，長沙人民先已走，李乾德奉吉王、惠王走衡州。
HCH_013_077_000319	丙戌，長沙陷，總兵尹先民、何一德降賊，巡撫王聚奎單騎走江夏，推官蔡道憲死之。
HCH_013_077_000320	先是，武昌陷，聚奎南奔長沙，道憲請還屯岳州，謂岳與長沙脣齒也，併力守岳，則長沙可保，而衡、永無虞。
HCH_013_077_000321	聚奎屯岳數日，仍南徙，驅萬人入長沙。
HCH_013_077_000322	所過如洗，慘甚於賊。
HCH_013_077_000323	尋遁入湘潭。
HCH_013_077_000324	及賊至城下，呼推官曰：「吾軍中皆知爾名，可速降，毋自苦也。」
HCH_013_077_000325	道憲挽強弩射之。
HCH_013_077_000326	獻忠怒，攻三日夜而城陷。
HCH_013_077_000327	執道憲，百計誘降，不屈，磔之。
HCH_013_077_000328	健卒林國俊等九人追侍道憲不去。
HCH_013_077_000329	賊勸道憲降時，國俊曰：「如吾主可降亦去矣，不至今日。」
HCH_013_077_000330	賊云：「爾主不降，爾亦不得生。」
HCH_013_077_000331	國俊曰：「若我輩願生亦去矣，不至今日。」
HCH_013_077_000332	賊併殺之。
HCH_013_077_000333	內四卒奮然曰：「願且延旦夕，葬主骸而後受刃。」
HCH_013_077_000334	賊義而許之。
HCH_013_077_000335	於是四卒解衣裹骸，葬之南郭，畢，四卒自經死。
HCH_013_077_000336	獻忠旣陷長沙，設立僞官，大書僞榜，馳檄遠近。
HCH_013_077_000337	降賊將先民、一德願效前驅，進取江西。
HCH_013_077_000338	獻忠悅，僞封世襲伯。
HCH_013_077_000339	庚寅，賊襲陷衡州，桂王及吉、惠二王走永州。
HCH_013_077_000340	九月，獻忠拆桂王府殿材至長沙，構造宮殿。
