HCH_012_330_000190	賊將辛恩忠攻破之，遂進掠青海。
HCH_012_330_000191	諸酋多降附，而明室亦亡。
HCH_012_330_000192	番有生熟二種。
HCH_012_330_000193	生番獷悍難制。
HCH_012_330_000194	熟番納馬中茶，頗柔服，後浸通生番為內地患。
HCH_012_330_000195	自青海為寇所據，番不堪剽奪，私饋皮幣曰手信，歲時加饋曰添巴，或反為嚮導，交通無忌。
HCH_012_330_000196	而中國市馬亦鮮至，蓋已失捍外衛內之初意矣。
HCH_012_330_000197	原夫太祖甫定關中，即法漢武創河西四郡隔絕羌、胡之意，建重鎮於甘肅，以北拒蒙古，南捍諸番，俾不得相合。
HCH_012_330_000198	又遣西寧等西衛土官與漢官參治，令之世守。
HCH_012_330_000199	且多置茶課司，番人得以馬易茶。
HCH_012_330_000200	而部族之長，亦許其歲時朝貢，自通名號於天子。
HCH_012_330_000201	彼勢既分，又動於利，不敢為惡。
HCH_012_330_000202	即小有蠢動，邊將以偏師制之，靡不應時底定。
HCH_012_330_000203	自邊臣失防，北寇得越境闌入，與番族交通，西陲遂多事。
HCH_012_330_000204	然究其時之所患，終在寇而不在番，故議者以太祖制馭為善。
HCH_012_330_000205	安定衛，距甘州西南一千五百里。
HCH_012_330_000206	漢為婼羌，唐為吐蕃地，元封宗室卜煙帖木兒為寧王鎮之。
HCH_012_330_000207	其地本名撒里畏兀兒，廣袤千里，東近罕東，北邇沙州，南接西番。
HCH_012_330_000208	居無城郭，以氈帳為廬舍。
HCH_012_330_000209	產多駝馬牛羊。
HCH_012_330_000210	洪武三年遣使持詔招諭。
HCH_012_330_000211	七年六月，卜煙帖木兒使其府尉麻答兒等來朝，貢鎧甲刀劍諸物。
HCH_012_330_000212	太祖喜，宴賚其使者，遣官厚賚其王，而分其地為阿端、阿真、苦先、貼里四部，各錫以印。
HCH_012_330_000213	明年正月，其王遣傅卜顏不花來貢，上元所授金、銀字牌，請置安定、阿端二衛，從之。
HCH_012_330_000214	乃封卜煙帖木兒為安定王，以其部人沙刺等為指揮。
HCH_012_330_000215	九年命前廣東參政鄭九成等使其地，賚王及其部人衣幣。
HCH_012_330_000216	明年，王為沙剌所弒，王子板咱失里復仇，誅沙剌。
HCH_012_330_000217	沙剌部將復殺王子，部內大亂。
HCH_012_330_000218	番將朵兒只巴叛走沙漠，經安定，大肆殺掠，奪其印去，其眾益衰。
HCH_012_330_000219	二十五年，藍玉西征，徇阿真川。
HCH_012_330_000220	土酋司徒哈昝等懼，逃匿山谷不敢出。
HCH_012_330_000221	及肅王之國甘州，遣僧謁王，乞授官以安部眾。
HCH_012_330_000222	王為奏請，帝許之。
HCH_012_330_000223	二十九年命行人陳誠至其地，復立安定衛。
HCH_012_330_000224	其酋長哈孩虎都魯等五十八人悉授指揮、千百戶等官。
HCH_012_330_000225	誠還，酋長隨之入朝，貢馬謝恩。
HCH_012_330_000226	帝厚賚之，覆命中官齎銀幣往賜。
HCH_012_330_000227	永樂元年遣官齎敕撫諭撒里諸部。
HCH_012_330_000228	明年，安定頭目多來朝，擢千戶三即等三人為指揮僉事，餘授官有差，並賜本衛指揮同知哈三等銀幣。
HCH_012_330_000229	未幾，指揮朵兒只束來朝，願納差發馬五百匹，命河州衛指揮康壽往受之。
HCH_012_330_000230	壽言：「罕東、必里諸衛納馬，其直皆河州軍民運茶與之。今安定遼遠，運茶甚難，乞給以布帛。」
HCH_012_330_000231	帝曰：「諸番市馬用茶，已著為例。今姑從所請，後仍給茶。」
HCH_012_330_000232	於是定制，上馬給布帛各二匹，以下遞減。
HCH_012_330_000233	三年，哈三等遣使來貢，奏舉頭目撤力加藏卜等為指揮等官，且請歲納孳畜什一，並從之。
HCH_012_330_000234	四年徙駐苦兒丁之地。
HCH_012_330_000235	初，安定王之被殺也，其子撒兒只失加為其兄所殺，部眾潰散，子亦攀丹流寓靈藏。
HCH_012_330_000236	十一年五月率眾入朝，自陳家難，乞授職。
HCH_012_330_000237	帝念其祖率先歸附，令襲封安定王，賜印誥。
HCH_012_330_000238	自是朝貢不輟。
HCH_012_330_000239	二十二年，中官喬來喜、鄧誠使烏斯藏，次畢力術江黃羊川。
HCH_012_330_000240	安定指揮哈三孫散哥及曲先指揮散即思等率眾邀劫之，殺朝使，盡奪駝馬幣物而去。
HCH_012_330_000241	仁宗大怒，敕都指揮李英偕康壽等討之。
HCH_012_330_000242	英等率西寧諸衛軍及隆奔國師賈失兒監藏等十二番族之眾，深入追賊，賊遠遁。
HCH_012_330_000243	英等逾崑崙山西行數百里，抵雅令闊之地，遇安定賊，擊敗之，斬首四百八十餘級，生擒七十餘人，獲駝馬牛十四萬有奇。
HCH_012_330_000244	曲先聞風遠竄，追之不及而還。
HCH_012_330_000245	英以此封會寧伯，壽等皆進秩。
HCH_012_330_000246	大軍既旋，指揮哈三等懼罪，不敢還故地。
HCH_012_330_000247	宣德元年，帝遣官招諭之，復業者七百餘人。
