HCH_012_123_000250	先是，黃敬夫等三人用事，吳人知士誠必敗，有「黃菜葉」十七字之謠，其後卒驗雲。
HCH_012_123_000251	莫天祐者，元末聚眾保無錫州，士誠招之。
HCH_012_123_000252	不從。
HCH_012_123_000253	以兵攻之，亦不克。
HCH_012_123_000254	士誠既受元官，天祐乃降。
HCH_012_123_000255	士誠累表為同僉樞密院事。
HCH_012_123_000256	及平江既圍，他城皆下，惟天祐堅守。
HCH_012_123_000257	士誠破，胡廷瑞急攻之，乃降。
HCH_012_123_000258	太祖以其多傷我兵，誅之。
HCH_012_123_000259	李伯升仕士誠至司徒，既降，命仍故官，進中書平章同知詹事府事。
HCH_012_123_000260	嘗將兵討平湖廣慈利蠻，又為征南右副將軍，同吳良討靖州蠻。
HCH_012_123_000261	後坐胡黨死。
HCH_012_123_000262	潘元明以平章守杭州降，仍為行省平章，與伯升俱歲食祿七百五十石，不治事。
HCH_012_123_000263	雲南平，以元明署布政司事，卒官。
HCH_012_123_000264	士誠自起至亡，凡十四年。
HCH_012_123_000265	方國珍，黃岩人。
HCH_012_123_000266	長身黑面，體白如瓠，力逐奔馬。
HCH_012_123_000267	世以販鹽浮海為業。
HCH_012_123_000268	元至正八年，有蔡亂頭者，行剽海上，有司發兵捕之。
HCH_012_123_000269	國珍怨家告其通寇。
HCH_012_123_000270	國珍殺怨家，遂與兄國璋、弟國瑛、國瑉亡入海，聚眾數千人，劫運艘，梗海道。
HCH_012_123_000271	行省參政朵兒只班討之，兵敗，為所執，脅使請於朝，授定海尉。
HCH_012_123_000272	尋叛，寇溫州。
HCH_012_123_000273	元以孛羅帖木兒為行省左丞，督兵往討，復敗，被執。
HCH_012_123_000274	乃遣大司農達識帖睦邇招之降。
HCH_012_123_000275	已而汝、潁兵起，元募舟師守江。
HCH_012_123_000276	國珍疑懼，復叛。
HCH_012_123_000277	誘殺台州路達魯花赤泰不華，亡入海。
HCH_012_123_000278	使人潛至京師，賂諸權貴，仍許降，授徽州路治中。
HCH_012_123_000279	國珍不聽命，陷台州，焚蘇之太倉。
HCH_012_123_000280	元復以海道漕運萬戶招之，乃受官。
HCH_012_123_000281	尋進行省參政，俾以兵攻張士誠。
HCH_012_123_000282	士誠遣將禦之昆山。
HCH_012_123_000283	國珍七戰七捷。
HCH_012_123_000284	會士誠亦降，乃罷兵。
HCH_012_123_000285	先是，天下承平，國珍兄弟始倡亂海上，有司憚於用兵，一意招撫。
HCH_012_123_000286	惟都事劉基以國珍首逆，數降數叛，不可赦。
HCH_012_123_000287	朝議不聽。
HCH_012_123_000288	國珍既授官，據有慶元、溫、台之地，益強不可制。
HCH_012_123_000289	國珍之初作亂也，元出空名宣敕數十道募人擊賊。
HCH_012_123_000290	海濱壯士多應募立功。
HCH_012_123_000291	所司邀重賄，不輒與，有一家數人死事卒不得官者。
HCH_012_123_000292	而國珍之徒，一再招諭，皆至大官。
HCH_012_123_000293	由是民慕為盜，從國珍者益眾。
HCH_012_123_000294	元既失江、淮，資國珍舟以通海運，重以官爵羈縻之，而無以難也。
HCH_012_123_000295	有張子善者，好縱橫術，說國珍以師溯江窺江東，北略青、徐、遼海。
HCH_012_123_000296	國珍曰：「吾始志不及此。」
