HCH_013_047_000174	復取優人數輩，厚賞以全其家，令其至伏兵處所，飛報竊發日期，將公文縫置袷衣絮中。
HCH_013_047_000175	臨發，適捕李士實家屬至舟尾，故令覘知之。
HCH_013_047_000176	守仁乃佯怒，令牽上岸處斬，而陰縱之，令其奔報。
HCH_013_047_000177	宸濠邏獲優人，果於袷衣絮中搜得公文，不敢即發。
HCH_013_047_000178	庚辰，守仁飛報宸濠反，王瓊宣言曰：「有王伯安在，何患！不久當有捷報耳。」
HCH_013_047_000179	丁亥，守仁集兵糧，傳檄四方諸郡縣。
HCH_013_047_000180	知府伍文定等皆至，議所向。
HCH_013_047_000181	守仁曰：「兵家之道，急衝其鋒，攻其有備，皆非計之得。我故示以自守不出之形，彼必他出，然後尾而圖之。先復省城以搗其巢穴，俟彼還兵來援，然後邀而擊之，此全勝之策也。」
HCH_013_047_000182	宸濠果使人探，守仁不出。
HCH_013_047_000183	秋七月壬辰朔，宸濠會李士實、劉養正造偽檄，指斥朝廷。
HCH_013_047_000184	參政季斅同南昌教授趙承芳等齎偽檄，榜諭吉安，守仁執縛軍門。
HCH_013_047_000185	固封上進，疏略曰：「陛下在位十四年，屢經變難，民心騷動，尚爾巡遊不已，致使宗室謀動干戈，冀竊大寶。且今天下之覬覦，豈特一寧王！天下之奸雄，豈特在宗室！言念及此，可為寒心。昔漢武帝有輪臺之悔，而天下向治。唐德宗下奉天之詔，而士民感泣。伏望陛下痛自刻責，易轍改弦，罷奸回以動天下忠義之心，絕遊幸以杜天下奸雄之望。」
HCH_013_047_000186	宸濠率兵出江西，留其黨宜春郡王拱樤同內官萬銳等守南昌，自與拱栟、李士實、劉養正、閔廿四等六萬人，號十萬，以劉吉為監軍，王綸為參贊，指揮葛江為都督，載其妃媵、世子從，總一百四十餘隊，分五哨出鄱陽，舳艫蔽江而下，聲言直取南京。
HCH_013_047_000187	太監畢貞守浙江，許起兵應之。
HCH_013_047_000188	戊戌，宸濠趨安慶，知府張文錦、都指揮楊銳、指揮崔文，令軍士鼓譟登城大罵之，宸濠遂留攻安慶。
HCH_013_047_000189	時九江、南昌既陷，遠近震駭，三人憑孤城，以忠義激士，誓眾死守。
HCH_013_047_000190	僉事潘鵬，安慶人也。
HCH_013_047_000191	宸濠令鵬遣家屬持書入城諭降，崔文手斬之，磔其尸投城下。
HCH_013_047_000192	宸濠令鵬至城下說之，文引弓欲射鵬，鵬走免，張文錦即鵬家盡誅之。
HCH_013_047_000193	宸濠盡攻擊之術，不能克。
HCH_013_047_000194	時朝廷聞濠反，乃收太監蕭敬、秦用、盧明，都督錢寧，優人臧賢，尚書陸完等俱下獄，籍其家。
HCH_013_047_000195	後蕭敬罰二萬金得免，秦用、陸完謫戍邊，餘死獄中。
HCH_013_047_000196	癸卯，王守仁率知府伍文定等起兵會於臨江樟樹鎮。
HCH_013_047_000197	於是知府戴德孺引兵自臨江，徐璉引兵自袁州，邢珣引兵自贛州，通判胡堯元、童琦引兵自瑞州，通判談儲，推官王暐、徐文英，新淦知縣李美，太和知縣李楫，寧都知縣王天與，萬安知縣王冕，各以其兵至。
HCH_013_047_000198	十八日己酉，至豐城，眾議所往，或謂：「寧王經畫旬餘始出，留備南昌必嚴，攻之恐難猝拔。今寧王攻安慶，久不克，兵疲意沮，若以大兵逼之江中，與安慶夾攻之，必敗。寧王敗，南昌不攻自破矣。」
HCH_013_047_000199	守仁曰：「不然。我師越南昌下，與寧王持江上，安慶之眾僅能自保，必不能援我於中流。而南昌兵議其後絕我糧道，南康、九江又合勢乘之，腹背受敵，非利也，不若先攻南昌。寧王久不克安慶，精銳皆出，守禦必單弱。我兵新集氣銳，南昌可克也。寧王聞我攻南昌，必解安慶圍，還兵自救。暨來，我師已克南昌，彼聞之自奪氣，首尾牽制，此成擒矣。」
HCH_013_047_000200	乃分其兵為十三哨，哨三千人，少者千五百人，令伍文定等各攻一門，以四哨為遊兵策應之。
HCH_013_047_000201	諜報寧王別伏兵坟廠，為城中聲援。
HCH_013_047_000202	守仁遣知縣劉守緒，夜從間道襲破之，以撼城中。
HCH_013_047_000203	十九日發兵，以二十日昧爽各至汎地。
HCH_013_047_000204	守仁下令曰：「一鼓附城，再鼓登，三鼓不登誅，四鼓不登斬其隊將。」
HCH_013_047_000205	又先期為榜入諭城中居民，令各閉戶自守，勿助亂，勿恐畏逃匿。
HCH_013_047_000206	遂舁攻具至城下，梯絚而登。
HCH_013_047_000207	城上雖設守禦，聞風倒戈，城門有不閉者，兵遂入，守仁乃入城撫定之。
HCH_013_047_000208	時贛州、奉新等兵皆降盜，頗驍悍，然多肆殺掠，不遵約束，民被殺傷者眾。
HCH_013_047_000209	守仁執數人斬之，眾稍定。
HCH_013_047_000210	擒拱樤及萬銳等十餘人，宮中皆縱火自燒殺，不盡者拘繫之，散遣脅從，府庫被宸濠取充軍資，及兵士略取不盡者籍封之，城中始安。
HCH_013_047_000211	時宸濠憤安慶不下，方自督兵填壕塹，期在必克，聞守仁帥兵攻南昌，大恐。
HCH_013_047_000212	李士實等勸宸濠勿還兵，舍安慶，徑取南京，既即大位，江西自服。
HCH_013_047_000213	宸濠不從，解安慶圍，移兵泊阮子江。
HCH_013_047_000214	先遣兵二萬還援江西，宸濠自率大軍繼之。
HCH_013_047_000215	二十二日，諜報至江西，守仁乃集眾議，或謂：「寧王兵盛，憑其憤怒，悉眾而來。我援兵未集，勢不能支，不若堅壁自守，以待四方之援。彼久頓堅城之下，兵孤援絕，將自潰矣。」
HCH_013_047_000216	守仁曰：「寧王兵力雖強，然所至徒恃焚掠，劫眾以威，未嘗逢大敵與之旗鼓相當一鏖戰者。彼所誘惑其下，不過以事成封爵富貴為說。今進取不能，巢穴又覆，沮喪退歸，眾心已離，我以銳卒乘勝擊之，彼將不戰自潰矣。」
HCH_013_047_000217	是日，撫州知府陳槐亦帥兵至。
