HCH_013_067_000159	疏中稱：「沈令譽，郭氏之食客，胡化同鄉之年友，當亟訊奸黨，治正域罪。次輔沈鯉屢為奸人緩頰，舉朝曰大變，彼曰小事；舉朝曰當捕，彼曰可容。所上揭有震動人心，虧損聖德等語。回互隱伏，意欲何為？」
HCH_013_067_000160	疏入，中外大駭。
HCH_013_067_000161	於是發卒圍正域舟，捕其僕隸乳媼十三人。
HCH_013_067_000162	巡捕都督陳汝忠又獲正域舍人毛尚文、江夏布衣王忠。
HCH_013_067_000163	巡城御史康丕揚捕僧達觀、琴士鍾澄、百戶劉相等，同沈令譽下詔獄，考訊無所得。
HCH_013_067_000164	邏校且環逼鯉邸，迫脅不堪。
HCH_013_067_000165	皇太子遣閹人語閣臣曰：「先生輩容我，乞全郭侍郎。」
HCH_013_067_000166	會都察院溫純上書訟之，唐文獻、陶望齡先後詣沈一貫為解，陳矩亦力持之，鯉得安。
HCH_013_067_000167	王士騏、于玉立以詞連落職，錦衣都督王之禎、千戶王名世等首錦衣都督周嘉慶下東廠會鞫，闔門慘掠，嘉慶亦不承。
HCH_013_067_000168	吏部尚書李戴為嘉慶外父，拷訊時不忍慘視，起入中堂。
HCH_013_067_000169	上聞而惡之，罷戴歸。
HCH_013_067_000170	命錦衣嚴鞫妖書。
HCH_013_067_000171	沈一貫、朱賡請寬疑獄。
HCH_013_067_000172	沈鯉亦上章引咎，且乞歸，不聽。
HCH_013_067_000173	最後錦衣百戶崔德緝順天黜生皦生光并其子其篇，婦趙氏、陳氏鞫之。
HCH_013_067_000174	生旋光性險賊，善脅人金，坐譴戍大同，赦歸終不悛，猶脅鄭國泰家。
HCH_013_067_000175	方廷訊時，丕揚等皆欲坐郭正域，御史牛應元指天為誓，沈裕厲聲折生光，從重論，恐株連多人，無所歸獄。
HCH_013_067_000176	生光自誣服，歎曰：「朝廷得我結案，如一移口，諸君何處求生活乎？」
HCH_013_067_000177	刑部尚書蕭大亨必欲窮究之。
HCH_013_067_000178	禮部侍郎李廷機、趙世卿告輔臣賡，謂即此可以具獄。
HCH_013_067_000179	賡以語一貫，事得稍解。
HCH_013_067_000180	三十二年夏四月乙酉，提督東廠司禮太監陳矩上妖書獄，移皦生光刑部論斬。
HCH_013_067_000181	上欲加等，以謀危社稷律論磔。
HCH_013_067_000182	矩素清直，妖書事保全善類為多。
HCH_013_067_000183	壬寅，皦生光磔於市，妻子戍邊。
HCH_013_067_000184	妖書非生光也，第其人可死，故人不甚憐之。
HCH_013_067_000185	或謂妖書出武英殿中書舍人永嘉趙士禎，後士禎疾篤，自言之，肉碎落如磔。
HCH_013_067_000186	三十九年九月己酉，皇貴妃王氏薨。
HCH_013_067_000187	妃雖生皇太子，失寵目眚，比疾篤，太子始知之，亟至，宮門尚閉，抉鑰而入。
