HCH_009_078_000162	韓企先，燕京人。
HCH_009_078_000163	九世祖知古，仕遼為中書令，徙居柳城，世貴顯。
HCH_009_078_000164	乾統間，企先中進士第，回翔不振。
HCH_009_078_000165	都統杲定中京，擢樞密副都承旨，稍遷轉運使。
HCH_009_078_000166	宗翰為都統經略山西，表署西京留守。
HCH_009_078_000167	天會六年，劉彥宗薨，企先代之，同中書門下平章事、知樞密院事。
HCH_009_078_000168	七年，遷尚書左僕射兼侍中，封楚國公。
HCH_009_078_000169	初，太祖定燕京，始用漢官宰相賞左企弓等，置中書省、樞密院于廣寧府，而朝廷宰相自用女直官號。
HCH_009_078_000170	太宗初年，無所改更。
HCH_009_078_000171	及張敦固伏誅，移置中書、樞密于平州，蔡靖以燕山降，移置燕京，凡漢地選授調發租稅皆承制行之。
HCH_009_078_000172	故自時立愛、劉彥宗及企先輩，官為宰相，其職大抵如此。
HCH_009_078_000173	斜也、宗幹當國，勸太宗改女直舊制，用漢官制度。
HCH_009_078_000174	天會四年，始定官制，立尚書省以下諸司府寺。
HCH_009_078_000175	十二年，以企先為尚書右丞相，召至上京。
HCH_009_078_000176	入見，太宗甚驚異曰：「朕疇昔嘗夢此人，今果見之。」
HCH_009_078_000177	於是，方議禮制度，損益舊章。
HCH_009_078_000178	企先博通經史，知前代故事，或因或革，鹹取折衷。
HCH_009_078_000179	企先為相，每欲為官擇人，專以培植獎勵後進為己責任。
HCH_009_078_000180	推轂士類，甄別人物，一時台省多君子。
HCH_009_078_000181	彌縫闕漏，密謨顯諫，必咨于王。
HCH_009_078_000182	宗翰、宗幹雅敬重之，世稱賢相焉。
HCH_009_078_000183	皇統元年，封濮王。
HCH_009_078_000184	六年，薨，年六十五。
HCH_009_078_000185	正隆二年，例降封齊國公。
HCH_009_078_000186	大定八年，配享太宗廟廷。
HCH_009_078_000187	十年，司空李德固孫引慶求襲其祖猛安，世宗曰：「德固無功，其猛安且闕之。漢人宰相惟韓企先最賢，他不及也。」
HCH_009_078_000188	十一年，將圖功臣像于衍慶宮，上曰：「丞相企先，本朝典章制度多出斯人之手，至於關決大政，與大臣謀議，不使外人知之，由是無人能知其功。前後漢人宰相無能及者，置功臣畫像中，亦足以示勸後人。」
HCH_009_078_000189	十五年，諡簡懿。
HCH_009_078_000190	韓鐸字振文，企先次子也。
HCH_009_078_000191	皇統末，以大臣子授武義將軍。
HCH_009_078_000192	熙宗聞其有儒學，賜進士第，除宣徽判官。
HCH_009_078_000193	再遷刑部員外郎，海陵遣中使諭之曰：「郎官，高選也。汝勳賢之子，行已蒞官，能世其家，故以命汝。苟能夙夜在公，當不次擢用，雖公相可到。」
HCH_009_078_000194	鐸感奮，獄或有疑，據經議讞。
HCH_009_078_000195	海陵伐宋，改兵部員外郎。
HCH_009_078_000196	大定初，遷本部郎中，累官河州防禦使，求養親，解去。
HCH_009_078_000197	召為左諫議大夫，遷中都路都轉運使。
HCH_009_078_000198	頃之，上謂宰臣曰：「韓鐸年高，不任繁劇，且其母老矣，可與之便郡。」
HCH_009_078_000199	於是改順天軍節度使。
HCH_009_078_000200	卒。
HCH_009_078_000201	贊曰：太祖入燕，始用遼南、北面官僚制度。
HCH_009_078_000202	是故劉彥宗、時立愛規為施設，不見於朝廷之上。
HCH_009_078_000203	軍旅之暇，治官政，庀民事，務農積穀，內供京師，外給轉餉，此其功也。
HCH_009_078_000204	韓企先入相兩朝，幾二十年，成功著業，世宗稱其賢焉。
