HCH_009_010_000155	守貞曰：「儒者不能長居學校，非若僧道久處寺觀。」
HCH_009_010_000156	上曰：「僧道以佛、老營利，故務在莊嚴閎侈，起人施利自多，所以為觀美也。」
HCH_009_010_000157	庚辰，參知政事馬琪自行省回，具奏河防利害，語載《琪傅》中。
HCH_009_010_000158	丙戌，以翰林待制奧屯忠孝權戶部侍郎，太府少監溫昉權工部侍郎，行戶、工部事，修治河防。
HCH_009_010_000159	以引進使完顏衷為夏國生日使。
HCH_009_010_000160	十一月癸巳，詔罷紫荊嶺所護圍場。
HCH_009_010_000161	庚子，以右宣徽使移剌敏等為賀宋正旦使。
HCH_009_010_000162	癸丑，太白晝見。
HCH_009_010_000163	十二月辛酉，平章政事完顏守貞罷。
HCH_009_010_000164	以知大興府事尼厖古鑒為參知政事，以戶中郎中李敬義為賜高麗生日使。
HCH_009_010_000165	丁卯，免被黃河水災今年秋稅。
HCH_009_010_000166	辛巳，敕減修內司備營造軍千人，都城所五百人。
HCH_009_010_000167	癸未，敕尚書省，自今獻靈芝嘉禾者賞。
HCH_009_010_000168	六年春正月丁亥朔，受宋、高麗、夏使朝賀。
HCH_009_010_000169	庚寅，太白晝見。
HCH_009_010_000170	辛卯，敕有司給天水郡公家屬田宅。
HCH_009_010_000171	壬辰，如春水。
HCH_009_010_000172	庚戌，罷陝西括地。
HCH_009_010_000173	辛亥，諭胥持國，河上役夫聚居，恐生疾疫，可廩醫護視之。
HCH_009_010_000174	乙卯，次禦林。
HCH_009_010_000175	二月丁巳朔，敕有司：「行宮側及獵所有農者勿禁。」
HCH_009_010_000176	己未，始祭高禖。
HCH_009_010_000177	庚午，至自春水。
HCH_009_010_000178	丁丑，京師地震。
HCH_009_010_000179	大雨雹，晝晦，震應天門右鴟尾。
HCH_009_010_000180	癸未，宋遣使來報謝。
HCH_009_010_000181	三月丙戌朔，日有食之。
HCH_009_010_000182	甲午，以翰林直學士孛朮魯子元兼右司諫，監察御史田仲禮為左拾遣，翰林修撰僕散訛可兼右拾遺，諭之曰：「國家設置諫官，非取虛名，蓋責實效，庶幾有所裨益。卿等皆朝廷選擢，置之諫職，如國家利害、官吏邪正，極言無隱。近路鐸左遷，本以他罪，卿等勿以被責，遂畏縮不言，其悉心戮力，毋得緘默。」
HCH_009_010_000183	丙申，如萬甯宮。
HCH_009_010_000184	戊戌，以北邊糧運，括群牧所、三招討司猛安謀克、隨糺及迭剌、唐古部諸抹、西京、太原官民駝五千充之，惟民以駝載為業者勿括。
HCH_009_010_000185	以銀五十萬兩、錢二十三萬六千九百貫以備支給。
HCH_009_010_000186	銀五萬兩、金盂二千八百兩、金牌百兩、銀盂八千兩、絹五萬匹、雜彩千端、衣四百四十六襲以備賞勞。
HCH_009_010_000187	庚子，以郡舉才行之士翟介然以下三人特賜進士及第，李貞固以下十五人同進士出身。
HCH_009_010_000188	夏四月癸亥，敕有司：「以增修曲阜宣聖廟工畢，賜衍聖公以下三獻法服及登歌樂一部，仍遣太常舊工往教孔氏子弟，以備祭禮。」
HCH_009_010_000189	甲子，以尚書左丞烏林答願為平章政事，右丞夾谷衡為尚書左丞。
HCH_009_010_000190	丙子，幸玉泉山。
