HCH_013_045_000246	湖廣僉事郭韶敗劉三、趙鐩等於應山縣二郎畋、廣水店，追逐懸崖溺水者千餘人。
HCH_013_045_000247	彭澤同巡撫劉丙督各路軍馬追殺鐩等於應山井子鋪、隨州蓬甑山等處，劉三、劉資等潛匿山谷去。
HCH_013_045_000248	李鋐率邊軍敗劉六等於臨朐沂水，殄之。
HCH_013_045_000249	劉六、劉七等東入登、萊，掠膠州、平度、萊陽，破文登、招遠，攻圍寧海。
HCH_013_045_000250	陸先復分調許泰、郤永合兵追勦。
HCH_013_045_000251	賊潰，分兩隊。
HCH_013_045_000252	一隊由高密西奔，李鋐追至沂水，勦殺無遺。
HCH_013_045_000253	劉六、劉七、齊彥名等復北走霸州，犯香河、寶坻、玉田諸縣。
HCH_013_045_000254	敗官軍，殺參政王杲於武清八里莊。
HCH_013_045_000255	兵部奏調參將成釗等統領京軍。
HCH_013_045_000256	陸完、甯杲亦分調諸將會兵截殺。
HCH_013_045_000257	賊過馬東圈，殺戮甯杲子弟兵甚眾，乃越霸州，竟往雄縣，迤南直抵山東。
HCH_013_045_000258	賊雖屢衄，然隨在脇聚，寡而復眾。
HCH_013_045_000259	先是，正月，劉六等自文安而下，二月，至宿遷，屯小河口，劫船欲渡。
HCH_013_045_000260	指揮周正禦之，不得前。
HCH_013_045_000261	退往桃源，屯於城子河，率眾萬餘掠邳州之泇口集。
HCH_013_045_000262	遂由贛榆過郯城。
HCH_013_045_000263	既擁眾，復寇邳州。
HCH_013_045_000264	賊皆白衣，瀰漫郊野，知州周尚化悉力拒走之。
HCH_013_045_000265	三月，賊過呂梁，沿途焚掠無遺。
HCH_013_045_000266	總兵劉暉破賊於滕之呂孟社，尋敗賊於邳之郭家莊，殺獲千餘人。
HCH_013_045_000267	賊且戰且走，至魚頭集，復破之。
HCH_013_045_000268	四月，賊奔登州海套，陸完率大軍與劉六、劉七、齊彥名等遇於嵩淺坡、古縣集等處。
HCH_013_045_000269	時宣、大鐵騎及中上材官、良家子悉集，將十萬人合圍。
HCH_013_045_000270	諸軍奮勇鏖戰，斬首二千三百，殺傷三千有奇，俘獲百餘，諸酋渠殆盡。
HCH_013_045_000271	六、七、彥名獨挾驍騎三百餘潰圍而走，間道馳至河西務，其勢無前。
HCH_013_045_000272	諸軍悉出，莫能禦。
HCH_013_045_000273	賊將北出塞外，厄關險不得通，乃復越臨清而南下邳之新安，迤𨓦馬家淺、雙溝，頻欲渡不得，復由靈壁西南而去。
HCH_013_045_000274	閏五月，劉三自河南入羅田，轉掠黃陂，都指揮陳表擊敗之，還據羅田。
HCH_013_045_000275	仇鉞擊賊於光山，神周、姚信為左，時源、金輔為右，大敗之，斬首三百九十人，盜奔六安。
HCH_013_045_000276	諸將進至七里岡，賊分為三。
HCH_013_045_000277	神周追趙風子，姚信追賈勉兒。
HCH_013_045_000278	二賊急復合，其黨張通等率眾數千降。
HCH_013_045_000279	鐩屢與官軍戰不利，陳翰見勢敗，亦向總兵仇鉞降。
HCH_013_045_000280	時源、金輔追劉三，由黃陂、光、羅至桐柏、南召。
HCH_013_045_000281	從騎十七人，夜亡其半。
HCH_013_045_000282	至土地坡，指揮王瑾射劉三，中其左目，三縱火自焚，瑾滅火斬其首。
HCH_013_045_000283	都指揮朱忠等復追擊賈勉兒於扶溝，賊奔沙河，溺死者甚眾。
HCH_013_045_000284	追至永城，勉兒變姓名，匿項城之下村，老人王斌獲之，餘眾悉潰。
HCH_013_045_000285	趙風子走德安，知事不成，行至應山縣東化山坡下，遇僧真安，因削剃鬚髮，藏度牒，令賊黨邢本道等各散。
HCH_013_045_000286	遂同真安欲渡江從江西賊，再圖大舉。
HCH_013_045_000287	湖廣巡撫劉丙督官軍擒邢本道等三十餘人於隨州天王險寨等處，斬賊百餘級，獲馬騾器械千數。
HCH_013_045_000288	本道被獲，始知鐩削髮遁去，分命各道物色之。
HCH_013_045_000289	武昌衞軍人趙成、趙宗等行至黃陂縣九十三里坡遇鐩過，見鐩狀貌異常，思與頒示合，心疑之。
HCH_013_045_000290	追至武昌江夏縣管家套，鐩入軍人唐虎店飯，成等進擒之，搜獲真安度牒，檻車入京伏誅。
HCH_013_045_000291	劉七、楊寡婦以千騎犯利津，僉事許逵追至高苑，敗之。
HCH_013_045_000292	錢鸞以百騎劫德平，逵復引兵追至楊二莊，盡殲之。
HCH_013_045_000293	劉六、劉七圍邳州，督漕都御史張縉擊敗之。
HCH_013_045_000294	東海千戶張瀛率銳卒開柵迎敵。
HCH_013_045_000295	賊三騎馳突而前，皆渠帥也，中矢斃，其黨悉遁。
HCH_013_045_000296	六等遂從棗林渡邳，騎能屬者才三百人。
HCH_013_045_000297	奔河南光山、確山入湖廣，棄馬登舟，沿江掠聚，復聚黨至七百人，駐兵武昌陽邏團風鎮。
HCH_013_045_000298	湖廣巡撫都御史馬炳然攜家赴官，賊遇之丁爛泥鋪。
HCH_013_045_000299	脅與俱至南京，炳怒駡之，遂遇害，掠其家人。
HCH_013_045_000300	內旨立監鎗名。
HCH_013_045_000301	太監陸誾以陸完討賊久不滅，謀出統軍。
HCH_013_045_000302	禮部尚書傅珪曰：「今兵老民疲，直以多冒功者失將士心，禍旦夕及宗社，諸公尚唯唯乎？」
HCH_013_045_000303	力爭之。
HCH_013_045_000304	明日，竟遣誾監鑑出征，傳旨令珪致仕。
HCH_013_045_000305	劉六為湖廣官軍所追，風折帆檣，擊死於水。
HCH_013_045_000306	其子劉仲淮數人亦死。
HCH_013_045_000307	劉七、齊彥名等糾合水寇，自黃州下九江，剽湖口、彭澤等一帶郡邑，經安慶、太平、儀真，所過殘滅。
HCH_013_045_000308	六月，陸完帥諸將邊兵，馳至揚州，斬退避指揮程鵬。
HCH_013_045_000309	劉七、龐文宣等舟過蕪湖，操江官軍不敢逼。
HCH_013_045_000310	直抵瓜州，燒燬戰船，搶奪軍器，鎮江官軍禦之，敗績。
HCH_013_045_000311	殺掠過壩，泊於通州之狼山、常熟之福山港。
