HCH_013_040_000173	滿速兒以金印來歸，兵備副使陳九疇語昆曰：「彭總督遇事多模稜，何面目立天地間！」
HCH_013_040_000174	昆不能違，以雜幣二百貽之，令送拜牙郎還國，質留來使虎都六、撒者兒縻其意。
HCH_013_040_000175	滿速兒聞留二使，怒，令火者他只丁、牙木蘭復據哈密。
HCH_013_040_000176	而身引萬騎，直犯肅州。
HCH_013_040_000177	總兵史鏞欲自甘州來援，九疇以乏食止之。
HCH_013_040_000178	肅州急，乃以游擊芮寧出禦。
HCH_013_040_000179	土魯番鋒銳甚，芮寧陣沒，亡七百騎。
HCH_013_040_000180	兵迫城下，哈密降回居肅州城，頗為內應。
HCH_013_040_000181	九疇廉得其情，收繫諸回，及都督失拜烟答等。
HCH_013_040_000182	凡衷甲者，捶殺之，嬰城守。
HCH_013_040_000183	調屬部兵劫其老營，而潛遣使誘瓦剌擣巢穴，破其三城，滿速兒狼狽走。
HCH_013_040_000184	副總兵鄭廉及奄克孛剌尾擊，敗之瓜州。
HCH_013_040_000185	土魯番乃引去。
HCH_013_040_000186	九疇遂發寫亦虎仙傾陷哈密狀。
HCH_013_040_000187	滿速兒復請和，巡撫李昆以聞。
HCH_013_040_000188	時方命彭澤及中使張永視師，疏至罷遣。
HCH_013_040_000189	而滿速兒實無意和，又不歸拜牙郎。
HCH_013_040_000190	九疇謂：「土魯番不臣，宜絕其使，勿通。」
HCH_013_040_000191	與昆異議。
HCH_013_040_000192	兵部尚書王瓊修郄澤，雅右昆，且忌九疇功，日媒孽河西事。
HCH_013_040_000193	十二年夏六月，失拜烟答子米兒馬黑麻方入貢在京，覘知王瓊與彭澤郤，突入長安左門訟冤，下錦衣衛。
HCH_013_040_000194	會兵部三法司奏行河西訊報，瓊因發澤欺罔辱國，及陳九疇輕率激變罪。
HCH_013_040_000195	逮昆、九疇至，請定鞫。
HCH_013_040_000196	戶部尚書石玠曰：「大夫出使于外，苟利社稷，專之可也。」
HCH_013_040_000197	王瓊曰：「納幣寇廷，致貽後患，利乎不利乎？」
HCH_013_040_000198	眾不能奪，澤幾不免。
HCH_013_040_000199	大學士楊廷和善澤，得與九疇並削籍，昆謫浙江副使。
HCH_013_040_000200	已刑部會訊，并脫寫亦虎仙死。
HCH_013_040_000201	上幸會同館，寫亦虎仙以秘術干進，得賜國姓，隨上南征。
HCH_013_040_000202	十六年夏四月，帝崩，世宗踐祚。
HCH_013_040_000203	六月，逮兵尚尚書王瓊下獄，謫戍榆林。
HCH_013_040_000204	言官劾其忌功，陷彭澤、陳九疇也。
HCH_013_040_000205	遂起彭澤兵部尚書，九疇僉都御史巡撫甘肅。
HCH_013_040_000206	寫亦虎仙論斬，死獄中。
HCH_013_040_000207	世宗嘉靖元年秋八月，土魯番滿速兒大舉入寇，以二萬騎入甘州。
HCH_013_040_000208	都御史陳九疇率眾先登，力戰，解甘州圍。
HCH_013_040_000209	滿速兒走肅州，九疇乘夜倍道間抵肅州，夾擊破之。
HCH_013_040_000210	殺其驍將火者他只丁，眾譁滿速兒中流矢死，遂以聞。
HCH_013_040_000211	時上以河西危急，方遣兵部尚書金獻民、都督杭雄濟師，至蘭州，聞捷。
HCH_013_040_000212	用九疇議，遷其使，閉關絕貢，而滿速兒故無恙也。
HCH_013_040_000213	滿速兒歸，路遇亦不剌兵，復邀擊之，大創去。
HCH_013_040_000214	四年春二月，土魯番牙木蘭復據哈密，率眾入沙州，侵及肅州。
HCH_013_040_000215	五年春三月，命尚書王憲提督陝西邊務。
HCH_013_040_000216	先是，起楊一清提督軍務，一清聽羈縻土魯番還城印。
HCH_013_040_000217	未幾，召入閣，以憲代。
HCH_013_040_000218	憲盡出平涼羈留貢使，往諭土魯番，令悔過伏罪，歸我哈密。
HCH_013_040_000219	七年春正月，起王瓊為兵部尚書，兼右都御史，提督陝西軍務。
HCH_013_040_000220	初，哈密二種避讐內徙，一居肅州東關，一居金塔寺諸處。
HCH_013_040_000221	陳九疇議移肅州北境棄地，以杜後患。
HCH_013_040_000222	大學士楊一清以各部一旦外徙，不北合瓦剌，必西連察台，徒足召釁。
HCH_013_040_000223	議遂寢。
HCH_013_040_000224	尋王憲為提督，復遣使往諭之，土魯番亦未肯服。
HCH_013_040_000225	而楊廷和坐議禮罷，彭澤亦去職。
HCH_013_040_000226	張璁、桂蕚等用事，方讐廷和。
HCH_013_040_000227	知王瓊故怨之，言：「哈密不靖由彭澤，澤以廷和曲庇。惟急用瓊，西鄙乃可寧也。」
HCH_013_040_000228	至是，遂以瓊代憲總督。
HCH_013_040_000229	瓊被用，即上書論澤、九疇事，言：「滿速兒實不死。」
HCH_013_040_000230	按驗九疇誣罔，璁、蕚擬坐斬，并罪廷和。
HCH_013_040_000231	刑部尚書胡世寧力爭，「九疇雖上首功失實，然其人忠勇，再保河西有功，為土魯番所忌」。
HCH_013_040_000232	得不死，戍邊。
HCH_013_040_000233	澤、金獻民歸里，廷和得免。
HCH_013_040_000234	十二月，牙木蘭率眾來歸。
HCH_013_040_000235	牙木蘭者，本曲先人。
HCH_013_040_000236	幼為土魯番所掠，黠而善兵，滿速兒倚之。
HCH_013_040_000237	與寫亦虎仙等專伺我虛實，且數盜邊。
HCH_013_040_000238	至是滿速兒令牙木蘭據沙州，索羈留貢使，且率帖木哥土巴攻肅州。
HCH_013_040_000239	以遲回欲殺之，牙木蘭懼，率𦋺帳二千、老稚萬人奔肅州降，乞白城山、金塔寺住牧。
HCH_013_040_000240	未報。
HCH_013_040_000241	滿速兒以討牙木蘭為辭，糾瓦哈寇肅州，副使趙載、遊擊彭濬等拒却之。
HCH_013_040_000242	八年春二月，置哈密諸部于肅州。
HCH_013_040_000243	滿速兒以牙木蘭叛，乃遣人貢獅子，因齎譯書，言：「願歸哈密城及原掠人口，求牙木蘭。」
HCH_013_040_000244	王瓊上言：「哈密既歸，乞令失拜烟答子米兒馬黑麻守之。其所歸各番貢使千餘人，宜散置沙州。土巴帖木哥部落五千四百人，置白城山。哈密都督癿吉孛剌部落置肅州東部。赤斤都督瑣南東置肅州北山金塔寺。罕東都指揮枝丹置甘州南山。」
HCH_013_040_000245	且欲縛牙木蘭予之。
HCH_013_040_000246	下兵部議，廷臣頗言哈密難守，詹事霍韜力言：「置哈密者，離西北之交，以屏藩內郡。或難其守，遂欲棄之。將甘肅難守，亦棄不守乎？太宗之立哈密，因元遺孼力能自立，借虛名以享實利。今嗣王絕矣，天之所廢，誰能興之！惟於諸戎中求雄傑能守城印戢部落者，因而立之，毋規規忠順後可也。」
HCH_013_040_000247	兵部尚書胡世寧言：「先朝不惜棄大寧、交趾，何有於哈密！哈密非大寧、交趾比也。忠順自罕慎以來，狎比土魯番，且邀索我矣。國初，封元孼和寧、順寧、安定俱為王。安定又在哈密之內，近我甘肅。今存亡不可知，一切不問，而議者獨言哈密何也？臣愚謂宜專守河西，謝哈密，無煩中國便。」
HCH_013_040_000248	又言：「牙木蘭本屬部歸正，非叛者，不宜遣還。唐悉怛謀之事可鑒也。」
HCH_013_040_000249	張璁等不聽，力主王瓊議，安置諸戎于肅州境內。
HCH_013_040_000250	獨留牙木蘭不遣，如世寧言。
HCH_013_040_000251	九年冬，滿速兒遣虎力奶翁及天方諸使貢方物，復索牙木蘭。
HCH_013_040_000252	不予。
HCH_013_040_000253	滿速兒欲伺奶翁歸，即率諸戎寇肅州。
HCH_013_040_000254	會虎力奶翁歸道死，瓦剌又攻其北鄙，我稍息肩。
HCH_013_040_000255	來降人言：「土魯番欲以哈密城與失拜烟答妻。」
HCH_013_040_000256	兵部因請許土魯番貢，令三年或五年為期，使十二人入京，餘留塞上。
HCH_013_040_000257	是後名存哈密，而金印遂失，忠順王拜牙郎終不可復。
HCH_013_040_000258	無何，哈密竟為土魯番所據。
HCH_013_040_000259	諸戎部落皆為薦食，失故土，雲翔河西塞。
HCH_013_040_000260	而北寇窟西海，瓦剌巢北山，河西三面，並居寇盜。
HCH_013_040_000261	守臣頻歲備羌戎，無暇及關外事矣。
