HCH_011_045_000204	荊城陷，髂隨王琳入齊，爲竟陵郡守。
HCH_011_045_000205	齊遣琳鎮壽春，將圖江左。
HCH_011_045_000206	及陳平淮南，執琳殺之。
HCH_011_045_000207	髂聞琳死，乃出郡城南，登高冢上號哭，一慟而絕。
HCH_011_045_000208	髂弟頒，少有志節，恒隨從世祖。
HCH_011_045_000209	及荊城陷覆，沒於西魏。
HCH_011_045_000210	史臣曰：自侯景寇逆，世祖據有上游，以全楚之兵委僧辯將率之任。
HCH_011_045_000211	及克平禍亂，功亦著焉，在乎策勳，當上臺之賞。
HCH_011_045_000212	敬帝以高祖貽厥之重，世祖繼體之尊，洎渚宮淪覆，理膺寶祚。
HCH_011_045_000213	僧辯位當將相，義存伊、霍，乃受脅齊師，傍立支庶。
HCH_011_045_000214	苟欲行夫忠義，何忠義之遠矣？
HCH_011_045_000215	樹國之道旣虧，謀身之計不足，自致殲滅，悲矣！
HCH_011_045_000216	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
