HCH_010_038_000178	統縣一：岩淵縣。
HCH_010_038_000179	東界新羅，故平壤城在縣西南。
HCH_010_038_000180	東北至海州一百二十里。
HCH_010_038_000181	嬪州，柔遠軍，刺史。
HCH_010_038_000182	本渤海晴州，故縣五：天晴、神陽、蓮池、狼山、仙岩，皆廢。
HCH_010_038_000183	戶五百。
HCH_010_038_000184	隸海州。
HCH_010_038_000185	東南至海州一百二十里。
HCH_010_038_000186	淥州，鴨淥軍，節度。
HCH_010_038_000187	本高麗故國，渤海號西京鴨淥府。
HCH_010_038_000188	城高三丈，廣輪二十里，都督神、桓、豐、正四州事。
HCH_010_038_000189	故縣三：神鹿、神化、劍門，皆廢。
HCH_010_038_000190	大延琳叛，遷餘黨於上京，置易俗縣居之。
HCH_010_038_000191	在者戶二千。
HCH_010_038_000192	隸東京留守司。
HCH_010_038_000193	統州四、縣二：弘聞縣。
HCH_010_038_000194	神鄉縣。
HCH_010_038_000195	桓州。
HCH_010_038_000196	高麗中都城，故縣三：桓都、神鄉、淇水，<一○>皆廢。
HCH_010_038_000197	高麗王於此創立宮闕，國人謂之新國。
HCH_010_038_000198	五世孫釗，晉康帝建元初爲慕容所敗，宮室焚蕩。
HCH_010_038_000199	戶七百。
HCH_010_038_000200	隸淥州。
HCH_010_038_000201	在西南二百里。
HCH_010_038_000202	豐州。
HCH_010_038_000203	渤海置盤安郡，故縣四：安豐、渤恪、隰壤、硤石，皆廢。
HCH_010_038_000204	戶三百。
HCH_010_038_000205	隸淥州。
HCH_010_038_000206	在東北二百一十里。
HCH_010_038_000207	正州。
HCH_010_038_000208	本沸流王故地，國爲公孫康所並。
HCH_010_038_000209	渤海置沸流郡。
HCH_010_038_000210	有沸流水。
HCH_010_038_000211	戶五百。
HCH_010_038_000212	隸淥州。
HCH_010_038_000213	在西北三百八十里。
HCH_010_038_000214	統縣一：東那縣。
HCH_010_038_000215	本漢東耐縣地。
HCH_010_038_000216	<一一>在州西七十里。
HCH_010_038_000217	慕州。
HCH_010_038_000218	本渤海安遠府地，故縣二：慕化、崇平，久廢。
HCH_010_038_000219	戶二百。
HCH_010_038_000220	隸淥州。
HCH_010_038_000221	在西北二百里。
HCH_010_038_000222	顯州，奉先軍，上，節度。
HCH_010_038_000223	本渤海顯德府地。
HCH_010_038_000224	世宗置，以奉顯陵。
