HCH_012_066_000129	其冠圓匡，冒以翡翠，上飾九龍四鳳，大花十二樹，小花數如之。
HCH_012_066_000130	兩博鬢十二鈿。
HCH_012_066_000131	禕衣，深青繪翟，赤質，五色十二等。
HCH_012_066_000132	素紗中單，黻領，朱羅縠逯襈裾。
HCH_012_066_000133	蔽膝隨衣色，以緅為領緣，用翟為章三等。
HCH_012_066_000134	大帶隨衣色，朱裡紕其外，上以朱錦，下以綠錦，紐約用青組。
HCH_012_066_000135	玉革帶。
HCH_012_066_000136	青襪、青舄，以金飾。
HCH_012_066_000137	永樂三年定制，其冠飾翠龍九，金鳳四，中一龍銜大珠一，上有翠蓋，下垂珠結，餘皆口銜珠滴，珠翠雲四十片，大珠花、小珠花數如舊。
HCH_012_066_000138	三博鬢，飾以金龍、翠雲，皆垂珠滴。
HCH_012_066_000139	翠口圈一副，上飾珠寶鈿花十二，翠鈿如其數。
HCH_012_066_000140	託裡金口圈一副。
HCH_012_066_000141	珠翠面花五事。
HCH_012_066_000142	珠排環一對。
HCH_012_066_000143	皁羅額子一，描金龍文，用珠二十一。
HCH_012_066_000144	翟衣，深青，織翟文十有二等，間以小輪花。
HCH_012_066_000145	紅領褾襈裾，織金雲龍文。
HCH_012_066_000146	中單，玉色紗為之，紅領褾襈裾，織黻文十三。
HCH_012_066_000147	蔽膝隨衣色，織翟為章三等，間以小輪花四，以緅為領緣，織金雲龍文。
HCH_012_066_000148	玉穀圭，長七寸，剡其上，瑑谷文，黃綺約其下，韜以黃囊，金龍文。
HCH_012_066_000149	玉革帶，青綺鞓，描金雲龍文，玉事件十，金事件四。
HCH_012_066_000150	大帶，表裡俱青紅相半，末純紅，下垂織金雲龍文，上朱緣，下綠緣，青綺副帶一。
HCH_012_066_000151	綬五采，黃、赤、白、縹、綠，纁質，間施二玉環，皆織成。
HCH_012_066_000152	小綬三，色同大綬。
HCH_012_066_000153	玉佩二，各用玉珩一、瑀一、琚二、沖牙一、璜二，瑀下垂玉花一、玉滴二；瑑飾雲龍文描金；自珩而下，系組五，貫以玉珠，行則沖牙二滴與二璜相觸有聲；上有金鉤，有小綬五采以副之，纁質，織成。
HCH_012_066_000154	青襪舄，飾以描金雲龍，皁純，每舄首加珠五顆。
HCH_012_066_000155	皇后常服：洪武三年定，雙鳳翊龍冠，首飾、釧鐲用金玉、珠寶、翡翠。
HCH_012_066_000156	諸色團衫，金繡龍鳳文，帶用金玉。
HCH_012_066_000157	四年更定，龍鳳珠翠冠，真紅大袖衣霞帔，紅羅長裙，紅褙子。
HCH_012_066_000158	冠制如特髻，上加龍鳳飾，衣用織金龍鳳文，加繡飾。
HCH_012_066_000159	永樂三年更定，冠用皁縠，附以翠博山，上飾金龍一，翊以珠。
HCH_012_066_000160	翠鳳二，皆口銜珠滴。
HCH_012_066_000161	前後珠牡丹二，花八蕊，翠葉三十六。
HCH_012_066_000162	珠翠穰花鬢二，珠翠雲二十一，翠口圈一。
HCH_012_066_000163	金寶鈿花九，飾以珠。
HCH_012_066_000164	金鳳二，口銜珠結。
HCH_012_066_000165	三博鬢，飾以鸞鳳。
HCH_012_066_000166	金寶鈿二十四，邊垂珠滴。
HCH_012_066_000167	金簪二。
HCH_012_066_000168	珊瑚鳳冠觜一副。
HCH_012_066_000169	大衫霞帔，衫黃，霞帔深青，織金雲霞龍文，或繡或鋪翠圈金，飾以珠玉墜子，瑑龍文。
HCH_012_066_000170	四䙆襖子，深青，金繡團龍文。
HCH_012_066_000171	鞠衣紅色，前後織金雲龍文，或繡或鋪翠圈金，飾以珠。
HCH_012_066_000172	大帶紅線羅為之，有緣，餘或青或綠，各隨鞠衣色。
HCH_012_066_000173	緣襈襖子，黃色，紅領褾襈裾，皆織金采色雲龍文。
HCH_012_066_000174	緣襈裙，紅色，綠緣襈，織金采色雲龍文。
HCH_012_066_000175	玉帶，如翟衣內制，第減金事件一。
HCH_012_066_000176	玉花采結綬，以紅綠線羅為結，玉綬花一，瑑雲龍文。
HCH_012_066_000177	綬帶玉墜珠六，金垂頭花瓣四，小金葉六。
HCH_012_066_000178	紅線羅系帶一。
HCH_012_066_000179	白玉雲樣玎榼二，如佩制，有金鉤，金如意雲蓋一，下懸紅組五貫，金方心雲板一，俱鈒雲龍文，襯以紅綺，下垂金長頭花四，中小金鐘一，末綴白玉雲朵五。
HCH_012_066_000180	青襪舄，與翟衣內制同。
HCH_012_066_000181	皇妃、皇嬪及內命婦冠服：洪武三年定，皇妃受冊、助祭、朝會禮服。
HCH_012_066_000182	冠飾九翬、四鳳花釵九樹，小花數如之。
HCH_012_066_000183	兩博鬢九鈿。
HCH_012_066_000184	翟衣，青質繡翟，編次於衣及裳，重為九等。
HCH_012_066_000185	青紗中單，黻領，朱縠逯襈裾。
HCH_012_066_000186	蔽膝隨裳色，加文繡重雉，為章二等，以緅為領緣。
HCH_012_066_000187	大帶隨衣色。
HCH_012_066_000188	玉革帶。
HCH_012_066_000189	青襪舄、佩綬。
HCH_012_066_000190	常服：鸞鳳冠，首飾、釧鐲用金玉、珠寶、翠。
HCH_012_066_000191	諸色團衫，金繡鸞鳳，不用黃。
HCH_012_066_000192	帶用金、玉、犀。
HCH_012_066_000193	又定山鬆特髻，假鬢花鈿，或花釵鳳冠。
HCH_012_066_000194	真紅大袖衣，霞帔，紅羅裙，褙子，衣用織金及繡鳳文。
HCH_012_066_000195	永樂三年更定，禮服：九翟冠二，以皁縠為之，附以翠博山，飾大珠翟二，小珠翟三，翠翟四，皆口銜珠滴。
HCH_012_066_000196	冠中寶珠一座，翠頂雲一座，其珠牡丹、翠穰花鬢之屬，俱如雙鳳翊龍冠制，第減翠雲十。
HCH_012_066_000197	又翠牡丹花、穰花各二，面花四，梅花環四，珠環各二。
HCH_012_066_000198	其大衫、霞帔、燕居佩服之飾，俱同中宮，第織金繡瑑，俱雲霞鳳文，不用雲龍文。
HCH_012_066_000199	九嬪冠服：嘉靖十年始定，冠用九翟，次皇妃之鳳。
HCH_012_066_000200	大衫、鞠衣，如皇妃制。
HCH_012_066_000201	圭用次玉谷文。
HCH_012_066_000202	內命婦冠服，洪武五年定，三品以上花釵、翟衣，四品、五品山鬆特髻，大衫為禮服。
HCH_012_066_000203	貴人視三品，以皇妃燕居冠及大衫、霞帔為禮服，以珠翠慶雲冠，鞠衣、褙子、緣襈襖裙為常服。
HCH_012_066_000204	宮人冠服，制與宋同。
HCH_012_066_000205	紫色，團領，窄袖，遍刺折枝小葵花，以金圈之，珠絡縫金帶紅裙。
HCH_012_066_000206	弓樣鞋，上刺小金花。
HCH_012_066_000207	烏紗帽，飾以花，帽額綴團珠。
HCH_012_066_000208	結珠鬢梳。
HCH_012_066_000209	垂珠耳飾。
HCH_012_066_000210	皇太子冠服：陪祀天地、社稷、宗廟及大朝會、受冊、納妃則服袞冕。
