HCH_012_175_000189	惠窘走南召，指揮王謹追及於土地嶺，射中惠左目，自縊死。
HCH_012_175_000190	勉兒數為都指揮朱忠、夏廣所敗，獲之項城丁村。
HCH_012_175_000191	余黨邢本道、劉資及楊寡婦等先後皆被擒。
HCH_012_175_000192	凡出師四月，而河南賊悉平。
HCH_012_175_000193	趙鐩，一名風子，文安諸生也。
HCH_012_175_000194	劉七等亂起，鐩挈家匿渚中，賊驅之登陸，將汙其妻女。
HCH_012_175_000195	鐩素驍健，有膂力，手格殺二賊。
HCH_012_175_000196	賊聚執之，遂入其黨為之魁。
HCH_012_175_000197	賊專事淫掠，鐩稍有智計，定為部伍，勸其黨無妄殺。
HCH_012_175_000198	移檄府縣，約官吏師儒毋走避，迎者安堵。
HCH_012_175_000199	由是橫行中原，勢出劉六等上。
HCH_012_175_000200	嘗攻鈞州五日，以馬文升方家居，舍之去。
HCH_012_175_000201	有司遣人賫招撫榜至，鐩具疏附奏言：「今群奸在朝，舞弄神器，濁亂海內，誅戮諫臣，屏棄元老，舉動若此，未有不亡國者。乞陛下睿謀獨斷，梟群奸之首以謝天下，即梟臣之首以謝群奸。」
HCH_012_175_000202	其桀黠如此。
HCH_012_175_000203	鉞既平河南賊，移師會陸完，共滅劉七等於江北。
HCH_012_175_000204	論功，進世侯，增祿百石，仍督三千營。
HCH_012_175_000205	八年，大同有警，命充總兵官，統京軍禦之。
HCH_012_175_000206	鉞上五事，中請遣還京操邊軍，停京軍出征，以省公私之擾，尤切時弊。
HCH_012_175_000207	時不能用。
HCH_012_175_000208	鉞既至，值寇犯萬全沙河。
HCH_012_175_000209	擊之，斬首三級，而軍士亡者二十餘人，寇亦引去。
HCH_012_175_000210	奏捷蒙賚，朝論恥之。
HCH_012_175_000211	帝詔諸邊將入侍豹房。
HCH_012_175_000212	鉞嘗一入，後輒力辭。
HCH_012_175_000213	十年冬，稱疾解營務。
HCH_012_175_000214	詔給軍三十人役其家。
HCH_012_175_000215	世宗立，再起督三千營，掌前府事。
HCH_012_175_000216	未上卒，年五十七。
HCH_012_175_000217	謚武襄。
HCH_012_175_000218	子昌以病廢，孫鸞嗣侯。
HCH_012_175_000219	世宗時，怙寵通邊，磔死，爵除。
HCH_012_175_000220	神英，字景賢，壽州人。
HCH_012_175_000221	天順初，襲父職，為延安衛指揮使，守備寧塞營，屢將騎兵，從都督張欽等征討有功。
HCH_012_175_000222	成化元年，尚書王復行邊，薦英有謀勇，進都指揮僉事。
HCH_012_175_000223	以從征滿四功，遷都指揮使，充延綏右參將。
HCH_012_175_000224	屢敗乚加思蘭兵，進署都督僉事。
HCH_012_175_000225	巡撫余子俊築邊墻，命英董役，工成受賚。
HCH_012_175_000226	久之，充總兵官，鎮守寧夏，移延綏，復移宣府。
HCH_012_175_000227	弘治改元，移大同。
HCH_012_175_000228	十一年，馬市開，英違禁貿易，寇掠蔚州又不救，言官連劾，召還閑住。
HCH_012_175_000229	尋起督果勇營。
HCH_012_175_000230	嘗充右參將，從朱暉禦寇延綏。
HCH_012_175_000231	武宗立，寇犯宣府，與李俊並充左參將，帥京軍以援。
HCH_012_175_000232	尋以都督同知僉事左府，剿近畿劇賊，進右都督。
HCH_012_175_000233	正德五年，給事中段豸劾英老，命致仕。
HCH_012_175_000234	當是時，劉瑾竊政。
HCH_012_175_000235	總兵官曹雄等以附瑾得重權。
HCH_012_175_000236	英素習瑾，厚賄之。
HCH_012_175_000237	因自陳邊功，乞敘錄，特詔予伯爵。
HCH_012_175_000238	吏、兵二部持之，下廷議。
HCH_012_175_000239	而廷臣希謹指，無不言當封者，遂封涇陽伯，祿八百石。
HCH_012_175_000240	未幾，寘鐇反，命充總兵官討之。
HCH_012_175_000241	未至，賊已滅。
HCH_012_175_000242	其秋，瑾敗，為言官所劾。
HCH_012_175_000243	詔奪爵，以右都督致仕。
HCH_012_175_000244	越二年卒。
HCH_012_175_000245	子周，輸粟為指揮僉事。
HCH_012_175_000246	累官都指揮使，充延綏右參將。
HCH_012_175_000247	正德六年命以所部兵討河南流賊，數有功，再進都督同知。
HCH_012_175_000248	賊平，遂以副總兵鎮山西。
HCH_012_175_000249	九年秋，寇大入寧武關，躪忻、定襄、寧化。
HCH_012_175_000250	周擁兵不戰，軍民死者數千。
HCH_012_175_000251	詔巡撫官執歸京師。
HCH_012_175_000252	周潛結貴近，行至易州，偽稱病，自陳戰功。
HCH_012_175_000253	帝乃宥周罪，盡削其秩，為總旗，而輸粟指揮如故。
HCH_012_175_000254	已，夤緣江彬入豹房，驟復都督，賜國姓，典兵禁中。
HCH_012_175_000255	遂與彬相倚為聲勢，納賄不貲。
HCH_012_175_000256	彬敗，周亦下獄，伏誅。
HCH_012_175_000257	曹雄，西安左衛人。
HCH_012_175_000258	弘治末，歷官都指揮僉事，為延綏副總兵。
HCH_012_175_000259	武宗即位，用總督楊一清薦，擢署都督僉事，充總兵官，鎮固原。
HCH_012_175_000260	以瑾同鄉，自附於瑾。
HCH_012_175_000261	瑾欲廣樹黨，日相親重。
HCH_012_175_000262	正德四年，雄上言：「故事，布、按二司及兵備道臣文移達總兵官者，率由都司轉達。今邊務亟，征調不時，都司遠在會城，往返千里，恐誤軍機。乞如巡撫大同例，徑呈總兵官便。」
HCH_012_175_000263	兵部尚書曹元希瑾意，覆如其言。
HCH_012_175_000264	既復受瑾屬，奏雄鎮守未佩印，宜如各邊例，特賜印以重其權。
HCH_012_175_000265	乃進雄署都督同知，以延綏總兵官吳江所佩征西將軍印佩之，而別鑄靖虜將軍印予江。
HCH_012_175_000266	及總督才寬禦寇沙窩為所殺，雄擁兵不救。
HCH_012_175_000267	佯引罪，乞解兵柄，令子謐賫奏詣京師。
HCH_012_175_000268	瑾異謐貌，妻以從女，而優詔褒雄，令居職如故，糾者反被責。
HCH_012_175_000269	寘鐇反寧夏，雄聞變，即統兵壓境上。
HCH_012_175_000270	令都指揮黃正以兵三千入靈州，固士卒心，約鄰境刻期討。
HCH_012_175_000271	密焚大、小二壩積草，與守備史鏞等奪河西船，盡泊東岸。
HCH_012_175_000272	賊黨何錦懼，急帥兵出守大壩，以防決河。
HCH_012_175_000273	雄乃令鏞潛通書仇鉞，俾從中舉事，賊遂成擒。
HCH_012_175_000274	是役也，功雖成於鉞，而居外布置，賊不內顧，雄有勞焉。
HCH_012_175_000275	捷聞，瑾以平賊功歸之，進左都督。
HCH_012_175_000276	謐亦官千戶。
HCH_012_175_000277	雄不安，引咎自劾，推功諸將，降旨慰勞。
HCH_012_175_000278	未幾，瑾敗，言官交劾。
HCH_012_175_000279	降指揮僉事，尋征下獄，以黨逆論死，籍其家。
HCH_012_175_000280	詔宥之，與家屬永戍海南，遇赦不原。
HCH_012_175_000281	雄長子謙，讀書能文，有機略，好施予。
HCH_012_175_000282	故參政李侖、主事孔琦家貧甚，雄請周恤其妻子，以勸廉吏，謙意也。
HCH_012_175_000283	御史高胤先被逮，無行貲。
HCH_012_175_000284	謙為治裝，並恤其家。
HCH_012_175_000285	受業楊一清，聞一清將起用，貽書止之曰：「近日關中人材，連茹而起，實山川不幸。獨不留三五輩為後日地耶？」
HCH_012_175_000286	時陜人率附瑾以進，故謙雲然。
HCH_012_175_000287	雄下獄，謙亦被系，為怨家箠死。
HCH_012_175_000288	馮禎、綏德衛人。
HCH_012_175_000289	起家卒伍，累功為本衛指揮僉事。
HCH_012_175_000290	弘治末，擢署都指揮僉事，守備偏頭關。
HCH_012_175_000291	尋充參將，分守寧夏西路，以勇敢聞。
HCH_012_175_000292	寘鐇反，馳奏告變。
HCH_012_175_000293	事平，進署都指揮同知。
HCH_012_175_000294	已，擢副總兵，協守延綏。
HCH_012_175_000295	正德六年七月，盜起中原。
HCH_012_175_000296	詔以所部千五百人入討。
HCH_012_175_000297	至阜城，遇賊。
HCH_012_175_000298	禎令軍中毋顧首級、貪虜獲，遂大敗賊。
HCH_012_175_000299	逐北數十里，俘斬八百六十有奇。
HCH_012_175_000300	進解曹州圍，執其魁朱諒。
HCH_012_175_000301	錄功，進都督僉事。
HCH_012_175_000302	明年春，劉惠、趙鐩亂河南，連陷鹿邑、上蔡、西平、遂平、舞陽、葉，縱掠南頓、新蔡、商水、襄城，復還，駐西平。
HCH_012_175_000303	禎偕副總兵時源，參將神周、金輔擊敗之。
HCH_012_175_000304	賊奔入城，官軍塞其門。
HCH_012_175_000305	乘夜焚死千餘人，斬首稱是，余賊潰而西。
HCH_012_175_000306	巡撫鄧璋等朝崇王於汝寧，宴飲連日。
HCH_012_175_000307	賊招散亡，勢復振，陷鄢陵、滎陽、汜水、鞏。
HCH_012_175_000308	圍河南府三日，諸軍始集。
HCH_012_175_000309	賊屯洛南，覘官軍饑疲，迎戰。
HCH_012_175_000310	右哨金輔不敢渡洛，禎及源、周方陣，而後哨參將姚信所部京軍先馳，失利，遽遁。
HCH_012_175_000311	陣亂，賊乘之。
HCH_012_175_000312	禎下馬殊死鬥，援絕死焉。
HCH_012_175_000313	贈洛南伯，賜祭葬，授其子大金都督僉事。
HCH_012_175_000314	後賊平，論功，復蔭一子世百戶。
HCH_012_175_000315	明年是日，禎死所風霾大作，又明年，亦如之。
HCH_012_175_000316	伊王奏聞，敕有司建祠，歲以死日致祭。
HCH_012_175_000317	尋用給事中李鐸言，歲給米二石，帛二疋，贍其家。
HCH_012_175_000318	張俊，宣府前衛人。
HCH_012_175_000319	嗣世職，為本衛指揮使。
HCH_012_175_000320	累擢大同遊擊將軍。
HCH_012_175_000321	弘治十二年以功進都指揮同知。
HCH_012_175_000322	火篩入大同左衛，大掠八日。
HCH_012_175_000323	俊遣兵三百邀其前，復分兵三百為策應，而親禦之荊東莊。
HCH_012_175_000324	依河結營，擊卻三萬餘騎。
HCH_012_175_000325	帝大喜，立擢都督僉事。
HCH_012_175_000326	未幾，總兵官王璽失事被征，即命俊代之。
HCH_012_175_000327	其冬，以寇入戴罪，尋移鎮宣府。
