HCH_012_300_000203	英宗數欲封之，後輒遜謝，故後家獨不獲封。
HCH_012_300_000204	貴卒，長子欽為錦衣衛指揮使，與弟鐘俱歿於土木。
HCH_012_300_000205	欽無子，以鐘遺腹子雄為後，年幼，以父錦衣故秩予優給。
HCH_012_300_000206	天順改元，累擢都督同知。
HCH_012_300_000207	成化時，後崩。
HCH_012_300_000208	憲宗優生母外家周氏，而薄錢氏，故後家又不獲封。
HCH_012_300_000209	雄卒，子承宗亦屢官錦衣衛都指揮使。
HCH_012_300_000210	弘治二年，承宗祖母王氏援憲宗外家王氏例，請封。
HCH_012_300_000211	乃封承宗安昌伯，世襲。
HCH_012_300_000212	先是，勛臣莊田租稅皆有司代收，至是王氏乞自收，始命願自收者聽，而禁管莊者橫肆。
HCH_012_300_000213	嘉靖五年，承宗卒，謚榮僖。
HCH_012_300_000214	子維圻嗣。
HCH_012_300_000215	尋卒，承宗母請以庶長子維垣嗣，詔授錦衣衛指揮使。
HCH_012_300_000216	已又請嗣伯爵。
HCH_012_300_000217	世宗以外戚世封非祖制，下廷臣議。
HCH_012_300_000218	八年十月上議曰：「祖宗之制，非軍功不封。洪熙時，都督張昶封彭城伯，弟升亦封惠安伯，外戚之封，自此始。循習至今，有一門數貴者，歲糜厚祿，逾分非法。臣等謹議：魏、定二公雖系戚裏，實佐命元勛，彭城、惠安二伯即以恩澤封，而軍功參半。其餘外戚恩封，毋得請襲。有出特恩一時寵錫者，量授指揮，千、百戶之職，終其身。」
HCH_012_300_000219	制曰：「可。」
HCH_012_300_000220	命魏、定、彭城、惠安襲封如故，余止終本身，著為令。
HCH_012_300_000221	維垣遂不得襲，以錦衣終。
HCH_012_300_000222	汪泉，世為金吾左衛指揮使，家京師。
HCH_012_300_000223	正統十年，其子瑛有女將冊為郕王妃，授瑛為中城兵馬司指揮，食祿不視事。
HCH_012_300_000224	妃正位中宮，進泉都指揮同知府軍衛，帶俸，瑛錦衣衛指揮使。
HCH_012_300_000225	尋並擢左都督，瑛弟亦授錦衣千戶有差。
HCH_012_300_000226	英宗復位，泉仍居金吾舊職，瑛錦衣舊職，其四弟皆奪官還故里。
HCH_012_300_000227	尋命瑛錦衣指揮僉事，子孫世襲。
HCH_012_300_000228	杭昱，女為景帝妃，生子見濟。
HCH_012_300_000229	景泰三年，帝欲廢英宗子而立己子，乃廢皇后汪氏，冊妃為后。
HCH_012_300_000230	昱累官錦衣衛指揮使。
HCH_012_300_000231	兄聚授錦衣千戶。
HCH_012_300_000232	聚尋卒，賜賻及祭葬。
HCH_012_300_000233	七年，后崩，官其弟敏錦衣百戶。
HCH_012_300_000234	英宗復辟，盡奪景帝所授外親官，尤惡杭氏，昱已前卒，敏削職還里。
HCH_012_300_000235	周能，字廷舉，昌平人。
HCH_012_300_000236	女為英宗妃，生憲宗，是為孝肅皇太后。
HCH_012_300_000237	英宗復位，授能錦衣衛千戶，賜賫甚渥。
HCH_012_300_000238	能卒，長子壽嗣職。
HCH_012_300_000239	憲宗踐阼，擢左府都督同知。
HCH_012_300_000240	成化三年封慶雲伯，贈能慶雲侯。
HCH_012_300_000241	壽以太后弟，頗恣橫。
HCH_012_300_000242	時方禁勛戚請乞莊田，壽獨冒禁乞通州田六十二頃，不得已與之。
HCH_012_300_000243	嘗奉使，道呂梁洪，多挾商艘。
HCH_012_300_000244	主事謝敬不可，壽與哄，且劾之，敬坐落陽。
HCH_012_300_000245	十七年進侯，子弟同日授錦衣官者七人，能追贈太傅、寧國公，謚榮靖。
HCH_012_300_000246	孝宗立，壽加太保。
HCH_012_300_000247	時壽所賜莊田甚多，其在寶坻者已五百頃，又欲得其餘七百餘頃，詭言以私財相易。
HCH_012_300_000248	部劾其貪求無厭，執不許，孝宗竟許之。
HCH_012_300_000249	又與建昌侯張延齡爭田，兩家奴相毆，交章上聞。
HCH_012_300_000250	又數撓鹽法，侵公家利，有司厭苦之。
HCH_012_300_000251	十六年加太傅，弟長寧伯彧亦加太保，兄弟並為侯伯，位三公，前此未有也。
HCH_012_300_000252	武宗立，汰傳奉官，壽子侄八人在汰中，壽上章乞留，從之。
HCH_012_300_000253	正德四年卒，贈宣國公，謚恭和。
HCH_012_300_000254	子瑛嗣，封殖過於父。
HCH_012_300_000255	嘉靖中，於河西務設肆邀商貨，虐市民，虧國課，為巡按御史所劾，停祿三月。
HCH_012_300_000256	而瑛怙惡如故，又為主事翁萬達所劾，詔革其廛肆，下家人於法司。
HCH_012_300_000257	時已革外戚世爵，瑛卒，遂不得嗣。
HCH_012_300_000258	彧，太后仲弟也。
HCH_012_300_000259	成化時，累官左府都督同知。
HCH_012_300_000260	二十一年封長寧伯，世襲。
HCH_012_300_000261	弘治中，外戚經營私利，彧與壽寧侯張鶴齡至聚眾相鬥，都下震駭。
