HCH_012_140_000226	銘為治廉靜平恕，暇輒進諸生講文藝，或單騎行田間，課耕獲。
HCH_012_140_000227	邑大治。
HCH_012_140_000228	秩滿入覲，卒。
HCH_012_140_000229	盧熙，字公暨，昆山人。
HCH_012_140_000230	兄熊，字公武，為兗州知府。
HCH_012_140_000231	時兵革甫定，會營魯王府。
HCH_012_140_000232	又浚河，大役並興。
HCH_012_140_000233	熊竭心調度，民以不擾。
HCH_012_140_000234	後坐累死。
HCH_012_140_000235	熙以薦授睢州同知。
HCH_012_140_000236	有惠愛，命行知府事。
HCH_012_140_000237	適御史奉命搜舊軍，睢民濫入伍者千人，檄熙追送。
HCH_012_140_000238	熙令民自實，得嘗隸尺籍者數人畀之。
HCH_012_140_000239	御史怒，系曹吏，必盡得，不則以格詔論。
HCH_012_140_000240	同官皆懼。
HCH_012_140_000241	熙曰：「吾民牧也。民散，安用牧？」
HCH_012_140_000242	乃自詣御史曰：「州軍籍盡此矣。迫之，民且散，獨有同知在耳，請以充役。」
HCH_012_140_000243	御史怒斥去，堅立不動。
HCH_012_140_000244	已，知不能奪，乃罷去。
HCH_012_140_000245	後卒於官。
HCH_012_140_000246	貧不能喪，官為具殮。
HCH_012_140_000247	喪歸，吏民挽哭者塞道，大雨，無一人卻者。
HCH_012_140_000248	又王士弘者，知寧海縣。
HCH_012_140_000249	靖海侯吳禎奉命收方氏故卒。
HCH_012_140_000250	無賴子誣引平民，臺、溫騷然。
HCH_012_140_000251	士弘上封事，辭極懇切。
HCH_012_140_000252	詔罷之，民賴以安。
HCH_012_140_000253	倪孟賢，南昌人。
HCH_012_140_000254	知麗水縣。
HCH_012_140_000255	民有賣卜者，幹富室不應，遂詣京告大姓陳公望等五十七人謀亂。
HCH_012_140_000256	命錦衣衛千戶周原往捕之。
HCH_012_140_000257	孟賢廉得實，謂僚屬曰：「朝廷命孟賢令是邑，忍坐視善良者橫被茶毒耶？」
HCH_012_140_000258	即具疏聞。
HCH_012_140_000259	復令耆老四十人赴闕訴。
HCH_012_140_000260	下法司鞫實，論告密者如律。
